longname,Housing Units per Adult,Housing Units per Adult (2010),Housing Units per Adult (2000),Vacancy %,Vacancy % (2010),Vacancy % (2000),Rent/Income < 20%,Rent/Income 20%-40%,Rent/Income > 40%,1BR Rent < $750 %,1BR Rent $750 - $1500 %,1BR Rent > $1500 %,2BR Rent < $750 %,2BR Rent $750 - $1500 %,2BR Rent > $1500 %,% units built pre-1970,% units built in 1970s,% units built in 1980s,% units built in 1990s,% units built in 2000s,% units built in 2010s+,Renter %
"New York-Newark-Jersey City MSA, NY-NJ-PA, USA",0.5005933047597049,0.5151388495901988,0.5127523309321218,0.0722412596420507,0.07974638088132116,0.057553778742560915,0.2559907795010148,0.3816239035145758,0.36238531698440946,0.15134220343686627,0.40240596089318853,0.4462518356699452,0.10998119073891935,0.32662476314180455,0.5633940461192762,0.6507147570381336,0.09803388686184222,0.07968557793015779,0.0630703005167015,0.06648822441810966,0.04200725323505523,0.47664754582460356
"Los Angeles-Long Beach-Anaheim MSA, CA, USA",0.4505400502131276,0.4635807292956714,0.4745674471118897,0.048054733785776814,0.05747081912163168,0.03980081419017156,0.2003387317717082,0.3973799138670402,0.4022813543612517,0.09510612136038309,0.42705381288826344,0.47784006575135357,0.03622476135058981,0.24222949069512467,0.7215457479542855,0.5340452165436707,0.1609083611365511,0.1244075308225033,0.07653664546541981,0.0606770226439998,0.043425223387855295,0.511782780191915
"Chicago-Naperville-Elgin MSA, IL-IN-WI, USA",0.5264794445311147,0.5354044358459138,0.5201722705680736,0.06869507418156726,0.08355054958965379,0.0519623003810031,0.2731461676522625,0.39986123723020855,0.3269925951175288,0.21198138721399093,0.5660683629444885,0.22195024984152065,0.10165825806084505,0.6034202313482533,0.29492151059090166,0.5064162571876643,0.14104710129400483,0.09066949244441894,0.11167558563040848,0.11386229305509726,0.0363292703884062,0.3492321544616245
"Dallas-Fort Worth-Arlington MSA, TX, USA",0.5168190684225829,0.5445354018964367,0.5386458949456155,0.06383924270848124,0.08175103043110903,0.05885010770041875,0.25674595637892994,0.4320082602957224,0.31124578332534764,0.09059627848158469,0.7685567825124756,0.14084693900593978,0.06264333904834027,0.6149467836387528,0.32240987731290693,0.2023540866451565,0.13286752411860694,0.1734854462765451,0.1564520580518211,0.19137137385061515,0.14346951105725517,0.39931645646857417
"Houston-The Woodlands-Sugar Land MSA, TX, USA",0.5183679879211126,0.5375666087928765,0.536413434272015,0.08393817295061114,0.1002858542496664,0.0775305305848764,0.24974721676082154,0.4096603765794618,0.34059240665971674,0.15499190189726975,0.7269011260219038,0.11810697208082654,0.07763937172782716,0.6783632731251288,0.24399735514704413,0.18705193277950066,0.1575011206739046,0.15346605715212347,0.1388740499424308,0.20289747722732615,0.16020936222471435,0.3879530363950726
"Washington-Arlington-Alexandria MSA, DC-VA-MD-WV, USA",0.5060090725491477,0.5205883319538864,0.5272336061831445,0.05557154966330844,0.06246029240905031,0.04736595713861356,0.2603556672181087,0.4287539830355636,0.3108903497463277,0.09322059696494618,0.339811108236047,0.5669682947990067,0.05157988258432961,0.2211890597599416,0.7272310576557289,0.338798454557573,0.13453398929304866,0.15410090257115674,0.1402355031338255,0.1402958536448942,0.09203529679950197,0.36339580409534394
"Philadelphia-Camden-Wilmington MSA, PA-NJ-DE-MD, USA",0.5257246714796205,0.531755683372023,0.5371540263253389,0.06691129200293952,0.07078440360372212,0.06369404957481296,0.2560752241746606,0.39418404191322576,0.3497407339121137,0.18787497500166744,0.6255916272248503,0.1865333977734823,0.08342091281736992,0.5891623781804946,0.32741670900213554,0.5652559627407717,0.12041459643937052,0.09781792371192145,0.09408888932102946,0.07857924878703336,0.04384337899987362,0.32991293584350356
"Miami-Fort Lauderdale-West Palm Beach MSA, FL, USA",0.5353012776561612,0.5648665089060988,0.5616947301698872,0.11698954833681192,0.1480549888818207,0.11317424758755024,0.1555832933379922,0.3957178531072484,0.4486988535547593,0.13331642680530056,0.583169551343011,0.28351402185168856,0.0428779237736836,0.43943803473982984,0.5176840414864865,0.2643039630048607,0.20964144616338184,0.19183371548232986,0.14566970413347097,0.12725561005169322,0.061295561164263414,0.4005991060635891
"Atlanta-Sandy Springs-Roswell MSA, GA, USA",0.5186689827123732,0.5586871326014806,0.5274944122505971,0.06461025202795036,0.10462256733346445,0.05480484757106341,0.2443335302752763,0.41483819592481397,0.3408282737999097,0.156085970930867,0.6380056489641543,0.2059083801049786,0.09060155462371054,0.6330928244543457,0.2763056209219438,0.16409406249347092,0.12395813824647646,0.17113214939900437,0.20817166214935415,0.2364182516636773,0.09622573604801699,0.3523504185782522
"Boston-Cambridge-Newton MSA, MA-NH, USA",0.5100278919502114,0.5271099195169447,0.5205003855139596,0.0587696828778044,0.06424824733278212,0.0401906106802583,0.2543311810192878,0.4178357927804398,0.3278330262002723,0.2581256074420656,0.2895426593748455,0.45233173318308884,0.0997053576455815,0.2630748043464538,0.6372198380079647,0.5798058102026871,0.1079892120906156,0.10418345842632498,0.07387543488554744,0.07492033906087216,0.05922574533395279,0.3845331118915689
