longname,Poverty %,Household Income < $50k %,Household Income $50k - $100k %,Household Income > $100k %,Individual Income < $50k %,Individual Income $50k - $100k %,Individual Income > $100k %
"New York-Newark-Jersey City MSA, NY-NJ-PA, USA",0.12220430738604766,0.3112518521549578,0.24645209777654206,0.44229605006850015,0.5692184892916099,0.24674258142897096,0.18403892927941906
"Los Angeles-Long Beach-Anaheim MSA, CA, USA",0.12899014406231268,0.31630988782071867,0.2718640945915377,0.41182601758774356,0.6320221495313147,0.2176071990239205,0.15037065144476472
"Chicago-Naperville-Elgin MSA, IL-IN-WI, USA",0.11132414020756615,0.3228803528286773,0.2835068907357072,0.39361275643561566,0.5952236623339107,0.25405915804406665,0.15071717962202263
"Dallas-Fort Worth-Arlington MSA, TX, USA",0.1087072232938811,0.31645205766966644,0.30509544283483103,0.3784524994955025,0.605608420363339,0.25379816935448485,0.14059341028217615
"Houston-The Woodlands-Sugar Land MSA, TX, USA",0.13338354234615338,0.3476999621724923,0.2895118157827675,0.36278822204474004,0.6206099297315195,0.23829200918343596,0.14109806108504452
"Washington-Arlington-Alexandria MSA, DC-VA-MD-WV, USA",0.07713383854378256,0.2041061358746561,0.24508223719333458,0.5508116269320092,0.47864456732462474,0.2664883533125489,0.25486707936282627
"Philadelphia-Camden-Wilmington MSA, PA-NJ-DE-MD, USA",0.11745903517723809,0.3266026579240091,0.2764031881706491,0.39699415390534176,0.5908200746081562,0.25864034973766786,0.15053957565417594
"Miami-Fort Lauderdale-West Palm Beach MSA, FL, USA",0.13643832761772332,0.40557777699470393,0.29355399589362097,0.30086822711167505,0.6953812988534318,0.19928596109291324,0.10533274005365502
"Atlanta-Sandy Springs-Roswell MSA, GA, USA",0.11099233304191647,0.32640611820090787,0.3052481066034044,0.36834577519568784,0.6180234736539014,0.24436627463190597,0.13761025171419258
"Boston-Cambridge-Newton MSA, MA-NH, USA",0.08984679440932418,0.2649141556314891,0.2393450247899367,0.49574081957857424,0.5303697627527234,0.2683929812659586,0.20123725598131795
"Phoenix-Mesa-Scottsdale MSA, AZ, USA",0.1198940264734075,0.33667565765973545,0.3197009627581629,0.34362337958210165,0.6412077776321171,0.24095424738847804,0.11783797497940483
"San Francisco-Oakland-Hayward MSA, CA, USA",0.08437216247132655,0.22014542167693138,0.20842317942230687,0.5714313989007618,0.48583078852326567,0.24083712244535813,0.27333208903137624
"Riverside-San Bernardino-Ontario MSA, CA, USA",0.13060782833470946,0.33909452053363237,0.3058810716292351,0.35502440783713257,0.675526859348017,0.21919475651060943,0.1052783841413735
"Detroit-Warren-Dearborn MSA, MI, USA",0.13488403348616712,0.3826277898516816,0.29390770453713044,0.32346450561118795,0.6450770089854442,0.23686290914833072,0.11806008186622514
"Seattle-Tacoma-Bellevue MSA, WA, USA",0.0827822807376375,0.23800443179140335,0.2724074868442344,0.48958808136436227,0.521598076836388,0.26830602629232636,0.21009589687128574
"Minneapolis-St. Paul-Bloomington MSA, MN-WI, USA",0.08141454052646334,0.2699451444995531,0.29679174188121066,0.43326311361923625,0.5604503120244428,0.28861118156401516,0.15093850641154197
"San Diego-Carlsbad MSA, CA, USA",0.10720219313459399,0.27992026328908115,0.27602238455581224,0.44405735215510656,0.5917556468541755,0.24227354416525548,0.16597080898056893
"Tampa-St. Petersburg-Clearwater MSA, FL, USA",0.12895601163809228,0.4108579037420751,0.3061067527256674,0.2830353435322575,0.6819198055973985,0.21979099066273985,0.09828920373986168
"Denver-Aurora-Lakewood MSA, CO, USA",0.08099809904459684,0.26180484777689933,0.2949008404083728,0.44329431181472784,0.5469091788501944,0.28470680390780756,0.16838401724199795
"Baltimore-Columbia-Towson MSA, MD, USA",0.0982052720881434,0.28695666801085784,0.27359458834658573,0.4394487436425564,0.5481523125599483,0.2789998340350915,0.17284785340496017
"St. Louis MSA, MO-IL, USA",0.10517194655332351,0.35816937568517315,0.31000445197585025,0.3318261723389766,0.6289241875368322,0.25523446946383943,0.11584134299932837
