longname,No internet access %,Uninsured %,Public Insurance %,Private Insurance %,Never Married %,Married (not divorced) %,Divorced %
"New York-Newark-Jersey City MSA, NY-NJ-PA, USA",0.09546801951799792,0.08893327137429102,0.2098193975892513,0.7012473310364576,0.3797329299142772,0.5386463921398618,0.08162067794586096
"Los Angeles-Long Beach-Anaheim MSA, CA, USA",0.07859612197206277,0.114809484539021,0.22213502067865143,0.6630554947823276,0.403399957006778,0.5122407951582344,0.0843592478349875
"Chicago-Naperville-Elgin MSA, IL-IN-WI, USA",0.09045886615392335,0.10394264259201813,0.14959926839988402,0.7464580890080977,0.3719008745557023,0.5388681962157932,0.08923092922850452
"Dallas-Fort Worth-Arlington MSA, TX, USA",0.07564705246663425,0.20669834762717143,0.0781457898481454,0.7151558625246832,0.326491369870157,0.5708997356609079,0.10260889446893515
"Houston-The Woodlands-Sugar Land MSA, TX, USA",0.08613477515789286,0.23753127380889003,0.09239860882399697,0.670070117367113,0.33823762723945144,0.567525828205355,0.09423654455519352
"Washington-Arlington-Alexandria MSA, DC-VA-MD-WV, USA",0.05402199745939592,0.09314876040488575,0.10876767657870087,0.7980835630164134,0.3618491561932847,0.5510004322401564,0.08715041156655898
"Philadelphia-Camden-Wilmington MSA, PA-NJ-DE-MD, USA",0.08775414621091104,0.06943585253546501,0.1823261271810158,0.7482380202835192,0.3730640696225834,0.5352949126530183,0.09164101772439825
"Miami-Fort Lauderdale-West Palm Beach MSA, FL, USA",0.10429882162229552,0.19972898153341176,0.11336193236951585,0.6869090860970724,0.34065176358466376,0.5306819067684684,0.12866632964686772
"Atlanta-Sandy Springs-Roswell MSA, GA, USA",0.07508131286915992,0.1616148006388881,0.0977138079575743,0.7406713914035375,0.3568143434299637,0.5374822194234742,0.10570343714656213
"Boston-Cambridge-Newton MSA, MA-NH, USA",0.0702022099675052,0.03814241266835019,0.18253740528092222,0.7793201820507276,0.37269022759684034,0.5407356921112437,0.08657408029191592
"Phoenix-Mesa-Scottsdale MSA, AZ, USA",0.07529820752037036,0.13768420183221028,0.16685089717734997,0.6954649009904398,0.3371295810451787,0.5459940491111813,0.11687636984363996
"San Francisco-Oakland-Hayward MSA, CA, USA",0.05665291385588914,0.05283725213088356,0.15861239362397048,0.788550354245146,0.36641003676083894,0.5469764431586669,0.0866135200804942
"Riverside-San Bernardino-Ontario MSA, CA, USA",0.07160458019267787,0.11307242106255756,0.2618785669475514,0.625049011989891,0.36241998972824824,0.5441138014545799,0.093466208817172
"Detroit-Warren-Dearborn MSA, MI, USA",0.09674286727737304,0.06920827535176989,0.2290861254437913,0.7017055992044389,0.3553176108731915,0.5313460276430108,0.11333636148379773
"Seattle-Tacoma-Bellevue MSA, WA, USA",0.04891276442148968,0.07477261846177324,0.1430430036726033,0.7821843778656234,0.3318693973225997,0.5604068124794861,0.10772379019791428
"Minneapolis-St. Paul-Bloomington MSA, MN-WI, USA",0.06465167633502164,0.05600123107025311,0.14803877699360093,0.795959991936146,0.3371982287364666,0.5614462110536551,0.10135556020987832
"San Diego-Carlsbad MSA, CA, USA",0.05261507880127602,0.10093415568234343,0.17997089639010527,0.7190949479275514,0.3624529334973046,0.5395270349584781,0.09802003154421739
"Tampa-St. Petersburg-Clearwater MSA, FL, USA",0.08448848318983006,0.16623409939417969,0.1454751015447181,0.6882907990611022,0.3129179971237191,0.5517503892250424,0.13533161365123852
"Denver-Aurora-Lakewood MSA, CO, USA",0.05382860606397175,0.0989336889857642,0.13841660798829125,0.7626497030259446,0.3362814451068667,0.5491263544087241,0.11459220048440918
"Baltimore-Columbia-Towson MSA, MD, USA",0.08454258422447317,0.06065561423158263,0.17887340794113848,0.7604709778272789,0.3603933864878925,0.5393050100747626,0.1003016034373449
"St. Louis MSA, MO-IL, USA",0.09758977418100362,0.0874382280091139,0.1283492505352091,0.784212521455677,0.3224790354752133,0.5633578572149642,0.11416310730982243
"Orlando-Kissimmee-Sanford MSA, FL, USA",0.07189935727903873,0.16147728053731358,0.12420755016577754,0.7143151692969089,0.35176756242442725,0.5323987840694373,0.1158336535061355
"Charlotte-Concord-Gastonia MSA, NC-SC, USA",0.08616130088584097,0.13816531509173127,0.11624076680359062,0.7455939181046782,0.33051622598567343,0.5670358672506752,0.10244790676365134
"San Antonio-New Braunfels MSA, TX, USA",0.09695189855623183,0.20486892870355689,0.11953847576766556,0.6755925955287776,0.3395086309105962,0.5496397895745575,0.11085157951484635
"Portland-Vancouver-Hillsboro MSA, OR-WA, USA",0.056331363381527715,0.08054175961712064,0.16938617509264445,0.750072065290235,0.32764423895851075,0.5522764326560409,0.12007932838544835
"Sacramento--Roseville--Arden-Arcade MSA, CA, USA",0.06381905919725743,0.06582669425247657,0.22346764257557594,0.7107056631719475,0.33873887980388845,0.5553435530082989,0.10591756718781271
"Pittsburgh MSA, PA, USA",0.11535982463514266,0.05183797439364009,0.17731697777102937,0.7708450478353305,0.32570931599878633,0.5732628364537998,0.10102784754741384
"Austin-Round Rock MSA, TX, USA",0.05791769901346872,0.15162468474032156,0.06934872009111501,0.7790265951685634,0.3547553733391271,0.542576504916416,0.10266812174445694
"Las Vegas-Henderson-Paradise MSA, NV, USA",0.09482632719149468,0.15443910238850375,0.1767853902891234,0.6687755073223729,0.3522304669471912,0.5140481866978294,0.13372134635497934
"Cincinnati MSA, OH-KY-IN, USA",0.08899887570726256,0.07131452514937786,0.17400492034146822,0.754680554509154,0.32905536403712166,0.5570675889350147,0.11387704702786361
"Kansas City MSA, MO-KS, USA",0.08066266435035327,0.12241412571913962,0.09530104788381905,0.7822848263970413,0.30801227518070934,0.5705084010927371,0.1214793237265535
"Columbus MSA, OH, USA",0.07569700543146068,0.09011841498214378,0.16864346904858663,0.7412381159692696,0.34787336615355,0.5407783074368953,0.11134832640955476
"Indianapolis-Carmel-Anderson MSA, IN, USA",0.09560724471276714,0.09685282686527158,0.15618540713369455,0.7469617660010339,0.33002007095549185,0.5545072384832737,0.11547269056123446
"Cleveland-Elyria MSA, OH, USA",0.12146204405819329,0.07261112269988057,0.21074894598554586,0.7166399313145735,0.35830298985095405,0.5228719292769508,0.11882508087209515
"San Juan-Carolina-Caguas MSA, PR, USA",0.2731338220586262,0.10400997433930916,0.44187024219395415,0.45411978346673676,0.4219214614967767,0.44001092890064913,0.13806760960257417
"Nashville-Davidson--Murfreesboro--Franklin MSA, TN, USA",0.08462189683228323,0.12084414743759671,0.11836049959620494,0.7607953529661984,0.3252896155799009,0.5646929093633285,0.11001747505677058
"San Jose-Sunnyvale-Santa Clara MSA, CA, USA",0.04341256654882139,0.05476561852080295,0.1343416792934653,0.8108927021857317,0.3444332579986819,0.5819398056963226,0.07362693630499552
"Virginia Beach-Norfolk-Newport News MSA, VA-NC, USA",0.0861483235655814,0.11479486116641317,0.1455619309148333,0.7396432079187535,0.33745064546594006,0.5553606832442836,0.10718867128977633
"Providence-Warwick MSA, RI-MA, USA",0.1033071917662894,0.05089476118392013,0.24073301517520707,0.7083722236408729,0.3649902519747104,0.5241927300581181,0.11081701796717143
"Jacksonville MSA, FL, USA",0.08134857161800416,0.14728120944114925,0.1395351295135263,0.7131836610453245,0.3171356792523609,0.5511192328106979,0.13174508793694129
"Milwaukee-Waukesha-West Allis MSA, WI, USA",0.11080370350432767,0.07693770071079253,0.1744094068792667,0.7486528924099407,0.37432820188183896,0.5249733832587965,0.1006984148593647
"Oklahoma City MSA, OK, USA",0.09760061564959277,0.17235273203027507,0.10898840632922864,0.7186588616404963,0.3138156535614809,0.5634122755152198,0.1227720709232994
"Raleigh MSA, NC, USA",0.06414212825156543,0.11798173451007067,0.09035200928115959,0.7916662562087697,0.32180308339762564,0.5812925697459476,0.09690434685642667
"Memphis MSA, TN-MS-AR, USA",0.14227572607446018,0.14906398285899672,0.16941476498263203,0.6815212521583712,0.38468010780456197,0.5059029571129412,0.10941693508249678
"Richmond MSA, VA, USA",0.10269438518157468,0.09936564113495483,0.1323792816840801,0.7682550771809651,0.3464789725897865,0.5458003105054416,0.10772071690477178
"Louisville/Jefferson County MSA, KY-IN, USA",0.11347600925361481,0.07100309456586486,0.208442498704544,0.7205544067295911,0.31762537363313226,0.5528974646774515,0.1294771616894162
"New Orleans-Metairie MSA, LA, USA",0.13785051034858578,0.11874355793104596,0.2536298789198447,0.6276265631491095,0.3783424424413631,0.5002479204824504,0.12140963707618646
"Salt Lake City MSA, UT, USA",0.04668698670328391,0.11674939227914323,0.07865009320318811,0.8046005145176687,0.32657647143039437,0.5723361852623017,0.1010873433073039
