longname,Architecture and engineering occupations %,Computer and mathematical occupations %,"Life, physical, and social science occupations %","Arts, design, entertainment, sports, and media occupations %",Community and social service occupations %,"Educational instruction, and library occupations %",Legal occupations %,Health diagnosing and treating practitioners and other technical occupations %,Health technologists and technicians %,Business and financial operations occupations %,Management occupations %,Construction and extraction occupations %,"Farming, fishing, and forestry occupations %","Installation, maintenance, and repair occupations %",Material moving occupations %,Production occupations %,Transportation occupations %,Office and administrative support occupations %,Sales and related occupations %,Building and grounds cleaning and maintenance occupations %,Food preparation and serving related occupations %,Healthcare support occupations %,Personal care and service occupations %,"Firefighting and prevention, and other protective service workers including supervisors %",Law enforcement workers including supervisors %
"New York-Newark-Jersey City MSA, NY-NJ-PA, USA",0.014770478547427779,0.03629111723584363,0.010900920506832938,0.03350997763494915,0.019643053755437078,0.07348968133269167,0.01934935768942016,0.04461527585394921,0.017024064957538644,0.0673592484287953,0.11470147197695184,0.043785425031062114,0.0010849101181632536,0.021311964004067836,0.02576894973810038,0.028773781763054236,0.04156749882134412,0.10949077589042025,0.09448459484568539,0.03599453103625249,0.04370474606962756,0.0434322451739,0.030977087191283812,0.01576912244942802,0.012199719947773148
"Los Angeles-Long Beach-Anaheim MSA, CA, USA",0.021588756572333737,0.028976625679614582,0.009072479297877377,0.043222335781193645,0.017004060697854102,0.053404680584120005,0.01494348984564873,0.035208434342608244,0.016181291163400825,0.05965936122223258,0.10914601645116753,0.04640222933209933,0.0031555342647323387,0.023442720624029956,0.03570519991204424,0.053107074588539784,0.035857540483942685,0.11399455057615683,0.10143872848617326,0.03996170497663377,0.0546387826939393,0.03643836249477043,0.029150779986304304,0.012651450680906529,0.005647809261675877
"Chicago-Naperville-Elgin MSA, IL-IN-WI, USA",0.018321062798924048,0.03714752288238122,0.009368734741494281,0.02101127758674456,0.016854161969980096,0.06099923144322562,0.01527216236239224,0.043531307823180765,0.016477677326907303,0.06954883308912907,0.11439462460558139,0.03962599062825505,0.0014484423885792188,0.025539639256147266,0.04143705431821351,0.0555767495073486,0.04243017988015827,0.11036822195810635,0.10057183049715758,0.031153988216227044,0.04942805424341547,0.03033189137058506,0.027052630966242473,0.01288355729963554,0.00922517283998808
"Dallas-Fort Worth-Arlington MSA, TX, USA",0.02160820027461979,0.04554981202641521,0.006154152099070815,0.017598979820456086,0.013385962302475862,0.058685246728148475,0.010874455556793049,0.03501882591602886,0.016229515474427882,0.07032478502005908,0.11862910258417272,0.05939918548674138,0.0013520702017279394,0.03048778113285725,0.04327663101905541,0.0454075435028847,0.03909191143732487,0.11594910629146199,0.10386355098600135,0.03184712052921814,0.04886456477903855,0.023498969721467828,0.02521917270853567,0.010681302670831914,0.007002051730185149
"Houston-The Woodlands-Sugar Land MSA, TX, USA",0.030477838419953784,0.029467274011496104,0.01139680972397734,0.01592704851840326,0.012790949900975098,0.06107446971762377,0.011732608852906707,0.039036105952964674,0.01765892265659673,0.0615195022186601,0.10901169619068873,0.07192016523533917,0.0015991470721628703,0.03362552631804574,0.035375663374960516,0.050988134358104426,0.042437986298780886,0.10326865738750249,0.10321288800777877,0.037376393460158745,0.051964747347987145,0.024320551940798373,0.024084076527505632,0.011241956707962346,0.008490879798666615
"Washington-Arlington-Alexandria MSA, DC-VA-MD-WV, USA",0.02256651896734937,0.08447192142727329,0.022910975230115184,0.029105349933523712,0.01713941013072816,0.06335313466336705,0.030189116494593653,0.033743428014726976,0.012909038324632204,0.09400277921508877,0.1401513497749199,0.04373525693239344,0.0012277924506893896,0.02051594875715532,0.01864635570724193,0.01779942827450092,0.02934019707613216,0.09327672150552221,0.07450291057068224,0.031969209959403395,0.04216724374372061,0.021362183037058034,0.027382502716753066,0.016175334343717155,0.011355892748711778
"Philadelphia-Camden-Wilmington MSA, PA-NJ-DE-MD, USA",0.01923992637803106,0.03951479727720511,0.015724354269121856,0.019913045224646125,0.021402134415160787,0.06789171273438498,0.01657530865317276,0.05346662684532714,0.020956411829529252,0.07144809955680403,0.11454131064467164,0.0381659681735934,0.002310242355177411,0.025553897772747563,0.032829282419029764,0.03898809311714924,0.034675986242202285,0.1130622631693856,0.0940824496084055,0.028651281031329502,0.04567846686979005,0.03557520564461009,0.02643270981840044,0.012782455633434636,0.010537970316689784
"Miami-Fort Lauderdale-West Palm Beach MSA, FL, USA",0.012580403764674357,0.02347671160922258,0.005886846940375491,0.019905586921328842,0.013909872339076838,0.048074146369398656,0.01739446504471281,0.04180903660357892,0.018380578045449708,0.054356271107956225,0.11389631680044361,0.05672435471987769,0.0035591319444559784,0.031976471805060296,0.028807683352825308,0.028916779354497327,0.04613981267728358,0.11674508381052245,0.12051614087178256,0.05244915390476002,0.05545012801803163,0.03177896467053481,0.031066003950127756,0.01701230372250649,0.009187751651516047
"Atlanta-Sandy Springs-Roswell MSA, GA, USA",0.01952441222127176,0.046410845548237836,0.009736224829544006,0.023280751243116477,0.014445035844988706,0.06265956867074464,0.01341895276649645,0.03662571810584059,0.016037850856369128,0.07027489983339126,0.12442524188816687,0.04466311879380522,0.0016919102440901077,0.028280068749690454,0.03918948888921197,0.04409800989738828,0.04246924281193787,0.11121717713920184,0.10680723692642961,0.03135410914846335,0.04888212189725571,0.02055115814412997,0.024587548910589015,0.01172273403402766,0.00764657260561155
"Boston-Cambridge-Newton MSA, MA-NH, USA",0.028043116416231355,0.05439983131435042,0.026435216789616068,0.02525059303215878,0.019089102903978816,0.07415130307758071,0.016426037771682375,0.05075154607675051,0.01736482381456198,0.07652552908515713,0.13224500330391945,0.03976665151044424,0.0014495369674596944,0.01968948648355084,0.0206340780372569,0.03374258186512811,0.027213232107592182,0.09642710559031968,0.08845853134632266,0.03013166224079495,0.04690882517806985,0.028713006849221297,0.02744306091166348,0.01130790114099047,0.007432236185198039
