longname,PW Density (r=250m),PW Density (r=500m),PW Density (r=2km),PW Density (r=4km)
"New York-Newark-Jersey City MSA, NY-NJ-PA, USA",13207.040994234994,11467.422447868643,8251.308884218892,7047.709582807375
"Los Angeles-Long Beach-Anaheim MSA, CA, USA",5881.933955073527,4851.009461102936,3767.291831526721,3296.159729696835
"Chicago-Naperville-Elgin MSA, IL-IN-WI, USA",4500.336890225994,3723.1771796179546,2664.27969253659,2308.2950465661206
"Dallas-Fort Worth-Arlington MSA, TX, USA",2910.3068452917546,2032.697476768787,1394.926485353055,1207.51362230558
"Houston-The Woodlands-Sugar Land MSA, TX, USA",3422.854522897692,2195.45626269095,1506.7919269487293,1325.6824110989735
"Washington-Arlington-Alexandria MSA, DC-VA-MD-WV, USA",4555.944431975041,3082.951040699624,2072.903981423267,1756.8669398751672
"Philadelphia-Camden-Wilmington MSA, PA-NJ-DE-MD, USA",4199.333052186983,3343.1074427874737,2456.160645564269,2066.6106860694626
"Miami-Fort Lauderdale-West Palm Beach MSA, FL, USA",4627.388572722703,3238.6596085455376,2321.1844255900114,1978.8865221980932
"Atlanta-Sandy Springs-Roswell MSA, GA, USA",2798.9249310017212,1329.9611856920606,905.6064210910732,822.737731306955
"Boston-Cambridge-Newton MSA, MA-NH, USA",4358.315375137794,3417.8582319211605,2456.26220707324,2043.9397070963148
"Phoenix-Mesa-Scottsdale MSA, AZ, USA",2925.491408592106,2203.280160480707,1596.351138920487,1387.4074202526701
"San Francisco-Oakland-Hayward MSA, CA, USA",6186.192726604044,5114.734878706444,3715.4338576181754,2853.237903361837
"Riverside-San Bernardino-Ontario MSA, CA, USA",3080.9456765605223,2258.7890732655987,1533.7017904086172,1243.733006716101
"Detroit-Warren-Dearborn MSA, MI, USA",2194.930506945491,1684.7376808282172,1278.0476107319437,1150.1761488897855
"Seattle-Tacoma-Bellevue MSA, WA, USA",3563.9544159385127,2607.7538941281227,1835.6340405652472,1458.208899855353
"Minneapolis-St. Paul-Bloomington MSA, MN-WI, USA",2398.310083319606,1701.0535696118443,1253.412661438558,1099.4239242421665
"San Diego-Carlsbad MSA, CA, USA",4715.015119272808,3234.5043559551586,2244.232650847246,1823.0648775179088
"Tampa-St. Petersburg-Clearwater MSA, FL, USA",2830.3002345386644,1671.8111754937486,1160.2568250650043,1004.2698573229844
"Denver-Aurora-Lakewood MSA, CO, USA",3120.165818121905,2393.0805136904128,1802.1790296932124,1573.9497508806808
"Baltimore-Columbia-Towson MSA, MD, USA",3621.161727215362,2321.928199231592,1576.6043865735614,1330.2349419187583
"St. Louis MSA, MO-IL, USA",2018.486190981706,1363.2121339918863,983.1050049319506,831.1545751891064
"Orlando-Kissimmee-Sanford MSA, FL, USA",3279.052727971982,1740.0539353669792,1112.5230408114705,954.7955349796558
