longname,White %,Hispanic %,Black %,Asian %,Native %,Hawaiian / PI %,Other / Mixed %,Racial Homogeneity %,Segregation %,Mean Local Segregation %
"New York-Newark-Jersey City MSA, NY-NJ-PA, USA",0.43874484327505864,0.2495283055314146,0.14733486806304386,0.12050840445203752,0.0016421662292819767,0.0002623684252581848,0.04197904402390523,0.5046676209190609,0.2996818109314122,0.15507139407084733
"Los Angeles-Long Beach-Anaheim MSA, CA, USA",0.28497744807800535,0.4463132897140373,0.06136059083543283,0.16464081048287302,0.0017990327131084472,0.0021390217149793713,0.0387698064615637,0.4986205628378439,0.2702070644159424,0.12304883133923662
"Chicago-Naperville-Elgin MSA, IL-IN-WI, USA",0.5016247034791366,0.23285024817699201,0.16072605860495956,0.0705292265687685,0.0011094445352603497,0.0002094311832425105,0.03295088745164053,0.5744171290404916,0.35745729397323267,0.15928069721442936
"Dallas-Fort Worth-Arlington MSA, TX, USA",0.4311258544483206,0.291232961304794,0.15534321286839065,0.07806514888709282,0.0034180527464943134,0.0010604305290865949,0.0397543392158211,0.47713593402821536,0.25043401588435416,0.1184908788325445
"Houston-The Woodlands-Sugar Land MSA, TX, USA",0.33693906403108825,0.37481454065826186,0.1697616221772516,0.08259085243691504,0.002019465666486151,0.0006305652720704515,0.03324388975792668,0.47034957515818343,0.2531915066772817,0.12430554607275889
"Washington-Arlington-Alexandria MSA, DC-VA-MD-WV, USA",0.4224768575160042,0.17178763299306216,0.2409034526911422,0.10903080710016227,0.0017373245077018143,0.0005877929606417287,0.05347613223128562,0.4628247691831576,0.2532590931983192,0.10780240436283152
"Philadelphia-Camden-Wilmington MSA, PA-NJ-DE-MD, USA",0.5909543412856036,0.10186482063957523,0.19767076361746286,0.06587103932377814,0.001286778923022406,0.00027910100333848354,0.042073155207219284,0.5890183222991521,0.3096977769863487,0.14202816076641187
"Miami-Fort Lauderdale-West Palm Beach MSA, FL, USA",0.2908434983805604,0.45869545134536743,0.18771014874339667,0.025916410228921095,0.0009844211523788466,0.00025661425273033493,0.03559345589664523,0.5471943633583004,0.3219942927594545,0.11493641829939891
"Atlanta-Sandy Springs-Roswell MSA, GA, USA",0.43711397998763224,0.11994629258227459,0.3315600536877134,0.0651902764418064,0.0017343088724956215,0.000391787632055913,0.04406330079602183,0.5441243957917514,0.3280982651585103,0.11447860727196306
"Boston-Cambridge-Newton MSA, MA-NH, USA",0.666149998117402,0.11757107616991316,0.06875065536676045,0.08627116455080201,0.0010993967184495814,0.00022692390377130928,0.059930785172901437,0.5961980696717252,0.23371289749492763,0.08853250831134783
"Phoenix-Mesa-Scottsdale MSA, AZ, USA",0.5360435524797393,0.30396183771950824,0.054882422667562554,0.04213930652156327,0.017645886196632488,0.0021998286362383177,0.04312716577875585,0.5158073754584707,0.21070545627808965,0.0705697185030518
"San Francisco-Oakland-Hayward MSA, CA, USA",0.3617751443651524,0.2287269226873304,0.0680856404767014,0.27232087107029956,0.0020696848658400702,0.006622865216300811,0.06039887131837536,0.4037199050839508,0.18802422531251245,0.09210545971542079
"Riverside-San Bernardino-Ontario MSA, CA, USA",0.2944335781457174,0.5159328056203584,0.06958576248915997,0.07415308632957299,0.0044288410336948015,0.0028131358225019997,0.03865279055899443,0.4796448111961734,0.18077835350849766,0.07420478968939473
"Detroit-Warren-Dearborn MSA, MI, USA",0.6374104060983051,0.05007991730494258,0.21686095755047768,0.048119780329869494,0.002189643081574849,0.0002169834518811304,0.045122312182949154,0.6714450936865684,0.3913537835085195,0.13585861796069562
"Seattle-Tacoma-Bellevue MSA, WA, USA",0.5794826581820797,0.11209429398088529,0.059542659461138146,0.1524189757528839,0.0073269644185348015,0.010558453344600992,0.07857599485987715,0.45438243023482366,0.11841438560066965,0.052627860591645446
"Minneapolis-St. Paul-Bloomington MSA, MN-WI, USA",0.7182508312198034,0.06583795242067886,0.08994420388993865,0.07133740358214644,0.005442772483419463,0.0003190199878707629,0.04886781641614241,0.6193549055847898,0.18024860862775216,0.0645446610776918
"San Diego-Carlsbad MSA, CA, USA",0.4311377681195976,0.33943080064804665,0.04396112447734262,0.12144447462625753,0.003892645446696223,0.003938120276680992,0.0561950664053784,0.457442964241482,0.20107173415622018,0.08260373207520222
"Tampa-St. Petersburg-Clearwater MSA, FL, USA",0.5948055228524113,0.205345405045502,0.11244348865174647,0.038607872817419446,0.0021102189399393894,0.0006629866968018529,0.04602450499617956,0.5241712286704271,0.1907757344517041,0.07648038286793869
"Denver-Aurora-Lakewood MSA, CO, USA",0.6121193022281275,0.2333855404857357,0.05329751936174563,0.045442153642882836,0.004601809682998441,0.001571275584260117,0.04958239901424978,0.5362308482651533,0.1771943287023978,0.07037507018116534
"Baltimore-Columbia-Towson MSA, MD, USA",0.5270350748288797,0.07588847209868904,0.2815566235072016,0.06307914599805238,0.0019799682895703624,0.00040569662751495,0.05005501865009193,0.5649327920687248,0.3103968334785727,0.13966187936479163
"St. Louis MSA, MO-IL, USA",0.7032422268498606,0.0376806619831625,0.1784747680438599,0.028944211742705353,0.0018778457110053602,0.0003453590865784027,0.04943492658282785,0.696690502858614,0.3534093304128482,0.07704429708114176
"Orlando-Kissimmee-Sanford MSA, FL, USA",0.43466014507499134,0.32020486456076513,0.14473384963432004,0.04554765210729804,0.0017019678488921872,0.0007159486731383838,0.05243557210059491,0.45975884223409486,0.20884495755333465,0.09288210005630748
"Charlotte-Concord-Gastonia MSA, NC-SC, USA",0.5787693403985961,0.1180763078695807,0.21334402219644766,0.043252749918506896,0.003069068249528098,0.0004112559035121633,0.043077255463828436,0.5503490677229569,0.2529932185681519,0.11369769279782985
"San Antonio-New Braunfels MSA, TX, USA",0.32784484682834386,0.5432397641570468,0.06493303931797402,0.027829171395031473,0.002425587623522219,0.0013017255094809007,0.03242586516860081,0.5248916949293632,0.1965021313146922,0.055337066776620446
"Portland-Vancouver-Hillsboro MSA, OR-WA, USA",0.6870990373912742,0.13218210810873193,0.029035851195789338,0.0701523642989917,0.006090672019401009,0.005972877905206778,0.069467089080605,0.5477281543212179,0.09588505630110296,0.03765786139346038
"Sacramento--Roseville--Arden-Arcade MSA, CA, USA",0.4825238531030933,0.22241803767609836,0.06645665980640549,0.14597882189822065,0.004864890117636655,0.00848133505632394,0.06927640234222163,0.4125687184214721,0.14523180767516455,0.05576568090496067
"Pittsburgh MSA, PA, USA",0.8215666583295338,0.022317928195775563,0.08299819605815298,0.02866103818814561,0.0010131092626951828,0.00028090373395295244,0.04316216623174389,0.7552635242528695,0.22361454943942272,0.05749725630846053
"Austin-Round Rock MSA, TX, USA",0.4962456823704952,0.31883605423735345,0.06635627762636909,0.06981300892408636,0.002391639378795649,0.0006906455411757441,0.0456666919217245,0.47409443533528534,0.1792259162822716,0.08005103408592301
"Las Vegas-Henderson-Paradise MSA, NV, USA",0.3941185038709734,0.3096006320677266,0.1213843695654093,0.10238967505009755,0.0037460606114107647,0.008332082733781195,0.06042867610060117,0.3775772683575938,0.13548010186609247,0.06514853075549683
"Cincinnati MSA, OH-KY-IN, USA",0.7569413888999548,0.042457384386278316,0.12120411852831947,0.030075211528226814,0.001437268446922003,0.0008746255201761426,0.04701000269012251,0.6992110544712351,0.2619223814246443,0.07993900384941048
"Kansas City MSA, MO-KS, USA",0.6848772943862667,0.10457542876824504,0.11767102258859918,0.030414660349857552,0.003736254211269437,0.0020113729935881497,0.056713966702174004,0.6070840923727157,0.21765477945878967,0.0781519136095114
"Columbus MSA, OH, USA",0.6914535612732745,0.05187977517688784,0.15460375908282942,0.04897504635503987,0.0016611140357356917,0.0002819171864758295,0.05114482688975683,0.6330044473610713,0.25194337682826745,0.08650519961392147
"Indianapolis-Carmel-Anderson MSA, IN, USA",0.6816692246475671,0.0842177315446415,0.14844626345308473,0.038454979536152796,0.0016868462937698954,0.00036901242989237533,0.04515594209489161,0.6320361500038943,0.268384900303203,0.08943929525735227
"Cleveland-Elyria MSA, OH, USA",0.6742066040541531,0.06410335614375112,0.1926563193669211,0.02557946746318749,0.001337591788824284,0.00017863291701806586,0.041938028266144844,0.6865181278631138,0.375378167433484,0.10445356212456809
"San Juan-Carolina-Caguas MSA, PR, USA",0.007897499717706188,0.9877217808294874,0.0015971823473871606,0.0010373997256344404,0.00010715152330545632,3.2193507002087775e-05,0.001606792349477336,0.9767757915894284,0.043613761737257103,0.0009019454756322376
"Nashville-Davidson--Murfreesboro--Franklin MSA, TN, USA",0.6857713592435432,0.09657950283055772,0.14033549704037443,0.030326482145942007,0.002137066108563951,0.0004492554769454996,0.04440083715407328,0.6137534610532284,0.22436881482662033,0.08053030076190391
"San Jose-Sunnyvale-Santa Clara MSA, CA, USA",0.28767274615843336,0.2632349787633507,0.021308629472580304,0.37771643912102215,0.001730023378559207,0.0030351638123696924,0.04530201929368459,0.4318985260759085,0.1917355401241325,0.10249073930982384
"Virginia Beach-Norfolk-Newport News MSA, VA-NC, USA",0.5215627797018555,0.0759722705920122,0.29598567926499597,0.041050731748266345,0.0029687391876975994,0.0014588454701486865,0.06100095403502364,0.5113666457262467,0.22357246784412274,0.10915671883978705
"Providence-Warwick MSA, RI-MA, USA",0.7155551711384975,0.14128440366972478,0.04683134298087591,0.031028024003531336,0.0026538695553620212,0.0002517268942150535,0.0623954617577934,0.6393523122906997,0.2186557879538878,0.07852623640724495
"Jacksonville MSA, FL, USA",0.5937392580119663,0.10203456366978693,0.20778741200910672,0.041138389187519615,0.0024043371477250647,0.0009589948737364931,0.05193704510015892,0.5470658693808,0.23178586295186296,0.07868742039172534
"Milwaukee-Waukesha-West Allis MSA, WI, USA",0.6411876585624517,0.116069461070239,0.15889997745595177,0.041805555996558066,0.0032539634659410235,0.0002698935349385119,0.03851348991391984,0.6613120908934825,0.38079702763343476,0.14837997630806818
"Oklahoma City MSA, OK, USA",0.593197002163857,0.1490823773668281,0.10051027744363275,0.03232458555301099,0.03501730734834589,0.0011482119247104045,0.08872023819961493,0.49682765352805025,0.1693127249049445,0.0752843335886026
"Raleigh MSA, NC, USA",0.5825745710639171,0.11995856475670937,0.17916570915428973,0.0699944493744056,0.002757635645622607,0.0003825335600722642,0.0451665364449834,0.5172539851577124,0.2050395103182194,0.09939871427693664
"Memphis MSA, TN-MS-AR, USA",0.4142616645297954,0.07067878179757325,0.45482208224167087,0.023882416336845236,0.0017384841221175465,0.0003627106676329041,0.034253860304364794,0.6254214260643999,0.39080373772252025,0.17859098274713517
"Richmond MSA, VA, USA",0.5536477255832752,0.07939297088797395,0.27316085912863397,0.04258213742203137,0.003193081308520835,0.0005027945064657282,0.04752043116309892,0.5624152295522857,0.28104924614793364,0.12986620970390758
"Louisville/Jefferson County MSA, KY-IN, USA",0.7202352732350904,0.0634841769343327,0.14230556543783382,0.024054518822389796,0.0019047301177200586,0.0006242902775323012,0.04739144517510091,0.6572883812735097,0.246037700685422,0.08646382753078144
"New Orleans-Metairie MSA, LA, USA",0.4834051974927743,0.11553225081063401,0.329100109761889,0.028954808923106923,0.0029649862719012708,0.00032079405964882484,0.03972185268004566,0.5682564579494535,0.32767400083096393,0.14532877822449722
"Salt Lake City MSA, UT, USA",0.6829544587323998,0.19206859490466924,0.017816486689306927,0.0403454547767136,0.0060813904681955204,0.01735461899492502,0.04337899543378995,0.5688246299884495,0.1251805125589572,0.045747945179234396
"Hartford-West Hartford-East Hartford MSA, CT, USA",0.6386839177551609,0.1548436276731633,0.1081453706374387,0.05495570480860357,0.001287238864394907,0.00021344101528699165,0.041870699245951624,0.5948098443500895,0.2658509411914225,0.1104750907718915
"Birmingham-Hoover MSA, AL, USA",0.6093385655636689,0.0567255984299921,0.28000704707906193,0.016492028415313505,0.002083631549569679,0.0003803051080312138,0.03497282385436262,0.6827148320976363,0.4184940852344565,0.14537850797572313
"Buffalo-Cheektowaga-Niagara Falls MSA, NY, USA",0.7300758761232734,0.05782490731869514,0.12518617673120794,0.04158789684137999,0.005965368128600345,0.0002091006785488413,0.03915067417829432,0.6878597241857269,0.2980365754107245,0.10891528138505163
"Rochester MSA, NY, USA",0.7287733490637439,0.08150945888794192,0.11063885221823559,0.03214673317229845,0.0018504026942303582,0.00022292903058898216,0.04485827493296075,0.6663125019760107,0.253476417560052,0.08591669346612807
