longname,Not Cohabiting With Partner %,Cohabiting With Partner (Gay) %,Cohabiting With Partner (Straight) %,Living With Parents %,Other Living Situation %,Never Married %,Married (not divorced) %,Divorced %
"New York-Newark-Jersey City MSA, NY-NJ-PA, USA",0.1741000664094202,0.006834316579705198,0.3686950927154239,0.33396852866145993,0.11640199563399065,0.3797329299142741,0.5386463921398645,0.08162067794586149
"Los Angeles-Long Beach-Anaheim MSA, CA, USA",0.153820110309874,0.007181690358123737,0.3517643949936504,0.3447370537090975,0.14249675062925435,0.40339995700677883,0.5122407951582327,0.08435924783498837
"Chicago-Naperville-Elgin MSA, IL-IN-WI, USA",0.17663484755055456,0.006240476760773482,0.39420203618950544,0.3347514213149212,0.08817121818424524,0.371900874555706,0.5388681962157912,0.08923092922850287
"Dallas-Fort Worth-Arlington MSA, TX, USA",0.15425919059044682,0.006291318135969731,0.3998935509391746,0.35239236514339783,0.08716357519101095,0.32649136987015476,0.570899735660911,0.10260889446893422
"Houston-The Woodlands-Sugar Land MSA, TX, USA",0.150181142103198,0.005646198948504544,0.3919128011865391,0.3661661245310962,0.08609373323066204,0.3382376272394566,0.5675258282053508,0.09423654455519252
"Washington-Arlington-Alexandria MSA, DC-VA-MD-WV, USA",0.1666259753343299,0.007837855696277386,0.395751128724995,0.3205509943307593,0.10923404591363832,0.36184915619328634,0.5510004322401547,0.08715041156655895
"Philadelphia-Camden-Wilmington MSA, PA-NJ-DE-MD, USA",0.18452711745452682,0.00655197835250302,0.39390451378888774,0.32385440133916943,0.09116198906491299,0.3730640696225832,0.5352949126530204,0.09164101772439638
"Miami-Fort Lauderdale-West Palm Beach MSA, FL, USA",0.18017290569063157,0.00838129050035975,0.36822328129758636,0.3230320455027801,0.12019047700864226,0.34065176358466515,0.5306819067684667,0.1286663296468681
"Atlanta-Sandy Springs-Roswell MSA, GA, USA",0.17004644475659444,0.007292242428016138,0.3858502129167445,0.34100613125876444,0.09580496863988039,0.3568143434299663,0.5374822194234719,0.10570343714656194
"Boston-Cambridge-Newton MSA, MA-NH, USA",0.17377340222645038,0.008992106204047334,0.41518335464367495,0.28883536310375396,0.11321577382207323,0.37269022759684195,0.5407356921112421,0.08657408029191596
"Phoenix-Mesa-Scottsdale MSA, AZ, USA",0.16238715354469704,0.007740907065880452,0.4100809326015604,0.3193317363613571,0.100459270426505,0.3371295810451775,0.5459940491111827,0.11687636984363996
"San Francisco-Oakland-Hayward MSA, CA, USA",0.15967191769284728,0.011558600128158023,0.39564689302969636,0.2940472995965664,0.13907528955273202,0.3664100367608401,0.546976443158666,0.08661352008049383
"Riverside-San Bernardino-Ontario MSA, CA, USA",0.12059721076707217,0.007153504114769068,0.35956844164799084,0.3905469396866171,0.12213390378355081,0.3624199897282481,0.5441138014545798,0.09346620881717219
"Detroit-Warren-Dearborn MSA, MI, USA",0.1941516463698526,0.0046581762937252065,0.3969414388053022,0.3305587008788654,0.07369003765225463,0.3553176108731908,0.5313460276430114,0.11333636148379779
"Seattle-Tacoma-Bellevue MSA, WA, USA",0.16341871724543633,0.010345915295820485,0.4390416372390235,0.28641191926143295,0.10078181095828677,0.3318693973226028,0.5604068124794825,0.10772379019791467
"Minneapolis-St. Paul-Bloomington MSA, MN-WI, USA",0.1650165591393174,0.007387923695137617,0.439081201838594,0.3088453674691871,0.07966894785776393,0.33719822873646427,0.5614462110536574,0.10135556020987822
"San Diego-Carlsbad MSA, CA, USA",0.1483490624794977,0.008720780591043817,0.38618890318372107,0.3210359915258447,0.13570526221989268,0.3624529334973063,0.5395270349584762,0.09802003154421764
"Tampa-St. Petersburg-Clearwater MSA, FL, USA",0.1914762630282072,0.009460066504566343,0.4077400976640885,0.29085525132039547,0.1004683214827425,0.312917997123718,0.5517503892250444,0.13533161365123764
"Denver-Aurora-Lakewood MSA, CO, USA",0.17458774810124372,0.009252050257965461,0.42859529864292706,0.29729666478114486,0.09026823821671895,0.33628144510686697,0.5491263544087233,0.1145922004844098
"Baltimore-Columbia-Towson MSA, MD, USA",0.18463390723757744,0.0071788890779143485,0.39038083200496015,0.3216410780982792,0.09616529358126882,0.3603933864878925,0.5393050100747626,0.10030160343734479
