longname,Commute Car %,Commute Bike %,Commute Walk %,Commute Transit %,Commute Work From Home %,Commute Time < 15 min %,Commute Time 15 - 29 min %,Commute Time 30 - 59 min %,Commute Time > 60 min %,Households With no Vehicle %,Households With 1+ Vehicles %,Households With 2+ Vehicles %,Traffic Fatalities Per Capita Per Year,Pedestrian/Cyclist Fatalities Per Capita Per Year,Total Traffic Fatalities In Last Decade,Total Pedestrian/Cyclist Fatalities In Last Decade
"New York-Newark-Jersey City MSA, NY-NJ-PA, USA",0.5519578562402866,0.007437724911633304,0.054597869564871206,0.27010141629278894,0.10540093149526934,0.1577086270297909,0.2649913204306357,0.36313321517857156,0.21416683736100187,0.2964873477578278,0.7035126522421724,0.37954372056502206,4.3168172401634754e-05,1.7180884624552798e-05,8995.0,3580.0
"Los Angeles-Long Beach-Anaheim MSA, CA, USA",0.803997748068332,0.0081749589229201,0.022772128608825434,0.04073968075134209,0.11249160582926372,0.1776937542736611,0.3404186160546448,0.3536503223878129,0.12823730728388125,0.07634170797948044,0.9236582920205196,0.6065909604520575,7.120224216989345e-05,2.8605135273275625e-05,9399.0,3776.0
"Chicago-Naperville-Elgin MSA, IL-IN-WI, USA",0.746164305362021,0.0066100685163702445,0.02776264322045999,0.10030190622161328,0.10907763437402913,0.18529222748907623,0.30817690865604425,0.3747889935475218,0.13174187030735784,0.11860270362573697,0.8813972963742631,0.527056228376352,6.534585677735531e-05,1.5473366467967015e-05,6284.0,1488.0
"Dallas-Fort Worth-Arlington MSA, TX, USA",0.8541800959676974,0.0023619731820488108,0.012227197112839086,0.010289946198326653,0.11123420753793715,0.19918811106626477,0.35467957325340327,0.35848804991322925,0.08764426576710271,0.04541249146765281,0.9545875085323472,0.6403912621405599,9.524933869040592e-05,2.0731196299001453e-05,7342.0,1598.0
"Houston-The Woodlands-Sugar Land MSA, TX, USA",0.8663249380489825,0.0035057076813309706,0.011844214242564315,0.01845404748025454,0.08685726648941715,0.1758330825182519,0.3357237496567124,0.3830806157840003,0.10536255204103531,0.05438823496539242,0.9456117650346076,0.6320299994113505,9.672598885088711e-05,2.566629519805801e-05,6889.0,1828.0
"Washington-Arlington-Alexandria MSA, DC-VA-MD-WV, USA",0.6963446102525948,0.008459762648853043,0.028799777540249,0.1013204755855165,0.15413552144839646,0.14272801652062822,0.2935359441822153,0.39894290285753137,0.16479313643962495,0.10070742013890784,0.8992925798610922,0.5667947461638424,5.892055471960079e-05,1.563262453402301e-05,3754.0,996.0
"Philadelphia-Camden-Wilmington MSA, PA-NJ-DE-MD, USA",0.7558728167200445,0.006548023904645558,0.032195661504936274,0.07868128239838851,0.11714002707432257,0.2034819317570714,0.33740900057518836,0.35055113881577166,0.10855792885196841,0.12457241546580612,0.8754275845341939,0.5247861031890053,7.634845576120995e-05,2.184129481088305e-05,4768.0,1364.0
"Miami-Fort Lauderdale-West Palm Beach MSA, FL, USA",0.8464814016566518,0.00646481405195919,0.01458073662236878,0.0261692785604845,0.09204276595656548,0.1614191231755851,0.3576089714121187,0.3790543635681276,0.1019175418441685,0.0779319164593319,0.922068083540668,0.526980067431623,0.00011540309537072776,3.848399142533658e-05,7083.0,2362.0
"Atlanta-Sandy Springs-Roswell MSA, GA, USA",0.8183130110112236,0.002450570385936384,0.011722742374549894,0.023923540152537715,0.13222667511324854,0.1658304649521638,0.32766562205853217,0.3746064224181369,0.1318974905711671,0.05449287398882579,0.9455071260111743,0.6237548223697489,0.00011018000884724124,2.561562053676548e-05,6710.0,1560.0
"Boston-Cambridge-Newton MSA, MA-NH, USA",0.6912528123166275,0.00990757260153292,0.05046869259564868,0.10747364830087495,0.1302013309214279,0.19676697198811618,0.3078805135130676,0.3605299387558284,0.13482257574298764,0.12722800664199946,0.8727719933580005,0.5236407547940887,4.374509866635142e-05,1.0931213919402946e-05,2161.0,540.0
"Phoenix-Mesa-Scottsdale MSA, AZ, USA",0.8207059516569525,0.008820292528169007,0.014393081455517043,0.01436158674773681,0.1296672606302414,0.21483441656405136,0.38528219723225676,0.3244926688249745,0.07539071737871732,0.05176224401686402,0.948237755983136,0.6045260602855934,0.00010873261805196712,3.2646612594080855e-05,5269.0,1582.0
"San Francisco-Oakland-Hayward MSA, CA, USA",0.6247388109365695,0.0194579794463147,0.04302729561535459,0.13785383456064562,0.16280346606661214,0.169855979604876,0.30707917281185937,0.35459578292671345,0.16846906465655132,0.11779126946079851,0.8822087305392015,0.5532789380075545,5.25002479704853e-05,1.888998091838159e-05,2493.0,897.0
"Riverside-San Bernardino-Ontario MSA, CA, USA",0.8822403790697356,0.0046960585059812356,0.013444166648791948,0.01043203193713816,0.07923829634274898,0.20947853670992406,0.3239542916521405,0.28886382330692223,0.1777033483310132,0.043166504416056954,0.956833495583943,0.6958329572758953,0.00013483051291466306,3.5370726299928533e-05,6202.0,1627.0
"Detroit-Warren-Dearborn MSA, MI, USA",0.8705178351341635,0.002520986263636354,0.01333940518384633,0.012334594924052316,0.0933266661826139,0.21431990335460008,0.3815729296709827,0.3344121616565501,0.06969500531786704,0.08080561245888307,0.9191943875411168,0.5640217307161237,8.185262429303921e-05,2.2244788298831524e-05,3595.0,977.0
"Seattle-Tacoma-Bellevue MSA, WA, USA",0.7169730963226418,0.010661063966266341,0.03582754967578519,0.07862006671768176,0.14928045290553274,0.17757494085144304,0.3380736250865983,0.3645001405659662,0.11985129349599252,0.0807373609968621,0.9192626390031379,0.6052693507401958,5.457150173158136e-05,1.532879392004292e-05,2193.0,616.0
"Minneapolis-St. Paul-Bloomington MSA, MN-WI, USA",0.7972006399063586,0.007222224211768683,0.020963225848369398,0.036274832311075866,0.13077919905292937,0.23095915792051133,0.4069246488588752,0.30839383837385265,0.053722354846760814,0.06731418356437988,0.9326858164356201,0.6272847403564754,5.047101330950311e-05,9.12256818107596e-06,1870.0,338.0
"San Diego-Carlsbad MSA, CA, USA",0.8012050475081702,0.009821242298523079,0.02934771950159446,0.024289408352972323,0.12457740868738935,0.2058445261991539,0.41331422691601677,0.30989815081009264,0.07094309607473656,0.054026749812163176,0.9459732501878371,0.6501162507329611,7.812575791383308e-05,2.79821787172945e-05,2577.0,923.0
"Tampa-St. Petersburg-Clearwater MSA, FL, USA",0.8331068918326596,0.007355754637747352,0.012841252485925209,0.01024938369530977,0.124430739913224,0.21520804817727607,0.3599053991706213,0.3392047135928959,0.08568183905920668,0.062388692512645574,0.9376113074873544,0.5343789392005069,0.00013867602973959898,4.53224635010863e-05,4403.0,1439.0
"Denver-Aurora-Lakewood MSA, CO, USA",0.7743263712589377,0.009071739465209389,0.021051563036880664,0.03315831681371724,0.15390276649563123,0.19045833775577253,0.3739532017805119,0.3616446502702242,0.07394381019349132,0.05517158583266484,0.9448284141673352,0.6355993936142355,7.92554508788279e-05,1.9096885992940223e-05,2349.0,566.0
"Baltimore-Columbia-Towson MSA, MD, USA",0.8016142406681293,0.0032420636956156552,0.02286983002503207,0.04982709438859615,0.11240923422190247,0.1784980115705452,0.34461329708171445,0.35678009951331685,0.1201085918344235,0.10256024185451028,0.8974397581454898,0.5699764966102412,7.699095444174526e-05,2.1901992975893746e-05,2190.0,623.0
"St. Louis MSA, MO-IL, USA",0.8596450561182191,0.0030350127886627715,0.015525645354148514,0.01702587463583086,0.09768335515768842,0.22967751612179807,0.3971017059629371,0.3185083774324295,0.0547124004828353,0.06821289242935508,0.931787107570645,0.5974182059417146,0.00011853546472603699,2.0140037081779542e-05,3343.0,568.0
"Orlando-Kissimmee-Sanford MSA, FL, USA",0.8553953208756301,0.005625326746284945,0.010670642096129826,0.01246162323243469,0.10240257963987497,0.16845531039445227,0.3554831171825046,0.3923643978106658,0.0836971746123773,0.04621235780099165,0.9537876421990084,0.5976485978287736,0.000122653902780604,3.6919610260584366e-05,3279.0,987.0
