longname,High School %,Undergrad %,Grad %,Undergrad STEM %,Undergrad Humanities %,Undergrad Business %,% of women with high school education - % of men with high school education,% of women with undergraduate education - % of men with undergraduate education,% of women with graduate education - % of men with graduate education
"New York NY Media Market, USA",0.8791592476115241,0.40694466540704344,0.17323709393166195,0.1803024048792939,0.14257384720790844,0.08406841331983098,0.004957622565671449,0.01670955284987996,0.01494727272808341
"Los Angeles CA Media Market, USA",0.823430838904198,0.3222611594321577,0.11430199409256458,0.1482188836674997,0.11055147295681572,0.06349080280783757,0.004423120446255924,0.009149396784176145,0.0028778678733858837
"Chicago IL Media Market, USA",0.8975838228008275,0.3802021404207857,0.15219751342765608,0.16538475139413986,0.1307845371578109,0.08403285186883551,0.01153718957340899,0.017855035845963818,0.014678249060364662
"Philadelphia PA Media Market, USA",0.9115478151886842,0.3651648437020867,0.14948603510245623,0.16494145723585546,0.12450484932262539,0.07571853714360945,0.009284450135056521,0.011767957427651021,0.011056218029714349
"Dallas-Ft.Worth TX Media Market, USA",0.8702715373171517,0.34010961158949937,0.11940713145879088,0.14659330247018554,0.10451575459794767,0.0890005545213695,0.018858499419798558,0.005024447975248814,-0.003026971001855505
"San Francisco-Oakland-San Jose CA Media Market, USA",0.8955589211060684,0.4897271181560413,0.2113341222830174,0.2803517800844414,0.13040887580773136,0.07896646226387034,-0.0016411588112161812,-0.0009349498470423989,-0.016836983705459663
"Houston TX Media Market, USA",0.8499207357115062,0.3205889902898604,0.1172452316727124,0.15638259864059184,0.08701820621006577,0.07718818543920154,0.02491574955214937,0.014292755558998893,0.00021458535153191793
"Atlanta GA Media Market, USA",0.8986390821096633,0.3659523640476982,0.1413359740621812,0.15725924584101703,0.1185945816672064,0.0900985365394763,0.02065687158326135,0.016657114764408343,0.016682959880326337
"Washington DC (Hagerstown MD) Media Market, USA",0.9148367682418306,0.4801216497514533,0.23612101536342345,0.2485667597975478,0.14641955806445742,0.08513533188944696,0.010595977752177022,0.005274599717852935,-0.004859323310053371
"Boston MA (Manchester NH) Media Market, USA",0.9249550446056903,0.4543440838616224,0.20294966421479882,0.22624654428100816,0.14571603265206715,0.08238150692855073,0.007029577006611332,0.012365761619772764,0.012269185591734233
"Phoenix (Prescott) AZ Media Market, USA",0.8914022496796525,0.3031684298965859,0.11339157681294425,0.1310950116440548,0.1041351421099632,0.0679382761425655,0.015219816798852204,0.0018564891069010603,0.00047345822776993784
"Seattle-Tacoma WA Media Market, USA",0.932134968343194,0.3944033430768851,0.15185401053766456,0.20506293544598186,0.1252156585948615,0.06412474903603872,0.007691704118293452,0.010062544350730673,0.0027514961678182237
"Tampa-St.Petersburg (Sarasota) FL Media Market, USA",0.9037576758894735,0.29135668105075035,0.10713142843847911,0.12389265425282546,0.09677892712957979,0.07068509966834476,0.019004797768189197,-0.003052904756872532,-0.0028482258694683543
"Detroit MI Media Market, USA",0.9152301634545338,0.32871276848092373,0.13642970570979177,0.15654008032354824,0.1026809540722065,0.06949173408516623,0.008692221671007583,0.0030420913597789534,-0.0022896027010747555
"Minneapolis-St. Paul MN Media Market, USA",0.9383711884970436,0.3758202273122238,0.12965243071002844,0.16466105240346365,0.13342898823140859,0.07773018667736006,0.008308078262324825,0.026706136681784343,0.012485970030470306
"Miami-Ft. Lauderdale FL Media Market, USA",0.8614438491653768,0.3191629407370788,0.12066565332740364,0.13925504803436567,0.09439366907385771,0.08551422362885437,-0.0009244067023941316,0.011804434463683677,0.0011044298689459192
"Denver CO Media Market, USA",0.9246059568661711,0.43220265162475446,0.16291045207978855,0.20643261139048036,0.14019803427680524,0.0855720059574785,0.010265097900677755,0.022370892212797533,0.011079107173360997
"Sacramento-Stockton-Modesto CA Media Market, USA",0.8716162179427319,0.27803078127302894,0.09758358367003622,0.13529748041457396,0.09264395768765439,0.05008934317079766,0.01922424675701706,0.020670327698277036,0.004410234092219328
"Orlando-Daytona Beach-Melbourne FL Media Market, USA",0.9094477938728984,0.29712775807703684,0.10583049487384502,0.1294032100475679,0.09681889684037866,0.07090565118909069,0.013220531397617585,0.004036411194162648,-0.0037679760132084544
"Cleveland-Akron (Canton) OH Media Market, USA",0.9119082126300154,0.2839852265395479,0.10869005657990034,0.11863732463963797,0.1032531566293292,0.06209474527058006,0.011431372678454066,0.015158443145637246,0.01194735828746564
"Portland OR Media Market, USA",0.9205741007524784,0.3478956084891244,0.12991447589029742,0.16798511272642563,0.1230094954049644,0.056901000357734446,0.017030681205442266,0.013612642020625065,0.009925647436592772
"Salt Lake City UT Media Market, USA",0.932445954292774,0.3337862878319952,0.11254335534755572,0.14596854658620786,0.12403287879507778,0.06378486245070572,0.008744926387000085,-0.03518738088427853,-0.04275699229940266
"Charlotte NC Media Market, USA",0.8934040311457706,0.322009831621112,0.10994834743877495,0.13104192798233427,0.11028236818481835,0.08068553545396114,0.029313736806251933,0.014092314870694511,0.006915496922611966
"Raleigh-Durham (Fayetteville) NC Media Market, USA",0.9052324051983343,0.3741136951478078,0.1485217235953811,0.1816024216632169,0.12322127381365129,0.06928999967093688,0.026460638967781613,0.03180478531617109,0.015128796745414286
"San Diego CA Media Market, USA",0.8858918164749061,0.3931489148117069,0.1535098488670178,0.20455867257473595,0.1153401854866135,0.0732500567503579,-0.010825542958840306,0.0021988195784232722,-0.001474625466022783
"St. Louis MO Media Market, USA",0.9240218227636329,0.3243153921229451,0.1308677294032446,0.13618227292053062,0.1122095935471533,0.07592352565526152,0.012121214860562834,0.01564107932096903,0.012490235948865641
"Indianapolis IN Media Market, USA",0.907808859914512,0.30756769502230247,0.11397056268874378,0.13162618607867854,0.11150008176259033,0.06444142718103517,0.012723766096297107,0.018376456600121327,0.00763776886503309
"Nashville TN Media Market, USA",0.901007481911247,0.30359562957819014,0.10795709101498623,0.12144291869208486,0.11392647267459596,0.06822623821150986,0.019600467431330704,0.020498437979704187,0.016902574078612134
"Baltimore MD Media Market, USA",0.9180896440863571,0.39580448347721575,0.17962904869350174,0.19501219668237202,0.12892744033898856,0.0718648464558527,0.012521865441776359,0.01572666845501569,0.015908586514959744
"San Antonio TX Media Market, USA",0.8596464519272077,0.2763695420616313,0.10167113237771273,0.121636266803183,0.09036975261749854,0.06436352264094873,0.011408815434866493,0.02050711479732109,0.002314313452936631
"Pittsburgh PA Media Market, USA",0.9420332212878538,0.33720665627816365,0.13431533714179744,0.15137702438228332,0.11854401318069574,0.06728561871518943,0.006882680237105143,-0.001224648181071153,0.009766464156592214
"Hartford & New Haven CT Media Market, USA",0.9163305911938344,0.36300827792188906,0.16293303843838705,0.16782065949737757,0.1303175635317725,0.06487005489273895,0.01587817575487671,0.02527344053223679,0.022493623852738592
"Columbus OH Media Market, USA",0.9170583254740576,0.3340251427895985,0.12594137000262678,0.14635681194306577,0.11653416521621915,0.07113416563031426,0.010067973620364268,0.012768329956089675,0.010511589949395966
"Kansas City MO Media Market, USA",0.927871582196464,0.3552344106629638,0.13482145271690804,0.14337620423979938,0.13054303709510606,0.08131516932805583,0.010138144765653778,0.00936639742192491,0.0059033313316641245
"Cincinnati OH Media Market, USA",0.9175112260721966,0.3261069049714377,0.12410664172815115,0.14024489476092075,0.11515231709755239,0.07070969311296385,0.011629189649203231,0.006275951719518169,0.01000336950396305
"Austin TX Media Market, USA",0.9114623047375313,0.4459152593279066,0.16154873642544756,0.20519449966054157,0.15177762664257533,0.08894313302478579,0.007278804685505014,0.005508617360612478,-0.0026840746546193672
"Greenville-Spartanburg SC-Asheville NC-Anderson SC Media Market, USA",0.8858555583233623,0.2792116084465415,0.10539568929736497,0.11703952712811484,0.10777390364206751,0.05439817767636239,0.02508112496321202,0.016628172719496404,0.011605287887573937
"Milwaukee WI Media Market, USA",0.9237408381513212,0.327874124086996,0.11383008423178091,0.13845466266410855,0.11817460062727157,0.07124486079561503,0.013789232781824312,0.03146088662496915,0.010519387736236896
"Las Vegas NV Media Market, USA",0.8691246625720412,0.24463214017708287,0.08274609725374352,0.10075914802989665,0.08213978019938248,0.061733211947804116,0.003297062059002376,0.007650178491728055,0.0020237448027868726
"West Palm Beach-Fort Pierce FL Media Market, USA",0.8955108539781695,0.33593214114420683,0.12946594842882742,0.13800103725272747,0.1138498816777274,0.084081222213757,0.02136996973882066,-0.0058915044123307725,-0.013000137310442361
"Grand Rapids-Kalamazoo-Battle Creek MI Media Market, USA",0.9219613075368088,0.28848897617112457,0.10113747196525988,0.1167145103004553,0.1074504902361328,0.0643239756345327,0.01827449179551477,0.015873182116010853,0.009398083752648737
"Fresno-Visalia CA Media Market, USA",0.7592388722155342,0.18232863554928433,0.05990833509643643,0.08135356815417714,0.0697346153609822,0.031240452034124726,0.031188809626192193,0.02939959326980196,0.009449065416517528
"Harrisburg-Lancaster-Lebanon-York PA Media Market, USA",0.897865145963408,0.26879706795670555,0.09896825131415497,0.11318285965556167,0.10614682810685475,0.04946738019429137,0.01676720055808234,0.01499099956782729,0.013497452018756434
"Jacksonville FL Media Market, USA",0.9061950499043583,0.28437581515511307,0.09929810637782174,0.11961951724348317,0.09378829270608227,0.07096800520554887,0.018805249126623624,0.013674848846430554,0.006932262359717362
