longname,Within 10km of Hospital %,Mean distance to nearest Hospital
"New York NY Media Market, USA",0.9453797741371313,1.0
"Los Angeles CA Media Market, USA",0.9625831252709018,1.0
"Chicago IL Media Market, USA",0.9257276082447934,1.0
"Philadelphia PA Media Market, USA",0.9190861416439496,1.0
"Dallas-Ft.Worth TX Media Market, USA",0.8635879968330059,1.0
"San Francisco-Oakland-San Jose CA Media Market, USA",0.9635525145032577,1.0
"Houston TX Media Market, USA",0.8771440445928689,1.0
"Atlanta GA Media Market, USA",0.7546496369908634,1.0
"Washington DC (Hagerstown MD) Media Market, USA",0.853770608243074,1.0
"Boston MA (Manchester NH) Media Market, USA",0.895069952535059,1.0
"Phoenix (Prescott) AZ Media Market, USA",0.8606015864566057,1.0
"Seattle-Tacoma WA Media Market, USA",0.8200859415451315,1.0
"Tampa-St.Petersburg (Sarasota) FL Media Market, USA",0.8885369867320518,1.0
"Detroit MI Media Market, USA",0.8579347271316788,1.0
"Minneapolis-St. Paul MN Media Market, USA",0.7316595189077377,1.0
"Miami-Ft. Lauderdale FL Media Market, USA",0.9921933533720712,1.0
"Denver CO Media Market, USA",0.8549410928788531,1.0
"Sacramento-Stockton-Modesto CA Media Market, USA",0.847612160929584,1.0
"Orlando-Daytona Beach-Melbourne FL Media Market, USA",0.8663574272580491,1.0
"Cleveland-Akron (Canton) OH Media Market, USA",0.8213066423606445,1.0
"Portland OR Media Market, USA",0.8291108537202097,1.0
"Salt Lake City UT Media Market, USA",0.8440487468842005,1.0
"Charlotte NC Media Market, USA",0.7255097964965511,1.0
"Raleigh-Durham (Fayetteville) NC Media Market, USA",0.6169500615457346,1.0
"San Diego CA Media Market, USA",0.9472477286786914,1.0
"St. Louis MO Media Market, USA",0.8081299284290434,1.0
"Indianapolis IN Media Market, USA",0.8381310067366111,1.0
"Nashville TN Media Market, USA",0.7010711643908764,1.0
"Baltimore MD Media Market, USA",0.8318137476167476,1.0
"San Antonio TX Media Market, USA",0.8354909960025153,1.0
"Pittsburgh PA Media Market, USA",0.8214453362012288,1.0
"Hartford & New Haven CT Media Market, USA",0.7765701176228939,1.0
"Columbus OH Media Market, USA",0.8148445103617841,1.0
"Kansas City MO Media Market, USA",0.858868847569469,1.0
"Cincinnati OH Media Market, USA",0.8048646778025345,1.0
"Austin TX Media Market, USA",0.7946805791831593,1.0
"Greenville-Spartanburg SC-Asheville NC-Anderson SC Media Market, USA",0.6711323692729776,1.0
"Milwaukee WI Media Market, USA",0.8637136031741353,1.0
"Las Vegas NV Media Market, USA",0.98320648566411,1.0
"West Palm Beach-Fort Pierce FL Media Market, USA",0.9426176657258246,1.0
"Grand Rapids-Kalamazoo-Battle Creek MI Media Market, USA",0.6463644851403266,1.0
"Fresno-Visalia CA Media Market, USA",0.7499563154460445,1.0
"Harrisburg-Lancaster-Lebanon-York PA Media Market, USA",0.7049279298219896,1.0
"Jacksonville FL Media Market, USA",0.7676279899416567,1.0
"Norfolk-Portsmouth-Newport News VA Media Market, USA",0.8595535798292463,1.0
"Oklahoma City OK Media Market, USA",0.7952080739556091,1.0
"Birmingham (Anniston & Tuscaloosa) AL Media Market, USA",0.621565055380462,1.0
"Albuquerque-Santa Fe NM Media Market, USA",0.7094522362266033,1.0
"Greensboro-High Point-Winston Salem NC Media Market, USA",0.6887746996866295,1.0
"Louisville KY Media Market, USA",0.7032943330462974,1.0
"Memphis TN Media Market, USA",0.772648579827746,1.0
"New Orleans LA Media Market, USA",0.9032144040398415,1.0
"ProvidenceRi-New Bedford MA Media Market, USA",0.9241802789747701,1.0
"Richmond-Petersburg VA Media Market, USA",0.6710082348520598,1.0
"Buffalo NY Media Market, USA",0.7869604862256196,1.0
"Mobile AL-Pensacola (Ft. Walton Beach) FL Media Market, USA",0.7087599236403902,1.0
"Wilkes Barre-Scranton PA Media Market, USA",0.6798543423683957,1.0
"Little Rock-Pine Bluff AR Media Market, USA",0.6471353643581763,1.0
"Honolulu HI Media Market, USA",0.7782334732063012,1.0
"Tulsa OK Media Market, USA",0.7458879272697846,1.0
"Knoxville TN Media Market, USA",0.6562323721083171,1.0
"Albany-Schenectady-Troy NY Media Market, USA",0.6752695644774119,1.0
"Ft. Myers-Naples FL Media Market, USA",0.7787706537094818,1.0
"Harlingen-Weslaco-Brownsville-Mcallen TX Media Market, USA",0.7548189732442564,1.0
"Lexington KY Media Market, USA",0.688132537577298,1.0
"Spokane WA Media Market, USA",0.7339549140044211,1.0
"Dayton OH Media Market, USA",0.7360019366247749,1.0
"Tucson (Sierra Vista) AZ Media Market, USA",0.7954541905011635,1.0
"Wichita-Hutchinson KS Media Market, USA",0.7724258904545968,1.0
"Des Moines-Ames IA Media Market, USA",0.6758040629046687,1.0
"Omaha NE Media Market, USA",0.853081211135397,1.0
"Green Bay-Appleton WI Media Market, USA",0.6833770594575098,1.0
"Roanoke-Lynchburg VA Media Market, USA",0.6005224624780523,1.0
"Flint-Saginaw-Bay City MI Media Market, USA",0.599880394962413,1.0
"Waco-Temple-Bryan TX Media Market, USA",0.7771933373185651,1.0
"Columbia SC Media Market, USA",0.6107771692391255,1.0
"Springfield MO Media Market, USA",0.525015168815998,1.0
"Charleston-Huntington WV Media Market, USA",0.541697221580291,1.0
"El Paso TX (Las Cruces NM) Media Market, USA",0.8023223615321278,1.0
"Rochester NY Media Market, USA",0.6483242901108578,1.0
"Huntsville-Decatur (Florence) AL Media Market, USA",0.603642197889444,1.0
"Toledo OH Media Market, USA",0.790019997376465,1.0
"Madison WI Media Market, USA",0.719947265429388,1.0
"Colorado Springs-Pueblo CO Media Market, USA",0.7928638537628,1.0
"Portland-Auburn ME Media Market, USA",0.613278856768904,1.0
"Syracuse NY Media Market, USA",0.5860296778863554,1.0
"Chattanooga TN Media Market, USA",0.6855129362884251,1.0
"Savannah GA Media Market, USA",0.632953931748474,1.0
"Shreveport LA Media Market, USA",0.6350469784653906,1.0
"Paducah KY-Cape Girardeau MO-Harrisburg IL Media Market, USA",0.5710818180770588,1.0
"Baton Rouge LA Media Market, USA",0.8133248059561322,1.0
"Champaign & Springfield-Decatur IL Media Market, USA",0.6678104034898728,1.0
"Charleston SC Media Market, USA",0.7697292370382285,1.0
"Cedar Rapids-Waterloo-Iowa City & Dubuque IA Media Market, USA",0.6878635848663643,1.0
"South Bend-Elkhart IN Media Market, USA",0.7603729624243437,1.0
"Jackson MS Media Market, USA",0.6796306556275076,1.0
"Ft. Smith-Fayetteville-Springdale-Rogers AR Media Market, USA",0.6943921060856365,1.0
