longname,Population,PW Density (r=1km),AW Density,Area,Compactness
"New York NY Media Market, USA",22162120.0,9317.1873923007,725.9660853633446,30527.7621735014,0.014913225337081728
"Los Angeles CA Media Market, USA",18304602.0,3603.6181268297987,143.17234038910405,127850.12768704483,0.1666723057794248
"Chicago IL Media Market, USA",9778923.0,3089.5344391208578,399.1481042001796,24499.48502096781,0.3218545333123285
"Philadelphia PA Media Market, USA",8350572.0,2550.191735803013,397.2064526111138,21023.253638267688,0.0490698308250146
"Dallas-Ft.Worth TX Media Market, USA",8328402.0,1550.6084702764194,121.87481600939498,68335.70931797745,0.23058286893369564
"San Francisco-Oakland-San Jose CA Media Market, USA",7627769.0,3766.493746211294,264.74479789676207,28811.78047915589,0.06495355370211153
"Houston TX Media Market, USA",7487834.0,1692.2252975562312,161.803636311108,46277.291232211646,0.04883681296953369
"Atlanta GA Media Market, USA",7230672.0,922.5953714845053,156.91137111072382,46081.249235262294,0.3264347295430291
"Washington DC (Hagerstown MD) Media Market, USA",7168976.0,2263.3872468329746,225.13457279577477,31843.070173425378,0.045625679825015544
"Boston MA (Manchester NH) Media Market, USA",6827987.0,2353.0082010306983,273.75527067127996,24941.938042898597,0.03200972460813315
"Phoenix (Prescott) AZ Media Market, USA",5682475.0,1671.3221683599077,26.10341267943797,217690.88470474846,0.44711359171221193
"Seattle-Tacoma WA Media Market, USA",5527478.0,1785.783991895736,81.65539125207812,67692.75016925874,0.021600306235611558
"Tampa-St.Petersburg (Sarasota) FL Media Market, USA",5012757.0,1143.9909574875437,231.88584819508176,21617.347669198207,0.0148080199274026
"Detroit MI Media Market, USA",4958967.0,1412.560857035507,307.5856777072319,16122.229867673079,0.13241324952793423
"Minneapolis-St. Paul MN Media Market, USA",4907832.0,1172.4959395806559,42.03041977705505,116768.56967008568,0.22244451644215768
"Miami-Ft. Lauderdale FL Media Market, USA",4727510.0,3023.5080695049796,428.5741892386087,11030.785611235115,0.007223238795049348
"Denver CO Media Market, USA",4637385.0,1667.2377753166427,15.323633382472927,302629.5973188846,0.110174630316768
"Sacramento-Stockton-Modesto CA Media Market, USA",4465481.0,1865.5076778371135,87.7201696506862,50905.977699110255,0.17876363203757922
"Orlando-Daytona Beach-Melbourne FL Media Market, USA",4453723.0,1098.6707390968252,190.14129990555202,23423.227895319305,0.04692673492876938
"Cleveland-Akron (Canton) OH Media Market, USA",3855286.0,1084.586338071573,189.39882875684546,20355.384588726807,0.28370210216047675
