longname,Citizen by Birth %,Citizen by Naturalization %,Non-citizen %,Born outside US %,Born in us outside state %,Born in state of residence %,Only English at Home %,Spanish at Home %,Other at Home %
"New York NY Media Market, USA",0.7182608491169689,0.16427694360288023,0.11746220728015085,0.2817391508830241,0.17857170399548458,0.5396891451214915,0.6191404478200659,0.192004158408341,0.18885539377159313
"Los Angeles CA Media Market, USA",0.7082317992786664,0.15854560187985384,0.13322259884147974,0.2917682007213223,0.15129813831548572,0.5569336609631919,0.5031921762171092,0.34582386527703085,0.15098395850585997
"Chicago IL Media Market, USA",0.826380002415767,0.09274336668932806,0.0808766308949048,0.1736199975842343,0.1880718383717492,0.6383081640440166,0.7117573522072872,0.16987750305049634,0.11836514474221636
"Philadelphia PA Media Market, USA",0.8842718745495051,0.0641906650940452,0.05153746035644978,0.1157281254504942,0.2728157067271815,0.6114561678223243,0.8204949476806196,0.08809671429829485,0.09140833802108554
"Dallas-Ft.Worth TX Media Market, USA",0.8238364534017237,0.06797580258608037,0.10818774401219589,0.17616354659827027,0.27061402058822687,0.5532224328135029,0.7000147083874968,0.2143601620341917,0.08562512957831145
"San Francisco-Oakland-San Jose CA Media Market, USA",0.6857575583840023,0.17529175392215887,0.13895068769383873,0.3142424416159989,0.1879692033738908,0.4977883550101104,0.5724403888582231,0.16643314538388101,0.2611264657578958
"Houston TX Media Market, USA",0.7728119765077096,0.09437496982874329,0.13281305366354712,0.2271880234922919,0.21761520769254777,0.5551967688151602,0.6152109559173787,0.2900390934298086,0.09474995065281268
"Atlanta GA Media Market, USA",0.86959281673687,0.06197595940706394,0.06843122385606612,0.13040718326313125,0.37384653839646137,0.49574627834040735,0.825434582550624,0.09359265470380296,0.08097276274557312
"Washington DC (Hagerstown MD) Media Market, USA",0.7914400928375035,0.1129101382358281,0.09564976892666839,0.2085599071624963,0.44657629703377294,0.34486379580373067,0.7329065603933191,0.12353113497623318,0.14356230463044775
"Boston MA (Manchester NH) Media Market, USA",0.8319322291010868,0.0899010508616942,0.07816672003721911,0.16806777089891126,0.27931578532298373,0.552616443778105,0.7758491864264033,0.08215877044006378,0.14199204313353284
"Phoenix (Prescott) AZ Media Market, USA",0.8728140308791279,0.056499447190258366,0.07068652193061369,0.12718596912086924,0.4834372117563362,0.3893768191227945,0.7534664314414826,0.18153423938967805,0.06499932916883927
"Seattle-Tacoma WA Media Market, USA",0.8360789519708256,0.08125569484037932,0.08266535318879493,0.16392104802916801,0.38079852143899373,0.4552804305318382,0.7906578693067909,0.06710673530199222,0.14223539539121696
"Tampa-St.Petersburg (Sarasota) FL Media Market, USA",0.8684747475299249,0.07415126780990437,0.05737398466017071,0.13152525247008054,0.511936532103738,0.3565382154261816,0.7929708301906478,0.1459897568954157,0.06103941291393646
"Detroit MI Media Market, USA",0.8996337010264069,0.05815124045827154,0.04221505851532169,0.10036629897359393,0.16050115107759416,0.739132549948812,0.8627458109614301,0.028259771436048093,0.10899441760252175
"Minneapolis-St. Paul MN Media Market, USA",0.9109845780853478,0.050395555889230316,0.03861986602542195,0.08901542191465668,0.24567527001384623,0.6653093080714971,0.8749461291511423,0.03943989119269808,0.08561397965615963
"Miami-Ft. Lauderdale FL Media Market, USA",0.544941689706407,0.2758751982615963,0.1791831120319968,0.45505831029359206,0.2069818324583679,0.3379598572480399,0.39491628126795575,0.4951398297472886,0.10994388898475561
"Denver CO Media Market, USA",0.8952827237681413,0.0474762143628779,0.057241061868980696,0.10471727623185165,0.46869375532671653,0.4265889684414319,0.8245577764210007,0.11949734240609601,0.055944881172903194
"Sacramento-Stockton-Modesto CA Media Market, USA",0.8120295588897768,0.10388316229124277,0.08408727881898051,0.18797044111022,0.17233537237594862,0.6396941865138315,0.6880415775831766,0.17630311960999065,0.13565530280683274
"Orlando-Daytona Beach-Melbourne FL Media Market, USA",0.8506772564223647,0.08306904108709544,0.06625370249053984,0.14932274357763617,0.5124657721556644,0.3382114842666994,0.7445830377032525,0.1857103613468469,0.06970660094990055
