longname,Architecture and engineering occupations %,Computer and mathematical occupations %,"Life, physical, and social science occupations %","Arts, design, entertainment, sports, and media occupations %",Community and social service occupations %,"Educational instruction, and library occupations %",Legal occupations %,Health diagnosing and treating practitioners and other technical occupations %,Health technologists and technicians %,Business and financial operations occupations %,Management occupations %,Construction and extraction occupations %,"Farming, fishing, and forestry occupations %","Installation, maintenance, and repair occupations %",Material moving occupations %,Production occupations %,Transportation occupations %,Office and administrative support occupations %,Sales and related occupations %,Building and grounds cleaning and maintenance occupations %,Food preparation and serving related occupations %,Healthcare support occupations %,Personal care and service occupations %,"Firefighting and prevention, and other protective service workers including supervisors %",Law enforcement workers including supervisors %
"New York NY Media Market, USA",0.014867900093439263,0.03612291152502392,0.010859224028447767,0.033018252446307,0.019586415408674878,0.07329198772027466,0.01918760060658353,0.04436016074292706,0.01714656653952147,0.06785393879547884,0.11561442404655528,0.04429176643667676,0.0011353226917962618,0.021468464490091686,0.025673942255097584,0.029019001214227007,0.040844891384009326,0.10874134851774322,0.09522544650664444,0.03660886229167684,0.04375919588355149,0.042923532734753474,0.03096215533844058,0.015403208648335182,0.012033479653722609
"Los Angeles CA Media Market, USA",0.02036041689466357,0.026955616149668692,0.008614417754672378,0.036342661358563094,0.01744317896215861,0.05390177175302272,0.012729981928145815,0.03484854127018515,0.01706127366772325,0.05559326948690795,0.10388945421295223,0.05011839774930037,0.005164090688089936,0.026677808128763296,0.04284669385472095,0.05326569904523651,0.03849163950972414,0.1149811653983912,0.10129335205215027,0.03936667795062403,0.0543748870498293,0.03681597375797493,0.028374321733613775,0.013137772204509207,0.00735093743840847
"Chicago IL Media Market, USA",0.018236689294975295,0.03659859335260476,0.009210643375011056,0.020831230162725943,0.016832439251086736,0.060800258451742945,0.015147846648405034,0.04343112620783525,0.016711181224819776,0.0687120790022778,0.11347446176734809,0.03997313519026337,0.0014868739216020443,0.025986171741025108,0.04183080429121081,0.05640598686684124,0.042684382353750286,0.11044812854547409,0.10028539020106911,0.03150446638534062,0.049731117073281,0.03044677662509459,0.027054963848029398,0.012873974960310662,0.00930127925787481
"Philadelphia PA Media Market, USA",0.018610903137881996,0.03674495395344218,0.014483016359354256,0.018930359631254726,0.02130532593488218,0.0675576208316829,0.014586899353508362,0.05062535107829385,0.021141946614252602,0.06592503472526604,0.11020481178903048,0.0393137853359936,0.0029332446865983973,0.02681296984580275,0.03759817173796047,0.044542873126515094,0.036337035945061484,0.1129372136091394,0.09391876183236544,0.03119153343014194,0.04826102053883995,0.035646717984261285,0.02720947573931922,0.012668716055236107,0.010512256723915162
"Dallas-Ft.Worth TX Media Market, USA",0.02109606822268275,0.043376893504350214,0.006073341003380961,0.01705009368504715,0.013469090920227992,0.05902483804693113,0.010622446192632242,0.034830208251602476,0.016601918960148496,0.06789373362701623,0.11706187750561042,0.06086325676452135,0.002296074743620602,0.03137539923931213,0.04358238115794152,0.04727331737270633,0.03961909203776851,0.11548659214203442,0.10337493204856922,0.032184446513077086,0.049055313472394446,0.02428047017538628,0.02514253458490819,0.01070755805031799,0.007658121777811865
"San Francisco-Oakland-San Jose CA Media Market, USA",0.03959397168680218,0.08271012032520594,0.019654534724136904,0.02981574572603349,0.015417597952975438,0.055448193371665885,0.01558632515722184,0.03780578216596116,0.013241239167812039,0.07289807085596246,0.13938577074269812,0.03852536520583743,0.004434350679646984,0.01900309410741152,0.02308187513000458,0.03454813097985223,0.026870944248364777,0.09164549274642136,0.08705686243551483,0.032511458931328736,0.04692887692274001,0.031902123861642,0.02585781018948781,0.01096913754590388,0.005107125139368348
"Houston TX Media Market, USA",0.0298046738684585,0.02869277933263736,0.011227960962235384,0.015710724181118015,0.012702795629230388,0.06141110070464927,0.011470665828865448,0.03860818376103885,0.018091257831494772,0.06028208302917596,0.10787898848672922,0.07259544451146871,0.0021953300744821155,0.03423986467451829,0.035770596894395955,0.05188340362514137,0.04260705521312978,0.10344233198561556,0.10245940690240388,0.03748743068987836,0.05184455193009394,0.0247886616649984,0.024097539221406592,0.011193184973688146,0.009513984023145725
"Atlanta GA Media Market, USA",0.01858187475203941,0.04212560128517088,0.009883004417787687,0.02235051761888866,0.015088006112738141,0.06388124966564457,0.012321332456772183,0.036128234326227686,0.016769807772580282,0.06569438075145054,0.1192576512438905,0.046558149595155585,0.0022354687630007767,0.030296624203550546,0.04144508829002476,0.05175626833070717,0.04176239760949896,0.11060998726568044,0.10556904926948592,0.033453792585144304,0.049410857402605,0.02127577433457425,0.024317791285226945,0.0112471853865259,0.007979905275628833
"Washington DC (Hagerstown MD) Media Market, USA",0.022888130982416995,0.0800338727533145,0.02140591051259258,0.027548395909773045,0.01716974587602807,0.06248292666317845,0.027748665084712826,0.03371560391384747,0.013476705392888574,0.08942682163454795,0.13597223548748855,0.04534092881664654,0.0016486010373428378,0.02264959954561965,0.02204299426030597,0.021867890009578735,0.031007268236887472,0.0953001729411251,0.07559939634172265,0.03243738112803102,0.04299670805530082,0.02223554224390709,0.027178108195775843,0.015972797659744156,0.01185359731722308
"Boston MA (Manchester NH) Media Market, USA",0.027703455102691555,0.04993485162833617,0.02283280106738269,0.023233344904335224,0.01945240128015256,0.07226495169196301,0.014383823691028736,0.04972523042131609,0.018359804273396608,0.07101617804706792,0.12754320061207025,0.04349289470004292,0.0018711575463812875,0.02184791400770335,0.023109850912711803,0.039043234080941985,0.028722444131334172,0.09861070619843693,0.0910326497584919,0.03128625821367864,0.04764605359495783,0.03041330513621689,0.027701604991549847,0.010885996083470233,0.007885887924341771
