longname,White %,Hispanic %,Black %,Asian %,Native %,Hawaiian / PI %,Other / Mixed %,Racial Homogeneity %,Segregation %,Mean Local Segregation %
"New York NY Media Market, USA",0.44967746767908484,0.24600313507913502,0.14402029228250726,0.11596097304770482,0.0016087359873513906,0.0002582334181026003,0.04247116250611403,0.5081452442948097,0.2986934767416613,0.15200107989519215
"Los Angeles CA Media Market, USA",0.29298724987301006,0.46006873025701406,0.06237704594724321,0.14024915701526863,0.0025776577933789547,0.0023212741801214797,0.0394188849339636,0.49180480567911933,0.24956376368960387,0.10785968894616203
"Chicago IL Media Market, USA",0.5065031190040048,0.22975832819217412,0.15994972043444866,0.06938831607529786,0.0011120856560584433,0.00020308984946501777,0.03308534078855105,0.5773840288120836,0.3589526057534902,0.15796002695242922
"Philadelphia PA Media Market, USA",0.5894949471724811,0.12983409998740206,0.17630277303159592,0.06193144613327087,0.0013765524086254211,0.00027255617938507686,0.04078762508723953,0.5858333891945807,0.3088980842615901,0.1384381648944692
"Dallas-Ft.Worth TX Media Market, USA",0.45115893781304023,0.2823972714093292,0.14924207549059232,0.07272115346977727,0.0036094559316421086,0.0010943275792883198,0.03977677830633055,0.4888786121170199,0.256683024636304,0.11519896823015918
"San Francisco-Oakland-San Jose CA Media Market, USA",0.363365094039948,0.24180438605311724,0.0528476937358748,0.2772184107830219,0.002939784883364979,0.005378505825228845,0.05644612467944428,0.4202395431337172,0.2021795538225175,0.09365379188887502
"Houston TX Media Market, USA",0.3478746991453069,0.36944448821915654,0.16768400581529985,0.07915052603997365,0.002151623553620446,0.0006120595087978713,0.033082597717844706,0.4748428722828116,0.25719607891742724,0.12344195611756628
"Atlanta GA Media Market, USA",0.4796321835646811,0.11984390939044116,0.2975464797739408,0.05769961630122346,0.0017920879276504314,0.0003812923612079209,0.043104430680855114,0.5644354417748887,0.34198217959701643,0.11251355989836878
"Washington DC (Hagerstown MD) Media Market, USA",0.4629976442939689,0.15950562535011975,0.22323453168207008,0.098614641756368,0.001776404328874863,0.0005668870979621078,0.05330426549063632,0.48868773976570357,0.2674012419999462,0.10113671366011753
"Boston MA (Manchester NH) Media Market, USA",0.6988132812789479,0.10913055341200854,0.05946086306256881,0.07278792417150179,0.001346809828431132,0.0002356477831606885,0.05822492046338108,0.6225989902054639,0.22641150803918222,0.07665198498918593
"Phoenix (Prescott) AZ Media Market, USA",0.552921746246134,0.28269882401594376,0.04801288171087422,0.03758362333314269,0.03379090977083049,0.0020631854957566904,0.0429288294273182,0.5352121940573167,0.2352938012940995,0.06635643838648572
"Seattle-Tacoma WA Media Market, USA",0.6215997603246906,0.1135796469927153,0.04780263259301982,0.12051047512084173,0.01027882878954923,0.009198951131058324,0.07702970504812502,0.4989988513695844,0.13343340202449822,0.049595744542175656
"Tampa-St.Petersburg (Sarasota) FL Media Market, USA",0.6206999461573741,0.19842693352181245,0.10388454896177891,0.03127500495236454,0.0021160012344504232,0.0005813168282444172,0.04301624834397518,0.551990426678934,0.20280791160737835,0.07772634125037331
"Detroit MI Media Market, USA",0.6500646203130611,0.050125560424177054,0.20140565565368757,0.049584520324495,0.0021893672613671356,0.00023432299509151805,0.04639595302812058,0.6690206144845872,0.3751901788247713,0.12626068639536786
"Minneapolis-St. Paul MN Media Market, USA",0.7537114147346526,0.06095726178076185,0.07444733234552446,0.056676552905641435,0.008467893766534796,0.0004321663822233524,0.04530737808466141,0.6654955656570947,0.19876460257226558,0.05806749643182599
"Miami-Ft. Lauderdale FL Media Market, USA",0.22414124983342182,0.5255519290281776,0.1905535895217567,0.02471025973504022,0.0009884696171980599,0.00024156479838223505,0.03381293746602334,0.554564533366794,0.29907815262196336,0.11064062919267593
"Denver CO Media Market, USA",0.6542413450683953,0.21787623844041415,0.037554138808832994,0.03676382271474118,0.004843893703024442,0.0012653683056291422,0.04745519295896286,0.5773158623792467,0.18661051067676646,0.06296245234461582
"Sacramento-Stockton-Modesto CA Media Market, USA",0.4412704924732632,0.2921284403628635,0.060871829932766484,0.13038684970331305,0.005259007932180207,0.007281186506000138,0.06280219308961342,0.42628362138416515,0.17490193676745816,0.062165443060711846
"Orlando-Daytona Beach-Melbourne FL Media Market, USA",0.5431547943147789,0.2430191549856154,0.12582574174460334,0.035359181520718735,0.0020138207966683155,0.0006511406299852954,0.04997616600763002,0.5182546093058626,0.2310049391155074,0.08089490104120525
"Cleveland-Akron (Canton) OH Media Market, USA",0.742910642686431,0.04765872103911357,0.1407968176680018,0.022308072604730233,0.0014465852857609009,0.0002207358935238527,0.0446584248224386,0.7160347223974158,0.32965163331762426,0.08126473566863415
"Portland OR Media Market, USA",0.6975192306206259,0.14334221417804105,0.022891285925134737,0.054749563327463335,0.008720571648210938,0.0060193981918336865,0.06675773610869032,0.5725164798663755,0.11899395817576695,0.04032876087908162
"Salt Lake City UT Media Market, USA",0.7546652585856378,0.15067355753082326,0.011189491325898209,0.023145814924480354,0.009292987020363947,0.01045250928907461,0.04058038132372175,0.6477064762701158,0.1316160938731032,0.035812581973075554
"Charlotte NC Media Market, USA",0.6149847714170574,0.1072868569218958,0.19324361551557004,0.03826998790431509,0.0032331270533233186,0.00038964770687579934,0.04259199348096256,0.5795416182797397,0.262055720471453,0.10657214126674067
"Raleigh-Durham (Fayetteville) NC Media Market, USA",0.5342190955516068,0.11930490092907274,0.2483862971682909,0.04474966609131165,0.0063528151990573985,0.0008404844119953499,0.04614674064866511,0.5177991785644038,0.24013475933435213,0.11141634739763881
"San Diego CA Media Market, USA",0.4310794992782717,0.3394639803010638,0.04396113584260259,0.12147171916886015,0.003892480683155226,0.0039391807474436265,0.05619200397860288,0.4574378712121014,0.20108943562661877,0.08258498642617451
"St. Louis MO Media Market, USA",0.7259645087516219,0.03561806084374643,0.16084037309101948,0.026427905239228906,0.002014006842875607,0.0003407694580609937,0.04879437577344672,0.7134154839258212,0.353012458903072,0.07162387523597652
"Indianapolis IN Media Market, USA",0.7360504824679003,0.07365037907503248,0.11172377386539509,0.032357852488983964,0.0018415247104453158,0.0003362840166071579,0.044039703375635675,0.6759767161645948,0.25947629481054063,0.06989964236178546
"Nashville TN Media Market, USA",0.7215460697655677,0.08528234934150482,0.12104603143715811,0.023408175285972523,0.002332463900862422,0.000742326292044136,0.045642583976890264,0.6462640161683776,0.22250092133768926,0.06653496940236875
"Baltimore MD Media Market, USA",0.5427214132361167,0.07523718937057117,0.26985280875607975,0.05984774182418109,0.001975082810919156,0.0003954116445930832,0.04997035235753905,0.5725056503933489,0.31168769699529525,0.13480191155091462
"San Antonio TX Media Market, USA",0.3285551669933814,0.5509206881923693,0.06050132292486281,0.025459735094866744,0.002624273678928241,0.001203734604881685,0.030735078510709897,0.5461452222357313,0.22180816050031918,0.056589839973114314
"Pittsburgh PA Media Market, USA",0.8333331572592019,0.021893761799167733,0.07476072405908625,0.025861416276926577,0.0010656006434453058,0.0002739713485130364,0.0428113686136592,0.7677358602656865,0.218602750003191,0.05215905582301977
"Hartford & New Haven CT Media Market, USA",0.6521111859553311,0.15779523527599393,0.0985246542901848,0.04519789583698325,0.0020932887892755954,0.0003024394516972857,0.043975300400534045,0.5978609585967708,0.2504167965890495,0.10156646148910689
"Columbus OH Media Market, USA",0.7306248623370051,0.04565686112366538,0.1313379280699896,0.04110569393200572,0.0017636106307461201,0.0002701814903195763,0.0492408624162685,0.6713632244291793,0.2581668076745613,0.07393161414741067
"Kansas City MO Media Market, USA",0.7084796458979696,0.09661779673264313,0.10382260152452055,0.028273429740757708,0.004581556314706796,0.002029029847763186,0.05619593994163896,0.6275675503441629,0.21454111845008697,0.06955644974508503
"Cincinnati OH Media Market, USA",0.7714607646403258,0.04008248163270662,0.11210998972464846,0.02786973839266604,0.0014925091621201174,0.0008093991994574483,0.04617511724807553,0.7145613452537114,0.26406832782018236,0.07444977587535186
"Austin TX Media Market, USA",0.5105798107977614,0.31183541595818043,0.06373279173190893,0.06573590202932343,0.0024453287902698804,0.0006575846419732626,0.04501316605058274,0.486309523071276,0.18679545258014965,0.08039749705413599
"Greenville-Spartanburg SC-Asheville NC-Anderson SC Media Market, USA",0.7331582947557521,0.0764657655213324,0.12690999051219007,0.015219677347053302,0.005768521030750279,0.0006686125384020371,0.04180913829451982,0.6689169342186011,0.24510640182135962,0.08371043344743492
"Milwaukee WI Media Market, USA",0.6845305772432861,0.11493849173031985,0.12450559024310626,0.03414733357346148,0.003076802125433203,0.00025636457092902674,0.03854484051346406,0.6674867758789695,0.33513834689975697,0.11410626802076282
"Las Vegas NV Media Market, USA",0.40229699885981396,0.30567366385662,0.11917291500380564,0.10037298340635205,0.003934007911090474,0.00823027364033786,0.06031915732198001,0.3833198594172432,0.13970877333987994,0.06455655290228014
"West Palm Beach-Fort Pierce FL Media Market, USA",0.5584629402217791,0.21630259170913926,0.15796227018179715,0.024757495125103217,0.0013116067090336453,0.00034121981260924316,0.040861876240538386,0.5411121421120881,0.252897613166986,0.11329436574378719
"Grand Rapids-Kalamazoo-Battle Creek MI Media Market, USA",0.77203169568486,0.08510014288101644,0.07019880981684472,0.02110363563388751,0.0036551068417677254,0.000244721234423422,0.04766588790720018,0.6906068042028092,0.20509222561695206,0.06394057323438158
"Fresno-Visalia CA Media Market, USA",0.27346865890573663,0.5775548043674021,0.03368091078345435,0.07413831319694816,0.006957932133591914,0.0013548195911700233,0.03284456102169674,0.533329993479775,0.20059592068058263,0.06468048693722846
"Harrisburg-Lancaster-Lebanon-York PA Media Market, USA",0.7896776564124424,0.08942854993605978,0.05500450378337091,0.027213170721357576,0.0012074382827372972,0.0002642476752955427,0.037204433188736494,0.7109363736439073,0.2052453859241542,0.05798281075859553
"Jacksonville FL Media Market, USA",0.6128900395149203,0.09601159434651736,0.20325484026805732,0.0347533104584474,0.0024972438652776574,0.0008903863543460219,0.04970258519243395,0.5680225601073514,0.24251667564649543,0.08584205725337027
"Norfolk-Portsmouth-Newport News VA Media Market, USA",0.5307256578794283,0.07418601616080271,0.29473079323905016,0.03737451198402333,0.0030381176013540515,0.0013470707912763636,0.05859783234406505,0.5261384330626302,0.23727223357413232,0.11183608966190212
"Oklahoma City OK Media Market, USA",0.6221344593762311,0.13565145334662163,0.08061485118378042,0.02617072458132236,0.04634441561244362,0.0025546691044355243,0.08652942679516532,0.5215196324774379,0.17191682222183022,0.06984104738051614
"Birmingham (Anniston & Tuscaloosa) AL Media Market, USA",0.6433929298299643,0.05081049498953269,0.25426442580979275,0.013334007490292395,0.0023074554098797702,0.0004182837495997193,0.03547240272093835,0.6942790604170641,0.4091685335176518,0.1354384943481512
"Albuquerque-Santa Fe NM Media Market, USA",0.37877896857356486,0.43009590449099144,0.016665877074995415,0.016784830776772824,0.12260161529857894,0.0006936391181565575,0.03437916466693993,0.551506166081687,0.31493846368982104,0.06838571717327871
"Greensboro-High Point-Winston Salem NC Media Market, USA",0.6215017844707521,0.1086525069637883,0.2011522893454039,0.025885162778551532,0.00315818680362117,0.00036614293175487466,0.03928392670612813,0.6030898918888994,0.2904932209385777,0.11997043411057642
"Louisville KY Media Market, USA",0.7558213487064809,0.05878321544160742,0.11626839280040766,0.019975702678860056,0.0019983465401268983,0.0007906887253665252,0.04636230510715052,0.6896018640812713,0.24212882978746433,0.07149710154551055
"Memphis TN Media Market, USA",0.4641144908396951,0.06133055263109443,0.4191177742330891,0.019729930432230706,0.0018138168095235704,0.00032136526677501587,0.033572069787592064,0.6452734907899731,0.4124492963209194,0.16601541041897888
"New Orleans LA Media Market, USA",0.5370889932390848,0.09820460960644392,0.293950637419566,0.02311736328283721,0.007414445752136903,0.00028982657573310493,0.03993412412419808,0.5901664783217279,0.33171974196277926,0.13788742429780726
"ProvidenceRi-New Bedford MA Media Market, USA",0.7155540603093251,0.14127989100609392,0.04682944171641542,0.03102854647750211,0.0026538632231464117,0.0002517262935868253,0.06240247097393023,0.639357240384956,0.21866965398568064,0.07852943000020571
"Richmond-Petersburg VA Media Market, USA",0.5639943776797428,0.07325210236064073,0.27577392301064874,0.03691766792633293,0.0031097351917522436,0.0004700026947664599,0.04648219113611607,0.572353547327512,0.2838204339326334,0.1260428471486809
"Buffalo NY Media Market, USA",0.7668639654838268,0.05525256472576735,0.09841239583035478,0.03249997617164044,0.0068504945178887435,0.00021096040997486902,0.039909642860546914,0.7199178561929087,0.2935834346038577,0.09012854338655865
"Mobile AL-Pensacola (Ft. Walton Beach) FL Media Market, USA",0.6603922227499249,0.055387175766010446,0.20100489881557937,0.020659560760262312,0.008005058890298546,0.0010497461955795565,0.05350133682234484,0.6291845793467293,0.28314423824870444,0.09737978032581329
"Wilkes Barre-Scranton PA Media Market, USA",0.8251736980522603,0.08156628384002865,0.04281777208825685,0.01392436548391697,0.0013026939365699485,0.00018969982986711062,0.03502548676910015,0.7539557703832978,0.2048090268301917,0.0403469805548989
"Little Rock-Pine Bluff AR Media Market, USA",0.6753204130865672,0.06362641635078722,0.19433207753237494,0.012594551053994449,0.004297821606358488,0.0005317805251213529,0.04929693984479634,0.6669262349614188,0.3334432342373843,0.09574676646676648
"Honolulu HI Media Market, USA",0.215741899979363,0.09546880374217515,0.015033363142326478,0.3654770585402765,0.0015931760335695124,0.10245029923643117,0.20423539932585816,0.3508889405752704,0.14398739628961493,0.0715396973970719
"Tulsa OK Media Market, USA",0.5910229918895653,0.09880833953045146,0.06439654486829786,0.022274744639202156,0.10993803812029897,0.0010010729269419071,0.1125582680252424,0.4813864293120172,0.15197522254401355,0.06456668418294713
"Knoxville TN Media Market, USA",0.8491591052755407,0.05150604202631109,0.04044954489921452,0.013042868197936952,0.0023981019278358404,0.0005421241060267193,0.0429022135671341,0.7732624359706568,0.1686460293125468,0.037834867382020555
"Albany-Schenectady-Troy NY Media Market, USA",0.7858971949693117,0.05746713990405242,0.060823532331781484,0.03702456130397938,0.002109712121803077,0.000319116119264331,0.05635874324980765,0.6960898767841966,0.18111511263676033,0.05080209900655819
"Ft. Myers-Naples FL Media Market, USA",0.6508392883397411,0.23057079277998238,0.0690458755084632,0.01514078579804662,0.0018403047334399208,0.0002699018906627441,0.03229305094966401,0.6245353603047584,0.27437200276623896,0.09201078785860405
"Harlingen-Weslaco-Brownsville-Mcallen TX Media Market, USA",0.06778750721240207,0.9135063342127323,0.0038066967379983816,0.008316670718917722,0.0007656940054505801,0.00011612420935743395,0.005700972903141522,0.8686311433501722,0.18232773218940942,0.025071754574265432
"Lexington KY Media Market, USA",0.8407936094482233,0.04523856353834506,0.05717338525643995,0.015149386514015973,0.0016813244644860075,0.0003060405416386003,0.039657690236851076,0.7660458171665726,0.18217126984218415,0.03554945262548425
"Spokane WA Media Market, USA",0.7873207171714335,0.09981906225301597,0.011319240783608886,0.017309844858920714,0.019294944575277726,0.004012725821140429,0.06092346453660279,0.7105552536023119,0.20854355493522442,0.02744339595002657
"Dayton OH Media Market, USA",0.7807174538307833,0.03160965522334782,0.11620241011312023,0.018223146769078012,0.001817637235714315,0.0008895344304805045,0.05054016239747583,0.7312710919118821,0.27980472409641,0.07055208520378398
"Tucson (Sierra Vista) AZ Media Market, USA",0.5032620963068483,0.3740375439049311,0.033487348228472505,0.02688095588422661,0.020147153957629328,0.0019489556113235062,0.040235946106568665,0.5443610996524959,0.24445935091454654,0.06551230337034479
"Wichita-Hutchinson KS Media Market, USA",0.7083055865834416,0.1614206445696901,0.04738829343700534,0.024121357493104126,0.006705315934303379,0.0007581139179343742,0.05130068806452118,0.6420555192695621,0.23326784937404532,0.05762294438729983
"Des Moines-Ames IA Media Market, USA",0.8143368687376289,0.07382319545284267,0.03910485523503697,0.032734814775437174,0.002041668985486541,0.0005374124628192808,0.037421184350748427,0.7233094938789146,0.15548035437850222,0.03512483254280967
"Omaha NE Media Market, USA",0.7395338789203477,0.11866941154543452,0.06391839915959267,0.029422728273945677,0.004002101018316135,0.000741286704281672,0.04371219437808164,0.6636667564377075,0.22184787217658206,0.06749972655880801
