longname,Population (2000),Population Change (2000-2020),PW Density (r=1km) (2000),PW Density (r=1km) Change (2000-2020),AW Density (2000),White % (2000),Hispanic % (2000),Black % (2000),Asian % (2000),Native % (2000),Hawaiian / PI % (2000),Other / Mixed % (2000),Racial Homogeneity (2000) %,Racial Homogeneity Change (2000-2020) %,Segregation (2000) %,Segregation Change (2000-2020) %,Mean Local Segregation (2000) %,Mean Local Segregation Change (2000-2020) %,Housing Units per Adult (2000),Vacancy % (2000),PW Density (r=250m) (2000),PW Density (r=250m) Change (2000-2020),PW Density (r=500m) (2000),PW Density (r=500m) Change (2000-2020),PW Density (r=2km) (2000),PW Density (r=2km) Change (2000-2020),PW Density (r=4km) (2000),PW Density (r=4km) Change (2000-2020)
"Navajo Nation Reservation and Off-Reservation Trust Land, USA",181202.0,-0.0885420690720853,129.59283597535372,-0.12381797610933151,2.8610556646722105,0.024138806414940234,0.013151068972748646,0.0007505435922340813,0.0005960199114800058,0.9546969680246354,0.0001821171951744462,0.0064844758887870994,0.9311581533949705,-0.01011777343522513,0.21503864724811042,0.015047734136191954,0.03343221141732392,0.0015766175408035432,0.61458021550434,0.27192341643076734,770.4021280134469,-0.23214692425963812,272.68187621359186,-0.1553052249285334,71.79278942833868,-0.07507847983813294,33.58814706252274,-0.019513181436176082
"Oneida Indian Nation Reservation, USA",64600.0,-0.02653250773993808,361.22560268711976,-0.013749145023683955,58.53015898341021,0.9708049535603716,0.0072136222910216714,0.005185758513931889,0.0037461300309597524,0.005510835913312693,7.739938080495357e-05,0.0074613003095975235,0.9475844724842696,-0.09335672437301634,0.08129820867541224,0.01998135029460449,0.00827617301989194,0.011088374165740354,0.5690775681341719,0.08642475594032051,867.187686246741,-0.044628361880137295,520.8125455104605,-0.03672427442633458,211.4583436980838,-0.02655619909672451,107.46656270264889,-0.025028169715229413
"Puyallup Reservation and Off-Reservation Trust Land, USA",41151.0,0.3204296371898617,1067.408271432367,0.23850897361234993,541.586354865797,0.694952735048966,0.07137129109863673,0.057203956161454156,0.09547763116327672,0.02928239896964837,0.006026585016159996,0.04568540254185803,0.5858079435540274,-0.21384382702050297,0.16633606112901536,-0.07270088047279899,0.051708400394577685,0.007658441355115182,0.5573927630002397,0.057056872620071246,2434.1515830904245,0.015393611863367867,1409.900248856025,0.12790844345506508,889.4184831164366,0.17783448047008305,785.3688689458535,0.15530557722134605
"Osage Reservation, USA",44437.0,0.031077705515673876,275.1752398064433,-0.019610972115215557,7.4473049755562934,0.6611607444246911,0.021153543218489095,0.10741049125728559,0.0022278731687557667,0.1417512433332583,0.0003150527713391993,0.06598105182618089,0.6215833839775637,-0.066943350684322,0.28009446829938967,-0.02699279951649225,0.09003715943646155,-0.007573382563741279,0.5725421863536317,0.11276629825404454,992.8923512859742,-0.11255422599781066,468.0679793224343,-0.09844978302471377,180.52528441550987,0.05626810644655478,121.20215568144228,0.04750230746706272
"Yakama Nation Reservation and Off-Reservation Trust Land, USA",31812.0,-0.006538413177417327,669.731284876136,0.006483123001807379,5.6154616475326025,0.23629448007041368,0.5041808122720985,0.0027348170501697473,0.012070916635231988,0.21853388658367912,0.000314346787375833,0.025870740601031058,0.5812351851789109,0.050073129756166734,0.3466675537508984,0.012705213436708052,0.18283106622198067,-0.0311439084634777,0.45554445554445555,0.05975877192982456,1503.7980432638924,-0.045834322667732554,999.0796760253138,-0.004952704761885105,369.16095863884317,-0.0025013488555747586,130.20373301612224,0.03230482100118124
"Flathead Reservation, USA",26172.0,0.1787024300779459,167.22944765545233,-0.0006642510271966647,4.910505767569725,0.6722069387131285,0.027166437414030263,0.0008788017728870548,0.0025599877731927252,0.2580238422741862,0.0003056701818737582,0.03885832187070151,0.6496881597676541,-0.05586757925674646,0.26914147703511754,-0.01609316812111361,0.1084925220734174,0.013450240953812156,0.664431330472103,0.1916027452563585,553.0611650695387,-0.04416122893707562,286.6165740101462,-0.054526218137990815,87.31148231561822,0.1147826556069388,37.456743692436504,0.1662506142164856
"Oneida (WI) Reservation and Off-Reservation Trust Land, USA",21340.0,0.2703842549203374,596.9666389927,-0.009181852137617975,80.15204402859412,0.8058106841611996,0.02033739456419869,0.0030459231490159327,0.006466729147141519,0.1457825679475164,0.0003280224929709466,0.01822867853795689,0.7736315870027818,-0.15051122468139166,0.3095914450151421,-0.10673483569735887,0.05069006389635224,0.012241695352994443,0.5135410303400529,0.02498017446471055,1245.7867340826995,0.047868451161872806,745.5569903246268,0.044997305900577246,503.8855342925065,-0.07308991530750468,428.4393426573354,-0.06934376597110099
"Agua Caliente Indian Reservation and Off-Reservation Trust Land, USA",21476.0,0.26140808344198174,900.8074623969186,0.0704773500481756,150.71117217050693,0.8151424846340101,0.12693238964425405,0.018765133171912834,0.020720804619109703,0.005773887129819333,0.00041907245297075806,0.012246228347923263,0.7355412292591262,-0.1272850400576332,0.18939975101239528,-0.07277741321167472,0.17224008988828127,0.0012465741207629555,1.0852881777225416,0.4336291630880809,1367.0622878088573,0.048196798911415976,1037.6251915322362,0.058515547421549255,818.2848092126853,0.0561876180097126,580.4210621949518,0.09094460022887606
"Wind River Reservation and Off-Reservation Trust Land, USA",23250.0,0.10791397849462366,313.13698772848755,-0.03427654416013421,2.54096268558344,0.6564301075268817,0.05131182795698925,0.0012473118279569893,0.001978494623655914,0.2695483870967742,0.0003010752688172043,0.01918279569892473,0.7745409022614069,-0.10318197755478031,0.5431283756735746,-0.12305418150350517,0.11226461273324113,0.00010993879967860498,0.566567236866135,0.0993875577522295,709.7185082429972,0.05857701904553267,415.1102636901536,0.02032401932590466,217.26668432805732,-0.03248065980611967,102.28056821856391,0.05740974799396073
"Isabella Reservation and Off-Reservation Trust Land, USA",25913.0,-0.013159418052714854,535.6031540399302,-0.19032992880852795,45.49935332417781,0.8943773395592945,0.022922857253116196,0.01115270327634778,0.007370817736271369,0.049589009377532516,0.00027013468143402927,0.01431713811600355,0.8379760454963266,-0.11291904956639065,0.17404421490078506,-0.02676814546205178,0.02096008859637998,0.012086917419359394,0.5469834902021293,0.06459802538787024,948.1119577915127,-0.17178256312180695,659.1113943952332,-0.1725731616358807,478.5089945367607,-0.2324202344879195,275.7109575137145,-0.10739730890394385
