longname,High School %,Undergrad %,Grad %,Undergrad STEM %,Undergrad Humanities %,Undergrad Business %,% of women with high school education - % of men with high school education,% of women with undergraduate education - % of men with undergraduate education,% of women with graduate education - % of men with graduate education
"Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.7759615082046982,0.08885106244157558,0.03665311714894782,0.037025143576243806,0.04100632548599316,0.010819593379338787,-0.018307392060755268,0.042813313759393484,0.024231045705641073
"Oneida Indian Nation Reservation, USA",0.932969456883962,0.22221332763337878,0.09611190415732365,0.10118659557277294,0.08243716122411081,0.038589570836494794,0.01237643481925288,0.016632488468308865,0.01855738266739472
"Puyallup Reservation and Off-Reservation Trust Land, USA",0.9086769740606369,0.283244028910585,0.1040951622677072,0.12852230616505703,0.0963923975341821,0.05832932521134575,0.014066915293539095,0.044866011827885965,0.021962362923765244
"Osage Reservation, USA",0.8994485984006473,0.17890239325615673,0.055688674615318214,0.06261728109933881,0.07012327145702829,0.04616184069978938,0.061751694414329594,0.04079370422695777,0.01900129615738399
"Yakama Nation Reservation and Off-Reservation Trust Land, USA",0.6673000755151587,0.09783667257958921,0.03334927874250578,0.04328549460731983,0.040028056557181196,0.014523121415088297,0.07625758158691243,0.03176475658474244,0.013646171226753958
"Flathead Reservation, USA",0.9194605533231454,0.28259779721337225,0.08719928333392513,0.12044447743014042,0.12097319277424223,0.0411801270089901,0.020103178668641863,0.050383212057215465,0.00170817321267
"Oneida (WI) Reservation and Off-Reservation Trust Land, USA",0.9386767259991955,0.3862134243163987,0.1459716998230682,0.17553365032189674,0.12646401341487737,0.08421576057962452,0.030042332344031197,0.004822893802390149,-0.010872621552499545
"Agua Caliente Indian Reservation and Off-Reservation Trust Land, USA",0.9463243281660686,0.43187080015308105,0.19946130027230158,0.17485185163409303,0.17491232370773085,0.08210662481125691,-0.02299068121894965,-0.08839802563643206,-0.039572149132261564
"Wind River Reservation and Off-Reservation Trust Land, USA",0.922091560571871,0.1816361510870784,0.06293201883148535,0.08924254294343044,0.07504437940965505,0.017349228733993017,0.05496274705180859,0.02966713054204606,-0.017796890579202237
"Isabella Reservation and Off-Reservation Trust Land, USA",0.9192970678702642,0.28117714236564373,0.12907091445184493,0.10978130864686507,0.12912386693249542,0.042271966786283456,0.01858911476589664,0.06553044328983093,0.029773106058389537
"Uintah and Ouray Reservation and Off-Reservation Trust Land, USA",0.8915637196718282,0.12980783326032824,0.04034850715165711,0.046617195513818835,0.06119800098358056,0.02199263676292887,0.03370253765821263,0.02878436469565246,-0.0075754456379781565
"Pine Ridge Reservation, USA",0.7835426308451189,0.11549574882736369,0.03721426144418795,0.023760169031466844,0.06451956086187294,0.027216018934023815,-0.0053634305479698385,0.10278436352253581,0.06089794046300081
