longname,2020 Presidential Election,2016 Presidential Election,2016-2020 Swing
"Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.572366310949332,0.5807462414618744,-0.008379930512542377
"Oneida Indian Nation Reservation, USA",-0.18931436983326003,-0.22620445380923632,0.03689008397597629
"Puyallup Reservation and Off-Reservation Trust Land, USA",0.19221058936509494,0.15423268380801805,0.03797790555707689
"Osage Reservation, USA",-0.3952688185816647,-0.3680269956764782,-0.027241822905186508
"Yakama Nation Reservation and Off-Reservation Trust Land, USA",0.3019415179905886,0.25963167318518715,0.04230984480540145
"Flathead Reservation, USA",-0.11899852652017594,-0.18459926830295073,0.0656007417827748
"Oneida (WI) Reservation and Off-Reservation Trust Land, USA",-0.09061076922935767,-0.1410432818827697,0.050432512653412045
"Agua Caliente Indian Reservation and Off-Reservation Trust Land, USA",0.48363868010071404,0.39630129970438116,0.08733738039633288
"Wind River Reservation and Off-Reservation Trust Land, USA",-0.42097773425416823,-0.46231171147432254,0.041333977220154305
"Isabella Reservation and Off-Reservation Trust Land, USA",0.010257067743377781,-0.016798686727212738,0.02705575447059052
"Uintah and Ouray Reservation and Off-Reservation Trust Land, USA",-0.7438380375520733,-0.6871918827808648,-0.05664615477120849
"Pine Ridge Reservation, USA",0.48052530814254885,0.44724062490209093,0.03328468324045791
"Nez Perce Reservation, USA",-0.3678932820952753,-0.48741713661945235,0.11952385452417708
"Fort Apache Reservation, USA",0.015881114836437074,0.05954803540131098,-0.0436669205648739
"Gila River Indian Reservation, USA",0.7613831627774139,0.7139672427939407,0.047415919983473165
"Southern Ute Reservation, USA",-0.16825968743337008,-0.23661326035362282,0.06835357292025274
"Leech Lake Reservation and Off-Reservation Trust Land, USA",-0.0060209289618499365,-0.08147418566996766,0.07545325670811771
"Santa Clara Pueblo and Off-Reservation Trust Land, USA",0.3481564236430365,0.39214832624774226,-0.04399190260470576
"Lake Traverse Reservation and Off-Reservation Trust Land, USA",-0.10007297456006062,-0.13103997544043455,0.030967000880373935
"Tulalip Reservation and Off-Reservation Trust Land, USA",0.12600450016072035,0.0996663886572139,0.026338111503506442
"Blackfeet Indian Reservation and Off-Reservation Trust Land, USA",0.5987535113925228,0.6052362813883485,-0.0064827699958257545
"Rosebud Indian Reservation and Off-Reservation Trust Land, USA",0.39396608416706524,0.30949833562966395,0.0844677485374013
"San Carlos Reservation, USA",0.6815582558970699,0.7589605734767028,-0.0774023175796329
"Fort Peck Indian Reservation and Off-Reservation Trust Land, USA",0.06321592372102577,0.04154195653997072,0.021673967181055055
"White Earth Reservation and Off-Reservation Trust Land, USA",-0.03360064260932526,-0.046600675376978574,0.013000032767653318
"Tohono O'odham Nation Reservation and Off-Reservation Trust Land, USA",0.8237044472492329,0.7863635753788675,0.03734087187036539
"Eastern Cherokee Reservation, USA",-0.011664704979265183,-0.07451364898488047,0.06284894400561529
"Colorado River Indian Reservation, USA",-0.10026859166421935,-0.15608410463294964,0.05581551296873029
"Fort Berthold Reservation, USA",0.21355402973256252,0.2428400575946882,-0.029286027862125696
"Mississippi Choctaw Reservation and Off-Reservation Trust Land, USA",-0.1373101636249924,-0.22461950686924623,0.08730934324425382
"Port Madison Reservation, USA",0.4289309239724984,0.3689864366011685,0.0599444873713299
"Standing Rock Reservation, USA",0.20651165338093455,0.18049357120774012,0.02601808217319443
"Colville Reservation and Off-Reservation Trust Land, USA",0.2650917774171723,0.14411033706649504,0.12098144035067729
"Cheyenne River Reservation and Off-Reservation Trust Land, USA",0.14858577638234338,0.06344301518921544,0.08514276119312794
"Turtle Mountain Reservation and Off-Reservation Trust Land, USA",0.6168556769285285,0.5262218760142032,0.09063380091432527
"Coeur d'Alene Reservation, USA",-0.44955698514871556,-0.4292951528877489,-0.020261832260966672
"Zuni Reservation and Off-Reservation Trust Land, USA",0.8449766254253313,0.8151216529166555,0.029854972508675748
"Crow Reservation and Off-Reservation Trust Land, USA",0.1963518126971374,0.26319627876022544,-0.06684446606308805
"Allegany Reservation, USA",-0.039002742326566274,-0.10467785949336865,0.06567511716680238
"Yankton Reservation, USA",-0.15394501109550315,-0.24454556913433778,0.09060055803883463
"Ohkay Owingeh, USA",0.4379383300011269,0.4812667527501649,-0.043328422749037976
"Hopi Reservation and Off-Reservation Trust Land, USA",0.49112255384727105,0.39163319407149305,0.099489359775778
"Salt River Reservation, USA",0.5301261092947221,0.3481228668941976,0.18200324240052457
"Fort Hall Reservation and Off-Reservation Trust Land, USA",0.45614373357693644,0.31811518898858143,0.138028544588355
"Lummi Reservation, USA",0.3653514028344124,0.3144400450881397,0.0509113577462727
"Red Lake Reservation, USA",0.9006592804936222,0.8531147729608036,0.04754450753281858
