longname,Silent %,Boomer %,Gen X %,Millennial %,Gen Z %,Gen Alpha %
"Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.051966324565840466,0.20635567984660516,0.17045675514366726,0.20292264226105125,0.2307209842765592,0.13757761390627657
"Oneida Indian Nation Reservation, USA",0.07063008665995842,0.28273181229309396,0.20010753769725262,0.1562649138186368,0.1884333361106546,0.10183231342040357
"Puyallup Reservation and Off-Reservation Trust Land, USA",0.04322234339133635,0.21333350112288196,0.18622536444089202,0.23582643157140795,0.18535577808200984,0.1360365813914717
"Osage Reservation, USA",0.0793021239705245,0.2719549198092761,0.1847420892934547,0.17093628088426527,0.18283485045513653,0.11022973558734286
"Yakama Nation Reservation and Off-Reservation Trust Land, USA",0.05087007461937084,0.17320596070927155,0.1698875146915312,0.17520062247088797,0.26914121770978494,0.16169460979915354
"Flathead Reservation, USA",0.08182348250773666,0.27103485078273004,0.16180509673678653,0.16126024737462888,0.20188259606715253,0.12219372653096539
"Oneida (WI) Reservation and Off-Reservation Trust Land, USA",0.040483389963894875,0.30502491649297114,0.14432150851405867,0.19403475824060412,0.18963783921119393,0.1264975875772773
"Agua Caliente Indian Reservation and Off-Reservation Trust Land, USA",0.20109691624426654,0.4433849335510407,0.15513713608343155,0.09947945427692029,0.0630349490101663,0.037866610834174426
"Wind River Reservation and Off-Reservation Trust Land, USA",0.05992422550342779,0.22863732061038056,0.16207409575683873,0.1853647527722959,0.2169832449709361,0.14701636038612115
"Isabella Reservation and Off-Reservation Trust Land, USA",0.059891420341679144,0.23811076935187936,0.18309736741490595,0.20045670008428526,0.20919250684076007,0.10925123596649017
"Uintah and Ouray Reservation and Off-Reservation Trust Land, USA",0.04497493094717372,0.18148185699043673,0.1699030432169783,0.200287268978189,0.2260913942260427,0.17726150564117957
"Pine Ridge Reservation, USA",0.03456522778974017,0.13933833392743758,0.14731583623297534,0.19980675958912958,0.2798909961458022,0.19908284631491505
"Nez Perce Reservation, USA",0.0901164308463426,0.33315929619380774,0.1679632433561322,0.15752101498459772,0.14780974259907065,0.10343027202004908
"Fort Apache Reservation, USA",0.022673289950202926,0.16986423410360368,0.15615185186094863,0.2015855047128847,0.26892156667491895,0.18080355269744114
"Gila River Indian Reservation, USA",0.03882564145242459,0.14929795628595355,0.16751933231541102,0.22523994490311341,0.27815282762181526,0.14096429742128228
"Southern Ute Reservation, USA",0.058393663189481304,0.3152347555806954,0.19100887003040698,0.16654336837190134,0.17365654218529403,0.0951628006422209
"Leech Lake Reservation and Off-Reservation Trust Land, USA",0.07322255656603253,0.2720624275480426,0.1489121128199222,0.15086932463890929,0.19775390189552317,0.1571796765315703
"Santa Clara Pueblo and Off-Reservation Trust Land, USA",0.06844362229883125,0.242075170268225,0.1926343227108383,0.153199360968637,0.21214159589674597,0.13150592785672244
"Lake Traverse Reservation and Off-Reservation Trust Land, USA",0.06762895423570936,0.2456629136943354,0.14278957266303066,0.1789805171975,0.1996212246653748,0.16531681754404984
"Tulalip Reservation and Off-Reservation Trust Land, USA",0.061685748124753255,0.31148835373075406,0.18101065929727594,0.1758784050532965,0.16275167785234898,0.10718515594157126
"Blackfeet Indian Reservation and Off-Reservation Trust Land, USA",0.03801170108595965,0.17834820931624493,0.1478770655959962,0.21604259840519363,0.24928721707370016,0.17043320852290558
"Rosebud Indian Reservation and Off-Reservation Trust Land, USA",0.027283176501056806,0.14443060879142688,0.14962878274236496,0.18724863193230898,0.2578136866891651,0.2335951133436774
"San Carlos Reservation, USA",0.022561257512713824,0.1536754507628294,0.14720295885344428,0.2226537216828479,0.2566805362921868,0.19722607489597782
"Fort Peck Indian Reservation and Off-Reservation Trust Land, USA",0.038501162315951416,0.18877607077936687,0.1362761183336479,0.20217754932667567,0.23938910739660127,0.19487999184775698
"White Earth Reservation and Off-Reservation Trust Land, USA",0.0650460023284319,0.2469533304766998,0.14950494009210008,0.16225241574703891,0.20645559611199837,0.1697877152437309
"Tohono O'odham Nation Reservation and Off-Reservation Trust Land, USA",0.05536793342963982,0.18158202487007563,0.15695013513192993,0.1704904356276213,0.2706931185536971,0.16491635238703617
"Eastern Cherokee Reservation, USA",0.07921228993269294,0.23202027194823652,0.1771518093174964,0.16857447873982573,0.2226172950037098,0.12042385505803875
"Colorado River Indian Reservation, USA",0.09056722273214374,0.22856280592691627,0.1769023602474549,0.1776557183449187,0.19532992866063262,0.1309819640879337
"Fort Berthold Reservation, USA",0.026229302069740702,0.1869831774165103,0.19270199554595696,0.17841849650123673,0.22071735911363324,0.19494966935292204
"Mississippi Choctaw Reservation and Off-Reservation Trust Land, USA",0.04682103907752805,0.15393987241237939,0.18031612692102386,0.19088872574559426,0.30370817505751335,0.12432606078596103
"Port Madison Reservation, USA",0.06857870619391697,0.289501233129002,0.19582254405325247,0.17864745732045548,0.17744329713978557,0.09000676216358752
"Standing Rock Reservation, USA",0.03358798168482399,0.1718783036633019,0.14721999887996884,0.18306994823094128,0.28380227335845915,0.18044149418250488
"Colville Reservation and Off-Reservation Trust Land, USA",0.07929289608425555,0.24654767248058138,0.18143387660702184,0.18810467905303993,0.18128407372360225,0.12333680205149901
"Cheyenne River Reservation and Off-Reservation Trust Land, USA",0.03336795669518045,0.18458534181473987,0.14593918245572524,0.1977966397280953,0.23580776448264607,0.20250311482361308
"Turtle Mountain Reservation and Off-Reservation Trust Land, USA",0.030738695376924408,0.18051519364542618,0.1717999438812687,0.18426852045929779,0.27018179449689256,0.1624958521401903
"Coeur d'Alene Reservation, USA",0.0768468021814576,0.32498760535448684,0.1633614278631631,0.14092711948438275,0.17786316311353495,0.11601388200297472
"Zuni Reservation and Off-Reservation Trust Land, USA",0.026187467563394178,0.1811544562076693,0.2195353412170795,0.17843071909828165,0.2657208834063152,0.12897113250726008
"Crow Reservation and Off-Reservation Trust Land, USA",0.03928275940943179,0.20084226019737017,0.14433143947628638,0.16775726601326194,0.2578351829146,0.18995109198904972
"Allegany Reservation, USA",0.06726314107684933,0.22271928423070778,0.17718485381051285,0.1968365553602812,0.18405496085636683,0.151941204665282
"Yankton Reservation, USA",0.0769788344447666,0.21745433458973615,0.15352276022035372,0.14134531748332851,0.2316613511162656,0.17903740214554945
"Ohkay Owingeh, USA",0.06311033377058738,0.20317737939075936,0.19574406063256086,0.18189768255356362,0.22824661128115434,0.12782393237137443
"Hopi Reservation and Off-Reservation Trust Land, USA",0.05702127681609627,0.2169807093326007,0.17168325504442944,0.17404734713445896,0.22030994040467927,0.15995747126773538
"Salt River Reservation, USA",0.11599086451352426,0.2277698835251729,0.14143682333848998,0.22137728923196395,0.16267093666158006,0.13075420272926888
"Fort Hall Reservation and Off-Reservation Trust Land, USA",0.06482501420024221,0.23490780629029365,0.19079094382549655,0.163690556734549,0.21690423430886768,0.128881444640551
"Lummi Reservation, USA",0.05753161613158797,0.25065408516975496,0.17012871189955664,0.18898900920711822,0.20163916005137666,0.13105741754060565
"Red Lake Reservation, USA",0.01084418907867712,0.12514289737376316,0.14932813813282914,0.17096868989682937,0.3014676044754443,0.24224848104245697
"Nanakuli Hawaiian Home Land, USA",0.052977516188306754,0.17107028637773503,0.17590999921326528,0.20493946077630215,0.2208985499172695,0.17420418752712136
"Mille Lacs Reservation and Off-Reservation Trust Land, USA",0.1148005803466851,0.30148442439826256,0.17837251310766894,0.12916094520087285,0.16235626185534965,0.11382527509116104
"Sandia Pueblo, USA",0.08437373992721027,0.2654651172871146,0.19718015238332204,0.1876059159192892,0.16669463410928453,0.09868044037377934
"Taos Pueblo and Off-Reservation Trust Land, USA",0.15027059531008904,0.29895496509297403,0.17953506471368247,0.13721493954613825,0.15964747222170445,0.07437696311541177
"Omaha Reservation, USA",0.06110900504432352,0.1860063852061013,0.13386874931737788,0.16695730589250407,0.2409365737504626,0.21112198078923047
"Northern Cheyenne Indian Reservation and Off-Reservation Trust Land, USA",0.01382428217268076,0.1566443683664934,0.12309158315875841,0.18104185941476028,0.2875444821492345,0.23785342473807256
"Muckleshoot Reservation and Off-Reservation Trust Land, USA",0.06492457698665267,0.17430304628575202,0.16184950716105168,0.26835587587817394,0.17381194426705723,0.15675504942131246
"Fond du Lac Reservation and Off-Reservation Trust Land, USA",0.05529567563533266,0.22462671396986905,0.16193533041382624,0.1837542605310014,0.22460108576904503,0.14978693368092555
"Mescalero Reservation, USA",0.06317103620474407,0.16853932584269662,0.1418227215980025,0.2441947565543071,0.24694132334581773,0.13533083645443195
