longname,Population,Population (2010),Population Change (2010-2020),Population (2000),Population Change (2000-2020),PW Density (r=1km),PW Density (r=1km) (2010),PW Density (r=1km) Change (2010-2020),PW Density (r=1km) (2000),PW Density (r=1km) Change (2000-2020),AW Density,AW Density (2010),AW Density (2000),Area,Compactness
"Navajo Nation Reservation and Off-Reservation Trust Land, USA",165158.0,174225.0,-0.05204189984215813,181202.0,-0.0885420690720853,113.54691330661686,123.22102088556252,-0.07851020474769622,129.59283597535372,-0.12381797610933151,2.6077318763917225,2.750893605906755,2.8610556646722105,63333.96523438848,0.008428113844081358
"Oneida Indian Nation Reservation, USA",62886.0,66537.0,-0.05487172550610938,64600.0,-0.02653250773993808,356.2590594895069,378.3742828637301,-0.05844800869351871,361.22560268711976,-0.013749145023683955,56.97720708716307,60.285157713299775,58.53015898341021,1103.7045024653055,0.1888169391489589
"Puyallup Reservation and Off-Reservation Trust Land, USA",54337.0,46690.0,0.1637823945170272,41151.0,0.3204296371898617,1321.9947226770335,1153.2884830532926,0.14628277495418732,1067.408271432367,0.23850897361234993,715.1266740624241,614.4848705665491,541.586354865797,75.98234266850585,0.3407553557062999
"Osage Reservation, USA",45818.0,47472.0,-0.034841590832490735,44437.0,0.031077705515673876,269.7787858518014,276.81109303988285,-0.025404715941308928,275.1752398064433,-0.019610972115215557,7.678750126472045,7.955948011783162,7.4473049755562934,5966.856486454105,0.4040484448166679
"Yakama Nation Reservation and Off-Reservation Trust Land, USA",31604.0,31287.0,0.01013200370761019,31812.0,-0.006538413177417327,674.0732351741465,725.3128283998318,-0.07064481864842914,669.731284876136,0.006483123001807379,5.578745439099094,5.522788525284564,5.6154616475326025,5665.072971155984,0.1222046810542059
"Flathead Reservation, USA",30849.0,28359.0,0.0878028139215064,26172.0,0.1787024300779459,167.11836532306967,170.09050790982226,-0.017473888597759685,167.22944765545233,-0.0006642510271966647,5.788025081146204,5.320840327927168,4.910505767569725,5329.797222283454,0.2931986129432114
"Oneida (WI) Reservation and Off-Reservation Trust Land, USA",27110.0,22795.0,0.1892958982232946,21340.0,0.2703842549203374,591.4853795823783,539.932645225461,0.09547993590087576,596.9666389927,-0.009181852137617975,101.82389473360762,85.61695612145282,80.15204402859412,266.2439898898522,0.3446051904038377
"Agua Caliente Indian Reservation and Off-Reservation Trust Land, USA",27090.0,24807.0,0.09203047526907727,21476.0,0.26140808344198174,964.293985250275,962.6411700984413,0.0017169587206255401,900.8074623969186,0.0704773500481756,190.1082908408937,174.0869830524197,150.71117217050693,142.49773053123857,0.02024894972944437
"Wind River Reservation and Off-Reservation Trust Land, USA",25759.0,26490.0,-0.027595318988297472,23250.0,0.10791397849462366,302.40373394044065,321.06055703981207,-0.05810998171618429,313.13698772848755,-0.03427654416013421,2.8151680781911326,2.895058130800229,2.54096268558344,9150.075336372553,0.49825024296384157
"Isabella Reservation and Off-Reservation Trust Land, USA",25572.0,26366.0,-0.030114541454904043,25913.0,-0.013159418052714854,433.6618438618873,499.2098638307153,-0.13130353528241917,535.6031540399302,-0.19032992880852795,44.90060831265678,46.29475358874975,45.49935332417781,569.5245779730707,0.2998903526899092
"Uintah and Ouray Reservation and Off-Reservation Trust Land, USA",25192.0,24369.0,0.033772415774139274,19182.0,0.31331456573871336,183.27530684664458,187.54732545446677,-0.022778349930985084,158.12397882285,0.15906080918930202,1.4253507325531432,1.3787858050804838,1.0853079450553507,17674.246362419948,0.26466764210346244
"Pine Ridge Reservation, USA",18850.0,18830.0,0.0010621348911311736,17649.0,0.06804918125672843,145.42079181546785,166.77284415239367,-0.12803075012269233,164.46434622205635,-0.115791384844447,1.6718862773521106,1.670112392707705,1.565364504455565,11274.690303609725,0.4036905317694575
"Nez Perce Reservation, USA",18403.0,18453.0,-0.002709586517097491,17970.0,0.024095715080690038,113.26809006723191,125.75462273800754,-0.09929283233420058,124.8782115177536,-0.09297155452031045,5.896692630926503,5.912713640085136,5.7579506916127405,3120.9020296363105,0.5480860345947652
"Fort Apache Reservation, USA",14360.0,13409.0,0.07092251472891342,12429.0,0.1553624587657897,190.40461717230994,204.64586255794373,-0.06958970588326213,173.20969855720588,0.09927226222511495,2.107091558049629,1.9675480990172338,1.823749371518025,6815.081169653556,0.2893852408452096
"Gila River Indian Reservation, USA",14053.0,11704.0,0.20070061517429938,11257.0,0.24837878653282403,152.4824629885869,151.58287198787903,0.005934648083325611,143.7530087145589,0.060725367434649784,9.29544820210274,7.74168688233192,7.446015826590091,1511.815212613529,0.258668493169645
"Southern Ute Reservation, USA",12321.0,12141.0,0.014825796886582653,11159.0,0.1041311945514831,53.33500317426167,54.70134813122835,-0.0249782684274768,64.70884280024457,-0.17576947962265072,4.464460458991254,4.399238246295984,4.043414841480676,2759.795973819406,0.29988519642302847
"Leech Lake Reservation and Off-Reservation Trust Land, USA",11388.0,10660.0,0.06829268292682927,10205.0,0.1159235668789809,43.99384751489819,46.26983560190623,-0.04918945696263229,47.84754358717038,-0.08054114764013713,3.3557436859957828,3.1412212585805275,3.007144741445993,3393.5845718862543,0.14812428414668724
