longname,PW Density (r=250m),PW Density (r=250m) (2010),PW Density (r=250m) Change (2010-2020),PW Density (r=250m) (2000),PW Density (r=250m) Change (2000-2020),PW Density (r=500m),PW Density (r=500m) (2010),PW Density (r=500m) Change (2010-2020),PW Density (r=500m) (2000),PW Density (r=500m) Change (2000-2020),PW Density (r=2km),PW Density (r=2km) (2010),PW Density (r=2km) Change (2010-2020),PW Density (r=2km) (2000),PW Density (r=2km) Change (2000-2020),PW Density (r=4km),PW Density (r=4km) (2010),PW Density (r=4km) Change (2010-2020),PW Density (r=4km) (2000),PW Density (r=4km) Change (2000-2020)
"Navajo Nation Reservation and Off-Reservation Trust Land, USA",591.5556435520452,568.1139673067703,0.04126227763137692,770.4021280134469,-0.23214692425963812,230.33295609430547,227.68035556667627,0.011650546315368824,272.68187621359186,-0.1553052249285334,66.40269593471983,72.45319752088373,-0.0835091037137446,71.79278942833868,-0.07507847983813294,32.932735454786766,35.480059194140985,-0.07179592698579468,33.58814706252274,-0.019513181436176082
"Oneida Indian Nation Reservation, USA",828.4865203669225,907.2207487913072,-0.08678618575388905,867.187686246741,-0.044628361880137295,501.6860826644565,535.3086201821587,-0.06280963214502493,520.8125455104605,-0.03672427442633458,205.8428138221739,219.7602386229822,-0.06333004044778481,211.4583436980838,-0.02655619909672451,104.77687133261465,111.04732851611601,-0.056466528887197394,107.46656270264889,-0.025028169715229413
"Puyallup Reservation and Off-Reservation Trust Land, USA",2471.621967777121,2271.5489027157546,0.08807781545982507,2434.1515830904245,0.015393611863367867,1590.238395114108,1400.5380016937004,0.13544823003088735,1409.900248856025,0.12790844345506508,1047.5877569819374,931.1663478508618,0.12502750920904412,889.4184831164366,0.17783448047008305,907.3410344691649,806.0186156548119,0.12570729366100108,785.3688689458535,0.15530557722134605
"Osage Reservation, USA",881.138121187835,936.3772452356004,-0.05899238189397343,992.8923512859742,-0.11255422599781066,421.98678831732445,438.7241719845457,-0.03815012879621056,468.0679793224343,-0.09844978302471377,190.68310033529636,195.32907773468244,-0.023785385428874876,180.52528441550987,0.05626810644655478,126.95953774629295,128.33702084590774,-0.01073332613251725,121.20215568144228,0.04750230746706272
"Yakama Nation Reservation and Off-Reservation Trust Land, USA",1434.8724785218303,1541.5359044289366,-0.0691929559348278,1503.7980432638924,-0.045834322667732554,994.1315293563606,1082.6350517774952,-0.08174825143138258,999.0796760253138,-0.004952704761885105,368.237558297429,387.3350294259724,-0.04930478701305604,369.16095863884317,-0.0025013488555747586,134.40994130489366,138.58218787945665,-0.030106658282752382,130.20373301612224,0.03230482100118124
"Flathead Reservation, USA",528.637304342697,547.3181745599267,-0.034131646061726494,553.0611650695387,-0.04416122893707562,270.9884561737054,280.58919376917584,-0.03421634834365145,286.6165740101462,-0.054526218137990815,97.33332612078316,98.0207115901154,-0.007012655368251364,87.31148231561822,0.1147826556069388,43.683950337853545,41.30093432287636,0.05769884033004182,37.456743692436504,0.1662506142164856
"Oneida (WI) Reservation and Off-Reservation Trust Land, USA",1305.4206155212462,1163.365926107576,0.12210662718046168,1245.7867340826995,0.047868451161872806,779.1050462845777,684.2619440492724,0.1386064255949266,745.5569903246268,0.044997305900577246,467.0565832663905,452.1168160076854,0.03304404244599287,503.8855342925065,-0.07308991530750468,398.72974514729276,394.14536371588224,0.011631194613556712,428.4393426573354,-0.06934376597110099
"Agua Caliente Indian Reservation and Off-Reservation Trust Land, USA",1432.950313993761,1380.244224129624,0.038186060801937656,1367.0622878088573,0.048196798911415976,1098.3423976331349,1075.7357475116896,0.021015058924775176,1037.6251915322362,0.058515547421549255,864.2622834958783,867.5561963712762,-0.003796771770146287,818.2848092126853,0.0561876180097126,633.2072236606913,630.849947757976,0.0037366665577020066,580.4210621949518,0.09094460022887606
"Wind River Reservation and Off-Reservation Trust Land, USA",751.2917028173143,715.9178425743976,0.04941050234998261,709.7185082429972,0.05857701904553267,423.54697271177366,438.7037934395067,-0.034549098855291775,415.1102636901536,0.02032401932590466,210.2097190671941,226.85005318458687,-0.07335389118843452,217.26668432805732,-0.03248065980611967,108.15246986467078,112.84987959057916,-0.04162529674777368,102.28056821856391,0.05740974799396073
"Isabella Reservation and Off-Reservation Trust Land, USA",785.2428555556522,860.6541078871162,-0.08762085911214282,948.1119577915127,-0.17178256312180695,545.3664571942139,621.7547513883109,-0.12285920457146515,659.1113943952332,-0.1725731616358807,367.2938218219482,433.19761972572564,-0.15213333338605073,478.5089945367607,-0.2324202344879195,246.10034264141197,292.5299371428215,-0.15871741181396168,275.7109575137145,-0.10739730890394385
