longname,Not Cohabiting With Partner %,Cohabiting With Partner (Gay) %,Cohabiting With Partner (Straight) %,Living With Parents %,Other Living Situation %,Never Married %,Married (not divorced) %,Divorced %
"Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.1725294443710973,0.0017202687652445035,0.23271330171676147,0.5118604954009435,0.0811764897459531,0.5347330886274204,0.3971280470221361,0.06813886435044342
"Oneida Indian Nation Reservation, USA",0.15394376774924418,0.002359427742062607,0.4578506402623466,0.3113910676438109,0.07445509660253574,0.2987741524982994,0.5752994705000514,0.1259263770016492
"Puyallup Reservation and Off-Reservation Trust Land, USA",0.13690452112540433,0.0073200715793057996,0.432555587441623,0.3275013460833037,0.0957184737703633,0.3105018721077059,0.5778182695684709,0.11167985832382316
"Osage Reservation, USA",0.1514521022973576,0.0012570437798006045,0.42509752925877625,0.3335283918508883,0.0886649328131772,0.25734055988212867,0.6213165649337004,0.12134287518417103
"Yakama Nation Reservation and Off-Reservation Trust Land, USA",0.10234606467483132,0.003158122775175634,0.35509257744345896,0.4482545100865912,0.09114872501994295,0.40022383712270393,0.5159132436966913,0.08386291918060486
"Flathead Reservation, USA",0.16882565471333877,0.005691553630557132,0.4046031518763998,0.3346426799674705,0.08623695981223398,0.2872039723960631,0.5759849368818943,0.13681109072204253
"Oneida (WI) Reservation and Off-Reservation Trust Land, USA",0.12382453461348893,0.003855201325687196,0.4965340784205295,0.30703931645894483,0.0687468691813497,0.2965273298154911,0.5913942807507521,0.11207838943375681
"Agua Caliente Indian Reservation and Off-Reservation Trust Land, USA",0.3129408110514256,0.16358749448247575,0.32217036586079917,0.11264747130159283,0.08865385730370663,0.3155473564360344,0.530422762589018,0.15402988097494763
"Wind River Reservation and Off-Reservation Trust Land, USA",0.1652182742518153,0.0016233607493140497,0.3632222126488864,0.3805339509369865,0.08940220141299791,0.32013751526792905,0.5311173271741604,0.14874515755791062
"Isabella Reservation and Off-Reservation Trust Land, USA",0.1774204489130377,0.0034601661233621185,0.4396412680617838,0.2917253583781479,0.08775275852366851,0.34508418142771413,0.5256886560409143,0.12922716253137154
"Uintah and Ouray Reservation and Off-Reservation Trust Land, USA",0.10911767713572487,0.002014109005383964,0.4114482575051017,0.4200444282717458,0.057375528082043506,0.2856504135661201,0.6120499151921324,0.10229967124174755
"Pine Ridge Reservation, USA",0.12256086604228963,0.004175498251801981,0.16438744324661758,0.5666989317763764,0.1421772606829144,0.5746771446466021,0.3197558502468833,0.1055670051065146
"Nez Perce Reservation, USA",0.1646217302772411,0.0025061348091682777,0.44504777319479955,0.27948624236412073,0.10833811935467035,0.2356802278778873,0.6128552851569756,0.15146448696513712
"Fort Apache Reservation, USA",0.1193237133133438,0.0,0.2743026863562287,0.5293879366424336,0.07698566368799407,0.4430395739057985,0.4612655485148782,0.09569487757932318
"Gila River Indian Reservation, USA",0.20818097051365486,0.008508426732520237,0.14194921371443708,0.45902755014173313,0.18233383889765464,0.5823937486914571,0.3282975463967288,0.08930870491181404
"Southern Ute Reservation, USA",0.1641856253828372,0.0031835606206506786,0.44735404809079066,0.3026726934569875,0.08260407244873398,0.26138226631888384,0.6134247543574515,0.12519297932366458
"Leech Lake Reservation and Off-Reservation Trust Land, USA",0.1658578469766456,0.0026911842373657353,0.37895697696019726,0.36547107002241963,0.08702292180337183,0.3634685579172238,0.5053727102634469,0.13115873181932938
"Santa Clara Pueblo and Off-Reservation Trust Land, USA",0.19868830404439616,0.0045404860001681665,0.3114437063819051,0.40031951568149315,0.08500798789203735,0.4352155948723382,0.4221845534484585,0.14259985167920328
"Lake Traverse Reservation and Off-Reservation Trust Land, USA",0.16149962329950382,0.0023038870533007385,0.36771103483964934,0.3707296764607763,0.09775577834676993,0.33891781206010857,0.5477831267940712,0.11329906114582028
"Tulalip Reservation and Off-Reservation Trust Land, USA",0.1277141729174893,0.010264508487958937,0.4581523884721673,0.2948085274378208,0.10906040268456373,0.2865315852205005,0.5755661501787844,0.1379022646007151
"Blackfeet Indian Reservation and Off-Reservation Trust Land, USA",0.1520268932138953,0.0003729847112240764,0.22667616778215288,0.4802113052193619,0.14071264907336595,0.44662239633944345,0.42137214002727647,0.13200546363327997
"Rosebud Indian Reservation and Off-Reservation Trust Land, USA",0.16715533741842556,0.005767412981060935,0.1848362541200255,0.5348085365574008,0.10743245892308713,0.5569875178932384,0.3421318297872521,0.10088065231950957
"San Carlos Reservation, USA",0.09976883957466468,0.005177993527508092,0.2594544613962091,0.49311141932501157,0.14248728617660664,0.5031229235880399,0.4017275747508305,0.09514950166112955
"Fort Peck Indian Reservation and Off-Reservation Trust Land, USA",0.15584881264185496,0.0017297467750168043,0.23919367420071738,0.47290785610020347,0.13031991028220744,0.48077422930418334,0.41940018598184287,0.0998255847139739
"White Earth Reservation and Off-Reservation Trust Land, USA",0.17373799363955558,0.0003979048588442358,0.3647354546376941,0.39346884120397774,0.06765980565992845,0.40917094356038813,0.47029816632690363,0.12053089011270823
"Tohono O'odham Nation Reservation and Off-Reservation Trust Land, USA",0.18654280781788402,0.003574493327534328,0.1854986640078777,0.4732167753313842,0.15116725951531973,0.5736750626666166,0.3640754802412276,0.062249457092155715
"Eastern Cherokee Reservation, USA",0.24821540597686956,0.0,0.28804761886708036,0.38474513992500897,0.0789918352310412,0.34579445472825054,0.4835501071014667,0.17065543817028267
"Colorado River Indian Reservation, USA",0.21728190495256725,0.002978984604086363,0.4134762733386874,0.29110750380111367,0.07515533330354518,0.2768520453161304,0.5735314872179134,0.14961646746595614
"Fort Berthold Reservation, USA",0.18194965709568098,0.0037528750205972155,0.2813710661558918,0.4233547360659615,0.1095716656618686,0.3788383503121015,0.4973684853591114,0.12379316432878713
"Mississippi Choctaw Reservation and Off-Reservation Trust Land, USA",0.18667238393625105,4.145968214380799e-05,0.2502488274440432,0.4830674048630147,0.0799699240745473,0.47057459324951334,0.3839708342593864,0.14545457249110036
"Port Madison Reservation, USA",0.17734396628430757,0.0072124412434503744,0.4730942962178105,0.26757086288297804,0.07477843337145358,0.2785157262319408,0.5865357799577857,0.13494849381027338
"Standing Rock Reservation, USA",0.1565949262589017,0.001514899271484502,0.22137720401367342,0.5091980653176261,0.11131490513831427,0.5170372311956759,0.35565274570267286,0.12731002310165124
"Colville Reservation and Off-Reservation Trust Land, USA",0.21758182696623424,0.0005580443290746242,0.3503812254676341,0.31854368154880136,0.11293522168825557,0.3916497169277581,0.45374166277466077,0.1546086202975811
"Cheyenne River Reservation and Off-Reservation Trust Land, USA",0.15702883871396556,0.003063703664338248,0.28062798661810323,0.4721762437924482,0.08710322721114482,0.4602048181737634,0.39326976856254364,0.14652541326369303
"Turtle Mountain Reservation and Off-Reservation Trust Land, USA",0.14820497871892163,1.2948259746638302e-06,0.28118255424426586,0.4882038643272492,0.08240730788358858,0.4894628079334337,0.4057669446799711,0.10477024738659517
"Coeur d'Alene Reservation, USA",0.14799206742687132,0.0037183936539414955,0.4439762022806149,0.31742687159147276,0.08688646504709961,0.24586903304773627,0.6165850673194608,0.13754589963280286
"Zuni Reservation and Off-Reservation Trust Land, USA",0.12818556577861073,0.0,0.17080485655990787,0.5592127009491209,0.14179687671236046,0.5229632073962552,0.40950694074654853,0.0675298518571962
"Crow Reservation and Off-Reservation Trust Land, USA",0.11234254237337254,0.0016631583362717894,0.24573754554942234,0.5432156745131843,0.09704107922774906,0.40753223052913,0.4846682278437788,0.10779954162709128
"Allegany Reservation, USA",0.22671353251318105,0.008308036427544338,0.3498961495446557,0.3267295095063109,0.08835277200830802,0.3959484346224678,0.4473091876406793,0.15674237773685276
"Yankton Reservation, USA",0.13380690055088362,0.0005798782255726297,0.30849521600463964,0.4473760510292839,0.10974195418962016,0.3882329791420701,0.5155450609996064,0.09622195985832342
"Ohkay Owingeh, USA",0.1540591750473692,0.0026235242675994763,0.22358256813875535,0.48710100568430265,0.13263372686197347,0.5397917441428038,0.3452956489401266,0.11491260691706959
"Hopi Reservation and Off-Reservation Trust Land, USA",0.15187282272950314,0.0,0.23636828250439088,0.4921776049366143,0.11958128982949177,0.5692213522334479,0.31830033982741224,0.11247830793913983
"Salt River Reservation, USA",0.2573802834404573,0.0,0.18162511657838776,0.4240638212156475,0.13693077876550744,0.45295951602014295,0.38311249925189156,0.1639279847279654
"Fort Hall Reservation and Off-Reservation Trust Land, USA",0.1948367563662163,0.002709992315708847,0.3258739470054539,0.37712209146332315,0.09945721284929786,0.37077264872870913,0.45494939521105876,0.17427795606023216
"Lummi Reservation, USA",0.1643925051526009,0.001914534388366002,0.3754666499773129,0.3571004902971796,0.10112582018454058,0.3712324857168773,0.4793653708369381,0.14940214344618463
"Red Lake Reservation, USA",0.1267564289168291,0.0,0.24472572274866883,0.5201417624753855,0.10837608585911657,0.6543932488013268,0.25431529498637573,0.0912914562122974
"Nanakuli Hawaiian Home Land, USA",0.10831071462238456,0.00842695649709745,0.21977627390598103,0.49241289203969196,0.17107316293484484,0.44858772521507806,0.4773192602883556,0.07409301449656636
"Mille Lacs Reservation and Off-Reservation Trust Land, USA",0.2175923077414707,0.009746820782600836,0.3911615770341607,0.3002052791057787,0.08129401533598915,0.3066068180053854,0.530931149675623,0.1624620323189915
"Sandia Pueblo, USA",0.18020197213092753,0.0069473040944385426,0.43187335870565213,0.30649683602348576,0.07448052904549617,0.2941210595159542,0.5374325021906515,0.1684464382933944
"Taos Pueblo and Off-Reservation Trust Land, USA",0.22630577337311844,0.005016777135983304,0.2561359837043664,0.3474149680042884,0.1651264977822436,0.42947692169389323,0.3816046432906602,0.18891843501544656
