longname,PW Mean PM2.5 Pollution,Utility gas heating %,Electricity heating %,"Bottled, tank, or LP gas heating %","Fuel oil, kerosene, etc. heating %",Other fuel heating %,No heating %
"Creek OTSA, USA",7.478875314659525,0.5854163646431385,0.3599078048162409,0.04118428128366219,0.0004646707014244022,0.010687611668226182,0.0023392668873077694
"Cherokee OTSA, USA",7.1124356773864355,0.4671538556718897,0.38339353445731006,0.09177152406564021,0.0017565969006410717,0.0536394278076681,0.002285061096850758
"Lumbee SDTSA, USA",6.608472364697172,0.13507059452393294,0.7778584461426488,0.0645016091868155,0.008798418314415636,0.007497163105722719,0.0062737687264646045
"Chickasaw OTSA, USA",6.837665133646029,0.3463989774669244,0.5297656341332289,0.09118030615376914,0.003511725857901479,0.026403904296831458,0.002739452091344672
"Choctaw OTSA, USA",6.78652634970725,0.2415705865286307,0.5623732326176525,0.13442198981402112,0.00442214204522005,0.05397250051412186,0.003239548480353808
"Kiowa-Comanche-Apache-Fort Sill Apache OTSA, USA",6.677875793141571,0.4496219079966931,0.46537058856860547,0.05278321128445623,0.003412748527422116,0.01943974277802081,0.009371800844802198
"Cheyenne and Arapaho OTSA, USA",6.603445549354705,0.5213623997958008,0.37349476457572334,0.08866272875183627,0.00106886926563407,0.01377471214295186,0.0016365254680536625
"United Houma Nation SDTSA, USA",7.856419008479357,0.3147243922088926,0.6686032187744452,0.006234699577987863,0.003503648071782295,0.0013347189614455416,0.005599322405446581
"Citizen Potawatomi Nation-Absentee Shawnee OTSA, USA",6.747389724350184,0.3521414854896131,0.47398936883342724,0.13295926174318623,0.0008168240759424722,0.03713651184382181,0.0029565480140091686
"Cher-O-Creek SDTSA, USA",6.95611720950196,0.061958948917952304,0.9195995953568364,0.008746043676253165,0.0005676209229003024,0.0020224997505025443,0.007105291375555199
"Knik ANVSA, USA",4.1569416743573475,0.7168719283558748,0.06563963240335832,0.014630745818751185,0.12792836337379146,0.07222176074836849,0.0027075692998557656
"Coharie SDTSA, USA",6.660819346630662,0.12483589534499187,0.7539361354388403,0.10384807804667705,0.00605998905192735,0.0043998462250112525,0.006920055892552002
"Sac and Fox OTSA, USA",6.852184131560832,0.565805443076609,0.3216322459971893,0.08783641891790095,0.00028633809342523936,0.02130441152359447,0.003135142391280935
"Echota Cherokee SDTSA, USA",6.837322053859442,0.16302210806483933,0.7308226445518944,0.08308547798801376,3.171848330539099e-05,0.019554928387299327,0.003483122524647903
"Samish TDSA, USA",4.9505643716756325,0.3416544388546176,0.4280602235941557,0.10952958845633427,0.021015809406662332,0.09840146208843398,0.0013384775997962992
"Kenaitze ANVSA, USA",3.5119600750727704,0.724704257088219,0.09355562413824339,0.015845992794403525,0.10748943068326632,0.05380306894131319,0.004601626354554678
"Four Winds Cherokee SDTSA, USA",7.108630463913651,0.25345870090196904,0.6970237125444505,0.029810196523539095,0.0004743554181257336,0.010665491205055814,0.008567543406859677
