longname,PW Mean % of parkland within 1km,Within 10km of Hospital %,Mean distance to nearest Hospital,Within 2km of Public School %,Mean distance to nearest Public School,Within 30km of Airport %,Mean distance to nearest Airport,Within 10km of Active Superfund Site %,Mean distance to nearest Active Superfund Site
"Creek OTSA, USA",0.01848395406616552,0.8323169419470198,5.597762008121172,0.758112377347446,1.729524891336072,0.7351627148533334,28.891617626408568,0.009573632114278547,37.216895719102034
"Cherokee OTSA, USA",0.00826445228100731,0.6514548937156931,8.749625749048617,0.5536819050699631,2.851374161749899,0.41422917815506266,40.927629283930564,0.13284515363436017,47.389425175065895
"Lumbee SDTSA, USA",0.007276319487247588,0.7041771177828556,8.282279627003675,0.636581158424236,2.07399711915175,0.7081225977118174,23.419624511365935,0.4779532847344193,18.39823426949277
"Chickasaw OTSA, USA",0.00888781966810029,0.5416237029302355,9.872359293485744,0.5046563988775044,3.3713486876937284,0.1312014618547282,84.80012858504405,0.014732754682503426,63.27203797473889
"Choctaw OTSA, USA",0.0048885684604091165,0.47998977901526096,12.133513761127997,0.48026292602121734,3.7530830711582728,0.06039632749444895,108.75752297042871,0.0,96.99731750051312
"Kiowa-Comanche-Apache-Fort Sill Apache OTSA, USA",0.015044288513675156,0.6850718906877844,8.001993505843753,0.7132206388625391,2.358820495478016,0.004886861430566066,80.36189242286247,0.02236658388668024,54.29989394268332
"Cheyenne and Arapaho OTSA, USA",0.014492285066904892,0.6922701845382258,7.927924354106738,0.7156214501575326,2.454611326966715,0.3539125961806374,73.57813570486556,0.0,71.21342128013683
"United Houma Nation SDTSA, USA",0.0032440486716611722,0.9012470436465276,4.666226035218216,0.7184046441625457,1.6820132633048372,0.0,63.58286780745086,0.0,78.47283351849231
"Citizen Potawatomi Nation-Absentee Shawnee OTSA, USA",0.004033766948713659,0.37402253774008365,12.453344194673104,0.3170324521407703,3.9697989984057114,0.2556324663154496,40.71394362383081,0.14515659083213242,24.224238475235012
"Cher-O-Creek SDTSA, USA",0.018668415000620144,0.8860120693103083,4.709728151110347,0.5884200496418026,2.1915125595210867,0.9594395887494266,14.468602206367207,0.22172946393911233,13.923973518993972
"Knik ANVSA, USA",0.0034999598877233353,0.3070617829314682,17.83370634116123,0.47382047978403585,3.0639520285809,0.022848027486348857,55.142536150290496,0.0,41.18578406628003
"Coharie SDTSA, USA",0.004305384693779569,0.5843702994667032,8.197301680817274,0.7178483522494189,2.0094106921806207,0.15711746205387667,41.04455371019387,8.54642417612471e-05,34.25699846144074
"Sac and Fox OTSA, USA",0.0068447358761489115,0.7789334795572158,6.132369914873446,0.6908050310154563,2.1705154973145966,0.0,72.97418663140571,0.18852599472223175,33.35171718399833
"Echota Cherokee SDTSA, USA",0.0021443439792961125,0.38209893602321404,12.358419612979368,0.43313873151858506,3.188856581896337,0.33461724471466076,32.64683951420142,0.0,39.01887867736591
"Samish TDSA, USA",0.05619759324870936,0.7754073208153722,6.415139975348702,0.47297922602956577,3.0450706766377467,0.19860695063442196,33.06793042513618,0.012177004943864008,23.622593861198805
"Kenaitze ANVSA, USA",0.007820997005382453,0.5197043623870428,11.05989902910817,0.39691659208361,3.206893629033652,0.0,94.1515787636388,0.0,107.96469491742333
"Four Winds Cherokee SDTSA, USA",0.006962329145666554,0.8994925974838396,4.5967960232750515,0.5080628345033711,2.5386026866315348,0.0,75.15286590482734,0.0,70.34653105080618
"Natchitoches SDTSA, USA",0.0049526434451956335,0.9404779855247286,3.715811543317152,0.6117310012062727,2.5599187429210173,0.0,69.29022548464718,0.0,47.15487921491179
"Kickapoo OTSA, USA",0.007275386892171824,0.42682508854107165,14.018952943044683,0.32183251456643436,3.7925641278875766,0.0,53.807578830306895,0.0,36.56560667821781
"Kaw/Ponca joint-use OTSA, USA",0.02314399667992594,0.9934980494148244,2.529842519651973,0.9121471735638339,1.0432079810475987,0.0,108.24181795595509,0.0,50.361556128875485
"Chickaloon ANVSA, USA",0.01569714878560541,0.589398516890964,11.684982971489346,0.5179503276180013,3.2862877561616197,0.0,68.58119530067174,0.0,51.09316056958336
