longname,Population,PW Density (r=1km),AW Density,Population [GHS-POP],PW Density (r=1km) [GHS-POP],AW Density [GHS-POP],Area,Compactness
"Creek OTSA, USA",813171.0,943.9517184781091,65.60844217404745,,,,12394.304346425462,0.4366978106745926
"Cherokee OTSA, USA",513199.0,460.38238334386557,28.45641940862237,,,,18034.55988719717,0.3484598892887623
"Lumbee SDTSA, USA",510711.0,557.5630943158934,96.15862715744385,,,,5311.130317655172,0.23793724228334734
"Chickasaw OTSA, USA",306460.0,293.69275661410217,15.925598719317815,,,,19243.23257173765,0.2989585117530569
"Choctaw OTSA, USA",226984.0,222.71033649635908,8.030034533340077,,,,28266.877191820306,0.38485688991792794
"Kiowa-Comanche-Apache-Fort Sill Apache OTSA, USA",187646.0,612.5590132921858,11.2683755413751,,,,16652.444650163055,0.4118740478059632
"Cheyenne and Arapaho OTSA, USA",186628.0,612.2031793324287,8.813296370486308,,,,21175.73177556743,0.3938837974740515
"United Houma Nation SDTSA, USA",186040.0,690.2612537819131,121.06851530872036,,,,1536.6505447399325,0.17447405376295916
"Citizen Potawatomi Nation-Absentee Shawnee OTSA, USA",126987.0,213.54444633592954,43.21782213548272,,,,2938.301694192523,0.32162022559120745
"Cher-O-Creek SDTSA, USA",85009.0,500.7828173380372,106.07999962077736,,,,801.3668957757963,0.3304116008160108
"Knik ANVSA, USA",81495.0,235.81856387336316,4.444502905183623,,,,18336.133812614316,0.1367238529491864
"Coharie SDTSA, USA",58504.0,336.37860236476496,92.62037354858984,,,,631.6536822139683,0.049110821220690666
"Sac and Fox OTSA, USA",58358.0,487.4967451310396,29.982100385744108,,,,1946.4280103520723,0.3770496998589766
"Echota Cherokee SDTSA, USA",57896.0,208.8235567830563,43.65650062999727,,,,1326.1713413699147,0.10374147720960643
"Samish TDSA, USA",41061.0,425.3643592098351,64.61162661795507,,,,635.5048177751568,0.019037398861671353
"Kenaitze ANVSA, USA",34637.0,181.9852342229975,6.535267705516797,,,,5300.012418888504,0.15728040553458972
