longname,PW Density (r=250m),PW Density (r=500m),PW Density (r=2km),PW Density (r=4km)
"Creek OTSA, USA",1785.4985340836292,1188.5540311556442,801.9469274691263,676.7885933429257
"Cherokee OTSA, USA",1013.7502992113842,616.9273080538112,352.2683911779116,256.18517486900913
"Lumbee SDTSA, USA",1460.0663883184504,753.1454146497031,472.56113487630637,398.1534111804404
"Chickasaw OTSA, USA",765.6279129036408,420.9655868596313,209.49745264042528,122.80996355725144
"Choctaw OTSA, USA",578.4524522413083,315.9504126098713,150.98805580766174,86.83091518313196
"Kiowa-Comanche-Apache-Fort Sill Apache OTSA, USA",1306.4774981306048,829.0168146899834,460.0211006977676,323.6995671538856
"Cheyenne and Arapaho OTSA, USA",1368.7376682788104,832.8962440261752,443.07293828969637,258.8610376721821
"United Houma Nation SDTSA, USA",1592.1244008213032,943.9697721500894,508.96949037658317,345.6260077726704
"Citizen Potawatomi Nation-Absentee Shawnee OTSA, USA",953.7582585182074,361.3387291875014,168.8438102918631,139.84146358205157
"Cher-O-Creek SDTSA, USA",1271.25032605931,670.3303278989742,424.6284342595014,359.21978375704805
"Knik ANVSA, USA",1206.6396252512845,413.48111669387936,190.94331560387923,160.5878494944345
"Coharie SDTSA, USA",1582.521756879048,604.1919690350747,223.60564509821128,148.54681821909872
"Sac and Fox OTSA, USA",1053.594007143131,624.5757047312721,366.3631537775296,217.7115638792846
"Echota Cherokee SDTSA, USA",690.2222423404047,302.1443666503355,168.47749693881602,146.4762118566064
"Samish TDSA, USA",1139.1460651285483,597.6840568558293,287.1966277914734,155.1950505855977
"Kenaitze ANVSA, USA",985.2217833229607,353.79212454953415,112.27961027853556,70.77268967195558
"Four Winds Cherokee SDTSA, USA",696.1263530947458,407.5249323750196,188.86956202346946,126.66032167017198
"Natchitoches SDTSA, USA",1595.6809319748484,728.4520785394792,401.2256338609925,250.58034539576943
"Kickapoo OTSA, USA",918.4807461353976,422.03597318660917,205.89255072052293,156.6521143320559
"Kaw/Ponca joint-use OTSA, USA",1276.713415161353,901.0892444913702,602.1997645266414,362.13494464919063
"Chickaloon ANVSA, USA",1293.9400907637648,485.4220393986529,168.45599992958722,123.8106412642148
"MaChis Lower Creek SDTSA, USA",335.6045841214398,114.74179242129999,41.42628986079071,34.465149458834766
"Seminole OTSA, USA",566.1243039133564,322.13136863339776,135.6489610663109,65.67328901100501
"Ninilchik ANVSA, USA",901.6330795778265,287.70106114240616,76.11902389228722,41.511347618875064
"Pawnee OTSA, USA",518.0369890431283,275.75475413551266,76.45510911012813,32.94629951443527
"Caddo-Wichita-Delaware OTSA, USA",3972.7187573971214,1070.1264425176817,93.61593415454821,39.08452097781913
"Bayou Lafourche SDTSA, USA",1457.9440417629576,540.482786792036,206.62951717110937,109.52783764951222
"Cherokee Tribe of Northeast Alabama SDTSA, USA",713.1946148498223,434.53060056642164,289.83350553278035,178.52195550044974
"Ketchikan ANVSA, USA",1868.5125119417432,1072.362680293799,258.53458766702204,113.93574342629877
"Nanticoke Indian Tribe SDTSA, USA",1205.0686829006117,428.69608988684206,206.6580407449413,186.12335394276508
"Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware joint-use OTSA, USA",692.4625608707902,520.7712670581416,206.87356979825827,75.88014946859678
"Grand Caillou/Dulac SDTSA, USA",1300.9057043159457,429.7647814688394,103.90519317084164,64.0839062349234
"Occaneechi-Saponi SDTSA, USA",770.1775723833192,219.6739894869514,52.84890515441895,47.98901721641445
"Haliwa-Saponi SDTSA, USA",504.0540371283495,131.70340731955721,28.013984805068414,25.58998480299368
"Meherrin SDTSA, USA",812.8888187677067,476.18550120682755,210.14846591589418,92.74497160786348
"Iowa OTSA, USA",214.48744199828215,75.39942527252398,17.35465083299618,14.329652229494
"Georgia Tribe of Eastern Cherokee SDTSA, USA",1236.7558094649814,318.39403245654194,87.04060831509459,78.69463857455085
"Bethel ANVSA, USA",1574.664563482859,672.2879929546152,194.53777936476683,86.79515136051972
"Wassamasaw SDTSA, USA",5085.574242604968,1384.2626209409427,486.4409751202136,453.1650632272127
"United Cherokee Ani-Yun-Wiya Nation SDTSA, USA",779.584265667883,379.0297367792447,168.65861972283798,106.03649168196353
"Kaw OTSA, USA",391.0017534314187,248.61590305045365,70.74656715568842,27.841220672722184
"Douglas ANVSA, USA",2182.6067022891793,644.8969831230614,223.46647612711322,123.4449132714956
"Southeastern Mvskoke Nation SDTSA, USA",381.92629925206836,141.84823058744064,50.77285325452132,26.21075885966803
"Ottawa OTSA, USA",1175.4439719527975,848.8277810181842,399.05690138959517,188.29627077264107
"Nanticoke Lenni Lenape SDTSA, USA",698.2484074731418,365.92919289305405,420.8131332893129,336.7582055287608
"Peoria OTSA, USA",952.4778255939433,613.9188975972767,381.42218421519686,203.43180856472566
"Apache Choctaw SDTSA, USA",364.05077749765985,138.71735740399652,47.58573769468125,24.307894432131334
"Barrow ANVSA, USA",2079.118773983698,1292.0233813067407,291.668295176583,93.31109032504304
"Quapaw OTSA, USA",691.5061908960106,518.8379673968958,115.72208853564919,59.1637613925862
"Pointe-au-Chien SDTSA, USA",1282.4655958586206,381.6773972318888,77.31663022068985,70.00785481223457
"Sitka ANVSA, USA",1831.8139612746359,1059.6125185386104,354.47486306500457,133.64281173963067
"Unalaska ANVSA, USA",4405.013743401659,1139.1423389928743,109.51663391787991,42.71807154354316
"Edisto Natchez Kusso SDTSA, USA",670.4239521144585,187.70078158836807,43.311286390498665,34.14123498630055
"Seneca-Cayuga OTSA, USA",528.1076994958349,156.46976165164264,44.54295023726723,43.49586194832259
"Miami/Peoria joint-use OTSA, USA",1192.002500722305,1078.3773270343884,514.3799472991709,236.02276124180108
"Tonkawa OTSA, USA",857.0423658981038,585.8476466530905,181.83301007545504,57.06748374288375
"Nome ANVSA, USA",2182.6641454826567,1423.2650179865277,199.26165315813137,64.70647349991391
"Chickahominy TDSA, USA",522.8104753648878,131.67513956788903,29.69745739607276,27.694808879939117
"Mechoopda TDSA, USA",2238.505840904437,1574.7960921185195,923.2680587312727,761.9411155051376
"Kotzebue ANVSA, USA",1868.595749146294,1305.1770351249515,243.93203760110924,61.211431248014605
"Pee Dee SDTSA, USA",3505.816080280276,884.0943776417287,68.56995446268701,47.73056455731175
"Cayuga Nation TDSA, USA",262.10869675334584,122.94945683403937,86.16118706063723,54.9985194409659
"Petersburg ANVSA, USA",1313.2362716679168,610.2229227698007,168.10569331915391,53.320807451718714
"Dillingham ANVSA, USA",1381.5266717006725,356.7140416773727,37.27598398633745,24.106471180921627
"Sappony SDTSA, USA",466.7588573291099,117.65265947665252,21.926055795324746,20.90330018257907
"Adai Caddo SDTSA, USA",145.94366880294058,38.63898663817969,8.820255396291444,6.651818394314629
"Ponca OTSA, USA",300.8991992985812,92.30986699329925,17.54620947897478,14.895108442310178
"Creek/Seminole joint-use OTSA, USA",371.07561342192065,209.98065533949452,104.48865453596966,40.774784411187646
"Wyandotte OTSA, USA",304.9371241382309,93.5228167040542,27.627220335514167,22.13961069388792
"Rappahannock TDSA, USA",359.30540119559316,89.82635029889829,11.215953935242222,9.49563766162941
"Akutan ANVSA, USA",7811.84916557654,1952.962291394135,126.13029240032706,31.61084519985472
"Waccamaw Siouan SDTSA, USA",281.45295199408855,76.30674081260977,21.45536429358021,13.499993186971874
"Hooper Bay ANVSA, USA",1973.8194638910693,493.4548659727673,61.66767898802956,27.354755843919513
"Upper South Carolina Pee Dee SDTSA, USA",312.83062003152463,87.98853928148526,21.720584629008084,18.43764437291632
"Skagway ANVSA, USA",845.4721299475268,460.6970859163916,74.67870806773124,22.265840713936438
"Wrangell ANVSA, USA",1172.9164207756091,579.6597333578709,115.53133745592969,30.376906420320243
"Craig ANVSA, USA",675.6827154263647,352.78662732849153,60.542222908027526,17.64347256938626
"Salamatof ANVSA, USA",1155.8369373634791,339.5486556582134,94.46591449927563,50.55420939347781
"Beaver Creek SDTSA, USA",223.05651515923915,91.84761204528462,30.05041329199482,14.326590927201295
"Chevak ANVSA, USA",1343.5609262784537,1017.1684458448565,75.67817544019624,18.91954386004906
"Hoonah ANVSA, USA",963.9038775551874,448.19262818491114,63.88908501538068,18.554094365317905
"Savoonga ANVSA, USA",1217.741548962491,376.08751443476086,57.30044932877784,16.611797185216574
"Point Hope ANVSA, USA",1113.578373872469,596.5602814384077,58.01926336884825,16.51232534578414
"Emmonak ANVSA, USA",670.56048032857,261.2919043895597,64.17271991777122,16.412853506351706
"Togiak ANVSA, USA",2183.3580284158925,577.9993250294992,37.27858764664505,9.319646911661263
