longname,Commute Car %,Commute Bike %,Commute Walk %,Commute Transit %,Commute Work From Home %,Commute Time < 15 min %,Commute Time 15 - 29 min %,Commute Time 30 - 59 min %,Commute Time > 60 min %,Households With no Vehicle %,Households With 1+ Vehicles %,Households With 2+ Vehicles %,Traffic Fatalities Per Capita Per Year,Pedestrian/Cyclist Fatalities Per Capita Per Year,Total Traffic Fatalities In Last Decade,Total Pedestrian/Cyclist Fatalities In Last Decade
"Creek OTSA, USA",0.8955665061114166,0.002806532321475292,0.013743384361035959,0.0035463512509172545,0.07334780169755772,0.29886802429071085,0.46257992865369907,0.20279203578549476,0.03576001127009532,0.05498934013278551,0.9450106598672143,0.606526546006174,0.0001342890978650247,2.41031714116711e-05,1092.0,196.0
"Cherokee OTSA, USA",0.9081586996676235,0.003330324403998037,0.015783598871475017,0.0024629982829354265,0.05777356018100501,0.3218878984265367,0.36037882928174614,0.25347320131721757,0.0642600709744997,0.057374214933217024,0.942625785066783,0.6415490094259768,0.0001917384874093675,2.02650433847299e-05,984.0,104.0
"Lumbee SDTSA, USA",0.9245965824539082,0.0018870352494245637,0.0106683767451993,0.005013234285821422,0.04646626547571035,0.24526086851066844,0.44827882831691,0.24768866265844605,0.058771640513975446,0.07466471594753901,0.9253352840524609,0.5693942126992206,0.00022595949568346877,4.2685589305889245e-05,1154.0,218.0
"Chickasaw OTSA, USA",0.9253941847080847,0.002546769007655371,0.015839604779910428,0.0012833377845062797,0.045416183555752165,0.37048440165561247,0.3086412678663041,0.25375515344100297,0.06711917703708045,0.04391609314525935,0.9560839068547407,0.6659125987359568,0.000277034523265679,2.2188866409971943e-05,849.0,68.0
"Choctaw OTSA, USA",0.9253695967571167,0.001980241180743492,0.019985820985339464,0.0013913418851338678,0.04250758050406178,0.40997021048316784,0.3130897303395491,0.20383042736803375,0.07310963180924927,0.06638386037606989,0.9336161396239301,0.6202650780357881,0.00029693722905579245,2.158742466429352e-05,674.0,49.0
"Kiowa-Comanche-Apache-Fort Sill Apache OTSA, USA",0.8732937040542101,0.003671714829108688,0.016507675199332883,0.006670283490830765,0.08989292049653397,0.4513029932543826,0.36485662828271276,0.14413605256519013,0.039704325897714596,0.07978383654537514,0.920216163454625,0.5995354274248496,0.00015294757149099899,2.2382571437707175e-05,287.0,42.0
"Cheyenne and Arapaho OTSA, USA",0.9200336621735835,0.0016136891337421241,0.015790812269251008,0.0011987404993512906,0.052736352926569745,0.37126669073282625,0.3196729389108835,0.24855400981895276,0.06050636053733749,0.035951184427651224,0.9640488155723486,0.687766152368407,0.00022343914096491414,1.553893306470626e-05,417.0,29.0
"United Houma Nation SDTSA, USA",0.9242174514571537,0.001713285256862531,0.015290075899822198,0.004496920035571505,0.028171829532936243,0.3928781505067885,0.317695642564196,0.19391088241602555,0.09551532451298995,0.08538328247558535,0.9146167175244148,0.5825429707078978,0.00015534293700279511,3.010105353687379e-05,289.0,56.0
"Citizen Potawatomi Nation-Absentee Shawnee OTSA, USA",0.9204743413699396,0.0020115049636507966,0.008401855436819953,0.0018046381267688516,0.05551177994698822,0.17908196070869548,0.3642602810762166,0.3963940378126246,0.06026372040246328,0.024577107568001674,0.9754228924319984,0.7616839397618972,0.0001677337050249238,1.2599714931449673e-05,213.0,16.0
"Cher-O-Creek SDTSA, USA",0.9427787197196937,0.0033394570598786516,0.00841511183681172,0.000490788201477729,0.03754532153233483,0.33905365675322113,0.4282325758106966,0.18858040637006804,0.04413336106601418,0.06672727554641343,0.9332727244535866,0.5665906924487876,0.00012704537166652942,3.6466727052429735e-05,108.0,31.0
"Knik ANVSA, USA",0.8258043855000103,0.003740609136490737,0.01647566343625755,0.007217553667110964,0.08344953536134707,0.23304960265462238,0.31764523938296135,0.2313778912799362,0.21792726668248008,0.039098047047047266,0.9609019529529528,0.7297303792753721,0.00016197312718571692,1.1043622308117063e-05,132.0,9.0
"Coharie SDTSA, USA",0.9218676004241926,0.0009699787920431801,0.01271039321851465,0.002787186908138944,0.0515755040279571,0.299403091813306,0.3017771264349093,0.28433082183007263,0.11448895992171222,0.06088832349839704,0.9391116765016028,0.6105076313500536,0.00018973061670996856,3.418569670449884e-05,111.0,20.0
