longname,Population (2000),Population Change (2000-2020),PW Density (r=1km) (2000),PW Density (r=1km) Change (2000-2020),AW Density (2000),White % (2000),Hispanic % (2000),Black % (2000),Asian % (2000),Native % (2000),Hawaiian / PI % (2000),Other / Mixed % (2000),Racial Homogeneity (2000) %,Racial Homogeneity Change (2000-2020) %,Segregation (2000) %,Segregation Change (2000-2020) %,Mean Local Segregation (2000) %,Mean Local Segregation Change (2000-2020) %,Housing Units per Adult (2000),Vacancy % (2000),PW Density (r=250m) (2000),PW Density (r=250m) Change (2000-2020),PW Density (r=500m) (2000),PW Density (r=500m) Change (2000-2020),PW Density (r=2km) (2000),PW Density (r=2km) Change (2000-2020),PW Density (r=4km) (2000),PW Density (r=4km) Change (2000-2020)
"Tulsa Non-Community, Cherokee OTSA, USA",105740.0,0.18154908265557027,1009.7662548742617,-0.04584916794986269,215.96660798066003,0.5147437109892188,0.06549082655570267,0.3056080953281634,0.004511064876111216,0.06122564781539625,0.0003404577264989597,0.048080196708908646,0.6201383826249866,-0.17510074631554645,0.3982256639667672,-0.1603238051697015,0.13782844392530402,-0.04288004367324716,0.5961254128148793,0.09274240281866437,1709.0434559260243,-0.04718320296115369,1265.1679718437001,-0.06261388021273927,821.8427124689052,-0.03359630887672274,639.9314085258492,-0.015823955186491677
"Cheyenne and Arapaho District 2, Cheyenne and Arapaho OTSA, USA",81444.0,0.3394234074947203,688.2943870467515,0.07538802723769081,17.16208748662416,0.8446171602573548,0.04700162074554295,0.02340258337016846,0.014856834143706105,0.045884288590933645,0.0003192377584598006,0.02391827513383429,0.7611325215446177,-0.1837154534016323,0.14942610118206595,-0.057078412239009904,0.04011915283937632,0.004203869597628744,0.5421666241170964,0.07044420028253022,1518.45618860991,0.06647362058189188,941.5940204549203,0.04055764210229836,470.19684245562513,0.228884814907578,244.94555221206576,0.5037882807182953
"Rogers Non-Community, Cherokee OTSA, USA",62681.0,0.3738932052775163,279.10808964814936,0.2549556476934524,38.93701094203184,0.7882133341842026,0.019128603564078427,0.007386608382125365,0.0032545747515195993,0.11992469807437661,0.0002233531692219333,0.06186882787447552,0.6651176318524433,-0.16598952622673685,0.0695424074652474,-0.00211875094315149,0.023343505793809314,0.011233857579014638,0.5469630557294928,0.06447788044811513,1019.26115247412,0.24747903663094722,444.503137477426,0.24902349826047177,201.57963166861816,0.2759931607216612,140.61852284272118,0.41419378718989275
"Washington Non-Community, Cherokee OTSA, USA",48996.0,0.07059759980406564,650.843506412429,0.004534638751771324,44.582774554346976,0.7987794922034451,0.026389909380357582,0.024593844395460855,0.007286309086456037,0.08488448036574414,0.00010204914686913217,0.057963915421667074,0.6733226287143622,-0.16357901421394094,0.06802132082952361,-0.011615105016672102,0.022150519447665818,0.004360778861732816,0.6051779054256391,0.09226270805218173,1282.3731076641197,-0.04414976989645541,868.9283509988235,-0.012580000700008379,452.043617912303,0.038359465056791726,272.5955819143206,0.07476647641212227
"Mayes Non-Community, Cherokee OTSA, USA",34656.0,0.02816251154201293,246.9580193412253,0.05863788550091661,23.124761385415976,0.7176823638042474,0.01956371191135734,0.002798938134810711,0.0030009233610341643,0.18331602031394276,0.00011542012927054478,0.07352262234533702,0.598277413450346,-0.11731260482371747,0.09977584196670637,-0.004337106177193059,0.04039180562224122,0.012398319176651289,0.6200266290726817,0.14722415208741238,643.6731432342825,-0.01776649138570374,362.7218305737543,0.033290711953045185,151.78260562280258,0.04125652394139752,71.13737322610511,0.13748097249087618
"County District 4, Choctaw OTSA, USA",32861.0,0.05705851921730927,191.17733803847483,0.015611202836174447,17.777018949480137,0.8069139709686254,0.03718693892456103,0.014120081555643468,0.0025562216609354553,0.09412373330087337,0.00033474331274154775,0.0447643102766197,0.6984939642518453,-0.15581115927375566,0.10453952020742203,0.003759988035159381,0.03285242131841574,0.020642955959752324,0.5643273644596998,0.09914993404660706,621.3232295543114,-0.005619004529978746,297.6883340783008,-0.039823652266255755,120.40502254438657,0.06008256836264703,69.61964268409109,0.0819803906099359
"Cheyenne and Arapaho District 3, Cheyenne and Arapaho OTSA, USA",31822.0,0.05709886242222362,586.1597831844477,0.05095064559141376,8.055592824041003,0.8195273710011941,0.07887624913581799,0.023568600339387846,0.007070580101816354,0.04811136949280372,0.00031424800452517124,0.02253158192445478,0.7482284939554411,-0.16671644272941888,0.20936459514401823,-0.037514500330435574,0.05360212990455217,0.007076077084947605,0.5885923339153571,0.12346376606865377,1038.1843684971334,-0.001956049567410366,780.0361911240904,0.029340713872933046,345.5872239159371,0.06839518798962069,125.8685741198078,0.1516205777951648
"Cheyenne and Arapaho District 4, Cheyenne and Arapaho OTSA, USA",30286.0,0.07812190451033481,326.0719556833313,0.01597966508678205,4.075848799746424,0.8610909331044047,0.05174007792379317,0.036683616192300074,0.0035329855378722842,0.029947830680842634,0.0001981113385722776,0.016806445222214885,0.8005222896985268,-0.1483493493975382,0.21250313069422946,-0.07084749867072479,0.04552067732526022,0.004026254191661735,0.6090996756377662,0.17105641911341393,953.3726454172897,0.2740106326052709,528.3657394224315,0.07511106585392364,191.38456528744186,0.020430691370385154,84.61325263105148,0.08359473903470051
"County District 9, Choctaw OTSA, USA",23908.0,0.33620545424125814,473.91019136065063,-0.048254524571364844,17.672875762573597,0.7848000669232056,0.02919524845240087,0.009996653839718922,0.005730299481345157,0.12753053371256484,0.00033461602810774636,0.04241258156265685,0.6600190997042126,-0.18284727933766548,0.06943526715174772,0.003054254458824082,0.02381583978980999,0.015350978251825475,0.5826173715425974,0.10255922367044049,932.6629846526721,0.048532235290111206,616.9610880014739,-0.03492116334865362,327.94885554247304,0.005034899905043519,162.47968073303002,0.201911609617309
"County District 11, Choctaw OTSA, USA",30010.0,0.008563812062645785,458.5334946383214,-0.0384063369971789,24.878073413562767,0.7419860046651117,0.024925024991669445,0.056581139620126626,0.0032655781406197935,0.12472509163612129,0.00036654448517160944,0.04815061646117961,0.6149620286352965,-0.1353744921463318,0.09930292472378274,-0.018341838868716043,0.03956832997574803,0.005141410783377147,0.5637671680837149,0.11337973704563031,995.1273710851409,-0.14327858440385016,610.0644757741682,-0.08391614990462709,332.2284579595074,-0.01373786029653244,204.2660155920406,-0.013005180523631164
"Sequoyah Non-Community, Cherokee OTSA, USA",29972.0,0.007773922327505672,244.86817435569986,0.09702536137074212,29.119421813820694,0.6869077805952222,0.021620178833578006,0.022521019618310423,0.0023021486720939542,0.17616442012545042,0.00016682236754304017,0.09031762978780195,0.5580898818424838,-0.11293486230692645,0.09440248545093634,-0.012204000321325292,0.046940610246666084,0.00920057571148105,0.6049877840778132,0.12976226760134105,692.419372220795,0.020522832863448554,361.8981621316164,0.020279849690538195,160.79432078160363,0.11280589368556612,81.65880462282475,0.08088593999883979
"Delaware Non-Community, Cherokee OTSA, USA",26604.0,0.10069914298601713,118.28126881871967,0.12096838477118489,18.28316796122098,0.6965869794015938,0.019508344609833108,0.0013907683055179672,0.0019545932942414673,0.214779732371072,0.00030070666065253347,0.06547887535708917,0.6215173718040711,-0.0932499989005724,0.18381973498550686,-0.022979063083563483,0.06042907922941508,0.010100666669337538,0.7578657314629259,0.3001917101870827,391.0342430338734,0.19396076641049398,189.53604477568734,0.11618526270991587,73.01206691917398,0.21933428213419964,47.20863954424507,0.34642746399082525
"Cherokee Non-Community, Cherokee OTSA, USA",25532.0,0.1280745730847564,485.08357116531494,-0.10040074970718751,27.792274241668665,0.5847172176092746,0.0533839887200376,0.017154942816857276,0.003877487075043083,0.27177659407801974,0.0005874980416731944,0.06850227165909446,0.4847200042897577,-0.10330311394810587,0.10557414853084993,-0.013460201838992672,0.06380913682951139,-0.0015943880999367138,0.6405151623993022,0.19234158455499478,1075.1306127267617,-0.10398680231977961,620.809749687607,-0.07910498686139802,363.2431752110599,-0.07856639089868643,195.0748281858932,0.029841208156149327
"Muskogee Non-Community, Cherokee OTSA, USA",21579.0,-0.004078038834051625,275.95140913632815,0.07064331691389618,19.719971523472598,0.6937763566430326,0.02335604059502294,0.019602391213679966,0.0044487696371472265,0.19602391213679968,0.0003707308030956022,0.06242179897122202,0.568719028753226,-0.11186807926468695,0.0922372636191857,0.004445401374065294,0.06189238782905178,-0.0005631786487659829,0.5619293495371828,0.08135365307037203,719.9916794880501,0.0020464739109105723,379.36248645097805,0.1593220070376217,179.53304494439388,0.08887178210907991,110.37515338952805,0.059275818710297704
"County District 10, Choctaw OTSA, USA",18867.0,0.01733184926061377,99.49582191524635,-0.04727240176619817,5.641847448559065,0.7556050246462077,0.017702867440504585,0.04409816080987968,0.0019610960937085915,0.11973286691047862,0.00010600519425451848,0.06079397890496634,0.6610736185371657,-0.10762451988882138,0.17019064901377037,-0.02682081523796176,0.06306618635747926,0.010067742393737034,0.5557109883192278,0.12712397734424166,575.4157338968361,-0.15954725603552758,210.23677104724922,-0.09417714330833431,47.69578060152559,-0.006739091080342472,20.25449949414807,0.04601467276059276
"County District 5, Choctaw OTSA, USA",20207.0,-0.05542633740782897,169.01919429038287,-0.21591709042004986,10.229749888012774,0.793635868758351,0.015588657395951899,0.022269510565645568,0.002028999851536596,0.11327757707725046,0.0,0.053199386351264415,0.6991331257462384,-0.12180923353880158,0.14958146853613707,-0.0016682876497990107,0.04968329189201349,0.018411379464217843,0.7363966942148761,0.27545340276530794,505.1354051331525,-0.19606115326553658,276.26576096289574,-0.2250683287994946,89.89856760830213,-0.18223617874717918,63.840796168061885,-0.17401178101995476
"County District 1, Choctaw OTSA, USA",17471.0,-0.09650277602884781,188.17871581231154,-0.0010577875384624746,10.887081045781233,0.6891992444622518,0.0297063705569229,0.1432087459218133,0.0025756968690973615,0.09547249728120887,5.723770820216359e-05,0.03978020720050369,0.6374549436837178,-0.14380427879477536,0.2651489091633482,-0.07621984086416403,0.11505150038964598,-0.009565391744390112,0.6191309883813465,0.12969151670951157,525.3629334540597,-0.08199546511842003,273.56161237362704,-0.040924231258261855,130.9331259940929,0.005250061644037057,65.95675288848976,0.03386361539232955
"County District 12, Choctaw OTSA, USA",16843.0,-0.07267113934572225,86.92129620142242,-0.2154687032898411,5.0508476747213,0.786973817015971,0.0179896692988185,0.004571632132042985,0.0021967582972154606,0.13269607552098794,0.00011874369174137624,0.055453304043222705,0.6880167061750481,-0.09658915020359893,0.13146317728702087,0.04251106676959476,0.04669650753866168,0.03652224834893979,0.6280031821797931,0.15467443628071953,299.26625027388263,-0.12626030963677945,158.0164886868777,-0.2066562521336971,36.706314720384405,-0.17933713232922835,15.29959335811844,-0.13190812119343953
"County District 8, Choctaw OTSA, USA",15342.0,-0.07417546604093339,209.45732452545923,-0.18285138518398564,7.407985278216661,0.6784643462390822,0.016034415330465387,0.10891669925694172,0.001433972102724547,0.1476339460305045,0.00019554165037152912,0.04732107938991005,0.6056980229514574,-0.11721636417184556,0.2168400450642887,-0.04362707537262839,0.09252208635162724,3.205365420347328e-05,0.659887304102835,0.17011340893929286,440.5710910036104,-0.14391950554476776,288.71416245251237,-0.1725477890633044,136.91566955481326,-0.16629467750139007,55.52874417380205,-0.095186876538065
"Craig Non-Community, Cherokee OTSA, USA",14257.0,-0.05835729816932033,335.3576054314772,-0.3302779787208222,8.309181345544747,0.6866802272567861,0.011362839307007084,0.030371045802062145,0.0016833836010380866,0.15851862243108647,0.00028056393350634775,0.11110331766851372,0.5638593243411137,-0.05548223321188217,0.10873722310026177,0.0416548332619712,0.04929975521285859,0.027435769487712314,0.5615908672436015,0.12262295081967213,719.4195482295419,-0.31762734035261414,470.0897385775491,-0.31466678848972995,201.71901086244497,-0.3110529231851539,74.19110737250244,-0.223797753070322
"County District 7, Choctaw OTSA, USA",13711.0,-0.09780468237181825,111.51539148485497,-0.24831796360931538,3.3210372064971683,0.7527532638027861,0.016920720589307856,0.011377725913500109,0.0008022755451827001,0.16840493034789586,0.00014586828094230908,0.049595215520385094,0.659168815729395,-0.06949584558673105,0.15213720743529457,0.03829508730136605,0.05051439560033436,0.041927948955763496,0.6496783770410688,0.16268088347296267,363.0650315842076,-0.298178535160431,186.2195714074068,-0.2718753694277932,52.3833404864642,-0.14546062134461846,22.518657155541586,-0.15313496420140502
"County District 2, Choctaw OTSA, USA",13529.0,-0.09002882696429891,162.60539026009036,-0.007250495300728947,6.038221135160318,0.7118781875970138,0.03584891714095646,0.04368393820681499,0.0019957129130017,0.15182201197427747,0.00022174587922241113,0.05454948628871313,0.6108822072604877,-0.09212913138252898,0.16211130709717061,0.024458316840467703,0.07449957929689961,0.027765406672005347,0.6215295696150274,0.14380604450348722,520.2425346421932,-0.24910126733576388,253.7706921685218,-0.15091430015454843,105.33935009922455,0.01431739640675036,49.89049993992897,0.057932556612309206
"Adair Non-Community, Cherokee OTSA, USA",12977.0,-0.0587192725591431,159.51921989853133,-0.00892855475606846,17.587863282983427,0.5310164136549279,0.040841488787855436,0.0020035447329891346,0.0013100100177236649,0.358326269553826,0.0003082376512290976,0.06619403560144872,0.5078927278583799,-0.053458690915485996,0.15707052997688717,0.019890732335409472,0.08369402513478442,0.01928073851407247,0.5867064808670648,0.11573986804901036,496.6244500337388,-0.1027251767843128,251.46299495599882,-0.028374982168542253,88.78909891125053,0.05845325935424026,43.450447717269725,0.0640541271893493
"County District 6, Choctaw OTSA, USA",13319.0,-0.10241009084766124,119.82953592943628,-0.2344546927679004,5.4079447187436145,0.7392446880396426,0.014190254523612883,0.007808394023575344,0.0015016142353029506,0.1841729859599069,7.508071176514753e-05,0.053006982506194164,0.6384958859486566,-0.09549026771375047,0.13096585598154237,0.03239225214145272,0.05076909701220006,0.024481895690195432,0.6008878127522196,0.15681665547347212,470.53633746070255,-0.28452475156100854,213.68179224885094,-0.24951577832608954,58.30652512922681,-0.23698490228626118,25.119031590496334,-0.1830799368666965
"Cheyenne and Arapaho District 1, Cheyenne and Arapaho OTSA, USA",14317.0,-0.21429070335964237,241.41322552394047,-0.27471994459115295,2.835466813367958,0.7856394496053642,0.05699518055458546,0.05105818258014947,0.0053782216944890686,0.06453866033386883,0.00600684500942935,0.03038346022211357,0.7200438595437946,-0.06026005992014738,0.2488744243576957,-0.06405169494870522,0.06154572402492564,-0.0007333929108250814,0.5801296685234225,0.17660947583818667,1074.348802647483,-0.6463600209511933,462.32877954216406,-0.4228409620812574,98.96657223445935,-0.22772577078138617,35.66065652087173,-0.35498277721728083
"Polson District, Flathead Reservation, USA",8475.0,0.20825958702064898,285.6484749596866,0.04305923726205601,11.662131913428446,0.7864306784660767,0.02182890855457227,0.0005899705014749262,0.004247787610619469,0.14454277286135694,0.00035398230088495576,0.04200589970501475,0.7001527959253357,-0.09110778906368056,0.1662435903249823,-0.01792535407146964,0.07391041895094287,0.011827057132134139,0.7321996185632549,0.2441936184067723,732.1095832928727,0.0473197306583253,429.419454303958,0.019057767398159297,163.55626740929011,0.10078636455794313,63.702963155731354,0.1682864862107928
"County District 3, Choctaw OTSA, USA",10445.0,-0.08951651507898516,132.53823306001058,-0.11179336140361419,3.872173247897306,0.68750598372427,0.05055050263283868,0.02211584490186692,0.0005744375299186214,0.18094782192436573,0.0,0.058305409286740065,0.6024185472059755,-0.03866455018450088,0.1853710349691636,0.059071890538826055,0.06930528911193753,0.039807747946670316,0.5631713554987212,0.1603088101725704,586.6268657971073,0.204514476729954,244.50916766850153,0.01883708240856399,60.00371439738288,-0.10904729374815762,24.009686924031712,-0.0789252942440411
"Nowata Non-Community, Cherokee OTSA, USA",10569.0,-0.11817579714258682,209.0966468818018,-0.1928758883720841,7.025698185302826,0.7187056485949475,0.012300123001230012,0.024600246002460024,0.0012300123001230013,0.16349701958558047,0.0,0.079666950515659,0.6147846552274795,-0.09267569399394093,0.14263939303837125,-0.006746036530298399,0.054900646500481175,0.010199295366981213,0.6001535901702291,0.11558967796971635,459.9318545286701,-0.17929584625444403,305.755664762995,-0.1874953876686602,121.3329657705186,-0.16894010128875456,44.39054645065782,-0.12121949532482575
"Tuba City Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",8736.0,0.005952380952380952,481.27798932707185,-0.04997818831485791,9.886864361109641,0.048191391941391944,0.0225503663003663,0.001488095238095238,0.0020604395604395605,0.9146062271062271,0.00034340659340659343,0.01076007326007326,0.86023341409561,0.016824199220711655,0.12696629396965206,0.008486892521732708,0.0191332363426678,-0.0014867065427687058,0.5238570572968656,0.17301829268292682,1410.8555188619546,0.062009223198761156,648.2421641092667,-0.04276806319107097,379.6170771322704,-0.06462004279627387,165.48972110475037,0.005668169584319249
"Shiprock Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",8724.0,-0.01879871618523613,293.9106525926307,0.03403782048499604,19.40582913675788,0.01925722145804677,0.012494268684089867,0.0012608895002292526,0.0010316368638239339,0.9601100412654745,0.00011462631820265933,0.005731315910132966,0.9322083805492798,-0.021908620736813433,0.12788414363332276,0.00943311188933707,0.009139992748584912,0.005086503172145233,0.5249766136576239,0.1660727013542409,1363.4182971213759,0.06363759109487606,572.4466895730903,0.2880568479493733,173.94197704346305,-0.05933918838384842,97.45531583707388,0.0038818174304093675
"Chinle Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",8756.0,-0.13579259936043855,193.29233331135305,-0.22297483316117542,8.716553902985808,0.04042941982640475,0.017016902695294656,0.0013704888076747374,0.001027866605756053,0.932046596619461,0.00034262220191868436,0.007766103243490178,0.8887319638975688,-0.01138859863015007,0.13416913745576967,-0.009309826839567395,0.0172879788533697,-0.000914115079202249,0.5926524020993137,0.2547683923705722,1193.1563254577632,-0.19467856882171242,419.78893919043173,-0.20158878006918518,116.26217698180375,-0.18630841425051375,63.21430397346316,-0.16051383571764072
"Ottawa Non-Community, Cherokee OTSA, USA",6279.0,0.05096352922439879,144.88022243714514,-0.12299664760420337,14.063439908206554,0.7461379200509636,0.01178531613314222,0.001433349259436216,0.0012740882306099697,0.167542602325211,0.0007963051441312311,0.07103041885650581,0.6393707613199215,-0.10381132145224359,0.12088967914612143,0.010227946473827257,0.041278679997382155,0.019206060581833384,0.6150717191179619,0.13887922032718414,362.14996312162367,0.058322726400307126,239.0788598938045,-0.08042161414863995,63.72045318097107,-0.07928165203816465,42.247583324459704,-0.0024771250559280124
