longname,High School %,Undergrad %,Grad %,Undergrad STEM %,Undergrad Humanities %,Undergrad Business %,% of women with high school education - % of men with high school education,% of women with undergraduate education - % of men with undergraduate education,% of women with graduate education - % of men with graduate education
"Tulsa Non-Community, Cherokee OTSA, USA",0.8466404723349762,0.18027989064011843,0.05489221764766599,0.06399445074337397,0.07320402436195424,0.043081415534790196,0.03750732645045707,0.024052473788853057,0.01686502575632498
"Cheyenne and Arapaho District 2, Cheyenne and Arapaho OTSA, USA",0.9125563969676006,0.26228229800227626,0.07289905915183109,0.10008483238981354,0.10213615998339273,0.06006130562906999,0.002079960136135872,0.035522057878860314,0.020416051835174226
"Rogers Non-Community, Cherokee OTSA, USA",0.9250368438443155,0.24438903612829607,0.0741614959508676,0.08973015278192892,0.09101558899570272,0.06364329435066444,0.012406029443446154,0.013151169915585847,0.0027858200524741306
"Washington Non-Community, Cherokee OTSA, USA",0.9097027481772294,0.2789039339796491,0.09414309750821248,0.11363939855246642,0.09141895681435783,0.07384557861282483,0.0041782428937467975,-0.025676121668896934,-0.01860947260409604
"Mayes Non-Community, Cherokee OTSA, USA",0.8918100055511947,0.14156467026638314,0.036860111782296416,0.051234909786949834,0.06224412551281284,0.02808563496662043,0.018714227347221946,0.030590156437503707,0.006349381337266119
"County District 4, Choctaw OTSA, USA",0.8483306328974567,0.1435220819510042,0.04687907903860341,0.05436765677500439,0.069009781887239,0.020144643288760786,0.028127866860248263,0.06427187513522789,0.011196070545199818
"Cheyenne and Arapaho District 3, Cheyenne and Arapaho OTSA, USA",0.8906033836666827,0.2697503361699153,0.09201782876519693,0.0843328940470506,0.11631731935954757,0.06910012276331715,-0.0003891251103709248,-0.02990569156543227,-0.003768770417866066
"Cheyenne and Arapaho District 4, Cheyenne and Arapaho OTSA, USA",0.8789181420592641,0.14709101587715043,0.04870381449407911,0.05749064179947962,0.05748954229971546,0.03211083177795533,0.009572459442209302,0.052441021794873366,0.03735122427319615
"County District 9, Choctaw OTSA, USA",0.8765201372768396,0.25152179672780717,0.09009664141432927,0.10120329228292081,0.10993097722272364,0.04038752722216272,-0.0024399522791364037,0.031098185798824896,-0.02457509595178621
"County District 11, Choctaw OTSA, USA",0.8747241943843677,0.17470612323460527,0.056315029250943775,0.06516416505120284,0.0762410467305921,0.03330091145281033,0.023783373647661032,0.02086944500108026,-0.005763825323157987
"Sequoyah Non-Community, Cherokee OTSA, USA",0.8352725555551573,0.12869210132965186,0.03272846802091375,0.04171231613142691,0.06422448630823824,0.022755298889986703,0.032783528821368035,0.027313156757043364,0.008631023381667415
"Delaware Non-Community, Cherokee OTSA, USA",0.856915531498487,0.17305331953432831,0.05362344990805656,0.052015248589762274,0.08033831471960307,0.040699756224962955,0.029632192524362666,0.03348579610053634,-0.010511599314344144
"Cherokee Non-Community, Cherokee OTSA, USA",0.8766618742773742,0.2661164540982808,0.0973302764666473,0.0877207028373146,0.12636373821577498,0.052032013045191186,0.04538870683774188,0.02575891514904949,0.0189699068673211
"Muskogee Non-Community, Cherokee OTSA, USA",0.8926616427007192,0.23828207340418206,0.06610696511985642,0.07102775051770399,0.12353077276803609,0.04372355011844197,0.06216259381809508,0.00884962220664634,-0.011583765571426125
"County District 10, Choctaw OTSA, USA",0.857688015797817,0.15180018277774326,0.050621746802980636,0.05536439553831591,0.07516753135702023,0.021268255882407112,0.03381860703428652,0.05776994427886831,0.03384892107558761
"County District 5, Choctaw OTSA, USA",0.8662063558974359,0.1587317907838161,0.05320762843612239,0.04722155972609446,0.07637903236769979,0.035131198690021855,-0.010093987680338423,0.05251164831762409,-0.008289723437760493
"County District 1, Choctaw OTSA, USA",0.8499576606497756,0.14009472848028226,0.051790738972161236,0.06434802623045709,0.05392318375202035,0.02182351849780479,0.06534895582681532,0.02383518101618093,-0.0016770874304791253
"County District 12, Choctaw OTSA, USA",0.8744042969342277,0.17820098195581419,0.07039239609017385,0.05887875966764862,0.08800305285827627,0.03131916942988931,0.014840168884616256,0.06366504759289582,0.05816850003066178
"County District 8, Choctaw OTSA, USA",0.8463395789067027,0.13376472860730151,0.04655205717597064,0.052926405254008116,0.05978365848947267,0.021054664863820745,0.028248246417131972,0.032137528070920796,0.00578800006748819
"Craig Non-Community, Cherokee OTSA, USA",0.8738708007728143,0.13311320701101315,0.04474531860515664,0.04795133318876289,0.06253104692691858,0.022630826895331694,0.0368336211284207,0.04337362440893042,0.012181475387453504
"County District 7, Choctaw OTSA, USA",0.8640195642006684,0.13289614407185563,0.05203468813920335,0.04879352217595385,0.06220784709269893,0.02189477480320285,0.051938906661987305,0.06321572608442602,0.04598787308749527
"County District 2, Choctaw OTSA, USA",0.8506608160999992,0.13969601703384,0.03205799687109964,0.04723696582472385,0.0688957397363692,0.02356331147274695,0.057920559816140194,0.12820367330411594,0.023943023281167528
"Adair Non-Community, Cherokee OTSA, USA",0.8178072008487152,0.09254562072496664,0.029645554669984434,0.023273542885712976,0.05628933748175286,0.01298274035750081,0.04635097453335957,0.04536085454345859,0.03500105408407149
"County District 6, Choctaw OTSA, USA",0.8713856280257635,0.11813100086063513,0.038388979769110286,0.04723731291774178,0.057244484426632554,0.013649203516260797,0.056239373932534975,0.0447877326028379,0.011139099355764771
"Cheyenne and Arapaho District 1, Cheyenne and Arapaho OTSA, USA",0.8706022616401421,0.15595872761442897,0.049997052860015,0.05361161243691627,0.07280541963617715,0.02954169554133554,0.0868940889747557,0.06474195290879117,-0.011898840604819293
"Polson District, Flathead Reservation, USA",0.9384743000382173,0.3468931002478728,0.12891448624879562,0.14406686579967914,0.16326334125588796,0.03956289319230571,-0.0029489939985325453,-0.013197039969111313,-0.029029192739511087
"County District 3, Choctaw OTSA, USA",0.8675002043902285,0.1445629730392634,0.03128410988119272,0.045647643596766055,0.08464597034410232,0.014269359098395041,0.012885358964144333,0.05549428090772582,0.016159734148423803
"Nowata Non-Community, Cherokee OTSA, USA",0.8953742886327156,0.15380125492485042,0.04348460528235809,0.05209397344228805,0.06055742010798191,0.041149861374580474,0.046267898824340015,0.03686197352770393,0.016188142488639347
"Tuba City Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.8197772849259248,0.19962167573950726,0.11351918915526225,0.1004368143266789,0.08544761269312218,0.013737248719706162,-0.019690859885507006,0.1690676565777676,0.1194663490901148
"Shiprock Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.8520198473471127,0.10244615786012107,0.03543812415413049,0.06320606715138767,0.03487206083836927,0.004368029870364122,-0.04966863817773437,0.11426198407896926,0.03091992637329188
"Chinle Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.8093081820377621,0.1212576282070274,0.04742965291997051,0.06408048681538231,0.04789747672995458,0.009279664661690527,-0.027662581252686724,0.030397488011134483,0.03816320672813413
