longname,PW Mean % of parkland within 1km,Within 10km of Hospital %,Mean distance to nearest Hospital,Within 2km of Public School %,Mean distance to nearest Public School,Within 30km of Airport %,Mean distance to nearest Airport,Within 10km of Active Superfund Site %,Mean distance to nearest Active Superfund Site
"Tulsa Non-Community, Cherokee OTSA, USA",0.015277331943564176,0.9421788581445049,4.846958652089534,0.8647318248397192,1.1530464427221887,1.0,9.677834796717296,0.41673803597012893,13.804216271450162
"Cheyenne and Arapaho District 2, Cheyenne and Arapaho OTSA, USA",0.017410964518251706,0.6839249046641244,7.813394177058783,0.7719730859489586,1.8325914985346925,0.6054744793194485,29.252104073723036,0.0,43.67606652951726
"Rogers Non-Community, Cherokee OTSA, USA",0.013173162111469133,0.6988167260819582,8.073071200308878,0.45867830974139834,3.0076542739025993,0.7304481112904537,25.906365523972312,0.1786522986169978,19.842679307860696
"Washington Non-Community, Cherokee OTSA, USA",0.009001557226139429,0.8282337241445048,5.929704393349267,0.7387093699361358,2.0122372352536297,0.03364788866647603,59.20074607113167,0.0032599370889333716,43.40506140815133
"Mayes Non-Community, Cherokee OTSA, USA",0.002285876749975401,0.4133363268971711,11.386879168999553,0.4521216883700045,3.493433227404166,0.0,58.32957256552655,0.0,53.651345123771385
"County District 4, Choctaw OTSA, USA",0.00011139266261413944,0.3945474435743897,11.828390693229709,0.522742975587287,2.768562724104875,0.26974896361123907,36.55250649564714,0.0,69.00640856548475
"Cheyenne and Arapaho District 3, Cheyenne and Arapaho OTSA, USA",0.01707267157060798,0.8387883111864205,5.733976316153327,0.7512411189393263,2.6553830050705476,0.0,113.29020387865457,0.0,90.7533469958227
"Cheyenne and Arapaho District 4, Cheyenne and Arapaho OTSA, USA",0.004369743819816819,0.6328249418106089,9.045726085132666,0.5361080485115767,3.6342835212375197,0.0,165.02580725613726,0.0,126.17305556989031
"County District 9, Choctaw OTSA, USA",0.004968391042765388,0.8350654229011457,6.672150971427501,0.529831590809491,2.797924490267606,0.0,136.0850582634017,0.0,99.40861481929133
"County District 11, Choctaw OTSA, USA",0.0016594456242603505,0.7862027951234017,6.265661236456738,0.7637030429180295,1.9051639819571469,0.0,132.6420363720017,0.0,117.52255136051109
"Sequoyah Non-Community, Cherokee OTSA, USA",0.0036568552094273024,0.47492137063400097,10.875436488772856,0.5907300115874855,2.524473670863311,0.4445952656844893,34.81195215277634,0.0,105.61204742298035
"Delaware Non-Community, Cherokee OTSA, USA",0.005435444610367838,0.4634088037427859,11.946883166099685,0.33012327971860805,4.0278144556761655,0.07133831916128812,49.79366210107898,0.0,51.16892659967309
