longname,Silent %,Boomer %,Gen X %,Millennial %,Gen Z %,Gen Alpha %
"Tulsa Non-Community, Cherokee OTSA, USA",0.049709331313498854,0.1884861764031705,0.18073466454014964,0.20243063957854676,0.2245696224524187,0.15406956571221558
"Cheyenne and Arapaho District 2, Cheyenne and Arapaho OTSA, USA",0.05444835148567595,0.20984015320492286,0.18885959866682359,0.2135296486652752,0.1988515302131804,0.1344707177641221
"Rogers Non-Community, Cherokee OTSA, USA",0.06581087499284664,0.23536479767042257,0.1921543630967733,0.18716940784219036,0.20157422106658993,0.11792633533117725
"Washington Non-Community, Cherokee OTSA, USA",0.08875186132640991,0.23618800351265676,0.17297926768737312,0.1821809018365092,0.1918597991676532,0.12804016646939767
"Mayes Non-Community, Cherokee OTSA, USA",0.07414289771698025,0.24821610969998284,0.18130559459374063,0.17845529274951916,0.18820704053307943,0.12967306470669768
"County District 4, Choctaw OTSA, USA",0.07067951551095569,0.22326703025919503,0.18197823163251298,0.18698255516648637,0.20379938962336405,0.13329327780748593
"Cheyenne and Arapaho District 3, Cheyenne and Arapaho OTSA, USA",0.06373866291460181,0.19986829170258527,0.14326489944993845,0.1952782519429446,0.25573725720473744,0.1421126367851925
"Cheyenne and Arapaho District 4, Cheyenne and Arapaho OTSA, USA",0.06370956293116896,0.22312906180031328,0.18237718840081088,0.2098876249953039,0.18920942028012575,0.1316871415922772
"County District 9, Choctaw OTSA, USA",0.06839697073878377,0.20120966189748707,0.15525335080640007,0.22870554408904448,0.20864968481632126,0.13778478765196323
"County District 11, Choctaw OTSA, USA",0.07422608792348731,0.21856840101579436,0.17228704240512985,0.22278328351060386,0.1807185656484444,0.13141661949654015
"Sequoyah Non-Community, Cherokee OTSA, USA",0.07134440592193482,0.23460427401966677,0.19681962574420878,0.17168851049622647,0.19327192492111492,0.1322712588968483
"Delaware Non-Community, Cherokee OTSA, USA",0.08929235975804839,0.29351844423394763,0.1746590420308533,0.15930781382537915,0.16303920375043465,0.12018313640133685
"Cherokee Non-Community, Cherokee OTSA, USA",0.06896651914106332,0.19437957386984633,0.15881752914268776,0.18413386415154115,0.2804145548446419,0.11328795885021951
"Muskogee Non-Community, Cherokee OTSA, USA",0.058631303670470175,0.24782215029389149,0.16643675348743472,0.1734759929971342,0.22178312051941315,0.13185067903165626
"County District 10, Choctaw OTSA, USA",0.08541742680209591,0.24297889847879273,0.18025390071800215,0.18897766309884384,0.1883075063126787,0.11406460458958657
"County District 5, Choctaw OTSA, USA",0.08461468765286799,0.2747776727986316,0.16576243004399652,0.16923286051030006,0.18978843468297676,0.11582391431122703
"County District 1, Choctaw OTSA, USA",0.07727339519425813,0.2210972490642108,0.17463212280063523,0.1868258846620674,0.19656604454694881,0.14360530373187963
"County District 12, Choctaw OTSA, USA",0.10741058028092594,0.2710247163613689,0.16303662506930883,0.1584715854698388,0.1752240706835202,0.12483242213503731
"County District 8, Choctaw OTSA, USA",0.08492346403858264,0.26113091493674395,0.17446005451876676,0.15999161249737903,0.1911651639057808,0.12832879010274673
"Craig Non-Community, Cherokee OTSA, USA",0.0894602764444405,0.24064100249299009,0.19021437799757854,0.1771966196407476,0.19009187594182475,0.11239584748241856
"County District 7, Choctaw OTSA, USA",0.09464474326170288,0.2711068205659595,0.17424616282378705,0.16768467054656805,0.1689386143860541,0.12337898841592858
"County District 2, Choctaw OTSA, USA",0.06869577412657661,0.24245598245102215,0.17994712675149382,0.16856531697472474,0.19707137211289252,0.1432644275832903
"Adair Non-Community, Cherokee OTSA, USA",0.06611354885566485,0.23229836533008752,0.16944609661774712,0.1819461487291933,0.2084647096386207,0.14173113082868644
"County District 6, Choctaw OTSA, USA",0.09871837147876024,0.23905179713263006,0.17545911529578342,0.16499660407047606,0.20817783735700196,0.11359627466534819
"Cheyenne and Arapaho District 1, Cheyenne and Arapaho OTSA, USA",0.08100963149951218,0.2497748636709896,0.18117333640849884,0.1866305604958487,0.18456589570631424,0.11684571221883651
"Polson District, Flathead Reservation, USA",0.10207802887807563,0.2967439652861566,0.1776795811303485,0.13313037839479366,0.18976235410621048,0.10060569220441525
