longname,"Agriculture, forestry, fishing and hunting %","Mining, quarrying, and oil and gas extraction %",Accommodation and food services %,"Arts, entertainment, and recreation %",Construction %,Educational services %,Health care and social assistance %,Finance and insurance %,Real estate and rental and leasing %,Information %,Manufacturing %,"Other services, except public administration %",Administrative and support and waste management services %,Management of companies and enterprises %,"Professional, scientific, and technical services %",Public administration %,Retail trade %,Transportation and warehousing %,Utilities %,Wholesale trade %
"Tulsa Non-Community, Cherokee OTSA, USA",0.006241224666577056,0.009293902515453083,0.07580672789747321,0.01879362667250673,0.08640632521873766,0.06674284422536603,0.12795453743431018,0.03249098544327658,0.01831621535890523,0.02170660034692884,0.14153774615388331,0.05145247406778411,0.057336283721475687,0.001752575541862223,0.042715631288815156,0.03678172083821326,0.1150079510437273,0.05726749680759564,0.011179651861361358,0.02121547889574737
"Cheyenne and Arapaho District 2, Cheyenne and Arapaho OTSA, USA",0.018659054461313797,0.048590698831274225,0.06356906605048583,0.016201922430689315,0.05873460352976806,0.08906393708124033,0.12090474925498189,0.05193227931002062,0.014142131600317584,0.013903325562100173,0.07600556818042467,0.051556782242527764,0.030013212378191705,0.0011329331772243943,0.06218961100735353,0.07826851089042137,0.12550520608253476,0.037939163016088025,0.010955699384906821,0.030731545528135142
"Rogers Non-Community, Cherokee OTSA, USA",0.008075286503501991,0.016394883850571727,0.05899786099523646,0.02444184835595133,0.08337858808743584,0.08128238691737208,0.12952926081302477,0.04105488345208831,0.016742227201694982,0.019100556911431404,0.12720860410687898,0.04450907166391342,0.03192380128959122,0.001451635394433059,0.0506409236495154,0.03942353697736776,0.10634554181015599,0.07180023434033218,0.01841231938007597,0.029286548299427315
"Washington Non-Community, Cherokee OTSA, USA",0.011604730477920006,0.0418567568764672,0.06905257563006599,0.023253753820259557,0.06883111130796829,0.07835407715816982,0.14829251007662667,0.023430925277937723,0.01612260264871329,0.012712052088408558,0.13097400008858573,0.06037117420383576,0.04181246401204766,0.00903574434158657,0.04110377818133499,0.030252026398547193,0.12751915666386146,0.037427470434513,0.010010187358816494,0.017982902954334058
"Mayes Non-Community, Cherokee OTSA, USA",0.02574480872249177,0.012214426139160408,0.06715685657721913,0.018969912040676776,0.08342335920835006,0.07260696042289759,0.12757290901192464,0.028585623905433986,0.015545665028508534,0.009892036626759769,0.17425308744725865,0.042182527584730234,0.04412323916772111,0.00033104782024173494,0.026939589355814395,0.03941472984314679,0.11762794056817892,0.04318233703642915,0.025248786970058505,0.024984156522997927
"County District 4, Choctaw OTSA, USA",0.01881113646485578,0.05096884676069287,0.057366789278988736,0.019843020415629957,0.07112239584177145,0.0891180230030502,0.1398801170423305,0.029107677561584423,0.010727959270558763,0.007617808295614586,0.12451540633301428,0.04406020120768779,0.02712898678602822,0.00036050913232825216,0.02495736419880987,0.04863566830551069,0.13645262635739208,0.06374839733737138,0.016724001804587458,0.01885306460219266
"Cheyenne and Arapaho District 3, Cheyenne and Arapaho OTSA, USA",0.04160518558624512,0.06188062208206895,0.06266346382796704,0.02548340282833867,0.05795027953283069,0.10500000428814074,0.11951247608176012,0.045006019013340746,0.0146410934349761,0.013520480151072503,0.0803031903832694,0.06651199556929902,0.026611483650367303,0.003059792775270254,0.03963110552917589,0.044340261721946675,0.1338691944812402,0.02457324915406215,0.01625168856872756,0.017585011339900772
"Cheyenne and Arapaho District 4, Cheyenne and Arapaho OTSA, USA",0.04671073667956893,0.1230739402915176,0.08696406149011558,0.0072710254315351665,0.06375254883905566,0.07992828120796623,0.09653180475024749,0.027494518440054523,0.02019367720600007,0.0030351320848390336,0.05336309274288319,0.0564787978738135,0.0259350313893674,0.0,0.03707546879195746,0.0711486761830953,0.1082289426282077,0.052016304728312,0.011139984302524266,0.02965797493893894
"County District 9, Choctaw OTSA, USA",0.019339009935221498,0.010663398235415945,0.08606879142999231,0.09048827435815038,0.05590828459670373,0.11127376239455544,0.12141904008601212,0.027109957495757484,0.013267677014853665,0.014138738043805695,0.09092009802851991,0.0477973159223074,0.03402378812262456,0.0,0.023150744172245635,0.060372185468330036,0.13300637259382042,0.03719913640487983,0.007174141410727692,0.016679284286076075
"County District 11, Choctaw OTSA, USA",0.012115717526954202,0.029954273048846552,0.07204059822701017,0.011175996694519458,0.05904087317396382,0.07996496937983115,0.14531254727085202,0.026814233579196,0.016143131491377617,0.018392052424274764,0.0975336566115401,0.05892498983629893,0.03488970819546328,0.00041563259214906696,0.04752850631951277,0.12194398073072979,0.11225469201109356,0.02251301600281173,0.014285973333379819,0.01875545155019497
