longname,Population,Population (2010),Population Change (2010-2020),Population (2000),Population Change (2000-2020),PW Density (r=1km),PW Density (r=1km) (2010),PW Density (r=1km) Change (2010-2020),PW Density (r=1km) (2000),PW Density (r=1km) Change (2000-2020),AW Density,AW Density (2010),AW Density (2000),Area,Compactness
"Tulsa Non-Community, Cherokee OTSA, USA",124937.0,112657.0,0.10900343520597922,105740.0,0.18154908265557027,963.4693122644278,951.7701976393103,0.012291953093441077,1009.7662548742617,-0.04584916794986269,255.17514754378402,230.09410020122203,215.96660798066003,489.61272758179865,0.3834135114079188
"Cheyenne and Arapaho District 2, Cheyenne and Arapaho OTSA, USA",109088.0,93599.0,0.1654825372065941,81444.0,0.3394234074947203,740.1835430449817,708.0606087726028,0.045367492379025015,688.2943870467515,0.07538802723769081,22.987301701056634,19.723420100443676,17.16208748662416,4745.576554336765,0.42501208273727364
"Rogers Non-Community, Cherokee OTSA, USA",86117.0,78439.0,0.09788498068562833,62681.0,0.3738932052775163,350.26827342087546,314.19577584784,0.11480898327068778,279.10808964814936,0.2549556476934524,53.49529476707385,48.72577338080177,38.93701094203184,1609.8051309926548,0.23707669811741372
"Washington Non-Community, Cherokee OTSA, USA",52455.0,50976.0,0.029013653483992468,48996.0,0.07059759980406564,653.7948465979455,647.8540831983659,0.009169909634976594,650.843506412429,0.004534638751771324,47.730211430489646,46.38442966124564,44.582774554346976,1098.9894749657908,0.6110723212346094
"Mayes Non-Community, Cherokee OTSA, USA",35632.0,37272.0,-0.04400085855333763,34656.0,0.02816251154201293,261.43911540288923,264.26603090743305,-0.010697233749024785,246.9580193412253,0.05863788550091661,23.776012744839047,24.870328553705686,23.124761385415976,1498.6533016447208,0.17867220382510846
"County District 4, Choctaw OTSA, USA",34736.0,35526.0,-0.022237234701345494,32861.0,0.05705851921730927,194.16184624027335,199.3887715267524,-0.02621474241731687,191.17733803847483,0.015611202836174447,18.79134932683552,19.21872052582792,17.777018949480137,1848.5101519769137,0.39166437284427325
"Cheyenne and Arapaho District 3, Cheyenne and Arapaho OTSA, USA",33639.0,32850.0,0.02401826484018265,31822.0,0.05709886242222362,616.0250025574185,610.7870888869196,0.008575678441475063,586.1597831844477,0.05095064559141376,8.515558010430372,8.315826292179842,8.055592824041003,3950.298965587095,0.6001686369656121
"Cheyenne and Arapaho District 4, Cheyenne and Arapaho OTSA, USA",32652.0,33140.0,-0.01472540736270368,30286.0,0.07812190451033481,331.28247632934296,352.2753952006812,-0.0595923506362946,326.0719556833313,0.01597966508678205,4.394261870478777,4.45993624855037,4.075848799746424,7430.599486880921,0.6197978214775891
"County District 9, Choctaw OTSA, USA",31946.0,28002.0,0.14084708235126062,23908.0,0.33620545424125814,451.0418803870179,444.9964820040524,0.013585272305389738,473.91019136065063,-0.048254524571364844,23.614592986078975,20.699174632072353,17.672875762573597,1352.8075634770614,0.219151031271432
"County District 11, Choctaw OTSA, USA",30267.0,30963.0,-0.022478442011433,30010.0,0.008563812062645785,440.9229027187479,487.6583119571227,-0.09583638398535904,458.5334946383214,-0.0384063369971789,25.091124558757226,25.66810353562626,24.878073413562767,1206.2831193206248,0.4568037026195047
