longname,No internet access %,Uninsured %,Public Insurance %,Private Insurance %
"Tulsa Non-Community, Cherokee OTSA, USA",0.15807910068271772,0.2478963208817221,0.163389074909008,0.5887146042092698
"Cheyenne and Arapaho District 2, Cheyenne and Arapaho OTSA, USA",0.08864966811583204,0.15790750894660693,0.08570361456692399,0.756388876486469
"Rogers Non-Community, Cherokee OTSA, USA",0.12115762832887132,0.16048787845137114,0.10030323733109875,0.7392088842175301
"Washington Non-Community, Cherokee OTSA, USA",0.15229123736630323,0.1870179735857796,0.1484558604481811,0.6645261659660393
"Mayes Non-Community, Cherokee OTSA, USA",0.15230957608385487,0.24228886415302067,0.1685205715895149,0.5891905642574644
"County District 4, Choctaw OTSA, USA",0.21956337128270423,0.26543373696470557,0.19774544185581125,0.5368208211794832
"Cheyenne and Arapaho District 3, Cheyenne and Arapaho OTSA, USA",0.11011002400060853,0.14669820091194313,0.10867208800355432,0.7446297110845026
"Cheyenne and Arapaho District 4, Cheyenne and Arapaho OTSA, USA",0.13733567034510333,0.23369988073170223,0.11217363558268476,0.654126483685613
"County District 9, Choctaw OTSA, USA",0.17714115760968288,0.27811434882441527,0.14238648275244922,0.5794991684231356
"County District 11, Choctaw OTSA, USA",0.1682951673438593,0.2594271803173508,0.17640808341939088,0.5641647362632582
"Sequoyah Non-Community, Cherokee OTSA, USA",0.193136868081933,0.28406893251834603,0.23640004422982538,0.4795310232518286
"Delaware Non-Community, Cherokee OTSA, USA",0.22384367698841826,0.2640442186920884,0.1891034566933473,0.5468523246145642
"Cherokee Non-Community, Cherokee OTSA, USA",0.16887551844283497,0.2983096596661756,0.1384756768147303,0.563214663519094
"Muskogee Non-Community, Cherokee OTSA, USA",0.17588284715325328,0.21503127342253378,0.17072357624894324,0.6142451503285229
"County District 10, Choctaw OTSA, USA",0.23006211526103892,0.24779354972683793,0.20026357910762743,0.5519428711655345
"County District 5, Choctaw OTSA, USA",0.21635540778313142,0.26568002833986337,0.23471799393037962,0.4996019777297571
"County District 1, Choctaw OTSA, USA",0.2745576321505996,0.28780205864351843,0.21029734155553811,0.5019005998009435
"County District 12, Choctaw OTSA, USA",0.21167045433350531,0.25372706500629555,0.15546622485570027,0.5908067101380041
"County District 8, Choctaw OTSA, USA",0.24617790132036085,0.2828195996561471,0.20483851160505925,0.5123418887387937
"Craig Non-Community, Cherokee OTSA, USA",0.25476804159210675,0.2194912083708124,0.21857464568859328,0.5619341459405943
"County District 7, Choctaw OTSA, USA",0.29239127859063085,0.3021541114055908,0.22536998602595174,0.47247590256845745
"County District 2, Choctaw OTSA, USA",0.25797204314211303,0.3193462720615757,0.16214333603252967,0.5185103919058947
"Adair Non-Community, Cherokee OTSA, USA",0.42800066159806477,0.3173803874693043,0.26988140843456054,0.4127382040961351
"County District 6, Choctaw OTSA, USA",0.22595098317073906,0.2830222968097782,0.18659776204511452,0.5303799411451072
"Cheyenne and Arapaho District 1, Cheyenne and Arapaho OTSA, USA",0.16622083355201345,0.2265482804501571,0.11933710361294167,0.6541146159369011
"Polson District, Flathead Reservation, USA",0.14063506992325833,0.17355887278286633,0.26155950571978254,0.5648816214973512
