longname,Architecture and engineering occupations %,Computer and mathematical occupations %,"Life, physical, and social science occupations %","Arts, design, entertainment, sports, and media occupations %",Community and social service occupations %,"Educational instruction, and library occupations %",Legal occupations %,Health diagnosing and treating practitioners and other technical occupations %,Health technologists and technicians %,Business and financial operations occupations %,Management occupations %,Construction and extraction occupations %,"Farming, fishing, and forestry occupations %","Installation, maintenance, and repair occupations %",Material moving occupations %,Production occupations %,Transportation occupations %,Office and administrative support occupations %,Sales and related occupations %,Building and grounds cleaning and maintenance occupations %,Food preparation and serving related occupations %,Healthcare support occupations %,Personal care and service occupations %,"Firefighting and prevention, and other protective service workers including supervisors %",Law enforcement workers including supervisors %
"Tulsa Non-Community, Cherokee OTSA, USA",0.01637636687392213,0.017475048003956727,0.0024927413833475934,0.010537911941260643,0.013442814462985977,0.04795464867039484,0.00633260003180591,0.026377141492089414,0.025642596671457133,0.04144312998279551,0.08446695280446084,0.0765943411453012,0.0016868174774532585,0.041597707239068096,0.0537714066697916,0.09441210057743937,0.034288922438509235,0.12014875152363118,0.08740533291011963,0.05878277988375915,0.05924147162626789,0.032839581993219784,0.027031037784100254,0.009927153191174154,0.009730643221688618
"Cheyenne and Arapaho District 2, Cheyenne and Arapaho OTSA, USA",0.018664700540378457,0.033675823779002904,0.00837620728953452,0.01363962749227921,0.01653571323533192,0.059585379337537145,0.008246838623941984,0.04558720819388643,0.021843676074599767,0.047948502656634,0.0961784782690365,0.06488374771429813,0.007734958838499276,0.0428582520618074,0.03695117976211985,0.0517040745325856,0.03122052666761659,0.1436811251124151,0.10270613796851699,0.029818239328695564,0.049129221139369184,0.018626907819245215,0.026140067753870434,0.008203809008680939,0.016059596800116788
"Rogers Non-Community, Cherokee OTSA, USA",0.01935126545543742,0.023225565198527066,0.006198678098741948,0.011812376017611152,0.015291433791991656,0.05907629862941827,0.007753053710441055,0.03896145123638209,0.023782060616007544,0.04320778398732908,0.10923498400474888,0.05947650112245244,0.0026846238602315255,0.05948351766210422,0.03580791721624429,0.07730303256195228,0.03584645532030337,0.11883350459447652,0.09717621942029248,0.030500460251891945,0.048708087083649515,0.027848396674237563,0.026044718660827942,0.014473972279191444,0.007917642545508165
"Washington Non-Community, Cherokee OTSA, USA",0.018868760242724898,0.044735793063737435,0.01785002436107543,0.011781901935598174,0.019843203259954822,0.051025379811312395,0.0032333791026265667,0.033618284094432384,0.019931788988793907,0.06081410284803118,0.09686849448553837,0.0607255171191921,0.0050493865438277896,0.0307835407715817,0.04380564291092705,0.06338308898436462,0.038224741994064754,0.11467422598219427,0.08583957124507242,0.04974088674314568,0.05669486645701378,0.035788634450989947,0.02356380387119635,0.0057580723745404615,0.007396908358063516
"Mayes Non-Community, Cherokee OTSA, USA",0.018479987421666413,0.008480364702928709,0.009108199608760144,0.005879004140402417,0.009517190346818576,0.0638441175727339,0.0031170979221837795,0.030065625696629152,0.021839138884992264,0.030438424318999582,0.09766826102163575,0.06791398387253107,0.009568165489690897,0.05164022884625697,0.05534582405204712,0.11088145171159759,0.03743699645684234,0.09781345824600805,0.0882150955361154,0.04363386998191136,0.05650757037809449,0.040107774677733576,0.019557667390008113,0.015007239605339373,0.007933262118072888
"County District 4, Choctaw OTSA, USA",0.010576531363079341,0.0054301007954393144,0.0024616725085591334,0.0038181462000099176,0.02183221324935615,0.07156161371270556,0.004984735415483824,0.02611735830972823,0.0202896796886931,0.027314582381384577,0.06533231583984392,0.07757821835731385,0.01069676577656949,0.04413339834978573,0.040823343335127146,0.09834620275489829,0.06587861784022125,0.1034465114448236,0.10674242308428553,0.05179936601941626,0.05676139642238245,0.045029395839453014,0.02279724607115863,0.007770451729085247,0.008477713511196465
"Cheyenne and Arapaho District 3, Cheyenne and Arapaho OTSA, USA",0.012175897476553984,0.003435287392415053,0.009074063865980368,0.008114447045784767,0.04860321987965337,0.06653906697774561,0.0032212940666138095,0.03143347922321945,0.018976582623164713,0.032677772074555037,0.10034722519619624,0.06081195073015746,0.011782131435760752,0.04052167443064997,0.05938887091992693,0.05796417587230182,0.03964763532688437,0.11634485490458632,0.11505294761891906,0.03147164303864613,0.04793744634456007,0.028449599824302948,0.036845454816571026,0.009419362072890784,0.009763916841960105
"Cheyenne and Arapaho District 4, Cheyenne and Arapaho OTSA, USA",0.004859696415437149,0.005517583237090122,0.003204276374931429,0.0034040837955620863,0.024800664022090142,0.043218178483917465,0.0004493787067031387,0.033553837218129975,0.019051482458811674,0.0362728256944936,0.12446263121577707,0.1022016715175089,0.0131515102073994,0.04008569663096722,0.0409505771211782,0.03496454392394049,0.0720045901152385,0.1113231509230223,0.07551345875904857,0.04861371806731586,0.07003276196029054,0.033974484097286456,0.0315670765920549,0.00725110689270575,0.01957101556909894
"County District 9, Choctaw OTSA, USA",0.0034967504154377674,0.010079719108562445,0.003672709086621213,0.009878252716389395,0.01578124625178437,0.08030954665195239,0.007068622960155058,0.032177476240868426,0.02459601243491379,0.036331075786774386,0.10542069827506756,0.054753119121765566,0.007809740888361337,0.04515097461148432,0.04553062104783352,0.07351940815527644,0.029986607310130406,0.13050429310755565,0.10586815303547763,0.04332775430724587,0.05572747397929269,0.024943626685841724,0.04119479499881476,0.009258437904883088,0.0036128849175101328
"County District 11, Choctaw OTSA, USA",0.014923414999900209,0.008753248981015592,0.005345167454570244,0.00822952532455153,0.033919525012023444,0.056410609673722203,0.008085558653689718,0.03942992064797934,0.02269836914093145,0.04326970464681276,0.09094604907392488,0.06465563715716802,0.002489245058758008,0.03782899319425055,0.052331596182633826,0.06894403758433479,0.03596896556291504,0.13034074232953596,0.08429299817230554,0.03723391901008147,0.05798540155048657,0.03355158713660929,0.027766996676684565,0.012571792865828779,0.022026993909286332
