longname,Not Cohabiting With Partner %,Cohabiting With Partner (Gay) %,Cohabiting With Partner (Straight) %,Living With Parents %,Other Living Situation %,Never Married %,Married (not divorced) %,Divorced %
"Tulsa Non-Community, Cherokee OTSA, USA",0.17961527856208326,0.004790979349667967,0.36129913438073324,0.3768903609274485,0.077404246780067,0.34540222266449533,0.522210857415845,0.13238691991965967
"Cheyenne and Arapaho District 2, Cheyenne and Arapaho OTSA, USA",0.1421546158766714,0.006130209051909426,0.4449270454004137,0.33735599686054174,0.06943213281046375,0.24975574188469157,0.6304526551962747,0.11979160291903368
"Rogers Non-Community, Cherokee OTSA, USA",0.12956451741553654,0.0029846082999064267,0.46987996050546654,0.3332651889351625,0.06430572484392785,0.24384068951673066,0.6309021217158385,0.125257188767431
"Washington Non-Community, Cherokee OTSA, USA",0.17376197930586837,0.006376236111641391,0.42430605933335847,0.3256843954030015,0.06987132984613047,0.24690592583760496,0.6089662573029697,0.14412781685942525
"Mayes Non-Community, Cherokee OTSA, USA",0.1675443585202635,0.007674660399472401,0.43045673273797613,0.3237898130503021,0.07053443529198607,0.2360788955744821,0.6198664924292417,0.14405461199627623
"County District 4, Choctaw OTSA, USA",0.15525647043931054,0.0015551934220368528,0.40684609306840247,0.35070325265581387,0.08563899041443628,0.24674686679567262,0.6078610407713302,0.14539209243299728
"Cheyenne and Arapaho District 3, Cheyenne and Arapaho OTSA, USA",0.17307296577577327,0.00938209539552952,0.40421575913538876,0.2959202969064062,0.11740888278690229,0.3240087677309608,0.5590064402179844,0.11698479205105482
"Cheyenne and Arapaho District 4, Cheyenne and Arapaho OTSA, USA",0.15433274988974785,0.00171891103695549,0.4117894232505688,0.2804285126457751,0.15173040317695283,0.2585502134696979,0.5736641675026027,0.16778561902769942
"County District 9, Choctaw OTSA, USA",0.17532321212777033,0.0041748648814205255,0.4201594823753826,0.29810485076846915,0.10223758984695737,0.2971999791757123,0.547099788571318,0.15570023225296983
"County District 11, Choctaw OTSA, USA",0.18722082803146586,0.0020233443391209746,0.38940704006045884,0.3081560222845476,0.11319276528440676,0.28176605256183296,0.5639539736658501,0.15427997377231698
"Sequoyah Non-Community, Cherokee OTSA, USA",0.1687139196024444,0.003451988843766023,0.39529557504226687,0.3494036241311669,0.08313489238035573,0.2512542238276491,0.5880392378746746,0.16070653829767625
"Delaware Non-Community, Cherokee OTSA, USA",0.17302883909359862,0.00282670910164378,0.4373145488650259,0.30602425131380045,0.08080565162593133,0.2296989014033021,0.6401815325902083,0.1301195660064897
"Cherokee Non-Community, Cherokee OTSA, USA",0.18298654154520239,0.01078696955006681,0.3600057441731814,0.30905527561533747,0.13716546911621202,0.3614552314703508,0.511442986058973,0.12710178247067627
"Muskogee Non-Community, Cherokee OTSA, USA",0.1745668754377624,0.00692540127575949,0.4277077297530041,0.3412271404222402,0.04957285311123395,0.2748248730159478,0.5921340894613173,0.13304103752273488
"County District 10, Choctaw OTSA, USA",0.14309167598577038,0.0014007607064390115,0.42576811713186036,0.30536548541041025,0.12437396076552006,0.23920217918458817,0.6118715304771807,0.14892629033823115
"County District 5, Choctaw OTSA, USA",0.16983143745362655,0.003806243807889374,0.45647746074716294,0.3058195429976554,0.06406531499366569,0.2031726409690764,0.657665010495552,0.13916234853537165
"County District 1, Choctaw OTSA, USA",0.1808419290692184,0.00460927988428493,0.36187522542351686,0.37034260646591527,0.08233095915706451,0.2881019946280838,0.5663456326269624,0.14555237274495383
"County District 12, Choctaw OTSA, USA",0.1579234439517421,0.0005332377274216563,0.4489106977637601,0.31641531998649214,0.07621730057058386,0.21863861971989082,0.6376668095747483,0.1436945707053608
"County District 8, Choctaw OTSA, USA",0.2075906898720908,0.003494792758789405,0.38596491228070134,0.3303278115607748,0.07262179352764371,0.25903773418946235,0.6033072389831999,0.1376550268273378
"Craig Non-Community, Cherokee OTSA, USA",0.17398337247045334,0.00324062624273161,0.3824137885257122,0.2906265211618929,0.14973569159921,0.2862532878795083,0.5615440600028391,0.15220265211765252
"County District 7, Choctaw OTSA, USA",0.16817175948772725,0.0032099041151210923,0.4267767639763921,0.3329721190610268,0.06886945335973292,0.218395256554301,0.6484916384712478,0.13311310497445125
"County District 2, Choctaw OTSA, USA",0.16450421331276205,0.0021102057001640305,0.3829892501597278,0.3576126071044963,0.0927837237228498,0.25312154682317173,0.5925527070281353,0.15432574614869293
"Adair Non-Community, Cherokee OTSA, USA",0.17757991732608827,0.003938844086127641,0.3578061452519878,0.38799260887875586,0.0726824844570405,0.26799138146573126,0.5917027953533152,0.14030582318095366
