longname,Mean high temp,Mean high heat index,Mean high dewpt,High temperature Above 90°F %,High temperature Between 40 and 90°F %,High temperature Below 40°F %,Humid days (dewpt > 70°F) %,Non-humid days (50°F < dewpt < 70°F) %,Dry days (dewpt < 50°F) %,Mean sunny hours,Rainfall,Snowfall [rain-equivalent],High windspeed (>10mph) days %,Mean high temperature in summer,Mean high temperature in winter,Mean high temperature in fall,Mean high temperature in spring
"Tulsa Non-Community, Cherokee OTSA, USA",71.6812918247152,73.06446105421672,54.025529356863686,0.17011822740489171,0.7761467215234139,0.05373505107169336,0.2130524747124017,0.40112105587969804,0.3858264694078994,6.186779746643415,1.0265203293771032,0.028994525746139144,0.21843673858023913,90.62199025294508,53.17849354433328,64.91084351400885,77.03127745257096
"Cheyenne and Arapaho District 2, Cheyenne and Arapaho OTSA, USA",72.76870978058271,73.45208224735916,52.320981466886565,0.1985819982932227,0.7527844632185541,0.048633538488226,0.12918875734097288,0.4586054181201244,0.41220582453890253,6.744118314134962,0.7474926094062622,0.02963649290736785,0.39743201107947473,91.69023411392294,54.504171801894465,65.70848307825347,78.18423752277897
"Rogers Non-Community, Cherokee OTSA, USA",71.46399983606732,72.90125209318882,54.16472336602174,0.1646658740544468,0.7810403121391685,0.05429381380638455,0.2202746041608938,0.3963213467824523,0.38340404905665415,6.118349712717658,1.048684816450434,0.02886001613661752,0.2073634009326885,90.38369150875454,52.95783200447679,64.69400806024316,76.8377266295888
"Washington Non-Community, Cherokee OTSA, USA",70.79730553321558,72.01498069878866,53.32874683138577,0.16136080937394223,0.7749126459022739,0.06372654472378539,0.20355395606202098,0.3949216021808593,0.40152444175712054,6.152080168678053,1.0162364658074907,0.03261899279703293,0.21828108482869685,90.13899922271672,51.80995790045539,63.8917612888065,76.34832794484011
"Mayes Non-Community, Cherokee OTSA, USA",71.03741002120458,72.46107490497185,54.26153363511148,0.15040214110261393,0.7952027617148085,0.054395097182576686,0.22308627582373838,0.3986581166244644,0.37825560755179677,6.028475497647193,1.066718905155904,0.030085908638647976,0.1859629132054121,89.7900878113366,52.72258893452978,64.38890937976755,76.2787240343906
"County District 4, Choctaw OTSA, USA",72.86828100245896,74.69899536226751,56.10923828069169,0.17059609010550844,0.795101598202779,0.03430231169171236,0.24661137190221574,0.4216862882654579,0.33170233983232655,5.963900689250897,1.0674250058256254,0.01961032761998563,0.07525480166559516,90.68236866571415,55.53448126542476,66.60012981530924,77.73538058807824
"Cheyenne and Arapaho District 3, Cheyenne and Arapaho OTSA, USA",72.69531118087819,72.94265965991816,50.93530431266741,0.20275001816822572,0.747945618522483,0.04930436330929159,0.08496581605613222,0.47623005558156395,0.43880412836230287,6.983499717364542,0.6501261294368083,0.030240256114604718,0.4574367543550684,91.5799318713573,54.495857855135924,65.45157345589693,78.26181721815774
"Cheyenne and Arapaho District 4, Cheyenne and Arapaho OTSA, USA",72.89532944632639,72.91396862353086,50.14627871543288,0.2022912105473108,0.7509158855062498,0.04679290394644052,0.06365601646522065,0.47919310463776055,0.45715087889701905,7.137517565300162,0.6044991871115188,0.03217110173135028,0.5023517729546797,91.4001829729838,54.991808238702944,65.70331330108685,78.50860192147762
"County District 9, Choctaw OTSA, USA",74.55683013029059,76.71013166745247,57.383417334118384,0.19722865765546743,0.7802644130195417,0.022506929324990103,0.270578850159206,0.424731320448164,0.30468982939263006,6.272385888592218,1.0533427806978692,0.012176761168746626,0.1736441678841832,91.84770621675803,58.01876237035507,68.50465614278585,78.97195557819539
"County District 11, Choctaw OTSA, USA",73.0482282876695,74.77730740396035,55.92196579083689,0.1756155687193408,0.7895715524819711,0.03481287879868802,0.24293312102319803,0.4210527169767146,0.33601416200008716,6.113042218246809,1.0242616642525986,0.0184366011593955,0.1943884234538848,91.00761756314134,55.780907223173706,66.76546012297432,77.7154877248402
"Sequoyah Non-Community, Cherokee OTSA, USA",72.16664734009066,73.88370441089536,55.6283150095098,0.1609202457599037,0.7998253449795001,0.039254409260596965,0.24197340079045354,0.412773863238603,0.3452527359709428,5.978181754476159,1.1498846225421384,0.02011558146289437,0.07837657733617404,90.28901461104492,54.554072540759876,65.80579110009191,77.08520669585889
"Delaware Non-Community, Cherokee OTSA, USA",70.01995412760768,71.26211415208617,53.9582828255817,0.1285969044341008,0.8105624245980846,0.060840670967814495,0.21259252203895837,0.4066996795686851,0.38070779839235647,5.881865663938783,1.0903936611940848,0.03485186105808973,0.1480192806042298,88.75854003421867,51.7600755716328,63.41647122288332,75.17445952891035
"Cherokee Non-Community, Cherokee OTSA, USA",71.11716830726283,72.66686877556309,54.97247045243431,0.14485814207346517,0.806108631377972,0.04903322654856332,0.23341597068099776,0.40493564256540604,0.36164838675359645,5.963260146067879,1.128654677996386,0.029268760961467546,0.1338695897390304,89.60889979590854,53.18230851493486,64.6454620632499,76.08097264462691
"Muskogee Non-Community, Cherokee OTSA, USA",72.25985133428702,73.94822093863391,55.28616608687589,0.16955723753715288,0.7886626269753624,0.04178013548748475,0.2393722394066308,0.404382619127245,0.3562451414661242,6.071766105639157,1.0551365846156875,0.02456725860978787,0.16188845436615504,90.62934291559209,54.35982262067429,65.81524627902466,77.28677196906462
"County District 10, Choctaw OTSA, USA",74.27015912811642,76.30985343798471,56.85966507117199,0.19672011350539031,0.7771079115559756,0.02617197493863372,0.26027177974858395,0.42451732898442157,0.31521089126699514,6.193682377409702,1.058061897460334,0.014159107486285264,0.1515267082782033,91.91424029966258,57.44379297296373,68.10491465846334,78.71470610628161
"County District 5, Choctaw OTSA, USA",72.74688066715117,74.57296940611148,55.951629945054485,0.1724748283004315,0.7914763171314274,0.03604885456814156,0.24811542022026564,0.4125378101691341,0.33934676961060023,6.038658643630294,1.0580589078051146,0.01974997489412891,0.12292464790234225,90.7535563542398,55.19881488412219,66.4400626810105,77.66605994637118
"County District 1, Choctaw OTSA, USA",74.34073276561428,76.85576602454478,58.50969154208076,0.18648597490714278,0.7919768619049748,0.02153716318788189,0.29346004006219945,0.42367602509606,0.2828639348417401,5.907617119975674,1.2620259867274881,0.011030181079024703,0.06270339548574479,91.35741687334045,57.771322105471484,68.49562277939674,78.86498510716426
"County District 12, Choctaw OTSA, USA",73.36881393166937,75.11023582127406,55.837102286119695,0.18169643049521852,0.7855083389781382,0.03279523052664271,0.24128124865780748,0.41910783068795276,0.3396109206542403,6.228714543552053,0.9976610723023936,0.017754653867116752,0.20543139756157103,91.24080670233276,56.190745656504085,67.09396998851214,78.02980791982502
"County District 8, Choctaw OTSA, USA",74.45520026077357,76.91663186508644,58.22263335936727,0.19370611793580975,0.7842324179845219,0.02206146407966862,0.2901343943814581,0.41935204402065823,0.290513561597883,6.012330520210725,1.1833274201850716,0.011173278148139303,0.08289953511647125,91.81993561059882,57.83871591363805,68.40821630852608,78.86694613184723
"Craig Non-Community, Cherokee OTSA, USA",70.40130035457595,71.65674995419023,53.6279312915764,0.14334981487349321,0.7946027454220661,0.062047439704441786,0.21149365842657003,0.39729894582337905,0.39120739575005126,5.97646369615028,1.0739006480171474,0.03444865422196947,0.1903998893852207,89.40201266165926,51.74773983874489,63.60917777898602,75.85690771999748
"County District 7, Choctaw OTSA, USA",73.69758149439453,75.79675375716374,57.25420890788646,0.17847654236345048,0.7952735924092932,0.026249865227255274,0.26821833499573916,0.4246925845336319,0.3070890804706297,5.952584049640577,1.176733092346141,0.013801591352863855,0.09298224839450268,91.24850563046789,56.89404875660978,67.56985732821207,78.17761076134833
"County District 2, Choctaw OTSA, USA",73.81515756586032,76.15111334321892,58.06790674280779,0.1731847817769796,0.8032845252534309,0.023530692969589356,0.2839058652715962,0.4249238682427596,0.2911702664856446,5.862178485504646,1.2841764588043754,0.010899979921057804,0.06064853031982168,90.90584351820866,57.219117929155956,67.90069071870931,78.35825833983573
"Adair Non-Community, Cherokee OTSA, USA",69.98260288452124,71.16671356362265,54.285775827211175,0.11433540985928094,0.8317909494592998,0.05387364068141872,0.20941158619665037,0.42128341605008024,0.36930499775326986,5.846245012946969,1.167065635517043,0.03210213133653175,0.12305153786559957,88.22922901738154,52.28694261091459,63.58156116888364,74.8907093241947
"County District 6, Choctaw OTSA, USA",72.58688823793733,74.33833866717762,56.08907675303205,0.16431258098895568,0.7997987595369047,0.035888659474139634,0.24603123243046943,0.4229502727300118,0.33101849483951834,5.980012106280723,1.069429912076086,0.020611786184537507,0.1351944071981754,90.5033207815683,55.30442656633236,66.35621763264788,77.26316767003216
"Cheyenne and Arapaho District 1, Cheyenne and Arapaho OTSA, USA",72.21463728920574,72.39024572371787,50.32102573939136,0.199042009443766,0.7449423627024222,0.05601562785381285,0.08323350357566318,0.4625779922111302,0.45418850421320694,6.925261826415643,0.6415957161223095,0.03894017492070781,0.48810092156028434,91.41254161779581,53.6605760366259,64.96871293492734,77.81118838310007
