longname,PW Mean PM2.5 Pollution,Utility gas heating %,Electricity heating %,"Bottled, tank, or LP gas heating %","Fuel oil, kerosene, etc. heating %",Other fuel heating %,No heating %
"Northeast Dallas Neighborhood, Dallas City, Texas, USA",8.03336350179566,0.3964210056653474,0.5870259824639202,0.009156689724608574,0.00011146348404945484,0.001722617480764303,0.0055622411813099955
"Paradise Neighborhood, Las Vegas City, Nevada, USA",6.665283104748729,0.41645503444437953,0.5585240566414209,0.010512581886210771,6.77604556634931e-05,0.00741891775713929,0.007021648815186004
"Upper West Side Neighborhood, New York City, New York, USA",7.82971482601447,0.49353138981398226,0.16997105775654148,0.020081659813546218,0.2351142108119396,0.04280627412154472,0.03849540768244575
"Maryvale Neighborhood, Phoenix City, Arizona, USA",9.168974220530007,0.17550894235215114,0.784692572073103,0.006873242915979043,0.00019855462811259577,0.004887822055687646,0.02783886597496664
"Spring Valley Neighborhood, Las Vegas City, Nevada, USA",6.69960361209825,0.6439323683712584,0.32987242076014184,0.018884806278291363,0.00025332101807495325,0.0036104045444028017,0.0034466790278305233
"Sunrise Manor Neighborhood, Las Vegas City, Nevada, USA",7.229087346080561,0.5621293837400827,0.39903419147317853,0.01574139374105648,0.0018469854107333432,0.00880765709237745,0.012440388542571635
"Upper East Side Neighborhood, New York City, New York, USA",7.6355918236002855,0.5472498477775523,0.21181246194438808,0.022660848386442053,0.1511670387659833,0.028678709153643196,0.03843109397199107
"South Los Angeles Neighborhood, Los Angeles City, California, USA",11.547719805799018,0.6331569801080762,0.23788945579192589,0.008834210889761506,0.0008155917024024366,0.0052034750613275445,0.11410028644650652
"East New York Neighborhood, New York City, New York, USA",8.002982261456102,0.8337170229498819,0.07363980839350837,0.018660184456995802,0.04023736326588979,0.011853864302566686,0.02189175663115753
"Southeast Los Angeles Neighborhood, Los Angeles City, California, USA",12.052825628558043,0.5879898282391997,0.21615043412723137,0.013344495490852077,0.0009669924268733403,0.001504210441802974,0.18004403927404067
