longname,PW Mean % of parkland within 1km,Within 10km of Hospital %,Mean distance to nearest Hospital,Within 2km of Public School %,Mean distance to nearest Public School,Within 30km of Airport %,Mean distance to nearest Airport,Within 10km of Active Superfund Site %,Mean distance to nearest Active Superfund Site,Within 0.5mi of a grocery store %,Within 1mi of a grocery store %,Within 10mi of a grocery store %,Within 20mi of a grocery store %
"Northeast Dallas Neighborhood, Dallas City, Texas, USA",0.03908548258082593,1.0,2.951756139244281,1.0,0.6199930295886916,1.0,13.709920576877154,0.050991702719083744,17.338648147178287,0.4933865465837838,0.8938155712151504,1.0,1.0
"Paradise Neighborhood, Las Vegas City, Nevada, USA",0.011287362193990288,1.0,2.1911761462505126,0.9870168771655303,0.7377800882443084,1.0,5.709648463162232,0.0,211.4137970146778,0.5551761512222346,0.9441042462287734,1.0,1.0
"Upper West Side Neighborhood, New York City, New York, USA",0.24619706356070156,1.0,1.134523333282683,1.0,0.2278448523988855,1.0,8.812238425305488,1.0,2.505559862171176,1.0,1.0,1.0,1.0
"Maryvale Neighborhood, Phoenix City, Arizona, USA",0.021758487228256938,1.0,3.0196509841181243,1.0,0.5233792567818821,1.0,19.48985472849885,0.012379995585008852,15.375125571253209,0.4198708377593341,0.9321363732495547,1.0,1.0
"Spring Valley Neighborhood, Las Vegas City, Nevada, USA",0.022031959686012126,1.0,1.8306933420551699,0.9984227053023229,0.7323865511030531,1.0,10.753915015454027,0.0,203.48200949072847,0.5771069667517685,0.8631676550517536,1.0,1.0
"Sunrise Manor Neighborhood, Las Vegas City, Nevada, USA",0.0053627865833890485,1.0,5.036882947868098,1.0,0.6548707853321382,1.0,13.78996276178338,0.0,223.216689463791,0.3582912794770037,0.766022295591837,1.0,1.0
"Upper East Side Neighborhood, New York City, New York, USA",0.0888435683410139,1.0,0.49692514850928415,1.0,0.2765467046065092,1.0,6.968168800152919,1.0,4.588422565180819,1.0,1.0,1.0,1.0
"South Los Angeles Neighborhood, Los Angeles City, California, USA",0.021279012047745675,1.0,3.517312374103806,1.0,0.385555949045853,1.0,11.553172671392447,0.12220341062446326,11.218985878092218,0.6900298006263713,0.9914611719514534,1.0,1.0
"East New York Neighborhood, New York City, New York, USA",0.05247795207457744,1.0,3.2529056119734414,1.0,0.2551140126303947,1.0,9.286374148603198,1.0,6.6477263224978165,0.9982028726918226,1.0,1.0,1.0
"Southeast Los Angeles Neighborhood, Los Angeles City, California, USA",0.01680475693407237,1.0,2.651778661780816,1.0,0.334761068558174,1.0,13.764584545854897,0.9715563825984567,8.52941756547364,0.7411857138883542,1.0,1.0,1.0
"Deer Valley Neighborhood, Phoenix City, Arizona, USA",0.02806644579839075,0.9993462436478505,3.9924848473642416,0.948380716934487,0.8683025630946978,0.7337893146545804,28.254180392805022,0.0,27.053382495143733,0.3617018866449714,0.7463893884088753,1.0,1.0
"Astoria Neighborhood, New York City, New York, USA",0.030810417533263443,1.0,1.1018490462819563,1.0,0.3386899550561506,1.0,4.39887973092072,1.0,5.6825212193780805,1.0,1.0,1.0,1.0
"Bedford Stuyvesant Neighborhood, New York City, New York, USA",0.02074409966450184,1.0,1.0821072119565789,1.0,0.20834392301977697,1.0,11.510416304442264,1.0,3.2118086818790226,1.0,1.0,1.0,1.0
"Enterprise Neighborhood, Las Vegas City, Nevada, USA",0.01202777109349479,1.0,3.634453448649679,0.9457130571879031,0.9586135511905514,1.0,10.470112964438552,0.0,200.33729169331644,0.21135776553489805,0.553996104247453,0.9887689596786893,0.9901108829142901
"Paradise Valley Neighborhood, Phoenix City, Arizona, USA",0.036845736762567416,1.0,3.5591459729993327,0.9998215621942094,0.7063423292796475,1.0,21.272886244002386,0.0,18.496091157342047,0.39943650182633184,0.8402085917840698,1.0,1.0
"North Mountain Neighborhood, Phoenix City, Arizona, USA",0.026351901856536308,1.0,3.6875812438486437,0.9971814912159358,0.6187930970803375,1.0,19.68240078011951,0.0,19.188618119163444,0.38807220560919975,0.7938432613701532,1.0,1.0
"Far North Neighborhood, Dallas City, Texas, USA",0.0172754794346745,1.0,2.79870401460462,0.974213888268025,0.8919669578012053,1.0,15.083265401675005,0.0,22.99427876092916,0.3696484400419081,0.9365671120158283,1.0,1.0
"Williamsburg Neighborhood, New York City, New York, USA",0.03239107537151868,1.0,1.5627297554263577,1.0,0.2753647465569801,1.0,10.182499521143505,1.0,2.132727799822346,1.0,1.0,1.0,1.0
"Washington Heights Neighborhood, New York City, New York, USA",0.1793233617327687,1.0,1.0491771146062383,1.0,0.21086713017813322,1.0,9.472133240927887,1.0,6.522320273187469,1.0,1.0,1.0,1.0
"Southeast Dallas Neighborhood, Dallas City, Texas, USA",0.025859909261863327,0.8173654711541053,7.180704169796131,0.977486459540298,0.7112493798636677,0.8843402225755167,22.0610087161566,0.0012327881221201261,20.4194772410923,0.27403014417258054,0.6806635827386922,1.0,1.0
"Alhambra Neighborhood, Phoenix City, Arizona, USA",0.01797134445839399,1.0,2.3734549911146776,1.0,0.51322148718452,1.0,14.09169344249156,0.0001296565466320006,15.041368021996332,0.7394451218063152,0.9928158652658515,1.0,1.0
"Camelback East Neighborhood, Phoenix City, Arizona, USA",0.019593258878506627,1.0,2.1095921423075845,0.9833881544922319,0.671378190484266,1.0,7.187639756981798,0.8462318210968369,5.71380336748213,0.5148032545054851,0.9313808735268987,1.0,1.0
"Hollywood Neighborhood, Los Angeles City, California, USA",0.007202768441190614,1.0,1.2583129744605992,1.0,0.4370678018716449,1.0,12.325638920401511,0.9917307638125827,6.178476836200993,0.9460192852210128,0.9999794855734302,1.0,1.0
"East Side Neighborhood, El Paso City, Texas, USA",0.016839078892951272,1.0,2.768554249825093,1.0,0.638691841918572,1.0,9.531350671452728,0.0,75.34354532921591,0.31352070553459577,0.8335577733552986,1.0,1.0
"Jamaica Neighborhood, New York City, New York, USA",0.03744871306490425,1.0,1.6204635217830492,1.0,0.2976112462708032,1.0,6.477472519729319,0.8003360041354355,9.204325976792955,1.0,1.0,1.0,1.0
"Roosevelt Neighborhood, Fresno City, California, USA",0.007636067988277425,1.0,3.071496061144955,0.9922056720169901,0.6202434751654017,1.0,5.289878074841969,1.0,6.115445448561701,0.43327719875380233,0.7733430371464962,1.0,1.0
"Crown Heights Neighborhood, New York City, New York, USA",0.05634346886652811,1.0,1.1273148111220426,1.0,0.23272913885753502,1.0,13.246083758737797,1.0,4.180875720548547,1.0,1.0,1.0,1.0
"Flatbush Neighborhood, New York City, New York, USA",0.05078349917085172,1.0,1.6470757380631071,1.0,0.31553936224704027,1.0,15.011168950025091,1.0,5.048625091451453,1.0,1.0,1.0,1.0
"North Scottsdale Neighborhood, Scottsdale City, Arizona, USA",0.013188718139691864,0.9835413700124216,3.442020479820275,0.7927485078922653,1.5074581201787567,0.8656269882146211,24.64683945101848,0.0008104341503317478,18.20899717655149,0.24745285056595434,0.6576474464285929,0.99999367169616,1.0
"Harlem Neighborhood, New York City, New York, USA",0.10845605841157388,1.0,0.7296797929355656,1.0,0.18377278677953346,1.0,7.392703272969414,1.0,3.9392891492483986,1.0,1.0,1.0,1.0
"South Mountain Neighborhood, Phoenix City, Arizona, USA",0.017679793491984012,1.0,5.689656635380137,0.9987334156613153,0.6110326563010824,1.0,7.576994255140062,0.2961195022323549,11.611858604978295,0.327154049217682,0.7274434909859305,1.0,1.0
"East Harlem Neighborhood, New York City, New York, USA",0.12946833358209273,1.0,0.5588452310727814,1.0,0.16936075025167513,1.0,6.26027207295799,1.0,4.160867111873053,1.0,1.0,1.0,1.0
"Williamsbridge Neighborhood, New York City, New York, USA",0.12573612256709407,1.0,1.4174408112986414,1.0,0.28850575676956214,1.0,11.111049364342012,0.0,13.522494691869392,0.9999834658315307,1.0,1.0,1.0
"South Side Neighborhood, Corpus Christi City, Texas, USA",0.03835757252779952,1.0,2.6214759263382454,0.976530729844087,0.7655824270695925,1.0,14.76706916842649,0.0,18.8202519052817,0.2154011635223969,0.6035935529401855,0.9998609220588974,1.0
"Bushwick Neighborhood, New York City, New York, USA",0.01617197375095459,1.0,1.0855289679025693,1.0,0.20522986640471685,1.0,9.857816357424712,1.0,2.4323506906248813,1.0,1.0,1.0,1.0
"Corona Neighborhood, New York City, New York, USA",0.1307763006252173,1.0,1.8136359031898777,1.0,0.2644927522902857,1.0,3.570351097284971,1.0,6.884565460540146,1.0,1.0,1.0,1.0
"East Flatbush Neighborhood, New York City, New York, USA",0.012056619062525717,1.0,0.9669980527990278,1.0,0.27756686799835567,1.0,12.811687265727125,1.0,6.275306260684417,1.0,1.0,1.0,1.0
"Borough Park Neighborhood, New York City, New York, USA",0.0072719694708892665,1.0,0.9889285854654902,1.0,0.3125519619690881,1.0,16.18107317870808,1.0,4.980220259038832,1.0,1.0,1.0,1.0
"Concourse Neighborhood, New York City, New York, USA",0.07766204218999505,1.0,0.8362337022300443,1.0,0.17746835418609486,1.0,7.323581782482309,1.0,6.96815933602501,1.0,1.0,1.0,1.0
