longname,Citizen by Birth %,Citizen by Naturalization %,Non-citizen %,Born outside US %,Born in us outside state %,Born in state of residence %,Only English at Home %,Spanish at Home %,Other at Home %
"Northeast Dallas Neighborhood, Dallas City, Texas, USA",0.7688763440905076,0.058458012420491395,0.17266564348900093,0.2311236559094925,0.23783966786503216,0.5310366762254753,0.6172998332985453,0.2996668278972368,0.08303333880421776
"Paradise Neighborhood, Las Vegas City, Nevada, USA",0.7352342289096676,0.12584260515561668,0.13892316593471585,0.2647657710903327,0.5255463446633826,0.2096878842462847,0.6164838059205441,0.25205979837410164,0.13145639570535436
"Upper West Side Neighborhood, New York City, New York, USA",0.7755336537175548,0.11976153040391112,0.10470481587853404,0.22446634628244522,0.3137767809507815,0.4617568727667733,0.7026995426012884,0.12920176041684361,0.16809869698186802
"Maryvale Neighborhood, Phoenix City, Arizona, USA",0.7055327098850527,0.08571557610277143,0.20875171401217588,0.29446729011494693,0.21631453805850998,0.4892181718265431,0.3583363820310631,0.6170713672198712,0.02459225074906571
"Spring Valley Neighborhood, Las Vegas City, Nevada, USA",0.707920601901145,0.17728429300152146,0.11479510509733354,0.29207939809885486,0.49009602216686127,0.2178245797342839,0.6094193731927093,0.15996629464014575,0.23061433216714494
"Sunrise Manor Neighborhood, Las Vegas City, Nevada, USA",0.730369385553609,0.10830042502486349,0.16133018942152758,0.2696306144463907,0.4292199762896351,0.3011494092639742,0.5090716889115198,0.43600623260622595,0.05492207848225421
"Upper East Side Neighborhood, New York City, New York, USA",0.7807205798576206,0.11538223904241936,0.10389718109996009,0.21927942014237925,0.3095082870087968,0.471212292848824,0.7374612071287969,0.07652556693979524,0.18601322593140796
"South Los Angeles Neighborhood, Los Angeles City, California, USA",0.6536667040753338,0.1237854909049146,0.2225478050197517,0.3463332959246657,0.09948290155077871,0.5541838025245557,0.369012665173058,0.6038023377325125,0.02718499709442961
"East New York Neighborhood, New York City, New York, USA",0.6535479763268819,0.22358030390368655,0.12287171976943148,0.346452023673118,0.09428112012064506,0.559266856206237,0.5897572600582033,0.29730113990367,0.11294160003812674
"Southeast Los Angeles Neighborhood, Los Angeles City, California, USA",0.6043724931159019,0.10961565613172312,0.2860118507523748,0.39562750688409765,0.057619417757830124,0.5467530753580722,0.20382310790770022,0.7852216085816384,0.0109552835106615
"Deer Valley Neighborhood, Phoenix City, Arizona, USA",0.861696421575989,0.06937665198944083,0.06892692643457014,0.1383035784240112,0.4609011325639637,0.40079528901202516,0.7866759043620081,0.10574328161677203,0.10758081402121981
