longname,PW Density (r=250m),PW Density (r=500m),PW Density (r=2km),PW Density (r=4km)
"Northeast Dallas Neighborhood, Dallas City, Texas, USA",3989.778710209514,3125.308954574738,2397.5633119680488,2079.5409475696442
"Paradise Neighborhood, Las Vegas City, Nevada, USA",4631.506863638134,3647.1025705962074,2605.0358112427784,2158.985538394866
"Upper West Side Neighborhood, New York City, New York, USA",47257.3945581849,41666.14462268121,20888.15337562968,19258.292991430415
"Maryvale Neighborhood, Phoenix City, Arizona, USA",4275.178545071405,3719.601088360577,2859.305632170278,2462.0736384106203
"Spring Valley Neighborhood, Las Vegas City, Nevada, USA",4295.624864220392,3384.87967894906,2487.2681904715964,2114.477784924288
"Sunrise Manor Neighborhood, Las Vegas City, Nevada, USA",4670.941501786013,3742.8921946841956,2775.308989261901,2364.7623839077733
"Upper East Side Neighborhood, New York City, New York, USA",63875.42831223682,52836.305823273586,25044.381164121114,20191.27755944553
"South Los Angeles Neighborhood, Los Angeles City, California, USA",7682.074332113928,7358.162554332484,6906.029695479257,6489.2940973932355
"East New York Neighborhood, New York City, New York, USA",20181.46916243157,17350.46995380418,13560.275173501594,11988.069739506262
"Southeast Los Angeles Neighborhood, Los Angeles City, California, USA",8709.965774574712,8269.753381955547,7332.567576173158,6505.694714594844
"Deer Valley Neighborhood, Phoenix City, Arizona, USA",3101.737242613909,2388.894527611723,1719.932604928744,1510.3888145952726
"Astoria Neighborhood, New York City, New York, USA",19703.36455199711,18284.33807238297,14365.790042491608,14943.352778232245
"Bedford Stuyvesant Neighborhood, New York City, New York, USA",24293.134121011997,24532.616317715972,23632.75958328099,19641.57499123671
"Enterprise Neighborhood, Las Vegas City, Nevada, USA",4404.906901601234,3121.7180875071813,1854.275140534539,1403.9008736611202
"Paradise Valley Neighborhood, Phoenix City, Arizona, USA",2645.587475188302,2198.246886713022,1734.9916774347778,1556.357353374307
"North Mountain Neighborhood, Phoenix City, Arizona, USA",3466.580594494455,2687.958821923927,2156.489437111305,2092.2547139621884
"Far North Neighborhood, Dallas City, Texas, USA",5293.933275274716,4063.836468529565,2413.4472462056674,1966.5958154467926
"Williamsburg Neighborhood, New York City, New York, USA",28929.93044657225,25451.037941972878,19040.385226086222,17997.539304525046
"Washington Heights Neighborhood, New York City, New York, USA",43586.1452978269,35149.71503572871,19407.846109052243,17075.976519989505
"Southeast Dallas Neighborhood, Dallas City, Texas, USA",3512.7087790015576,2309.2246787843446,1710.2891996472315,1439.6385472500024
"Alhambra Neighborhood, Phoenix City, Arizona, USA",4462.252821951825,3714.7395945321678,3103.74982994624,2806.402314779393
"Camelback East Neighborhood, Phoenix City, Arizona, USA",3283.5646500486655,2574.677363247598,2088.7236140403443,1819.0815587079785
"Hollywood Neighborhood, Los Angeles City, California, USA",11547.448911034768,9660.98219132403,7648.3308142780115,6170.056419852626
"East Side Neighborhood, El Paso City, Texas, USA",3246.864872500858,2593.868708947888,2072.8803613354585,1772.8825852388534
"Jamaica Neighborhood, New York City, New York, USA",16926.338822965583,14587.857843614698,11370.522623476034,9688.747456138412
"Roosevelt Neighborhood, Fresno City, California, USA",3706.943350460945,3084.9731356316906,2298.2949488014033,1949.9250427947136
"Crown Heights Neighborhood, New York City, New York, USA",24970.100590741324,25427.231298541,22368.88435299492,20121.48613032617
"Flatbush Neighborhood, New York City, New York, USA",29787.534512331273,26189.540864600254,20382.8987130589,18278.486096931003
"North Scottsdale Neighborhood, Scottsdale City, Arizona, USA",1988.7777568977933,1318.9149351833573,840.4711682368295,685.150390506508
"Harlem Neighborhood, New York City, New York, USA",36430.90612067761,34528.04498009325,25231.998552221037,18845.605604492313
"South Mountain Neighborhood, Phoenix City, Arizona, USA",2931.6840645342995,2343.557781804163,1674.7416834710205,1336.968303952493
"East Harlem Neighborhood, New York City, New York, USA",37868.82669243757,31378.882634405465,23232.142586906237,19401.052322011263
"Williamsbridge Neighborhood, New York City, New York, USA",19040.282627089677,18205.525788273146,14547.537952964205,12503.51838143109
"South Side Neighborhood, Corpus Christi City, Texas, USA",3510.0692253425427,2316.767643772403,1678.1476441840646,1416.424177146709
"Bushwick Neighborhood, New York City, New York, USA",28696.521296743307,25269.934817979156,19674.340374331474,16456.983194192766
"Corona Neighborhood, New York City, New York, USA",36268.28940773188,31225.600806194456,20934.84931905382,13989.425981433653
"East Flatbush Neighborhood, New York City, New York, USA",20352.440261287542,18924.91450911585,18104.37715688242,17334.15143432439
"Borough Park Neighborhood, New York City, New York, USA",26333.946816834057,27106.66749508783,22578.25227953058,16841.255248980222
"Concourse Neighborhood, New York City, New York, USA",43459.73702236518,39045.762167642635,27964.559118739297,21283.131145556934
