longname,White %,Hispanic %,Black %,Asian %,Native %,Hawaiian / PI %,Other / Mixed %
"Northeast Dallas Neighborhood, Dallas City, Texas, USA",0.38956674399648883,0.33600434719000144,0.19650970802767154,0.03980186845570255,0.0026919138085982402,0.00039291909628607854,0.03503249942525132
"Paradise Neighborhood, Las Vegas City, Nevada, USA",0.3688923661562535,0.3221504414887672,0.12244998323460378,0.10550575611936962,0.0045467754554599305,0.013287135352632167,0.06316754219291382
"Upper West Side Neighborhood, New York City, New York, USA",0.6304551010137321,0.14763372636422462,0.06717772665180818,0.10283359695161406,0.0008492702566683442,0.00022467467107628155,0.05082590409087641
"Maryvale Neighborhood, Phoenix City, Arizona, USA",0.11499249902014227,0.7692040852183394,0.06662582049006402,0.015069536110573004,0.011906960819206112,0.0017614913659892509,0.020439606975686014
"Spring Valley Neighborhood, Las Vegas City, Nevada, USA",0.37173352428598383,0.22179376146078777,0.1247272392988296,0.20724007296197558,0.002786876521049143,0.009076702002583667,0.06264182346879037
"Sunrise Manor Neighborhood, Las Vegas City, Nevada, USA",0.2047976374903176,0.541552091402014,0.14774399690162665,0.053190356312935706,0.004071456235476375,0.00577556158017041,0.04286890007745933
"Upper East Side Neighborhood, New York City, New York, USA",0.7476331114604915,0.07931096972635683,0.023970103491680994,0.106121829250971,0.00041631769448158653,0.00023019919577217137,0.04231746918024597
"South Los Angeles Neighborhood, Los Angeles City, California, USA",0.022318733897681266,0.6337332842596001,0.29237148816096187,0.017980615875352716,0.0016586921850079745,0.0010403631456263034,0.030896822475769845
"East New York Neighborhood, New York City, New York, USA",0.031721696950576264,0.36606887576531366,0.46274241094755936,0.07286377663192972,0.0036922379201214644,0.0002859142848692189,0.06262508749963028
"Southeast Los Angeles Neighborhood, Los Angeles City, California, USA",0.011948316827519501,0.7986290712588574,0.16563111083075757,0.004999053806850439,0.0012983872663428584,0.0005782291469543094,0.016915830862717886
"Deer Valley Neighborhood, Phoenix City, Arizona, USA",0.6413075127042989,0.19111660486196952,0.042137069083917046,0.0630572723526988,0.011058920477956325,0.00176898777640434,0.04955363274275512
"Astoria Neighborhood, New York City, New York, USA",0.46694923750431655,0.25449198516224614,0.07019527464325896,0.15111227456528278,0.001320025397957024,0.0003453230998874915,0.05558587962705105
"Bedford Stuyvesant Neighborhood, New York City, New York, USA",0.2663008687700046,0.18740283493369914,0.43824874256973023,0.045656149977137635,0.00218907178783722,0.00035436671239140374,0.059847965249199817
"Enterprise Neighborhood, Las Vegas City, Nevada, USA",0.373713630500215,0.1903282212985524,0.09735416368066505,0.24445463666332234,0.0031073527303998854,0.014200945965314606,0.07684104916153074
"Paradise Valley Neighborhood, Phoenix City, Arizona, USA",0.6720255568986359,0.19180337305013526,0.024509296034075864,0.05731882806654003,0.007983652794566282,0.0011857479997697577,0.04517354515627698
"North Mountain Neighborhood, Phoenix City, Arizona, USA",0.49625927975284734,0.33115460875178676,0.0730333840549638,0.030969013694840227,0.020928436390464333,0.001648452990270669,0.04600682436482685
