longname,High School %,Undergrad %,Grad %,Undergrad STEM %,Undergrad Humanities %,Undergrad Business %,% of women with high school education - % of men with high school education,% of women with undergraduate education - % of men with undergraduate education,% of women with graduate education - % of men with graduate education
"New York City Department Of Education, New York, USA",0.8379815079054379,0.3812965782588578,0.16079645220343136,0.1653818416249411,0.1450635811901763,0.07085115544374229,-0.002199418014663612,0.019278502982844725,0.017863867217293883
"Los Angeles Unified School District, California, USA",0.7725987345813368,0.3327553612361124,0.11308908110947143,0.14088639487372343,0.13503881646891122,0.056830149893478954,0.0019024148914300598,0.011380643194391138,0.005886510082428062
"Puerto Rico Department of Education, Puerto Rico, USA",0.7883559983408146,0.26823125164822387,0.07672408777364849,0.10369043951138854,0.08617833373750501,0.07836247839932807,0.04765861241314351,0.09316338173115735,0.02484197686739649
"Chicago Public School District 299, Illinois, USA",0.8668881831240186,0.4044210111632271,0.17056180840365726,0.17345101834243162,0.14697487954192406,0.08399511327887099,0.010793852392633418,0.021276564238090545,0.02744765974363217
"Dade County School District, Florida, USA",0.8293665521160059,0.309190293869773,0.11590883786487305,0.13678624034431489,0.08862582326906879,0.08377823025638868,-0.002228492567681317,0.01606775376359426,-0.00040866011496902555
"Clark County School District, Nevada, USA",0.8690479329007176,0.24806446793739376,0.08390862606411828,0.10198468145793511,0.08334117966081303,0.06273860681864704,0.0032000138182513016,0.007996466823063653,0.001719621724205589
"Broward County School District, Florida, USA",0.9029661810050146,0.331624862611651,0.12652112297470888,0.14261790066382637,0.1009334667460387,0.08807349520178677,0.0009666805490563535,0.006025519682684,0.0039003281789453392
"Philadelphia City School District, Pennsylvania, USA",0.8707509960161867,0.3124289548326951,0.13578701004057764,0.14208232013045652,0.11352503985900501,0.05682159484323471,0.004775552570356556,0.007533999055410856,0.019625519340954717
"Palm Beach County School District, Florida, USA",0.893780403771922,0.368985046907719,0.14528299694610586,0.15183854843019867,0.12284039935686814,0.09430609912065363,0.02231639115974582,-0.009015605917537972,-0.011779906525780731
"Houston Independent School District, Texas, USA",0.8011681297711185,0.36896620462499496,0.1604701994702839,0.18923440634829586,0.09421513943681001,0.08551665883988697,0.03235040277982704,0.018938579383457388,-0.0004832238994682825
"Hillsborough County School District, Florida, USA",0.895831250770726,0.3420164059599902,0.12503303122426218,0.15374634510018684,0.10306637350342594,0.08520368735637761,0.018784907586168464,-0.0017788422272050353,0.00020112151528026145
"Hawaii Department of Education, Hawaii, USA",0.9289026032398966,0.3345228957988543,0.11838127937657479,0.15554701352359585,0.11331771801062364,0.06565816426463439,-0.005833962111567281,0.033501731061531925,0.008708330149549123
"Orange County School District, Florida, USA",0.8982780295929499,0.3447989651172437,0.12232144122404395,0.14885448277118649,0.10750877079330899,0.08843571155274874,0.00940477394708894,0.01820007213971475,0.0007063738263294594
"Fairfax County Public Schools, Virginia, USA",0.9344852921355861,0.6272717705767945,0.31549252642542236,0.3366286874629116,0.17412680529194982,0.11651627782193273,-0.007432087870197335,-0.031239554606733666,-0.05177230416315243
"Wake County Schools, North Carolina, USA",0.9378553967854294,0.5365009547190411,0.20965918628561925,0.2736083133996396,0.15608738302068936,0.1068052582987114,0.011931542616887225,0.006830293771790896,0.006723273416684106
"Charlotte-Mecklenburg Schools, North Carolina, USA",0.9103678982477851,0.4586546253574101,0.15992954888432726,0.18865505878149993,0.14455087413758466,0.12544869243832585,0.021519475649916076,-0.011665113684537265,-0.002239094037107342
"Dallas Independent School District, Texas, USA",0.7795123370342608,0.31648893518394344,0.11965456890777107,0.12601415681496625,0.10009503023196394,0.0903797481370129,0.033062796287948504,0.010892882465491693,0.00012605832316964216
"San Diego City Unified School District, California, USA",0.8955005119756151,0.4595386088728439,0.18391398217896526,0.25056859983872476,0.12975611063711548,0.07921389839700305,-0.014565911293991096,-0.00013686038062565853,0.004362461842189164
"Montgomery County Public Schools, Maryland, USA",0.9134993180987581,0.5897694497966371,0.32097359131363673,0.3356232980810645,0.16529079410818462,0.08885535760738825,0.003423623753266991,-0.007463850181512632,-0.01945686780487782
"Duval County School District, Florida, USA",0.9088350881266468,0.3022220345352581,0.10055204914402112,0.12814026087345862,0.0956440444121828,0.07843772924961813,0.011372768856913296,0.017847083772865202,0.010280323249608841
"Prince George's County Public Schools, Maryland, USA",0.8756651770675273,0.34000125209800885,0.14897432304724847,0.1592996598467068,0.10514045856599005,0.07556113368531173,0.043340780921027666,0.061346137262390577,0.043856161534800264
"Pinellas County School District, Florida, USA",0.9247321033200266,0.32693751768855117,0.11606614409119054,0.139236675484093,0.1072625568373138,0.08043828536714545,0.011340572804477533,-0.0032982883951369057,0.0006159627076267188
"Gwinnett County School District, Georgia, USA",0.8842817577877482,0.37597969866176256,0.1325203012125779,0.17003441186281198,0.10851324012916878,0.0974320466697806,0.01702498690390597,0.013510404632109951,0.015206978761738793
"San Francisco Unified School District, California, USA",0.8894939225557252,0.5864734098728246,0.23777636068251257,0.3085669655610473,0.17594678649611145,0.1019596578156666,-0.02671204051229681,-0.0023428072929989607,-0.0002015584087558253
"Baltimore County Public Schools, Maryland, USA",0.918606949510515,0.3917743346184892,0.17292189991288462,0.18552307372368734,0.13019679050538557,0.0760544703894165,0.013483557892701503,0.01976191664987126,0.020682749884905788
"Jefferson County School District, Kentucky, USA",0.9163300051435715,0.33266824017589414,0.1349169848641456,0.1424682375023855,0.12079128956750582,0.06940871310600212,0.005233733587732603,0.00508037078036766,0.019812644750332675
