longname,2020 Presidential Election,2016 Presidential Election,2016-2020 Swing
"New York City Department Of Education, New York, USA",0.5323067467900663,0.6063455975434543,-0.07403885075338801
"Los Angeles Unified School District, California, USA",0.5568806147348345,0.6317102450329334,-0.07482963029809886
"Puerto Rico Department of Education, Puerto Rico, USA",,,
"Chicago Public School District 299, Illinois, USA",0.6670349500574279,0.7060605443970981,-0.03902559433967023
"Dade County School District, Florida, USA",0.07332091078285731,0.29271698958473935,-0.21939607880188206
"Clark County School District, Nevada, USA",0.09347809767479756,0.107121721289036,-0.013643623614238445
"Broward County School District, Florida, USA",0.29734379559001545,0.3492959639248654,-0.051952168334849946
"Philadelphia City School District, Pennsylvania, USA",0.6351856051822491,0.6715853516448252,-0.036399746462576155
"Palm Beach County School District, Florida, USA",0.12761377971106244,0.15342801454755023,-0.025814234836487787
"Houston Independent School District, Texas, USA",0.42722943820759635,0.4366120162665074,-0.009382578058911073
"Hillsborough County School District, Florida, USA",0.0686096247099063,0.06797191336246489,0.0006377113474414081
"Hawaii Department of Education, Hawaii, USA",0.2947655053533799,0.321948116719272,-0.027182611365892062
"Orange County School District, Florida, USA",0.23047737296216148,0.24402520737376882,-0.01354783441160734
"Fairfax County Public Schools, Virginia, USA",0.4186606264292491,0.35818011466702254,0.060480511762226574
"Wake County Schools, North Carolina, USA",0.26456786492831363,0.20213639496348448,0.06243146996482915
"Charlotte-Mecklenburg Schools, North Carolina, USA",0.35075380960863256,0.2940501801090696,0.05670362949956298
"Dallas Independent School District, Texas, USA",0.443512682358924,0.4249557075055306,0.018556974853393415
"San Diego City Unified School District, California, USA",0.4235508545213468,0.40145685677925874,0.022093997742088034
"Montgomery County Public Schools, Maryland, USA",0.596466322531731,0.5536910936714439,0.04277522886028717
"Duval County School District, Florida, USA",0.03806350424348621,-0.013643799120188146,0.05170730336367435
"Prince George's County Public Schools, Maryland, USA",0.8052588971997465,0.7972606211507591,0.007998276048987396
"Pinellas County School District, Florida, USA",0.0022074763156812826,-0.011049676006701377,0.01325715232238266
"Gwinnett County School District, Georgia, USA",0.18627900986595403,0.06279973986482482,0.12347927000112921
"San Francisco Unified School District, California, USA",0.7255184617837726,0.762078826485801,-0.0365603647020285
"Baltimore County Public Schools, Maryland, USA",0.2704226234660123,0.17644785272932856,0.09397477073668375
"Jefferson County School District, Kentucky, USA",0.20242776076295116,0.13449020410186174,0.06793755666108942
"Lee County School District, Florida, USA",-0.19167841023382517,-0.2039714666150708,0.012293056381245615
"Seattle Public Schools, Washington, USA",0.7932191025589876,0.7741436749124045,0.0190754276465831
"Austin Independent School District, Texas, USA",0.5792634066989635,0.5152857195929718,0.06397768710599172
"Shelby County School District, Tennessee, USA",0.5290788940588369,0.5109558962052627,0.018122997853574185
"Polk County School District, Florida, USA",-0.14399202385866033,-0.13937742404232023,-0.004614599816340104
"Phoenix Union High School District, Arizona, USA",0.4687657234142291,0.4472539819894564,0.021511741424772746
"Metropolitan Nashville Public School District, Tennessee, USA",0.32141504597667087,0.25822522198921366,0.0631898239874572
"Denver County School District 1, Colorado, USA",0.613663797710308,0.5480336564114974,0.06563014129881062
"DeKalb County School District, Georgia, USA",0.6599234883095152,0.6268953407608644,0.0330281475486508
"Cobb County School District, Georgia, USA",0.13755650780409856,0.013199692241821109,0.12435681556227746
"District of Columbia Public Schools, District of Columbia, USA",0.867518296611184,0.8677600409870583,-0.00024174437587431985
"Albuquerque Public Schools, New Mexico, USA",0.24641189098001234,0.17915473735138368,0.06725715362862866
"Boston School District, Massachusetts, USA",0.6716263870684083,0.6669616712753967,0.004664715793011531
"Northside Independent School District (Bexar County), Texas, USA",0.18760366687273286,0.12042179901670874,0.06718186785602412
"Kern High School District, California, USA",-0.08186705051200613,-0.10814421032019678,0.026277159808190648
"Detroit Public Schools Community District, Michigan, USA",0.890668185789336,0.9219182468072763,-0.031250061017940256
"Cypress-Fairbanks Independent School District, Texas, USA",-0.03679886945784164,-0.09536913961271315,0.05857027015487151
"Fulton County School District, Georgia, USA",0.3329630039476273,0.25094084528162236,0.08202215866600493
"Brevard County School District, Florida, USA",-0.1640633424857521,-0.195405448823954,0.03134210633820189
"Jefferson County School District R-1, Colorado, USA",0.18824877723480787,0.07013259017689924,0.11811618705790863
"Anne Arundel County Public Schools, Maryland, USA",0.14535301367942627,0.022281105031104996,0.12307190864832127
"Baltimore City Public Schools, Maryland, USA",0.7659147789411236,0.7412437697383712,0.024671009202752336
"Milwaukee School District, Wisconsin, USA",0.5913631091531123,0.581166611327266,0.010196497825846307
"Columbus City School District, Ohio, USA",0.5283352726085125,0.502936687730445,0.025398584878067565
"Pasco County School District, Florida, USA",-0.20007950261828977,-0.21359446056929068,0.013514957951000911
"Volusia County School District, Florida, USA",-0.1403594182578251,-0.12882200563662846,-0.011537412621196647
"East Side Union High School District, California, USA",0.3814612497154249,0.5551962877842552,-0.17373503806883034
"Greenville County School District, South Carolina, USA",-0.1811829794706042,-0.2456638093763247,0.06448082990572052
"Guilford County Schools, North Carolina, USA",0.23123153696468618,0.19884326058509397,0.03238827637959221
"Fort Worth Independent School District, Texas, USA",0.22734711720133324,0.18919528916854247,0.03815182803279077
"Portland School District 1J, Oregon, USA",0.7704590010466549,0.7097606935367262,0.06069830750992866
"Long Beach Unified School District, California, USA",0.44234189431919235,0.44440751748840296,-0.0020656231692106064
"Mesa Unified District, Arizona, USA",-0.06959465056875293,-0.1362042323797022,0.06660958181094927
"Atlanta City School District, Georgia, USA",0.6632070703890355,0.6487902864122145,0.014416783976821002
"Sweetwater Union High School District, California, USA",0.31927877032029806,0.4108443574771915,-0.09156558715689345
"Washoe County School District, Nevada, USA",0.04509128118889625,0.012559916902521574,0.032531364286374674
"Grossmont Union High School District, California, USA",-0.01713438941727224,-0.061661499383755744,0.0445271099664835
"Tucson Unified District, Arizona, USA",0.33566661944945625,0.2821834471035387,0.05348317234591754
"Knox County School District, Tennessee, USA",-0.15025506807573494,-0.2373471672434871,0.08709209916775215
"Prince William County Public Schools, Virginia, USA",0.270461726295761,0.21147348446815506,0.058988241827605925
"Seminole County School District, Florida, USA",0.02786264066102561,-0.016295733793673464,0.04415837445469907
"Virginia Beach City Public Schools, Virginia, USA",0.05407780770870102,-0.03542525576423709,0.08950306347293811
"Fort Bend Independent School District, Texas, USA",0.2731334263265231,0.25472609074799324,0.01840733557852986
"Jefferson Parish School District, Louisiana, USA",-0.11083063799338068,-0.14714739525357493,0.036316757260194246
"Oakland Unified School District, California, USA",0.8409912606928184,0.8465441233112196,-0.005552862618401266
"Sarasota County School District, Florida, USA",-0.10421095031063184,-0.11483150773536768,0.010620557424735846
"North East Independent School District, Texas, USA",0.05080130396280657,-0.049630690801721764,0.10043199476452833
"Minneapolis Public School District, Minnesota, USA",0.751335038072106,0.6809359440761776,0.07039909399592836
"Chaffey Joint Union High School District, California, USA",0.1777094917583714,0.19425525027787477,-0.01654575851950338
"Loudoun County Public Schools, Virginia, USA",0.25032795330737473,0.1685312579541972,0.08179669535317752
"Granite School District, Utah, USA",0.17367339064861503,0.13741397859099752,0.03625941205761751
"Antelope Valley Union Joint High School District, California, USA",0.17298289731294658,0.1436665952885227,0.029316302024423868
"Charleston County School District, South Carolina, USA",0.12879141701422,0.07859468093769251,0.0501967360765275
"Manatee County School District, Florida, USA",-0.16011716450853422,-0.1699519244068002,0.009834759898265988
"Anaheim Union High School District, California, USA",0.21623815913915495,0.269685416367769,-0.05344725722861404
"Fresno Unified School District, California, USA",0.2814322718690967,0.26995261855767855,0.011479653311418148
"Alpine School District, Utah, USA",-0.4053337047972855,-0.3748092993057651,-0.030524405491520357
"Katy Independent School District, Texas, USA",-0.08121573849230959,-0.1761131033721776,0.094897364879868
"Osceola County School District, Florida, USA",0.13794243700967712,0.24830278343516762,-0.1103603464254905
"East Baton Rouge Parish School District, Louisiana, USA",0.21031195937846422,0.17787676493072005,0.032435194447744176
"Mobile County School District, Alabama, USA",-0.08560698742582025,-0.09844040331581576,0.012833415889995509
"Orleans Parish School District, Louisiana, USA",0.6815357189051796,0.6616167708006668,0.01991894810451278
"Lake County School District, Florida, USA",-0.20044083260653658,-0.2308462399501251,0.030405407343588514
"Forsyth County Schools, North Carolina, USA",0.13897777623891808,0.10372082092666698,0.03525695531225109
"Marion County School District, Florida, USA",-0.25873851939773634,-0.26032924897596016,0.0015907295782238151
"Collier County School District, Florida, USA",-0.24643234869037997,-0.2573348254503088,0.010902476759928809
"Cleveland Municipal School District, Ohio, USA",0.6037546195035974,0.6848042542416614,-0.08104963473806392
"Omaha Public Schools, Nebraska, USA",0.254228437926596,0.1693951954096902,0.0848332425169058
"Hamilton County School District, Tennessee, USA",-0.09698145650607387,-0.16443836905993503,0.06745691255386116
"Chesterfield County Public Schools, Virginia, USA",0.06674873947931279,-0.022516188294530098,0.08926492777384289
"Arlington Independent School District, Texas, USA",0.12925261407731123,0.042997587847496514,0.08625502622981471
"Davis School District, Utah, USA",-0.2693781008422735,-0.24165414185791073,-0.02772395898436275
"Plano Independent School District, Texas, USA",0.09559034192443763,-0.039825947226924695,0.13541628915136233
"Capistrano Unified School District, California, USA",-0.011957946668397548,-0.07352745125934917,0.061569504590951625
"Elk Grove Unified School District, California, USA",0.2697599070049274,0.2918457263924553,-0.022085819387527905
"Douglas County School District RE-1, Colorado, USA",-0.07450930656634998,-0.1832941231131439,0.10878481654679391
"Glendale Union High School District, Arizona, USA",0.1524569474365472,0.08316375948005397,0.06929318795649322
"Sacramento City Unified School District, California, USA",0.5239396656441803,0.5207210941498898,0.003218571494290501
"Horry County School District, South Carolina, USA",-0.3318044777535749,-0.37524166486879834,0.04343718711522343
"San Juan Unified School District, California, USA",0.09220905923344865,0.052222039563813036,0.03998701966963561
"Conroe Independent School District, Texas, USA",-0.324525195764344,-0.41241230156646863,0.08788710580212461
"Cincinnati City School District, Ohio, USA",0.517305743379383,0.48745823050534803,0.02984751287403492
"Henrico County Public Schools, Virginia, USA",0.2901733305780089,0.20844161742351072,0.0817317131544982
"Howard County Public Schools, Maryland, USA",0.44270793501655153,0.33979888157935206,0.10290905343719947
"Wichita Unified School District 259, Kansas, USA",0.05446722030430499,-0.021049487120698963,0.07551670742500395
