longname,Within 10km of Hospital %,Mean distance to nearest Hospital
"New York City Department Of Education, New York, USA",1.0,1.0
"Los Angeles Unified School District, California, USA",0.9997102052741348,1.0
"Puerto Rico Department of Education, Puerto Rico, USA",0.7871030511438288,1.0
"Chicago Public School District 299, Illinois, USA",1.0,1.0
"Dade County School District, Florida, USA",0.9967716270444357,1.0
"Clark County School District, Nevada, USA",0.9911293992701706,1.0
"Broward County School District, Florida, USA",1.0,1.0
"Philadelphia City School District, Pennsylvania, USA",1.0,1.0
"Palm Beach County School District, Florida, USA",0.9686186285803895,1.0
"Houston Independent School District, Texas, USA",0.9999055401383568,1.0
"Hillsborough County School District, Florida, USA",0.9662233003720988,1.0
"Hawaii Department of Education, Hawaii, USA",0.7786042102888211,1.0
"Orange County School District, Florida, USA",0.9560489206298587,1.0
"Fairfax County Public Schools, Virginia, USA",0.9601031066754183,1.0
"Wake County Schools, North Carolina, USA",0.7034761512648197,1.0
"Charlotte-Mecklenburg Schools, North Carolina, USA",0.9188557054259953,1.0
"Dallas Independent School District, Texas, USA",0.9549505196453494,1.0
"San Diego City Unified School District, California, USA",0.9944515738351258,1.0
"Montgomery County Public Schools, Maryland, USA",0.983903950951113,1.0
"Duval County School District, Florida, USA",0.8872280233635189,1.0
"Prince George's County Public Schools, Maryland, USA",0.878272458361809,1.0
"Pinellas County School District, Florida, USA",0.9999322295437484,1.0
"Gwinnett County School District, Georgia, USA",0.7972761630312766,1.0
"San Francisco Unified School District, California, USA",1.0,1.0
"Baltimore County Public Schools, Maryland, USA",0.9014480576320852,1.0
"Jefferson County School District, Kentucky, USA",0.8484017469039613,1.0
"Lee County School District, Florida, USA",0.8104156993148189,1.0
"Seattle Public Schools, Washington, USA",1.0,1.0
"Austin Independent School District, Texas, USA",0.9997446769212383,1.0
"Shelby County School District, Tennessee, USA",0.981710446253677,1.0
"Polk County School District, Florida, USA",0.7320045900535966,1.0
"Phoenix Union High School District, Arizona, USA",1.0,1.0
"Metropolitan Nashville Public School District, Tennessee, USA",0.9302940597116262,1.0
"Denver County School District 1, Colorado, USA",0.9980223011748789,1.0
"DeKalb County School District, Georgia, USA",0.9887835562033209,1.0
"Cobb County School District, Georgia, USA",0.8781998260605554,1.0
"District of Columbia Public Schools, District of Columbia, USA",1.0,1.0
"Albuquerque Public Schools, New Mexico, USA",0.9060928639028076,1.0
"Boston School District, Massachusetts, USA",1.0,1.0
"Northside Independent School District (Bexar County), Texas, USA",0.9549946220083043,1.0
"Kern High School District, California, USA",0.8924867048345096,1.0
"Detroit Public Schools Community District, Michigan, USA",1.0,1.0
"Cypress-Fairbanks Independent School District, Texas, USA",0.9695509399216121,1.0
"Fulton County School District, Georgia, USA",0.8656427259256335,1.0
"Brevard County School District, Florida, USA",0.8683672594673366,1.0
"Jefferson County School District R-1, Colorado, USA",0.8859772327199598,1.0
"Anne Arundel County Public Schools, Maryland, USA",0.8001448349018114,1.0
"Baltimore City Public Schools, Maryland, USA",1.0,1.0
"Milwaukee School District, Wisconsin, USA",1.0,1.0
"Columbus City School District, Ohio, USA",0.9998739989919919,1.0
"Pasco County School District, Florida, USA",0.970813273651144,1.0
"Volusia County School District, Florida, USA",0.8967288900771937,1.0
"East Side Union High School District, California, USA",0.999756971092351,1.0
"Greenville County School District, South Carolina, USA",0.9124716736808028,1.0
"Guilford County Schools, North Carolina, USA",0.8326134986551592,1.0
"Fort Worth Independent School District, Texas, USA",0.9886758324754419,1.0
