longname,Poverty %,Household Income < $50k %,Household Income $50k - $100k %,Household Income > $100k %,Individual Income < $50k %,Individual Income $50k - $100k %,Individual Income > $100k %
"New York City Department Of Education, New York, USA",0.16955332145211222,0.3812787142365559,0.24966196448562752,0.3690593212778166,0.6100309110796128,0.23239084717920025,0.1575782417411869
"Los Angeles Unified School District, California, USA",0.16484326748021796,0.37741661145426164,0.2737220384568345,0.3488613500889039,0.6736647111693604,0.19958225740100963,0.12675303142963
"Puerto Rico Department of Education, Puerto Rico, USA",0.4267335553156091,0.7940027337010676,0.15268828937933174,0.05330897691960069,0.9222000789349196,0.05968132287340042,0.018118598191680105
"Chicago Public School District 299, Illinois, USA",0.17083318156514354,0.40152543089107817,0.2659915333376673,0.3324830357712545,0.6125456813567651,0.24402053866876278,0.14343377997447215
"Dade County School District, Florida, USA",0.1568575082133999,0.43873529471340844,0.2896604203856093,0.2716042849009823,0.7335838701407279,0.17870833895831065,0.08770779090096142
"Clark County School District, Nevada, USA",0.13602272371833243,0.39059605829258,0.3163644070288253,0.2930395346785947,0.6864854020751685,0.21928515323279316,0.09422944469203838
"Broward County School District, Florida, USA",0.12375162400969363,0.39345005351798984,0.299470008082307,0.30707993839970316,0.6783462032291733,0.21552244017589886,0.10613135659492784
"Philadelphia City School District, Pennsylvania, USA",0.2281548478947957,0.48086049706904893,0.2772253944857997,0.2419141084451514,0.6916410441795465,0.22085391423978912,0.08750504158066433
"Palm Beach County School District, Florida, USA",0.11599463377572834,0.3674565794613482,0.2923686886851052,0.3401747318535467,0.6517083994887556,0.21386623811160563,0.13442536239963876
"Houston Independent School District, Texas, USA",0.2001128936164562,0.4381990742695339,0.2716965300358504,0.29010439569461566,0.6489601182898613,0.20897699802727052,0.1420628836828682
"Hillsborough County School District, Florida, USA",0.14028469139463992,0.39127062434985993,0.30177123092531777,0.30695814472482225,0.6683227298220584,0.22293869399327973,0.10873857618466189
"Hawaii Department of Education, Hawaii, USA",0.09453271842065905,0.2754556189436757,0.2872450414511077,0.4372993396052166,0.6106974077368402,0.2671712216882249,0.12213137057493476
"Orange County School District, Florida, USA",0.13898758304523512,0.3803851106267295,0.31077106284136863,0.30884382653190195,0.6987405520791343,0.20389368235195995,0.09736576556890572
"Fairfax County Public Schools, Virginia, USA",0.0613190386321299,0.15694999395299136,0.20788140069209263,0.635168605354916,0.44162879189411886,0.24486461074884588,0.3135065973570353
"Wake County Schools, North Carolina, USA",0.08534416277872689,0.2770239539114625,0.2778862189205584,0.44508982716797907,0.554261008428819,0.257845374932285,0.18789361663889617
"Charlotte-Mecklenburg Schools, North Carolina, USA",0.10566166470737426,0.3372929686244441,0.3018008917215015,0.36090613965405444,0.6039761697915242,0.24367831796468734,0.15234551224378853
"Dallas Independent School District, Texas, USA",0.1841121114949884,0.4331455719073174,0.30105565717387334,0.2657987709188092,0.6701591608526869,0.2153309196294667,0.11450991951784643
"San Diego City Unified School District, California, USA",0.12753493506740554,0.28726016555079054,0.2889919168788607,0.42374791757034885,0.5775527872755343,0.2580503479157288,0.16439686480873697
"Montgomery County Public Schools, Maryland, USA",0.07043128439077649,0.19723280998990428,0.22988803210095832,0.5728791579091376,0.47937542356410756,0.2450067885340559,0.2756177879018364
"Duval County School District, Florida, USA",0.1446427705258671,0.4178111308676594,0.31793083414723255,0.2642580349851081,0.6813782168785008,0.22929709079391666,0.08932469232758257
"Prince George's County Public Schools, Maryland, USA",0.09229790895148327,0.24631112797377358,0.30078608988457634,0.4529027821416501,0.554732145339709,0.2907423423581619,0.1545255123021289
"Pinellas County School District, Florida, USA",0.11543334164447687,0.4150486992116627,0.30466056342002007,0.2802907373683172,0.6711783647373267,0.2263127661599574,0.10250886910271578
"Gwinnett County School District, Georgia, USA",0.1048260976774969,0.3115487059683964,0.31538615910785706,0.3730651349237466,0.6332275608846042,0.25299784764882793,0.11377459146656782
"San Francisco Unified School District, California, USA",0.10305270504920898,0.24587485608324397,0.17350441335905867,0.5806207305576973,0.44539152686100364,0.23120379202237382,0.32340468111662257
"Baltimore County Public Schools, Maryland, USA",0.09264384612025674,0.2947399933116194,0.2980321520946785,0.4072278545937021,0.5691173487543777,0.28339416596894407,0.14748848527667832
"Jefferson County School District, Kentucky, USA",0.13762377424618585,0.40807216360562326,0.30864666971695043,0.2832811666774263,0.6681264283405987,0.23508378768463925,0.09678978397476215
"Lee County School District, Florida, USA",0.12052298575541746,0.3935509207661848,0.3287277893961364,0.2777212898376788,0.6963076503496431,0.21214371371853039,0.09154863593182637
"Seattle Public Schools, Washington, USA",0.10023461326749969,0.24448226591952785,0.23472582581895263,0.5207919082615196,0.4485868826827334,0.27243718972409364,0.27897592759317297
"Austin Independent School District, Texas, USA",0.1354488497593701,0.3199927883254251,0.28751549084383327,0.39249172083074163,0.5542428099592711,0.26963116402086307,0.17612602601986577
"Shelby County School District, Tennessee, USA",0.22033901866115727,0.5157274963847063,0.2804866237368018,0.20378587987849195,0.7374685372370546,0.1903849429681189,0.07214651979482642
"Polk County School District, Florida, USA",0.14569795909028482,0.4511805923105506,0.3320588676741244,0.216760540015325,0.7561419120207372,0.18528466095016616,0.05857342702909652
"Phoenix Union High School District, Arizona, USA",0.20710645095264973,0.45196822266684505,0.31720776983839405,0.23082400749476079,0.7400110953331251,0.19109498466040167,0.06889392000647329
"Metropolitan Nashville Public School District, Tennessee, USA",0.14332569601396855,0.37022168586983933,0.32105492690698234,0.3087233872231784,0.6458390436662887,0.24176119421331696,0.11239976212039418
"Denver County School District 1, Colorado, USA",0.11600622356508383,0.31444720816727023,0.2930601553562073,0.3924926364765224,0.5374410826975385,0.2876272220987297,0.17493169520373184
"DeKalb County School District, Georgia, USA",0.13867614278274837,0.3703480755839049,0.3054282801261531,0.324223644289942,0.6386241709624996,0.23428453774730154,0.12709129129019883
"Cobb County School District, Georgia, USA",0.0814081225245525,0.25977053652943627,0.30173515432177345,0.43849430914879034,0.5620758640336374,0.26278660365142553,0.17513753231493703
"District of Columbia Public Schools, District of Columbia, USA",0.15442337070826043,0.29294991879804394,0.23532827855032906,0.4717218026516271,0.44423335317839835,0.2731583608326787,0.2826082859889229
"Albuquerque Public Schools, New Mexico, USA",0.15969324037700738,0.4415151848185106,0.29371229848496966,0.26477251669651963,0.680125824080115,0.2218167496665892,0.09805742625329583
"Boston School District, Massachusetts, USA",0.17583916328559757,0.3527103701357325,0.2241526762046769,0.4231369536595906,0.5710973477832003,0.2555733170710135,0.17332933514578622
"Northside Independent School District (Bexar County), Texas, USA",0.1105678246224908,0.33900438500959945,0.32078316354001807,0.3402124514503825,0.6324500694441899,0.26439954285149325,0.10315038770431685
"Kern High School District, California, USA",0.1976840395839582,0.4249313396126461,0.300708298030636,0.27436036235671796,0.7144019663351885,0.1987272214104158,0.08687081225439557
