longname,No internet access %,Uninsured %,Public Insurance %,Private Insurance %,Never Married %,Married (not divorced) %,Divorced %
"New York City Department Of Education, New York, USA",0.11510735227872454,0.09103886825640341,0.2850119526865475,0.623949179057049,0.43782416128098767,0.48110938520614155,0.08106645351287078
"Los Angeles Unified School District, California, USA",0.09404216736264207,0.1453794958706725,0.26219892838752024,0.5924215757418072,0.46040069746170315,0.460012568187888,0.07958673435040897
"Puerto Rico Department of Education, Puerto Rico, USA",0.288558501346427,0.09523929486467542,0.4922661863913004,0.4124945187440243,0.4178541672814579,0.44578160295662794,0.13636422976191417
"Chicago Public School District 299, Illinois, USA",0.11988065130799427,0.1276634641799056,0.19269213029536358,0.6796444055247308,0.48875317947749575,0.42861898172382634,0.08262783879867794
"Dade County School District, Florida, USA",0.131323334736111,0.21108030298205038,0.12175943431677068,0.6671602627011789,0.35638467817342145,0.5171248764973395,0.12649044532923895
"Clark County School District, Nevada, USA",0.0947983010960552,0.15443733479198674,0.17677320561456478,0.6687894595934485,0.35223862198325623,0.5140404251857537,0.13372095283099017
"Broward County School District, Florida, USA",0.08312900019659669,0.18598062323848555,0.10471184846029373,0.7093075283012207,0.34309079950301147,0.523381478835652,0.13352772166133656
"Philadelphia City School District, Pennsylvania, USA",0.13480066996466913,0.09249830928474871,0.28946669446959516,0.6180349962456563,0.5047518949842082,0.4029202848690994,0.09232782014669223
"Palm Beach County School District, Florida, USA",0.08745368848721174,0.1964363446078613,0.10878167487867225,0.6947819805134664,0.30936640819249017,0.5642864645431213,0.12634712726438854
"Houston Independent School District, Texas, USA",0.12871989354052543,0.2898469220667294,0.11961467722912368,0.5905384007041469,0.41791438591376984,0.4798213924948589,0.10226422159137125
"Hillsborough County School District, Florida, USA",0.06869327272737714,0.16462565260175396,0.13523833389512321,0.7001360135031228,0.350293290323795,0.5250912267518858,0.12461548292431918
"Hawaii Department of Education, Hawaii, USA",0.08660270830836284,0.05501827331576457,0.16371821936068584,0.7812635073235497,0.3386160386557453,0.5682136963884357,0.09317026495581904
"Orange County School District, Florida, USA",0.0709732122568863,0.1688753461542147,0.12000438648324353,0.7111202673625417,0.3916430877829249,0.4964670755410116,0.11188983667606348
"Fairfax County Public Schools, Virginia, USA",0.031062107704935317,0.097815765320038,0.05334782892782133,0.8488364057521407,0.31283377543840196,0.6110140677299202,0.07615215683167788
"Wake County Schools, North Carolina, USA",0.04380732640994542,0.1088312923388625,0.07431516997567346,0.816853537685464,0.33330613704693035,0.5723290825165134,0.09436478043655629
"Charlotte-Mecklenburg Schools, North Carolina, USA",0.07046757981642109,0.14736387566013476,0.09329904587419224,0.759337078465673,0.38701189883337905,0.5113133208890756,0.10167478027754534
