longname,Not Cohabiting With Partner %,Cohabiting With Partner (Gay) %,Cohabiting With Partner (Straight) %,Living With Parents %,Other Living Situation %,Never Married %,Married (not divorced) %,Divorced %
"New York City Department Of Education, New York, USA",0.21377488866937405,0.009065769970939816,0.30759165111566694,0.32322682358748556,0.14634086665653379,0.437824161280986,0.48110938520614327,0.08106645351287066
"Los Angeles Unified School District, California, USA",0.18154021568396234,0.009536864751398939,0.31859779631764307,0.33244047928907516,0.15788464395792046,0.460400697461705,0.4600125681878863,0.0795867343504088
"Puerto Rico Department of Education, Puerto Rico, USA",0.19474104536836317,0.0035795805247586365,0.32974656613869996,0.39465091391622964,0.07728189405194859,0.41785416728145724,0.44578160295662883,0.1363642297619141
"Chicago Public School District 299, Illinois, USA",0.24455659930644985,0.010773994800833917,0.31146698273187906,0.30699667427507266,0.12620574888576447,0.488753179477495,0.42861898172382706,0.08262783879867792
"Dade County School District, Florida, USA",0.17034414282641805,0.006891292270616095,0.34850690990481414,0.34092980776532167,0.13332784723283,0.35638467817342045,0.5171248764973398,0.12649044532923964
"Clark County School District, Nevada, USA",0.17844095436114346,0.007474182561704784,0.3673715806264668,0.32546129860560485,0.12125198384507999,0.3522386219832547,0.5140404251857548,0.13372095283099056
"Broward County School District, Florida, USA",0.18940002098677952,0.011803255639163823,0.3666411482561088,0.32288215715171154,0.10927341796623637,0.3430907995030115,0.5233814788356517,0.1335277216613367
"Philadelphia City School District, Pennsylvania, USA",0.2600446764661161,0.009216911498644113,0.2805316634003554,0.3241431603169505,0.12606358831793385,0.5047518949842089,0.4029202848690987,0.09232782014669247
"Palm Beach County School District, Florida, USA",0.18596804148975904,0.006617459913463996,0.4060887112290911,0.29073076281719296,0.11059502455049279,0.30936640819248545,0.5642864645431266,0.126347127264388
"Houston Independent School District, Texas, USA",0.22007205307743932,0.008411045323865374,0.3345037627658204,0.32666285229936903,0.11035028653350593,0.41791438591376867,0.4798213924948601,0.10226422159137126
"Hillsborough County School District, Florida, USA",0.18321602271746307,0.007901451731949866,0.3838185721008681,0.3141102611842923,0.11095369226542648,0.3502932903237959,0.5250912267518848,0.12461548292431923
"Hawaii Department of Education, Hawaii, USA",0.13927003231008614,0.006983530839815534,0.3727127558009962,0.33034136032270883,0.15069232072639321,0.33861603865574424,0.5682136963884366,0.09317026495581916
"Orange County School District, Florida, USA",0.15245799670768162,0.009498215892915288,0.3597832262017991,0.33009279059029856,0.14816777060730565,0.39164308778292417,0.49646707554101305,0.11188983667606282
"Fairfax County Public Schools, Virginia, USA",0.13483467175539818,0.0055651242608257875,0.4374685504393811,0.32500770904456977,0.09712394449982509,0.31283377543840285,0.6110140677299192,0.07615215683167804
"Wake County Schools, North Carolina, USA",0.15933301164632885,0.0061461986570016764,0.4338371598811373,0.31159160486771603,0.08909202494781611,0.3333061370469295,0.5723290825165139,0.09436478043655648
"Charlotte-Mecklenburg Schools, North Carolina, USA",0.20157513642341868,0.006299819070940181,0.3817730321239912,0.31882479672728975,0.0915272156543602,0.38701189883337955,0.5113133208890756,0.1016747802775449
"Dallas Independent School District, Texas, USA",0.22550532396441,0.01151595905723425,0.3127600479908877,0.3387677933451476,0.11145087564232042,0.43132806230051124,0.4642638697975969,0.10440806790189193
"San Diego City Unified School District, California, USA",0.19142341548795908,0.014275988633997986,0.3599923980122052,0.2663329778762321,0.16797521998960566,0.43138277382622087,0.47030415233606787,0.09831307383771114
"Montgomery County Public Schools, Maryland, USA",0.1482651962367581,0.0059564322666437255,0.42264598131810277,0.3248462613607152,0.09828612881778007,0.31615202795730607,0.5992165485129443,0.08463142352974966
"Duval County School District, Florida, USA",0.2071800992524856,0.007401159787575995,0.3654905163090592,0.31719177342063365,0.10273645123024545,0.35754875274552844,0.5027973221849628,0.13965392506950886
"Prince George's County Public Schools, Maryland, USA",0.19335704821736502,0.006233248796419189,0.3115371483878648,0.33701516130749837,0.1518573932908526,0.4262507554035451,0.47279390019672735,0.10095534439972756
"Pinellas County School District, Florida, USA",0.2200213245627456,0.014767993362149784,0.4131062149161518,0.25473279370014157,0.09737167345881129,0.29622504832108826,0.5492640357883988,0.15451091589051302
"Gwinnett County School District, Georgia, USA",0.12835749375426764,0.004824492342886179,0.3995087762212648,0.37249935995847927,0.09480987772310212,0.3364232971206303,0.5773600881626326,0.08621661471673704
"San Francisco Unified School District, California, USA",0.2319559970205377,0.0237476830292174,0.3466938693054708,0.2039187904980821,0.19368366014669208,0.46037630865525725,0.45963927742369065,0.07998441392105217
"Baltimore County Public Schools, Maryland, USA",0.19016388653003874,0.007379876329316648,0.3809099576668678,0.3213670980538392,0.1001791814199377,0.3531925358679786,0.5423600123256566,0.10444745180636476
"Jefferson County School District, Kentucky, USA",0.22172152766270312,0.0077502420792138794,0.37784483584175743,0.30112079726058477,0.09156259715574079,0.35178213990944324,0.5192383956053707,0.1289794644851861
"Lee County School District, Florida, USA",0.16570396478786026,0.008240193052897945,0.45333670410307564,0.26751601654536744,0.10520312151079865,0.2595705563435986,0.6120741968055289,0.12835524685087252
"Seattle Public Schools, Washington, USA",0.25261375847665357,0.021206602729535742,0.4028829879600818,0.1847227640338822,0.13857388679984683,0.45524760882697546,0.44450474789550476,0.10024764327751966
"Austin Independent School District, Texas, USA",0.23802730762235666,0.016225997516446343,0.3800525927454538,0.2325555768618809,0.13313852525386224,0.44161459009999005,0.45196938232939343,0.10641602757061673
"Shelby County School District, Tennessee, USA",0.2463785076390303,0.005846809476989632,0.2786318992281301,0.3661861941961541,0.10295658945969595,0.4676877609593747,0.42039777219024765,0.1119144668503776
"Polk County School District, Florida, USA",0.15129398105301906,0.006520385670295645,0.4009209869480119,0.3278814495728807,0.1133831967557926,0.31668158338214936,0.5601910942913925,0.12312732232645825
"Phoenix Union High School District, Arizona, USA",0.18235613387049568,0.013056013028390115,0.3077904335326824,0.3664856360412444,0.13031178352718725,0.45554700273966814,0.4346556456579607,0.10979735160237107
"Metropolitan Nashville Public School District, Tennessee, USA",0.23291947919433556,0.010344417490555202,0.35336581622947294,0.2698699506922133,0.13350033639342299,0.41062888965274874,0.47383450301839686,0.11553660732885447
"Denver County School District 1, Colorado, USA",0.24913763092316424,0.015553859113068686,0.37444914849506605,0.24804541061787683,0.11281395085082419,0.4340237448362011,0.4475022832617634,0.11847397190203553
"DeKalb County School District, Georgia, USA",0.21593105586229983,0.011486289730801642,0.3068656791581133,0.3375175026892053,0.12819947255957986,0.433698795461902,0.44833979585133915,0.11796140868675876
"Cobb County School District, Georgia, USA",0.16233421848054516,0.0075187136346237015,0.41962074036407937,0.31810843440233594,0.09241789311841572,0.33478780327709007,0.5603642049673376,0.10484799175557225
"District of Columbia Public Schools, District of Columbia, USA",0.3042101851136293,0.02325979349786206,0.2762047333490931,0.24610248400223078,0.15022280403718472,0.5575987550459577,0.36051103570276005,0.08189020925128229
"Albuquerque Public Schools, New Mexico, USA",0.21768092920482537,0.009853962505113946,0.3779281838631329,0.30859785746087776,0.08593906696604994,0.36844038267148144,0.48833354095194176,0.1432260763765768
"Boston School District, Massachusetts, USA",0.2566652604656473,0.014990527014030001,0.2804520138885161,0.23551461585624722,0.21237758277555935,0.5572565655615751,0.3699429705200311,0.07280046391839387
"Northside Independent School District (Bexar County), Texas, USA",0.16936038080125568,0.0061515289203931305,0.37759812278598515,0.35358862867080293,0.09330133882156322,0.3703428325695051,0.5242415238185671,0.10541564361192782
"Kern High School District, California, USA",0.12426346727107797,0.004924645526976837,0.35516148205230574,0.41895759216605105,0.09669281298358835,0.382900447846449,0.5246839760925605,0.09241557606099055
"Detroit Public Schools Community District, Michigan, USA",0.2860268085590915,0.004663792165222909,0.19745937970859806,0.38348649442064303,0.12836352514644458,0.5602201422719773,0.31591019642939333,0.12386966129862947
"Cypress-Fairbanks Independent School District, Texas, USA",0.12873435232535904,0.003264597915602967,0.4073030531152914,0.38345959183861067,0.07723840480513598,0.3169381703321304,0.5911592739370337,0.09190255573083586
"Fulton County School District, Georgia, USA",0.19122980123532538,0.006360418748609902,0.3945087979350935,0.3356647114617105,0.07223627061926073,0.35459410998134366,0.5382499208069224,0.10715596921173404
"Brevard County School District, Florida, USA",0.18038376057435856,0.0086606280534532,0.43731350974861055,0.2903371660629722,0.08330493556060546,0.27277885941826335,0.5901380477639385,0.13708309281779812
"Jefferson County School District R-1, Colorado, USA",0.17142856295943032,0.00729358828662674,0.46783633459468954,0.27149004471418425,0.08195146944506923,0.30386015082329154,0.5774394937240626,0.11870035545264597
"Anne Arundel County Public Schools, Maryland, USA",0.15187166314588213,0.00729043633894992,0.4378001280627724,0.3146690546680169,0.08836871778437864,0.30752438304981233,0.5904621780905849,0.10201343885960269
"Baltimore City Public Schools, Maryland, USA",0.28398533779926516,0.009763243247180814,0.24931060799289856,0.3126731113707752,0.14426769958988028,0.5227987720189604,0.363248533702797,0.11395269427824253
"Milwaukee School District, Wisconsin, USA",0.25868550203376994,0.006942628318758529,0.2692760470112563,0.3490317835572844,0.11606403907893079,0.5440721568464743,0.3565434267667674,0.09938441638675835
"Columbus City School District, Ohio, USA",0.2674076476917748,0.012413220737766182,0.30882668965320215,0.27229720589237644,0.13905523602488057,0.49549182245289763,0.3897013403874932,0.11480683715960922
"Pasco County School District, Florida, USA",0.17158298473441286,0.005478909622392446,0.43931531439855726,0.29659052017158755,0.08703227107304996,0.2705073566695096,0.6008372350588286,0.12865540827166197
"Volusia County School District, Florida, USA",0.19393093444949844,0.007963074657924944,0.43717826536171983,0.2691829010738307,0.09174482445702607,0.2812212358007639,0.5682043878551267,0.1505743763441093
"East Side Union High School District, California, USA",0.10226382225304834,0.0041196696325010536,0.3580531548997974,0.35427397489242235,0.18128937832223083,0.3713101251321211,0.5565374384024266,0.0721524364654523
"Greenville County School District, South Carolina, USA",0.17752950941711299,0.004355270340780321,0.42938921265770846,0.3143284207121175,0.07439758687228085,0.3115831732084394,0.5814914609693914,0.10692536582216922
"Guilford County Schools, North Carolina, USA",0.19972834953221769,0.006620524194702711,0.37440064046531885,0.3077534835160806,0.11149700229168019,0.3730144928415468,0.517037658840608,0.10994784831784514
"Fort Worth Independent School District, Texas, USA",0.18816637291918106,0.006167270327610519,0.32940663114603086,0.3598281584109957,0.11643156719618189,0.38643268572076184,0.5003270033065975,0.11324031097264077
"Portland School District 1J, Oregon, USA",0.2334643209383808,0.020747412266628663,0.41008953703355394,0.20969188803290667,0.1260068417285299,0.42351640283360487,0.4528438788779084,0.12363971828848673
"Long Beach Unified School District, California, USA",0.1865585543805844,0.015387246201191744,0.33621517322227756,0.3262591426549352,0.13557988354101108,0.44500488974206737,0.4647081164902994,0.0902869937676331
"Mesa Unified District, Arizona, USA",0.18787247345037583,0.006280295890005906,0.402570742487104,0.30538784131437985,0.0978886468581343,0.32887939425749113,0.5390963316579921,0.13202427408451672
"Atlanta City School District, Georgia, USA",0.3066249767152493,0.019212793803921185,0.27533310770928826,0.2372470561463487,0.16158206562519253,0.5458282525652832,0.3514165921870489,0.1027551552476679
"Sweetwater Union High School District, California, USA",0.12262555596246093,0.005056832427687635,0.34075140852908503,0.3859563637692729,0.14560983931149354,0.3626082163619598,0.549318221648627,0.08807356198941327
"Washoe County School District, Nevada, USA",0.17980315075517048,0.009308859883524622,0.4184734803796921,0.28333451448438707,0.10907999449722575,0.32453101609578633,0.539349916255144,0.1361190676490696
"Grossmont Union High School District, California, USA",0.14245234711754584,0.00707876421427935,0.3815459246745455,0.3540288973352574,0.11489406665837189,0.33762835180765294,0.5505660103042527,0.11180563788809447
"Tucson Unified District, Arizona, USA",0.22624113196595322,0.010067739440695864,0.36965720180808925,0.2787821072750774,0.1152518195101843,0.3930721659645662,0.4716617031127615,0.13526613092267228
"Knox County School District, Tennessee, USA",0.1889848040906013,0.006156152065022897,0.4241343049987632,0.2874252169416352,0.09329952190397733,0.3259432910130577,0.5533022930253199,0.12075441596162247
"Prince William County Public Schools, Virginia, USA",0.11052291985339423,0.003269011049676712,0.40820451745298414,0.3711007092297136,0.10690284241423136,0.31222617450140044,0.6028821693574947,0.0848916561411047
"Seminole County School District, Florida, USA",0.16704751145743693,0.007082001446354381,0.43288359414782746,0.3070379261503438,0.08594896679803732,0.31095317747368867,0.5692901517834745,0.11975667074283668
"Virginia Beach City Public Schools, Virginia, USA",0.16788616938435047,0.005816637197408468,0.4321141143178043,0.3090286121884501,0.08515446691198664,0.3089054594141632,0.5795183942609129,0.1115761463249239
"Fort Bend Independent School District, Texas, USA",0.10294722575089785,0.003669131424517972,0.4251824827944392,0.3833374768243219,0.0848636832058231,0.2999896391060557,0.623109784560762,0.07690057633318234
"Jefferson Parish School District, Louisiana, USA",0.2088884138919083,0.004911228901141163,0.37363954440876573,0.3332895188712431,0.07927129392694175,0.34765517131479595,0.527731202428622,0.12461362625658196
"Oakland Unified School District, California, USA",0.21172192264924813,0.01730652622999711,0.3237942168403378,0.28522452447993224,0.1619528098004848,0.4522730000025682,0.4541808733591989,0.09354612663823289
"Sarasota County School District, Florida, USA",0.19314243389792826,0.010560493413084373,0.5065170402668303,0.2157238153800269,0.07405621704213027,0.21355653648823789,0.6503487110333853,0.13609475247837668
"North East Independent School District, Texas, USA",0.1919141746298164,0.009758736244090497,0.3956369908297978,0.3323357036167276,0.07035439467956778,0.33143268262635583,0.549980079767,0.11858723760664405
"Minneapolis Public School District, Minnesota, USA",0.25469840575312064,0.018499568327722763,0.3303622047985023,0.23802432890839845,0.15841549221225598,0.5121717809475818,0.38686104520461795,0.10096717384780031
"Chaffey Joint Union High School District, California, USA",0.11841929545460267,0.004518967762249305,0.36067460976105975,0.4024148605812424,0.11397226644084589,0.3715146255446309,0.5383292487273884,0.09015612572798082
"Loudoun County Public Schools, Virginia, USA",0.09111120506199055,0.006378970007499254,0.46758151248469343,0.35886125190309015,0.07606706054272652,0.2687004727768925,0.6588586394295081,0.07244088779359938
"Granite School District, Utah, USA",0.13417707340837345,0.0065289514712576656,0.37893836644330564,0.3648466069077946,0.1155090017692686,0.3366608769394363,0.551062573342108,0.11227654971845563
"Antelope Valley Union Joint High School District, California, USA",0.12938513797776593,0.004849940627930135,0.32824839287735397,0.42083993918889884,0.11667658932805113,0.41043633145411845,0.508130442235895,0.08143322630998656
"Charleston County School District, South Carolina, USA",0.210712441800796,0.006711878621110001,0.4008752111619145,0.2726220535758382,0.10907841484034135,0.3635938400738799,0.5344276261871136,0.10197853373900644
"Manatee County School District, Florida, USA",0.16372358316616997,0.008884971531619159,0.45518002958280124,0.27512005349218965,0.09709136222721998,0.2501912731797791,0.6211808625601725,0.12862786426004846
"Anaheim Union High School District, California, USA",0.12025861994247204,0.004912649313360291,0.3308581887864724,0.377132344600517,0.16683819735717834,0.3888320581463525,0.5325561068675647,0.07861183498608272
"Fresno Unified School District, California, USA",0.1768515410123894,0.005849798192652349,0.29548985488526225,0.38863138622151383,0.133177419688182,0.4518503975017079,0.443278264308585,0.10487133818970704
"Alpine School District, Utah, USA",0.06841414878442281,0.005784197924419685,0.4077709031851963,0.4492729660127242,0.06875778409323695,0.29569440895957255,0.6471677109947644,0.05713788004566296
"Katy Independent School District, Texas, USA",0.09400351447866184,0.00581556497055463,0.4562836749756031,0.38421669802074376,0.0596805475544366,0.26611115937984653,0.6598517182074397,0.07403712241271383
"Osceola County School District, Florida, USA",0.12021107929671847,0.006841409193570872,0.332000283963179,0.406811435302407,0.1341357922441247,0.3638609789639218,0.511903116919008,0.12423590411707013
"East Baton Rouge Parish School District, Louisiana, USA",0.2241268896309844,0.006141024297516248,0.3103345528102931,0.3377961053527222,0.12160142790848415,0.44953263848088043,0.4373068774802727,0.11316048403884688
"Mobile County School District, Alabama, USA",0.19620360805327342,0.0046247003063234204,0.36592958523511615,0.3465433598692966,0.08669874653599056,0.344824600265199,0.5342656962045235,0.12090970353027752
"Orleans Parish School District, Louisiana, USA",0.2746097392010904,0.008281810747602727,0.25810601759494206,0.3185163578783981,0.14048607457796675,0.4973417336846363,0.3749486987496588,0.12770956756570484
"Lake County School District, Florida, USA",0.15452768764381022,0.006127036013000614,0.481785532409567,0.28160369435208965,0.07595604958153243,0.2446177253708639,0.6380594649423096,0.11732280968682644
"Forsyth County Schools, North Carolina, USA",0.19948016712743424,0.007541452485792512,0.3851853765097994,0.32550794669342725,0.0822850571835466,0.3583198489467805,0.5318757568174368,0.10980439423578264
"Marion County School District, Florida, USA",0.18481958679382107,0.008024364692795377,0.4370848768265386,0.2722911019191522,0.09778006976769295,0.2698798032329667,0.6004656905077179,0.12965450625931535
"Collier County School District, Florida, USA",0.16428155788241292,0.0060569161610960895,0.4899950835688591,0.24725814514878755,0.09240829723884432,0.22961174243951665,0.6558622037934138,0.1145260537670696
"Cleveland Municipal School District, Ohio, USA",0.322725533126912,0.007841116320266888,0.2434680727259915,0.3155062062891307,0.11045907153769897,0.5289628824865873,0.32969622529428627,0.14134089221912646
"Omaha Public Schools, Nebraska, USA",0.21126951065652377,0.005904087907645788,0.36455710827186033,0.31206019222607906,0.10620910093789124,0.40195269421481833,0.48382373006813484,0.11422357571704685
"Hamilton County School District, Tennessee, USA",0.19888114236655222,0.005635193298193308,0.40706684580930935,0.2885337253589729,0.09988309316697211,0.3187661275673131,0.5600535876685044,0.12118028476418247
"Chesterfield County Public Schools, Virginia, USA",0.14183236149172582,0.006464738547740678,0.4400024458168191,0.3386566906986703,0.07304376344504408,0.2971256049494448,0.603287885120921,0.09958650992963429
"Arlington Independent School District, Texas, USA",0.17902485799080395,0.005977476184015238,0.3627833949786334,0.35348114947509024,0.09873312137145727,0.37179854475492874,0.5161289764067211,0.1120724788383501
"Davis School District, Utah, USA",0.09153612703473177,0.003935000041802413,0.42553179630522453,0.420785829540926,0.05821124707731515,0.27708030082484186,0.6383923156234841,0.08452738355167391
"Plano Independent School District, Texas, USA",0.15855774934047223,0.005911260579743358,0.4550699576274745,0.289073448417452,0.09138758403485805,0.30576431377887137,0.5977208308708226,0.09651485535030595
"Capistrano Unified School District, California, USA",0.12611407695296106,0.006519526709013726,0.47355609279860617,0.32541596409256046,0.06839433944685862,0.2643848751937163,0.6359480729469084,0.0996670518593753
"Elk Grove Unified School District, California, USA",0.1142132860157462,0.004821070931880869,0.3719975732983784,0.3838131817384432,0.12515488801555127,0.340619304017932,0.573747224351586,0.08563347163048203
"Douglas County School District RE-1, Colorado, USA",0.10461063307877852,0.004815107340851839,0.5124378959777622,0.33296222140462367,0.045174142197983734,0.24658797841799715,0.6610972560542585,0.09231476552774429
"Glendale Union High School District, Arizona, USA",0.19355730155620807,0.008347555413348936,0.3438677394354458,0.3391395189126523,0.11508788468234492,0.3938857188291358,0.4678338835583987,0.13828039761246558
