longname,PW Mean % of parkland within 1km,Within 10km of Hospital %,Mean distance to nearest Hospital,Within 2km of Public School %,Mean distance to nearest Public School,Within 30km of Airport %,Mean distance to nearest Airport,Within 10km of Active Superfund Site %,Mean distance to nearest Active Superfund Site,Within 0.5mi of a grocery store %,Within 1mi of a grocery store %,Within 10mi of a grocery store %,Within 20mi of a grocery store %
"CA-HD034, USA",0.006691070223730484,0.7336370703632109,9.376332513420529,0.743005780127083,1.8055215307422763,0.08783284199402029,53.39152241700892,0.11711552461163287,32.828253947063736,0.1368549480214113,0.3531418568471628,0.9167713429358304,0.97007334540927
"CA-HD027, USA",0.012900645693067555,0.5932090265018278,10.378965215984682,0.884220883087392,1.1543593007639736,0.1463987203633309,67.89734593057155,0.3335609265858327,21.30223371947883,0.3335483674985035,0.6658012802393223,0.9940440173923226,0.9999977784589373
"CA-HD011, USA",0.022200926518524847,0.8662600782432921,5.206959703224483,0.927346338014096,0.9629733995264017,0.0007858916122883472,50.69199625528523,0.30383069319867495,15.60529028082259,0.3868994648216786,0.7097410706686579,0.9998719678137552,1.0
"CA-HD032, USA",0.022116718564012792,0.8420906498429526,7.088116493759969,0.8429814531663045,1.4718625612600806,0.4863072731584762,40.800899792084984,0.001692911943513043,37.11891280989828,0.2988478744727531,0.6414663638771928,0.9786089119495545,0.999597951005359
"CA-HD017, USA",0.05473626453047043,1.0,1.2521266960180686,1.0,0.42412682569887056,1.0,15.839590603408515,1.0,6.161137772448178,0.9133400847457518,0.9923355890066676,1.0,1.0
"CA-HD006, USA",0.032239554534311265,0.8972507899917617,4.739066990098209,0.993465404742658,0.6513473059906895,1.0,12.210149313039068,0.8240552007952132,7.472904963996125,0.46949415583315923,0.8267089849587226,1.0,1.0
"CA-HD016, USA",0.02606789833385295,0.9965143786715566,3.77752110598341,0.9444273580653835,0.9197402600258993,0.6541575028869533,28.119295549486452,0.17420949706082042,16.196124024587025,0.3054355079954536,0.6726454509464481,0.9997307513086092,1.0
"CA-HD042, USA",0.02134883842915963,0.959755406343882,4.607086085030598,0.8834582029988064,1.0565206873006978,0.7301519134752843,22.98514860225228,0.001247729422620464,22.29440839405368,0.34138438446412267,0.6967027251547774,1.0,1.0
"CA-HD047, USA",0.010597057230899746,0.7173493691507866,7.6473434666387,0.7878562735685691,1.406185625568007,0.7931170587586559,18.926039919696827,0.03286491255565036,55.96445537269407,0.22391744922608015,0.5873924938572814,0.9993507861288563,0.9999730986424257
"CA-HD020, USA",0.021417366898802016,1.0,3.006244876693364,0.9872084915162315,0.6438809277379502,0.9992116680870845,14.505913016786678,0.0,20.79126671770226,0.5614933236002545,0.9057335493364899,1.0,1.0
