longname,Housing Units per Adult,Housing Units per Adult (2010),Housing Units per Adult (2000),Vacancy %,Vacancy % (2010),Vacancy % (2000),Rent/Income < 20%,Rent/Income 20%-40%,Rent/Income > 40%,1BR Rent < $750 %,1BR Rent $750 - $1500 %,1BR Rent > $1500 %,2BR Rent < $750 %,2BR Rent $750 - $1500 %,2BR Rent > $1500 %,% units built pre-1970,% units built in 1970s,% units built in 1980s,% units built in 1990s,% units built in 2000s,% units built in 2010s+,Renter %
"CA-HD034, USA",0.5466365079166718,0.5922663796479639,0.6249878974812929,0.18894710852628113,0.23122133027522937,0.23385561899703447,0.23083731766371773,0.3754307125481089,0.3937319697881734,0.4395723189771648,0.4539708896058643,0.10645679141697088,0.1442908921226043,0.736649579139028,0.11905952873836778,0.2564131744360561,0.1570323952503754,0.23561791827325687,0.15107140366742103,0.16698770388312167,0.032877404489768926,0.35205716158624767
"CA-HD027, USA",0.4193669134998779,0.44393031868684557,0.4596064215432418,0.04600020697505951,0.08655021354316868,0.05707212974818609,0.2605413211975602,0.4048244760625177,0.33463420273992206,0.48259269312066144,0.5003173559054768,0.0170899509738619,0.2073984359417079,0.7123814322391376,0.08022013181915437,0.24436547280385762,0.17018676974406693,0.14658705958556476,0.16533716753598385,0.21028168471784556,0.06324184561268134,0.4798169053947688
"CA-HD011, USA",0.4577403771386536,0.49127614249770946,0.4800135848669708,0.04155701281332241,0.0741942561520607,0.03476885287482145,0.19342857895444862,0.4479283679328924,0.358643053112659,0.12147209432319384,0.4622142389310097,0.4163136667457964,0.055890509989088025,0.2899667799985333,0.6541427100123787,0.25209225515013506,0.1854644126620732,0.21614327603389621,0.15488733727379508,0.13703410598326582,0.054378612896834766,0.3539056876164047
"CA-HD032, USA",0.510847921947784,0.5423111946742266,0.571189664482539,0.08172699210810427,0.11091004928731735,0.1172474125706384,0.28599817514890546,0.37690237055828224,0.3370994542928123,0.46115987406912196,0.43485519832018477,0.10398492761069338,0.13063156164462322,0.7434299483240285,0.1259384900313482,0.214920521647126,0.16396545849080763,0.1839958689646653,0.1430963321975206,0.2175769893519445,0.07644482934793607,0.341245764964822
"CA-HD017, USA",0.5483477673158094,0.5531669980416486,0.5307838350962842,0.09167623305741848,0.08563269644803574,0.052833949720981294,0.3692144677872438,0.3730807372814323,0.2577047949313239,0.1541352687054886,0.205059017245079,0.6408057140494324,0.11094979657383865,0.19218520001706166,0.6968650034090996,0.6454643195756511,0.07295631335098483,0.05816855590503332,0.05013349091813169,0.09030263200726209,0.08297468824293697,0.6579589637086757
"CA-HD006, USA",0.5132107827345403,0.5674985319174171,0.5772142783664233,0.048556721938405975,0.08541222767078878,0.051920894892861176,0.22071499725618757,0.4046729586101401,0.3746120441336724,0.15373436707493623,0.6661687326256666,0.18009690029939726,0.05492748886126037,0.49321628684893287,0.45185622428980665,0.43490187188397367,0.1541394984596909,0.13079043168289797,0.0985112160048924,0.1390252023934332,0.04263177957511177,0.5034994673971434
"CA-HD016, USA",0.49670241469564536,0.5211287179653981,0.5213810873486215,0.04041302282093367,0.044950068088969584,0.028327435902504597,0.2703149435425156,0.43584171369883695,0.2938433427586475,0.08334419401533691,0.1384580513037648,0.7781977546808982,0.01770323369287285,0.06090235295103507,0.9213944133560922,0.2843130294130714,0.2044564917595607,0.15027924646168367,0.14230692152590965,0.1350086058455435,0.08363570499423097,0.27909993706668795
"CA-HD042, USA",0.4821226201953862,0.49838857960059246,0.504855708295372,0.05025936599423631,0.04952884571042073,0.03396903108277354,0.2087386205887023,0.3909419846011794,0.40031939481011836,0.08307002389581958,0.13261175201491215,0.7843182240892682,0.012607844748719808,0.08347251018032713,0.9039196450709531,0.29502595275893756,0.2355804203617992,0.21786626985807958,0.11866213865380809,0.09841935822722653,0.034445860140148984,0.2852254398881196
"CA-HD047, USA",0.6291909691374715,0.679835889157923,0.703868050313578,0.21224666763868533,0.2502305150477849,0.24605107543047286,0.19038377162287828,0.3872876803158654,0.4223285480612563,0.2912083378649451,0.594518359273904,0.11427330286115094,0.0950608424002815,0.6124860833606818,0.2924530742390367,0.2122588500690045,0.17575248611703526,0.21516931350251056,0.14568539143437628,0.1974088575495889,0.05372510132748456,0.30562976650045554
"CA-HD020, USA",0.42598417481198403,0.4608941352360019,0.4674508759469697,0.03302068537187088,0.05052137233186272,0.021296395945834733,0.22360748799161131,0.4398712352888303,0.33652127671955845,0.11005533794947589,0.23419724891313196,0.6557474131373922,0.035406613753444456,0.11953573947632565,0.8450576467702299,0.489186411538408,0.17967572172017962,0.1337898274658929,0.10016893926083889,0.06308750407231407,0.034091595942366534,0.3965070939857756
