longname,Within 10km of Hospital %,Mean distance to nearest Hospital
"CA-SD003, USA",0.8716622514580773,5.3430758417010695
"CA-SD023, USA",0.7909914898296615,7.625309213861341
"CA-SD004, USA",0.6864407924575642,8.340602519448028
"CA-SD010, USA",0.9707794497717447,4.29104289269205
"CA-SD039, USA",0.9958040956747454,3.2080226715263684
"CA-SD024, USA",0.9851674409601239,2.801929650395275
"CA-SD025, USA",0.9990655809052815,2.4686094246802246
"CA-SD033, USA",0.999666518344884,2.1561055300700365
"CA-SD015, USA",0.9524951870941311,4.151816327426002
"CA-SD021, USA",0.9147420195376162,4.653030045034185
"CA-SD005, USA",0.9363373339153072,4.367757312108707
"CA-SD011, USA",1.0,1.507334915164903
"CA-SD037, USA",0.9893762302847634,3.4363709136148546
"CA-SD013, USA",0.9896299885777577,2.852505516086774
"CA-SD022, USA",0.9998525949229339,2.3324833889024505
"CA-SD014, USA",0.7293681637008692,7.768940542035457
"CA-SD017, USA",0.7541282644007249,7.147835660678253
"CA-SD002, USA",0.8566245488632407,6.033045674092811
"CA-SD027, USA",0.9952779988641373,3.512431146593119
"CA-SD009, USA",0.9817577936222397,3.851546035886923
"CA-SD030, USA",1.0,2.8118494395294147
"CA-SD036, USA",1.0,2.842832408979631
"CA-SD028, USA",1.0,2.217957823055456
"CA-SD038, USA",0.9388144844072474,5.6310001272485515
"CA-SD018, USA",0.8693387566782493,5.939033971180623
"CA-SD006, USA",0.8790586449511266,5.203269259498576
"TX-SD030, USA",0.8328915681369731,5.864367389145899
"TX-SD009, USA",0.9388762464657109,4.675931629799767
"CA-SD016, USA",0.7712196347136224,6.655240101781542
"TX-SD016, USA",0.9708091624604418,3.8560524816174295
"TX-SD023, USA",0.9812634627662059,3.936222417512404
"TX-SD008, USA",0.802170019467878,6.000248625339276
"TX-SD003, USA",0.5739870840616822,10.445028720557348
"TX-SD024, USA",0.7710920450124514,7.729553471191589
"TX-SD012, USA",0.8992084537060935,4.5604953348336785
"TX-SD022, USA",0.7630737548321539,6.81527954310835
"TX-SD006, USA",0.9743916172942271,4.070744507752442
"CA-SD007, USA",0.995307578380859,2.7057777856301803
"TX-SD002, USA",0.7695799764925458,7.027922381685017
"TX-SD014, USA",0.9110273029442179,4.32055392453167
"TX-SD004, USA",0.7540026581399514,7.0837446979080285
"TX-SD007, USA",0.9463790249797959,4.717925596038238
"CA-SD031, USA",0.993949235845177,4.26273682190807
"CA-SD040, USA",0.8799954978456981,6.138564694224306
"CA-SD019, USA",0.7813085057403448,6.799024547315263
"CA-SD035, USA",1.0,2.4772809206943296
"TX-SD015, USA",0.9831106815865494,3.8653542641958385
"TX-SD013, USA",0.9662031992881547,3.7538275179154232
"CA-SD026, USA",1.0,1.6784754011694611
"CA-SD034, USA",1.0,2.144193754322895
"TX-SD018, USA",0.7086671321864618,9.100115269807855
"CA-SD012, USA",0.8289300714486222,7.635818932212337
"CA-SD001, USA",0.6661845727106546,8.70729030762776
"CA-SD020, USA",0.9992629185456057,2.6881477642462555
"CA-SD032, USA",0.8453985606867259,6.604474931919512
"CA-SD008, USA",0.9315236466365371,5.078369799483772
"CA-SD029, USA",0.983894564029668,3.563598996680956
"TX-SD010, USA",0.8200250248699337,6.69190518642293
"TX-SD005, USA",0.6650145290817706,9.353138313337322
"TX-SD026, USA",1.0,3.509075370253126
"TX-SD001, USA",0.6109558987553413,9.710044453360084
"TX-SD027, USA",0.7090172867567243,8.521138067722594
"TX-SD020, USA",0.839366058503632,6.1508003508287
"TX-SD029, USA",0.8063714596949891,6.776404791262837
"TX-SD011, USA",0.8567554729495641,5.982301073989018
"TX-SD025, USA",0.7318838523511321,8.161090172526507
"TX-SD017, USA",0.8431003899372309,5.520758028184
"TX-SD019, USA",0.8610635890671621,6.558173276671556
"TX-SD028, USA",0.7859996063784287,7.309087770060006
"TX-SD021, USA",0.7513376405100767,9.058430485113696
"TX-SD031, USA",0.7694176147629833,7.261046477298345
"FL-SD038, USA",0.9997204206932832,3.2509522439794325
"FL-SD024, USA",1.0,3.9741109683519897
"FL-SD005, USA",0.9173608925840662,5.318451015202563
"FL-SD008, USA",0.9004521554707866,5.33914014647214
"FL-SD018, USA",0.9998802333423005,3.47881472282428
"FL-SD037, USA",1.0,2.573629299368802
"FL-SD040, USA",0.9336039164510112,4.787668565019977
"FL-SD004, USA",0.7743369683027715,7.462784065754713
"FL-SD035, USA",1.0,2.9414456356559526
"FL-SD032, USA",1.0,2.27163866967608
"FL-SD007, USA",0.6217970258822835,9.602000119052189
"FL-SD003, USA",0.5682926108119496,13.260765598608101
"FL-SD031, USA",0.8872176002958033,5.680043457786891
"FL-SD036, USA",1.0,2.07762919154291
"FL-SD026, USA",0.9988077209326436,3.992849814594886
"FL-SD030, USA",1.0,2.9568780052299686
"FL-SD001, USA",0.755089817028055,6.846817447618278
"FL-SD033, USA",0.8318088610531199,6.455622440490773
"FL-SD006, USA",0.7574500622655761,8.090296289615278
"FL-SD002, USA",0.6651403477185955,8.768648413089727
"FL-SD011, USA",0.6781644412011015,8.466423316153678
"FL-SD019, USA",0.8667043723034733,5.778745699995412
"FL-SD028, USA",0.7260421027172346,9.097072059528402
"FL-SD009, USA",0.5838941797365295,10.423477510334127
"FL-SD013, USA",0.7286567753813586,7.6672546550699785
"FL-SD012, USA",0.8002102618207033,6.992081101062494
"FL-SD023, USA",0.9644195420200434,4.850791049703387
"FL-SD014, USA",0.995697696980552,3.502307805795468
"FL-SD029, USA",0.8342414078234397,6.415145967143941
"FL-SD016, USA",0.9941768388340231,4.062692640550226
"FL-SD010, USA",0.976279100170889,4.224012086518474
"FL-SD021, USA",0.9930979718051961,4.00367854562919
"FL-SD020, USA",0.813899941502653,6.143913279383357
"FL-SD027, USA",0.7036545099102975,7.88411765736299
"FL-SD039, USA",0.9983966983585334,3.257037151763076
"FL-SD015, USA",0.98770701245023,4.35772903092197
"FL-SD017, USA",0.9693642419837089,4.438573744716834
"FL-SD034, USA",1.0,2.9783137937349173
"FL-SD022, USA",0.842662087891489,6.209583000123306
"FL-SD025, USA",0.9612440747629906,5.173372981151977
"OH-SD021, USA",1.0,2.9837975880040064
"OH-SD023, USA",1.0,2.445964647917444
"OH-SD024, USA",0.9634707098111052,4.517767450490287
"OH-SD018, USA",0.9061470852114303,5.451312460655102
"OH-SD028, USA",0.6767674043549318,7.786774845607042
"OH-SD004, USA",0.9522276160970572,4.172693742725266
"OH-SD007, USA",0.9320147387311709,4.8837947234811745
"OH-SD005, USA",0.5120723492427581,10.546581118466264
"OH-SD032, USA",0.7707563662752343,7.087815730330298
"OH-SD027, USA",0.7544852541667011,6.703613785338083
"OH-SD016, USA",0.8505832657905001,6.418875448490013
"OH-SD013, USA",0.8458574020972724,5.625298470409906
