longname,Housing Units per Adult,Vacancy %,Renter %,Rent/Income < 20%,Rent/Income 20%-40%,Rent/Income > 40%,1BR Rent < $750 %,1BR Rent $750 - $1500 %,1BR Rent > $1500 %,2BR Rent < $750 %,2BR Rent $750 - $1500 %,2BR Rent > $1500 %,% units built pre-1970,% units built in 1970s,% units built in 1980s,% units built in 1990s,% units built in 2000s,% units built in 2010s+
"CA-SD003, USA",0.4716599363943306,0.05493194892661709,0.37726998311578197,0.1992393771449222,0.43026939785406665,0.3704912250010111,0.15802560475549807,0.4712180344759079,0.37075636076859414,0.05607962570376323,0.29054130716996557,0.6533790671262711,0.2755672524441598,0.18473768016892037,0.18219420763281174,0.14743212457590657,0.15109659181945062,0.058972143358750985
"CA-SD023, USA",0.43115294314722674,0.041757474578843524,0.34685842783299853,0.18817281161646085,0.35475587156382077,0.45707131681971835,0.19278856741198142,0.5064049394554506,0.300806493132568,0.11656448503894468,0.475708277193758,0.4077272377672973,0.15704803019303057,0.1320059637215074,0.2773787125424418,0.18414088970730308,0.20900264330377344,0.04042376053194374
"CA-SD004, USA",0.5628632862934625,0.18072805330310562,0.3225772068863452,0.24982669185547432,0.39235754977211684,0.3578157583724089,0.32288107791027176,0.5682295423704181,0.10888937971931013,0.11756769101392799,0.6627115253248688,0.2197207836612032,0.26194750254144855,0.20885433320581887,0.18991282580419763,0.15508855724857126,0.1528015121036159,0.031395269096347676
"CA-SD010, USA",0.43719831770441925,0.041643798979799355,0.451683900954702,0.3121827167490034,0.43573753835745527,0.2520797448935414,0.04370460282766525,0.08922663631281488,0.8670687608595199,0.028841464039797166,0.061029315324455775,0.9101292206357471,0.34569241674595763,0.22215523945612498,0.15658313363854373,0.10493286620371538,0.08041620443073659,0.09022013952492182
"CA-SD039, USA",0.4982144227632917,0.05625290338730525,0.5463298708067544,0.1953662777147055,0.41344679827999836,0.3911869240052962,0.08290869378546005,0.44226227597693063,0.4748290302376093,0.032908376171546475,0.21766435489229094,0.7494272689361626,0.43615730437401956,0.20993521734162562,0.15504483636723168,0.07389081480957808,0.08131279247623806,0.043659034631306964
"CA-SD024, USA",0.5685447929206142,0.08021763111001563,0.5414949111997028,0.2651109955680756,0.37546166134475023,0.3594273430871741,0.0570231054264733,0.20605939403792942,0.7369175005355972,0.01482090345090144,0.13611113462654423,0.8490679619225543,0.5450830592804973,0.17720683807596313,0.11897081079508309,0.06351103180669225,0.05540285414603679,0.039825405895727556
"CA-SD025, USA",0.4625111108477429,0.04424565602314396,0.4844855932715756,0.2112114551599888,0.3882994780670857,0.4004890667729255,0.08678841880032492,0.4188651735926407,0.49434640760703435,0.022855409565315135,0.18896492104502607,0.7881796693896589,0.6200338623436162,0.12587532813053184,0.11393112077922594,0.05650336564618298,0.04964817416004713,0.03400814894039599
"CA-SD033, USA",0.4254261855558452,0.039405367323620134,0.5784755479757087,0.18918931185385027,0.41565272282996474,0.3951579653161849,0.09502195394890992,0.634399836375943,0.27057820967514706,0.03347995676798173,0.4102396863817565,0.5562803568502618,0.6941457180884953,0.11729020849967363,0.08858417038822397,0.050433114995815216,0.03160766018049879,0.01793912784729304
"CA-SD015, USA",0.4281329598979641,0.038983739837398376,0.4083564228844594,0.23308725065138455,0.4187735125469543,0.3481392368016612,0.11810110882352175,0.196730733969,0.6851681572074783,0.04011876773193282,0.10165610080090608,0.8582251314671611,0.394114003317813,0.2330442366936015,0.12498130917529354,0.10006422895470324,0.09336054255286756,0.054435679305721206
"CA-SD021, USA",0.45059184204473035,0.06312835447840302,0.43913698766624526,0.19393696928908716,0.4204611522222967,0.3856018784886162,0.11345687693809615,0.3811907554202477,0.5053523676416561,0.044794408011540304,0.28789843573986473,0.667307156248595,0.40963865262814825,0.20311247773060628,0.1481831259171777,0.0945884398051767,0.09750147763723489,0.046975826281656335
"CA-SD005, USA",0.4474900689971069,0.040035061195316156,0.3834561284901421,0.22414206337113143,0.4334835887050998,0.3423743479237688,0.19691786417212595,0.47695133808300616,0.32613079774486786,0.07111144798412118,0.4814595816079441,0.44742897040793467,0.2967488984778863,0.15380853587396942,0.1483434675412595,0.1434737039773283,0.17901457638332927,0.07861081774622715
"CA-SD011, USA",0.5150162742413665,0.08115738560595726,0.5898490994646014,0.3789093608726041,0.3651062936836051,0.25598434544379095,0.11265535978765821,0.18547933463750496,0.7018653055748368,0.07188976838431527,0.15576136228702286,0.7723488693286619,0.6988537982051086,0.08467805278935862,0.05793919710817256,0.044166980638685786,0.06289374180992312,0.05146822944875123
"CA-SD037, USA",0.4773938183308533,0.051711603013287546,0.43020829327181853,0.19889350434303776,0.42360522799889433,0.37750126765806785,0.04484418187555194,0.12829622960729473,0.8268595885171532,0.015165677197847664,0.0789030053941064,0.9059313174080459,0.23350024575837516,0.21900127005637648,0.17141694174502867,0.1600752358713484,0.10660767519956953,0.10939863136930168
"CA-SD013, USA",0.48838854311303065,0.05576501601606204,0.41221529378829397,0.321144433908529,0.3691392775721598,0.3097162885193114,0.06716176794361628,0.09350513216430673,0.8393330998920769,0.01703331105476794,0.06783464527007112,0.9151320436751609,0.552785258517983,0.17259673799494843,0.09494442390164406,0.06644587396518034,0.05792538553167633,0.05530232008856793
"CA-SD022, USA",0.38666622448641186,0.0310908347188135,0.4225475495345917,0.18004751404299882,0.4129254960185666,0.40702698993843456,0.15182232987976454,0.5350711675214134,0.31310650259882206,0.03371172060004233,0.369246693161332,0.5970415862386256,0.49381818571740194,0.17155605845660368,0.15014226812640258,0.070613602162602,0.05803666661578942,0.05583321892120064
"CA-SD014, USA",0.4285334626329338,0.04483992808721899,0.5085202956070919,0.23006573783675155,0.38838753403414916,0.38154672812909923,0.4969898410812111,0.4816204017024781,0.021389757216310812,0.2087503778402893,0.7240472521186341,0.06720237004107657,0.37787623816310995,0.17014994613768236,0.12235987958968676,0.12049642408007552,0.15470582356363763,0.05441168846580774
