longname,"Agriculture, forestry, fishing and hunting %","Mining, quarrying, and oil and gas extraction %",Accommodation and food services %,"Arts, entertainment, and recreation %",Construction %,Educational services %,Health care and social assistance %,Finance and insurance %,Real estate and rental and leasing %,Information %,Manufacturing %,"Other services, except public administration %",Administrative and support and waste management services %,Management of companies and enterprises %,"Professional, scientific, and technical services %",Public administration %,Retail trade %,Transportation and warehousing %,Utilities %,Wholesale trade %
"CA-SD003, USA",0.022723201650032,0.0009250053354677739,0.07603266868267466,0.022998953042314526,0.08004360320576968,0.10258543025367033,0.13699734249696682,0.03400900782088157,0.019703862561778328,0.01653653765412783,0.08218431797920471,0.04561680485770782,0.04039358106125419,0.001076149998125907,0.0648305636399239,0.06348579094973221,0.10891184068728862,0.047714290760672705,0.01082802046924794,0.022403026893158318
"CA-SD023, USA",0.005036315253721091,0.0013015986373219376,0.06265435606295505,0.022199775353337618,0.08305125445910824,0.09169811625198827,0.13260485620880394,0.02941810250327024,0.019817483479308274,0.02551801830554915,0.09390078401695497,0.04945118575034039,0.04955508772180212,0.0004961895357746619,0.05092499962552657,0.05864340456512082,0.11664942040570454,0.07106677896024097,0.009841545153353502,0.026170727749817504
"CA-SD004, USA",0.040364663735386476,0.0010654675247052925,0.07812262385103394,0.031128086415594728,0.0874850783378869,0.08332383298956757,0.12694318271647828,0.025865301652605997,0.020828623728199065,0.012029376737027187,0.09319106697545132,0.05115296368842292,0.04475394233332838,0.000514674990747471,0.056126579042413534,0.054521936930392485,0.10375093932130967,0.05056788379670944,0.01248408893919938,0.02577968629353974
"CA-SD010, USA",0.0022728046733779404,0.00033896016145243136,0.05280062672138776,0.01392997231483243,0.0407446645737965,0.06381031696053764,0.11114932207867992,0.031489590203989004,0.014068128973594406,0.054589626673680995,0.17131831706946293,0.032767083355653426,0.03775296856724172,0.002030542789834359,0.20143977203928357,0.023699645217930974,0.08172463283821005,0.038702362694338015,0.0041007247473332994,0.021269937345382562
"CA-SD039, USA",0.002926943442727157,0.0002824402242557483,0.08842560026853716,0.030861275276578486,0.05593905015341269,0.09266130639665301,0.13475765101363382,0.036807678732785634,0.025577953923483117,0.019394595413761942,0.07409266370845177,0.0527467033419877,0.04770678390190791,0.0013559231022953085,0.10921650424180553,0.05706242081610567,0.10345598009736764,0.03960254268898448,0.007505729326506171,0.01962025392875912
"CA-SD024, USA",0.002576094900882792,0.00046293490186900073,0.05083023066772478,0.05209568581690806,0.03142603364321048,0.09246529260540605,0.11276068031741741,0.05209552795863218,0.038329238098731296,0.08678495221540035,0.07251548850768862,0.04125788588696962,0.029677814246108176,0.0023277412202848545,0.16534931608978304,0.024757315058107965,0.07805806639153237,0.03598205042371216,0.003163470321253319,0.027084180728377573
"CA-SD025, USA",0.002365907042952972,0.0006339532320404248,0.06716873289795135,0.03179826255281808,0.04655580428139237,0.10735030928619232,0.15412554955873717,0.048414598251421456,0.024848547159494385,0.03662831412594615,0.06821923017112744,0.05205842244168938,0.033851426541070775,0.0015937024428558913,0.10121386570130007,0.04791916718343889,0.08985921348287582,0.043213830383922465,0.010161450464650638,0.03201971279812201
"CA-SD033, USA",0.004312040168443353,0.0009965607042810574,0.07948342752847058,0.023280821735872294,0.06839884322024428,0.07614146341739604,0.1251247828081117,0.026283230179386993,0.018461785495975866,0.018813368102928562,0.11764766629759527,0.052051560990634814,0.05432937556327993,0.0010086892321222057,0.054959633024212314,0.03671754948754224,0.10982604197441957,0.08626979466411337,0.006114799453245833,0.03977856595172362
"CA-SD015, USA",0.007108052004055241,0.0003853982833537602,0.07043188299863026,0.01818004772378417,0.06995252803741864,0.08204915752354781,0.12312174993157794,0.028498136988502294,0.018353283240327107,0.034961334480085766,0.1497850810323972,0.04338940424860462,0.0510206191539231,0.0026170699531020817,0.1280377012674372,0.029091126798628093,0.090963308596875,0.02944905086893303,0.0040361208087813134,0.018568946060035195
"CA-SD021, USA",0.07537514555823858,0.002235793782241414,0.08119715003199293,0.02157906518837278,0.0686744404871015,0.09592218233800458,0.11859369208276031,0.02962049395307925,0.018454264509488772,0.017321337946089744,0.08398923600896623,0.05152294977914197,0.049299566561658854,0.0011522700560307973,0.06800466071261246,0.054561387698654554,0.09824229575994799,0.0328114520565482,0.006015881795154148,0.025426733693914846
"CA-SD005, USA",0.03535429886446975,0.0007968900659452944,0.06166225298933115,0.017638946664459552,0.07619617240893503,0.07856709708046193,0.11842188577896443,0.03415149071144887,0.01858386140754664,0.02005248649762016,0.09830335655036979,0.041875575942464514,0.045045630450337874,0.0013730349612686246,0.09377375012043729,0.04728220016723,0.11105815306269727,0.06455385510691596,0.00808254964366754,0.027226511525428144
"CA-SD011, USA",0.001584145437597652,8.585697908340098e-05,0.07413736152789738,0.024669507773694466,0.03403103929116216,0.07211760091925297,0.12322841958525736,0.05905865243500499,0.023824899288739074,0.056381570872680156,0.05141118914398155,0.04169136667913693,0.03628217717680882,0.0019580390286212074,0.20563655115107984,0.034331141442782466,0.0894869897246913,0.04700151088456662,0.005687751599553,0.017394229058408445
"CA-SD037, USA",0.004472388580200839,0.0006668500459341758,0.06622490556018058,0.02555161075958349,0.04857037106351533,0.09871558072392382,0.11627138392083367,0.06918060288699035,0.03412445654125995,0.024117471873223363,0.1103252427202703,0.044179184031329616,0.03740606226364105,0.0019257040894896627,0.1312122716616536,0.02897606681371244,0.09164284896040226,0.02807875343095769,0.004729205092585543,0.0336290389803123
"CA-SD013, USA",0.004096208734923056,0.0006354166390239568,0.04869098384897197,0.01998124059543025,0.045644489555349055,0.09830111959757129,0.10328889729285433,0.04460404705695048,0.02334655356002471,0.06553785839178966,0.10909492257911586,0.039712197489511845,0.034768278266932004,0.00206412406179727,0.20278965424603976,0.024427778964331202,0.07638031298375877,0.03552928385015356,0.003818794925000346,0.017287837360470657
"CA-SD022, USA",0.006430631402053384,0.0009148335606126414,0.07758782574548674,0.018568919734740473,0.07466884623037802,0.08270125053196804,0.1281228488101572,0.03543865078475814,0.015884135882625917,0.013880404434742373,0.11118559313565841,0.05139184232673359,0.055288328915686386,0.00048001083176771195,0.04514478677842272,0.040719341627787425,0.11753199597767212,0.07297414035019371,0.010037750843799003,0.041047862094756006
"CA-SD014, USA",0.13548661675830947,0.0007450567375944881,0.06720691732632306,0.01108799380469755,0.07144594892072953,0.08909683880170453,0.12688815435086231,0.02177332627616009,0.01203882094689954,0.009441486126577466,0.0848499487270933,0.04057227571261361,0.0481274957147068,0.00041798906752883936,0.02957677408870008,0.05114203886734645,0.10498571539281931,0.055849001719776914,0.006358272954077716,0.03290932770547899
"CA-SD017, USA",0.08875689725142344,0.001041961017780751,0.08605571833647853,0.0262318277808279,0.07346684266070631,0.10306243939814902,0.11270524422121901,0.021254039034215987,0.020221155900663514,0.016649405185727585,0.07217828565020264,0.04427049723634441,0.04250345909956996,0.0006905123667781969,0.07101588962951634,0.05017211981612002,0.10264802992988183,0.03116479338420554,0.011290461993165636,0.02462042010702337
"CA-SD002, USA",0.030723285034708156,0.0009503436539873222,0.06550931527141386,0.029886341545713634,0.07985481222187339,0.0810837592591852,0.1377287139257888,0.03581305499347371,0.02389631886802561,0.022558357386497266,0.07542983985680098,0.05773107539414293,0.04176598748933085,0.0009207115578719027,0.09265400325286807,0.05153209242245131,0.11349515620601472,0.027090022354428034,0.0095647401702946,0.02181206913512971
"CA-SD027, USA",0.0037377923493353083,0.0004958170540642052,0.061983592010023146,0.04367773698533693,0.05027586535181839,0.08635352446704529,0.1265794295429005,0.06309846859169166,0.027752840903567652,0.07736488646615065,0.0730682061253001,0.04847314763611875,0.03651755292523481,0.0017982481859206585,0.1158961706537011,0.028660201805073556,0.09232697650889576,0.03198055414597882,0.0045796276406916,0.02537936065115089
"CA-SD009, USA",0.0034678789563805257,0.0009467098701246245,0.06212359033433697,0.019520636968100837,0.06947516584858277,0.0813714763572749,0.14186550274402465,0.05665032135643484,0.02336435650769489,0.025494183170671557,0.07506697480321557,0.04757938814074713,0.04778875134202218,0.002028042723889107,0.12710001726176728,0.04106609791386276,0.09871237632438841,0.04355924367193128,0.010318285700039585,0.02250100000451023
"CA-SD030, USA",0.0040384093568888784,0.0002309657789741669,0.07088046935527383,0.023248915578120626,0.05756750973856675,0.0873821325678612,0.13840475806894367,0.03955899581535327,0.02014832158333024,0.016344180397140775,0.11075759691673673,0.046109331189625284,0.043557656120166495,0.0008517280393701403,0.057147085357220816,0.04382013496117393,0.10815930085207315,0.0716502465879962,0.009457698673141259,0.050684563062042665
"CA-SD036, USA",0.003611063500605666,0.0012809146217917335,0.06911038310910071,0.02938898423904467,0.05575598003290474,0.08334342875750923,0.12599027274215555,0.05635414658772837,0.02929948006264736,0.018047742217726346,0.12006860834011647,0.05517395326707497,0.03605560035134631,0.0019055417379364463,0.09689735221722734,0.03550461640393003,0.10425242820929369,0.03690267979875329,0.006571143826699064,0.03448567997640806
"CA-SD028, USA",0.0030518214873742388,0.00012251879949908907,0.079070262827825,0.035173480801602194,0.05545684492176237,0.09324858923207897,0.11463324421509603,0.031087592765249646,0.024641701520671196,0.052990390290751456,0.07108886632881442,0.061923303051404234,0.05787967878549496,0.001304945526705104,0.11101834880011342,0.030360678103747388,0.09352588007350765,0.0524992450204547,0.00380054253008912,0.02712206491775858
"CA-SD038, USA",0.006793857296778602,0.0004388058688291099,0.07303694174042816,0.027782149974302187,0.05662001659079316,0.08425406754358994,0.11179787911186043,0.050886118856731326,0.03340563950391235,0.024037409018414554,0.11078511409549346,0.047051659409007546,0.0442256864510078,0.0020553215246395715,0.1351798636999891,0.03432581051943896,0.09692356297685069,0.02847705450676718,0.005283117106023006,0.026639924205142912
"CA-SD018, USA",0.028236647242635617,0.00046765012336851447,0.09109697145928762,0.02584751202500856,0.077546378955531,0.07285517621673526,0.13643315492126806,0.02639172214695615,0.021510901266512283,0.012449643855525664,0.06917902424316888,0.05306052689347787,0.05806635960547517,0.0007094475127598763,0.05091773569477523,0.07042594461542412,0.12127751840263289,0.04998569138757286,0.010266966518192163,0.02327502691369224
"CA-SD006, USA",0.006609606300749602,0.0004966043015018155,0.06553639590411364,0.021454051108315865,0.07424041256234404,0.08029791948057657,0.1419048129871711,0.05805250452108365,0.021933191531172833,0.017018522691940575,0.060261387296608085,0.044090738933998785,0.04523502126736896,0.001989131437660125,0.08331354809048841,0.08824214954264936,0.11272526564151064,0.04076019541144256,0.012606641555908907,0.023231899433394338
"TX-SD030, USA",0.008594243073347376,0.01334029622294306,0.0691782427563267,0.02121822727077355,0.06499353075065717,0.0991185553167991,0.11601872705693464,0.07535960687892888,0.01947345287708853,0.022479892726119863,0.0878212064479963,0.04659122293635774,0.03477225318584563,0.0024339111795039937,0.08939137728781815,0.0322029017480558,0.11407027343217901,0.04674407096639091,0.007225069297310478,0.02897293858862286
"TX-SD009, USA",0.0015571118169100825,0.007446816140021574,0.0730220389076446,0.015690246905314488,0.07795739520294222,0.08288773775993019,0.10470801863479391,0.06226541296073994,0.01965486585826963,0.01639336360280677,0.09966407426847615,0.04928644812945156,0.04554983420964373,0.0020042202143693696,0.0673343575565848,0.030936945378485518,0.11775984348024213,0.0881473519489171,0.006294665041287568,0.03143925198316861
"CA-SD016, USA",0.18755607796925292,0.010529035437428962,0.0732443770188251,0.012975852215202926,0.05786155351029386,0.07975842906503003,0.11063202081454873,0.015183756851330436,0.009814297728108658,0.01052655639109207,0.06895511550514216,0.03953315321784988,0.04265677788835844,0.0007461488397493474,0.024177131180375854,0.05309959262168906,0.1107654828878425,0.05539291464970206,0.005815549330223836,0.030776176877953032
"TX-SD016, USA",0.0017574833740611727,0.0034376430418614446,0.08243111353662881,0.01324323373679527,0.12990484187604615,0.06096243215541173,0.10001694802269702,0.05732165138555866,0.029168210309783206,0.018361659256002104,0.0819316068904823,0.04852389583411177,0.06601127271070041,0.002254865660362454,0.08037936221951464,0.01788958959064831,0.10388245266136657,0.06792481034307439,0.0049894748746006365,0.029607452520292964
"TX-SD023, USA",0.0016961125907394693,0.00445222985757977,0.06830083946452248,0.015802685249300275,0.09188877668285556,0.08195210055332904,0.11825948029246218,0.059159309531832446,0.021137684335003865,0.01893439554827641,0.08404952856259383,0.046974181903962714,0.05165799760299742,0.001566231236765085,0.06957869690746289,0.036833153884161654,0.11089501667544827,0.08010580047298704,0.00641803437991326,0.030337744267806485
"TX-SD008, USA",0.0033747822353758,0.004974437870441038,0.062264376281514155,0.018178822769109208,0.06447577448747215,0.08573295787126901,0.1049713098425116,0.08953747375410268,0.024750890281770153,0.03402210770709393,0.0881974473130435,0.04694397427012184,0.04153504967976798,0.0030643855976776554,0.1242762750353502,0.027174479689060158,0.10916800902384528,0.033795379967535434,0.00632667509187428,0.027235391231064082
"TX-SD003, USA",0.017079204374196817,0.021125215154160465,0.07094408659831374,0.01036155274340827,0.10735273586366766,0.09289361398611683,0.13141577696762818,0.024524286635749726,0.015043356644386241,0.008119793684762833,0.11915696870190048,0.05060019560432679,0.039319612222929866,0.0009908530721341726,0.037164735456281184,0.054309552382740066,0.11732218713422156,0.04873669991596578,0.011432807032743205,0.022106765824366298
"TX-SD024, USA",0.009036347145359468,0.011047675036453505,0.07318883011736521,0.0161017204538506,0.0844117174931817,0.09579484930437404,0.13025347990208916,0.04012048201182368,0.0215706195286502,0.016128596545711978,0.06978005502524681,0.05118108771921735,0.043762434475374576,0.0008109785015744896,0.07948578321284624,0.0708465504643446,0.11718712561097251,0.03899725149421404,0.009210871204647387,0.021083544752702306
"TX-SD012, USA",0.0025085943160136895,0.009131369271452219,0.06431101258964653,0.01768223207295159,0.054839132927874824,0.07921079680394903,0.10571895326099738,0.0869006792095691,0.02975269589717962,0.02507381021164841,0.08163960301911921,0.04691079385384569,0.0400650450758979,0.002707891901095989,0.12401353486404683,0.02443829558539865,0.10447004995002876,0.06061882805621479,0.005176474881561157,0.034830206251508664
"TX-SD022, USA",0.01170882928514834,0.009852752896864176,0.06857984277185056,0.01367245609147493,0.08167653547219283,0.09845238375509792,0.12301393495138317,0.04640656695418193,0.018140408916741395,0.01390821999467965,0.10630768937544004,0.04775796702112097,0.040440574541807696,0.0012639023431082817,0.051276058508993284,0.038156135718104285,0.1186653824102036,0.06846497431049947,0.012260455719202064,0.029994928961905577
"TX-SD006, USA",0.0020174680781060443,0.013258969573126793,0.08736579973246024,0.009841788720987949,0.1795793277555455,0.06877636378699244,0.08650952839924829,0.022896887797279535,0.016052470591742817,0.00802177821537292,0.10077645105223017,0.06144262622591999,0.06175793788973487,0.0010608824582227548,0.03919213066234868,0.02313380110584666,0.11278646719910194,0.06986480733036628,0.007720239770226252,0.027944273655139847
"CA-SD007, USA",0.004042361922685593,0.0005952001625458173,0.06729347919462311,0.027561053311876315,0.059013508175822134,0.1169170119896826,0.12797429206445413,0.0374312579474232,0.02026534158279869,0.03547998257073958,0.05845497812823892,0.055720771432721306,0.046460217547570085,0.0010410958775377687,0.13937455197046197,0.04066567469848285,0.08249995118203436,0.05352389613968043,0.0066391684309828345,0.019046205669638324
