longname,Citizen by Birth %,Citizen by Naturalization %,Non-citizen %,Born outside US %,Born in us outside state %,Born in state of residence %,Only English at Home %,Spanish at Home %,Other at Home %
"CA-SD003, USA",0.8079701153229529,0.10666596216411985,0.08536392251292725,0.1920298846770471,0.20016153920739949,0.6078085761155534,0.6979619152203065,0.18868266775109196,0.11335541702860154
"CA-SD023, USA",0.816818564521659,0.10401199027329569,0.07916944520504542,0.1831814354783411,0.14489246644309892,0.67192609807856,0.6394052266538295,0.29862913681477815,0.06196563653139235
"CA-SD004, USA",0.8489079263050344,0.07550345292077346,0.07558862077419212,0.1510920736949656,0.16731497241086776,0.6815929538941666,0.7040658721802466,0.22736810193744933,0.06856602588230412
"CA-SD010, USA",0.5314762429848177,0.24136354532838833,0.22716021168679407,0.4685237570151824,0.116271912410695,0.41520433057412265,0.3845015907299046,0.14579603884761472,0.4697023704224807
"CA-SD039, USA",0.7903725393518646,0.12134526161021991,0.08828219903791551,0.2096274606481354,0.27924771118010017,0.5111248281717644,0.6526812074998566,0.20226400493380897,0.14505478756633453
"CA-SD024, USA",0.7507675330881791,0.1526925125709477,0.09653995434087319,0.2492324669118209,0.2969901121707036,0.4537774209174754,0.6833932698206688,0.10364532673948385,0.21296140343984732
"CA-SD025, USA",0.6095860423554321,0.2528553372878953,0.13755862035667266,0.39041395764456793,0.13839766680772175,0.4711883755477103,0.4535759550586138,0.17671875674778906,0.36970528819359716
"CA-SD033, USA",0.6780237963635467,0.1429471606504583,0.17902904298599495,0.32197620363645324,0.10062453028318324,0.5773992660803634,0.3680536477095077,0.5583999648772284,0.07354638741326398
"CA-SD015, USA",0.6408868903110406,0.20859625050871897,0.15051685918024046,0.35911310968895943,0.13372416214726074,0.5071627281637798,0.46686398955833874,0.241970303590496,0.2911657068511652
"CA-SD021, USA",0.7771698520794715,0.09677251873562874,0.1260576291848997,0.22283014792052844,0.17771613550879337,0.5994537165706781,0.58016912525006,0.3567908778360312,0.06303999691390877
"CA-SD005, USA",0.7518407346550589,0.12814245414335443,0.1200168112015868,0.2481592653449412,0.13435397270989696,0.6174867619451618,0.6003679921083933,0.21744133144484923,0.18219067644675735
"CA-SD011, USA",0.640223203080324,0.23164040123481644,0.1281363956848595,0.359776796919676,0.23411344175582366,0.4061097613245004,0.5486386450699462,0.11505743189373566,0.3363039230363182
"CA-SD037, USA",0.7173892619583836,0.16161735765829247,0.12099338038332384,0.2826107380416163,0.19789076531744804,0.5194984966409356,0.6084525118511664,0.15311296529906357,0.23843452284976993
"CA-SD013, USA",0.656090437885742,0.18929421763177992,0.15461534448247807,0.343909562114258,0.20071503328674772,0.4553754045989942,0.5749968654888394,0.13746746555422976,0.28753566895693083
"CA-SD022, USA",0.6763771320626967,0.17852481147938906,0.1450980564579143,0.3236228679373033,0.08270371698643714,0.5936734150762595,0.40764561003348226,0.44914354331299317,0.14321084665352463
"CA-SD014, USA",0.757907464953629,0.0951037467277783,0.14698878831859274,0.24209253504637104,0.08994810241531317,0.6679593625383158,0.45800550129483614,0.46061689138237505,0.08137760732278873
