longname,PW Density (r=250m),PW Density (r=500m),PW Density (r=2km),PW Density (r=4km)
"CA-SD003, USA",3122.674444139772,2255.2090074170924,1483.2888558094048,1015.1357890059644
"CA-SD023, USA",3118.5439285886255,2056.1324573808324,1336.3120545086526,999.0112152905384
"CA-SD004, USA",2128.3241681125146,1580.9138561938846,959.0215069964894,690.3301108677479
"CA-SD010, USA",5060.718736331074,4065.3330874161866,2991.424060665089,2493.587209441443
"CA-SD039, USA",5369.942590243939,4061.618002276788,2968.10686188928,2490.6744498471094
"CA-SD024, USA",6597.956620608018,4844.8454455334195,3285.3455713231,2786.8316746064716
"CA-SD025, USA",4504.795112670235,3942.3412114833523,3161.374726060288,2656.6688132687227
"CA-SD033, USA",7074.091010245382,6230.67251679456,4981.28710026026,4231.435856594724
"CA-SD015, USA",4612.452205523411,3830.809140842367,3090.115826510853,2725.516416813559
"CA-SD021, USA",3847.4106853703206,3015.405395604234,1824.6393971281202,1183.2594120528531
"CA-SD005, USA",3313.8275258989065,2549.169435411943,1699.1767856291317,1274.0966428035886
"CA-SD011, USA",12282.174004094437,10943.585281835665,8008.577944871066,6060.011125693619
"CA-SD037, USA",4790.209997189584,3410.3697098850844,2446.8450079828226,2107.503081272211
"CA-SD013, USA",4028.641505936688,3282.2501086919333,2384.9949325122843,1889.007244417484
"CA-SD022, USA",4254.693091049755,3552.423596628634,2719.7600559355956,2356.696325858272
"CA-SD014, USA",3087.238430393956,2286.4211456917874,1467.4772743720098,1102.0835096206345
"CA-SD017, USA",3577.1316868131644,2461.6341045369254,1355.16719954144,809.3223810200792
"CA-SD002, USA",2435.2384948630875,1581.5186707052758,933.8354262295915,668.5149653145658
"CA-SD027, USA",4288.198033572112,3310.0380009327605,2490.5498928452985,2182.408198852405
"CA-SD009, USA",3699.9176225374536,2687.922528425004,1955.3312549068642,1559.3244088577892
"CA-SD030, USA",4424.782797706801,3655.9150854057375,2869.0173800717503,2610.421502738638
"CA-SD036, USA",4139.4681722170735,3387.516194661243,2722.0915650558063,2573.8885847502715
"CA-SD028, USA",7916.084372560238,7070.041204955002,5846.8223248412105,5634.210881683062
"CA-SD038, USA",4010.4410610908717,2480.4093806811,1636.42132034968,1349.777477680942
"CA-SD018, USA",4597.644659431919,3200.0207799624513,2178.846179325126,1674.7778618999128
