longname,Within 10km of Hospital %,Mean distance to nearest Hospital
"California, USA",0.9192960516992894,4.48328881035956
"Texas, USA",0.8263760374455916,6.3843933008241
"Florida, USA",0.8757744619796741,5.625582666305423
"New York, USA",0.8671237352398237,4.565040298804768
"Pennsylvania, USA",0.810884306760291,5.9526743708619785
"Illinois, USA",0.8561306206690902,5.396930764491706
"Ohio, USA",0.794916650118145,6.270983771465685
"Georgia, USA",0.7361684251013261,7.418884217266613
"North Carolina, USA",0.6542262707830242,8.856705043713212
"Michigan, USA",0.7289871009425433,7.782045456010639
"New Jersey, USA",0.9324138988334237,4.157477532817079
"Virginia, USA",0.781815590757814,7.463253833052034
"Washington, USA",0.8073093625133952,6.634664067026083
"Arizona, USA",0.8348562302017115,6.829453634785921
"Massachusetts, USA",0.9193077057597226,4.2284011673897846
"Tennessee, USA",0.7164606401852857,7.67583838568805
"Indiana, USA",0.7931132256767638,6.485315497198765
"Maryland, USA",0.8142083517747286,6.206264240725588
"Missouri, USA",0.7307609634632191,8.216296183809444
"Wisconsin, USA",0.7439941574359913,7.336775640958135
"Colorado, USA",0.8439628287788414,6.508844085497262
"Minnesota, USA",0.7184209959078784,8.025340554504956
"South Carolina, USA",0.6574712832313295,8.995130641618697
"Alabama, USA",0.6289556158947937,9.205217577422754
"Louisiana, USA",0.8170479098894229,5.884735755023774
"Kentucky, USA",0.6688241261434686,8.391192508147679
"Oregon, USA",0.8133626294784987,7.041233182632804
"Oklahoma, USA",0.7474933455171175,7.112467747829454
"Connecticut, USA",0.812835046242587,6.080241196863812
"Puerto Rico, USA",0.7871030511438288,5.982002758427191
"Utah, USA",0.8595366937929145,5.782214770385777
"Iowa, USA",0.6863306407503332,7.8750312957369095
"Nevada, USA",0.9351996737758703,4.8926668125746335
"Arkansas, USA",0.6624727545136855,9.115854518461164
"Mississippi, USA",0.6420280257083004,8.684674363493874
"Kansas, USA",0.8070036897354556,6.243694388102009
"New Mexico, USA",0.7355380487192105,10.070590361655976
"Nebraska, USA",0.8177520922720525,6.291040507339889
"Idaho, USA",0.774843320613385,7.612631714242422
"West Virginia, USA",0.6235156115847525,9.240593261142179
"Hawaii, USA",0.7786042102888211,6.576129136411838
"New Hampshire, USA",0.7170737055017944,7.476810979142839
"Maine, USA",0.5697942284116019,9.995910606313965
"Rhode Island, USA",0.8994692356282079,4.635836221184592
"Montana, USA",0.6803864511517443,10.86211640239749
"Delaware, USA",0.7636322490306338,7.301780915503411
"South Dakota, USA",0.6934362054751108,9.059507546259958
"North Dakota, USA",0.7418263868477762,8.95516696601231
"Alaska, USA",0.6348909921376533,30.908082278079966
"District of Columbia, USA",1.0,1.7705686727253025
"Vermont, USA",0.5128054801763484,11.109175223989931
"Wyoming, USA",0.7530575486564122,10.527458278949137
