longname,No internet access %,Uninsured %,Public Insurance %,Private Insurance %,Never Married %,Married (not divorced) %,Divorced %
"California, USA",0.07382583932319929,0.09689068470763348,0.22231253672142443,0.6807967785709421,0.3739241068015852,0.5345271938410529,0.09154869935736185
"Texas, USA",0.10476890388410155,0.22910652237815118,0.09853234662651995,0.6723611309953289,0.33102670243287535,0.5653373902785186,0.1036359072886061
"Florida, USA",0.09478297104820366,0.17860003598061439,0.13708694265818513,0.6843130213612004,0.3146161716629729,0.5564805423868172,0.1289032859502098
"New York, USA",0.10526782251041657,0.07057796832790289,0.2426271252845792,0.686794906387518,0.3840683280481372,0.5259473269809124,0.08998434497095044
"Pennsylvania, USA",0.1164784337997622,0.07085556886114484,0.18872524058410248,0.7404191905547527,0.3397109231579537,0.5623569717075433,0.09793210513450307
"Illinois, USA",0.1023744261595605,0.09610921394471465,0.16519298187867615,0.7386978041766091,0.3561625115474712,0.5461179752307879,0.09771951322174113
"Ohio, USA",0.11102391275908942,0.08247983916023417,0.2041670882215641,0.7133530726182017,0.32993030749067687,0.5500730412971341,0.11999665121218907
"Georgia, USA",0.11039503337935475,0.1762363506863644,0.12322972206960368,0.7005339272440319,0.3490134644055187,0.53875290918433,0.11223362641015125
"North Carolina, USA",0.1186310561384607,0.14966259636620002,0.1446605384297891,0.7056768652040109,0.32376738851011583,0.5678050490128527,0.1084275624770314
"Michigan, USA",0.10742738009815457,0.07081963903209872,0.22397375314488963,0.7052066078230117,0.33687434927487453,0.5459236619688494,0.117201988756276
"New Jersey, USA",0.08518994748338463,0.10144603916519455,0.1517019516612887,0.7468520091735167,0.342763392052714,0.5701060590928333,0.08713054885445258
"Virginia, USA",0.09846678441672198,0.10727633036753782,0.12274964223019368,0.7699740274022685,0.3259335070329197,0.572893301745548,0.10117319122153244
"Washington, USA",0.0633316263408272,0.08741559432140514,0.17962518231836846,0.7329592233602263,0.3167942682034053,0.5679521704914279,0.11525356130516701
"Arizona, USA",0.093383520454382,0.13958147621863498,0.19427838913642467,0.6661401346449404,0.33182366440416455,0.5477212874456628,0.12045504815017265
"Massachusetts, USA",0.08115932387157916,0.03577559000615318,0.21575418759080928,0.7484702224030376,0.3702285633840778,0.5355390944869748,0.09423234212894742
"Tennessee, USA",0.1336276457983553,0.1377870846914867,0.17231637441476444,0.6898965408937489,0.30721368372643826,0.5706632314002071,0.12212308487335455
"Indiana, USA",0.11980491093370427,0.10039077812593095,0.17167159850314143,0.7279376233709276,0.3171992861462047,0.5589893054343812,0.12381140841941411
"Maryland, USA",0.07850866889004486,0.07737275259196563,0.16718004017550228,0.7554472072325321,0.3544342938621646,0.5468354818913248,0.09873022424651064
"Missouri, USA",0.11752186409143867,0.12922359178877238,0.13097571586082168,0.7398006923504059,0.30729954824722994,0.5701976154997203,0.12250283625304986
"Wisconsin, USA",0.10568344535875572,0.07161327395529728,0.15535437315652603,0.7730323528881767,0.3277417807270859,0.562182917842882,0.11007530143003216
"Colorado, USA",0.06627230674074493,0.10327528637951332,0.16067789150434997,0.7360468221161367,0.32340919515036387,0.5598382486176597,0.11675255623197638
"Minnesota, USA",0.08475894860500978,0.05993903563120137,0.16608275318751675,0.773978211181282,0.3262793050925964,0.5703402740802042,0.1033804208271995
"South Carolina, USA",0.13304476948576874,0.1487221249505086,0.15911535040863792,0.6921625246408535,0.32582383103165374,0.568132179168265,0.10604398980008127
"Alabama, USA",0.14839714152729983,0.14004303277110244,0.16560132045859174,0.6943556467703058,0.3139198306081687,0.5621455471748448,0.12393462221698653
"Louisiana, USA",0.15915583481621318,0.11354790880259835,0.2695869251209292,0.6168651660764723,0.3603383265644548,0.5218318294696606,0.11782984396588471
"Kentucky, USA",0.13378726373100516,0.07536284084365975,0.27571742711744995,0.6489197320388902,0.2952438688883845,0.5738493893767181,0.13090674173489739
"Oregon, USA",0.07521217737058936,0.09111556394102518,0.21217621608635318,0.6967082199726216,0.3166982750419889,0.5553649317630068,0.12793679319500445
"Oklahoma, USA",0.13330765985386867,0.19838586181357806,0.1318597449777951,0.6697543932086268,0.296357387529587,0.5738806686129235,0.1297619438574895
"Connecticut, USA",0.08699546404239783,0.0700562818144422,0.19790952562242553,0.7320341925631323,0.3518592160782253,0.5426114964812266,0.10552928744054806
"Puerto Rico, USA",0.288558501346427,0.09523929486467542,0.4922661863913004,0.4124945187440243,0.4178541672814579,0.44578160295662794,0.13636422976191417
"Utah, USA",0.0533535980713026,0.11071045357802815,0.08620859790407001,0.8030809485179018,0.30842096012393444,0.602120619426885,0.08945842044918055
"Iowa, USA",0.11423371709069648,0.0657118181986022,0.1736753734022323,0.7606128083991655,0.30896491646740815,0.5822914180809731,0.10874366545161879
"Nevada, USA",0.09583632165065455,0.14694674729658258,0.1706365642649742,0.6824166884384433,0.3368333244047847,0.527546720812608,0.1356199547826073
"Arkansas, USA",0.16231647470603006,0.11820194848005401,0.24780144569100018,0.6339966058289458,0.28836850392250196,0.5791829186513148,0.13244857742618335
"Mississippi, USA",0.18555108976345935,0.17032412601649694,0.1878092775788307,0.6418665964046724,0.3423336307709603,0.5411691210145382,0.11649724821450164
"Kansas, USA",0.10507853559326792,0.12220435450562776,0.10734344157294663,0.7704522039214257,0.30056980604884187,0.5849591374744169,0.11447105647674129
"New Mexico, USA",0.16207202643945054,0.1313482885762415,0.3152483007488093,0.5534034106749492,0.35701078402115843,0.5096166786619154,0.13337253731692617
"Nebraska, USA",0.09859131053889576,0.1071141740087353,0.10345139880932039,0.7894344271819443,0.31231989823159295,0.5838089722192417,0.10387112954916544
"Idaho, USA",0.08820714015044871,0.1422449059466189,0.14147797904043746,0.7162771150129437,0.27684850159010516,0.6023348979772635,0.12081660043263137
"West Virginia, USA",0.15998948571493593,0.09044818109670413,0.28790606781922573,0.6216457510840702,0.285217210322234,0.5781928186293456,0.1365899710484206
"Hawaii, USA",0.08660270830836284,0.05501827331576457,0.16371821936068584,0.7812635073235497,0.3386160386557453,0.5682136963884357,0.09317026495581904
"New Hampshire, USA",0.0724879290299418,0.08067976563367532,0.13539574295755327,0.7839244914087715,0.3009344862469068,0.5782741627204816,0.12079135103261147
"Maine, USA",0.10438908092582876,0.10048750076998003,0.19440439069656412,0.7051081085334558,0.28594285605437336,0.5738688373075432,0.14018830663808332
"Rhode Island, USA",0.09594577500572933,0.05655295283498507,0.22116147928457217,0.7222855678804428,0.3756327878409662,0.514273144237448,0.1100940679215858
"Montana, USA",0.11641056540834538,0.11381871529191277,0.19789696834699255,0.6882843163610947,0.2932075228692378,0.5804860468558116,0.12630643027495053
"Delaware, USA",0.08185208932777065,0.07806673085802518,0.1978874512012974,0.7240458179406775,0.33618819430794644,0.5541319365339967,0.1096798691580568
"South Dakota, USA",0.1158630223350753,0.1309505280278917,0.103010187008257,0.7660392849638513,0.313562853628184,0.5780176629714864,0.10841948340032966
"North Dakota, USA",0.10727373064347098,0.09201780968269963,0.10732238249026496,0.8006598078270355,0.33010466400309457,0.5740029577210704,0.09589237827583492
"Alaska, USA",0.09322655888996881,0.15779918406142726,0.19346427147265968,0.648736544465913,0.33316963762103685,0.5537987700507733,0.11303159232818995
"District of Columbia, USA",0.09959835349501465,0.03995757462657984,0.21076857467618118,0.749273850697239,0.5575987550459578,0.36051103570275994,0.08189020925128236
"Vermont, USA",0.09949210505439153,0.05723006248276418,0.23621569644359167,0.7065542410736442,0.33065347039375204,0.5436733840819767,0.1256731455242712
"Wyoming, USA",0.09385093625489371,0.15392001774529662,0.10073374466619579,0.7453462375885076,0.2744226875767831,0.6014032354883893,0.12417407693482765
