longname,High School %,Undergrad %,Grad %,High school diploma [25-64] %,Bachelor's degree [25-64] %,Graduate degree [25-64] %,Undergrad STEM %,Undergrad Humanities %,Undergrad Business %,% of women with high school education - % of men with high school education,% of women with undergraduate education - % of men with undergraduate education,% of women with graduate education - % of men with graduate education
"Uttar Pradesh, India",,,,,,,,,,,,
"Mahārāshtra, India",,,,,,,,,,,,
"Punjab, Pakistan",,,,,,,,,,,,
"Bihār, India",,,,,,,,,,,,
"Guangdong Sheng, China",,,,,,,,,,,,
"West Bengal, India",,,,,,,,,,,,
"Shandong Sheng, China",,,,,,,,,,,,
"Henan Sheng, China",,,,,,,,,,,,
"Jiangsu Sheng, China",,,,,,,,,,,,
"Tamil Nādu, India",,,,,,,,,,,,
"Madhya Pradesh, India",,,,,,,,,,,,
"Rājasthān, India",,,,,,,,,,,,
"Hebei Sheng, China",,,,,,,,,,,,
"Sichuan Sheng, China",,,,,,,,,,,,
"Karnātaka, India",,,,,,,,,,,,
"Gujarāt, India",,,,,,,,,,,,
"Hunan Sheng, China",,,,,,,,,,,,
"Anhui Sheng, China",,,,,,,,,,,,
"Zhejiang Sheng, China",,,,,,,,,,,,
"England, United Kingdom",,,,,,,,,,,,
"Hubei Sheng, China",,,,,,,,,,,,
"Jawa Barat, Indonesia",,,,,,,,,,,,
"Andhra Pradesh, India",,,,,,,,,,,,
"Sindh, Pakistan",,,,,,,,,,,,
"Jiangxi Sheng, China",,,,,,,,,,,,
"Yunnan Sheng, China",,,,,,,,,,,,
"Guangxi Zhuangzu Zizhiqu, China",,,,,,,,,,,,
"Dhaka, Bangladesh",,,,,,,,,,,,
"Liaoning Sheng, China",,,,,,,,,,,,
"São Paulo, Brazil",,,,,,,,,,,,
"Odisha, India",,,,,,,,,,,,
"Oromīya, Ethiopia",,,,,,,,,,,,
"Kerala, India",,,,,,,,,,,,
"Heilongjiang Sheng, China",,,,,,,,,,,,
"California, USA",0.8455924482156116,0.34443242974796356,0.13104275862701492,,,,0.17285703336971392,0.10941163227402596,0.06216376410422249,0.006880162353363639,0.01033188628170717,-0.0008139658905612634
"Shanxi Sheng, China",,,,,,,,,,,,
"Jawa Timur, Indonesia",,,,,,,,,,,,
"Shaanxi Sheng, China",,,,,,,,,,,,
"Jhārkhand, India",,,,,,,,,,,,
"Telangāna, India",,,,,,,,,,,,
"Fujian Sheng, China",,,,,,,,,,,,
"Khyber Pakhtunkhwa, Pakistan",,,,,,,,,,,,
"Assam, India",,,,,,,,,,,,
"Guizhou Sheng, China",,,,,,,,,,,,
"Chattogram, Bangladesh",,,,,,,,,,,,
"Jawa Tengah, Indonesia",,,,,,,,,,,,
"Chongqing Shi, China",,,,,,,,,,,,
"Punjab, India",,,,,,,,,,,,
"Shanghai Shi, China",,,,,,,,,,,,
"Haryāna, India",,,,,,,,,,,,
"Texas, USA",0.8545818024704022,0.3020914260631323,0.10699744893511177,,,,0.13499599537881238,0.09632525638385615,0.07077017430046943,0.014446999540413508,0.014002325356594014,0.0007741794085135006
"Chhattīsgarh, India",,,,,,,,,,,,
"Jilin Sheng, China",,,,,,,,,,,,
"Nei Mongol Zizhiqu, China",,,,,,,,,,,,
"Gansu Sheng, China",,,,,,,,,,,,
"Xinjiang Uygur Zizhiqu, China",,,,,,,,,,,,
"Āmara, Ethiopia",,,,,,,,,,,,
"Taiwan, China",,,,,,,,,,,,
"Beijing Shi, China",,,,,,,,,,,,
"Florida, USA",0.8947766565194963,0.30263051522586787,0.11264619185725443,,,,0.1300889335731626,0.0986204836881667,0.07392109796453526,0.015074056214497533,0.004568000401177608,-0.0029977642997781606
"Minas Gerais, Brazil",,,,,,,,,,,,
"Delhi, India",,,,,,,,,,,,
"Rajshahi, Bangladesh",,,,,,,,,,,,
"New York, USA",0.8791435261036091,0.36652428545300836,0.16188768556101168,,,,0.16087883749345497,0.13739413200271886,0.06825131595683698,0.008697539822547729,0.026327133614060305,0.027283105734419943
"YeDebub Bihēroch Bihēreseboch na Hizboch, Ethiopia",,,,,,,,,,,,
"Rangpur, Bangladesh",,,,,,,,,,,,
"Nordrhein-Westfalen, Germany",,,,,,,,,,,,
"Buenos Aires, Argentina",,,,,,,,,,,,
"Rio de Janeiro, Brazil",,,,,,,,,,,,
"Khulna, Bangladesh",,,,,,,,,,,,
"México, Mexico",,,,,,,,,,,,
"Tianjin Shi, China",,,,,,,,,,,,
"Gauteng, South Africa",,,,,,,,,,,,
"Bahia, Brazil",,,,,,,,,,,,
"Jammu and Kashmīr, India",,,,,,,,,,,,
"İstanbul, Turkey",,,,,,,,,,,,
