longname,PW Mean % of parkland within 1km,Within 10km of Hospital %,Mean distance to nearest Hospital,Within 2km of Public School %,Mean distance to nearest Public School,Within 30km of Airport %,Mean distance to nearest Airport,Within 10km of Active Superfund Site %,Mean distance to nearest Active Superfund Site,Within 0.5mi of a grocery store %,Within 1mi of a grocery store %,Within 10mi of a grocery store %,Within 20mi of a grocery store %
"New York-Jersey City-Newark [Urban Area], NY-NJ, USA",0.04698381350407853,0.9811329389123046,2.733796803749526,0.974045694094685,0.5587785896360742,0.872269244883612,16.84788575887112,0.8370558613156733,6.652576861924117,0.6857451946022096,0.886790634669719,1.0,1.0
"Los Angeles-Long Beach-Anaheim [Urban Area], CA, USA",0.020408311430177534,0.9980981216888326,2.4956601369989295,0.9940213490212281,0.5564188300899965,0.9681122815871638,14.324241461607773,0.5602049001354539,10.082924461312132,0.6345940171353157,0.9449116603505286,0.9999867492744743,0.9999982957568709
"Chicago [Urban Area], IL-IN, USA",0.041663196176032695,0.9738367567500248,3.600321979111864,0.9662107261905504,0.6893588777736632,0.7255159456930588,22.01896292214239,0.23326870966930996,17.9277661408057,0.47049991619011877,0.813300316044044,0.9999948708540483,1.0
"Miami-Fort Lauderdale [Urban Area], FL, USA",0.023088256943468322,0.9936938113922089,3.1727231291737596,0.9354054168787871,0.9211195812891539,0.9318541339710494,15.647301914584965,0.5868804752989788,10.074241720078964,0.4990687484890618,0.8949027141741357,0.9999793672820803,0.9999872768619827
"Houston [Urban Area], TX, USA",0.01882945554487604,0.9556433461602525,4.366527249467163,0.9661167747914736,0.8613076429264663,0.7308385046744937,23.30287545185891,0.4811066741264953,11.84754927118225,0.37012888867282523,0.7672579493183525,0.9998996591693902,1.0
"Dallas-Fort Worth-Arlington [Urban Area], TX, USA",0.03158730639158388,0.9745809487690398,3.9380334715636676,0.9685561987274338,0.7874945572561299,0.738934127236385,22.984328044577513,0.1266183142213478,21.18405427455698,0.3465459467313402,0.7475396915876558,1.0,1.0
"Philadelphia [Urban Area], PA-NJ-DE-MD, USA",0.03689244407883464,0.9787430928920977,3.3588770044057763,0.9247356755689174,0.886175660189492,0.8842128640084268,16.352236008014312,0.9272912725756545,5.547902139545241,0.4185487674201923,0.7607243322135279,0.999999308805314,1.0
"Washington-Arlington [Urban Area], DC-VA-MD, USA",0.04492395117957461,0.9656407187271909,4.238418989129606,0.9692787625472027,0.7724849771418874,0.887365382619751,16.5909673082837,0.36744976915833183,13.774171202427182,0.4476993154554405,0.8207583379867447,1.0,1.0
"Atlanta [Urban Area], GA, USA",0.012138585698770535,0.8474521924149159,5.993315954239243,0.8386178831702858,1.2964365871071837,0.40010449548623106,34.891794247476426,0.0,89.83603684553277,0.23981710732642747,0.6058964920745856,0.9999994262518169,1.0
"Boston [Urban Area], MA-NH, USA",0.02896678647184167,0.9726082260442642,3.1950351137600377,0.9221724556019854,0.8533715303467251,0.7118351422829118,21.17095914409075,0.4835371173359069,10.304401625269966,0.40879457316026935,0.7299962300325809,1.0,1.0
"Phoenix-Mesa-Scottsdale [Urban Area], AZ, USA",0.022926664094812938,0.9589021286805138,3.9845773475912787,0.9459946940796663,0.859459734356805,0.8543668468754849,18.61701127919604,0.21374021612483726,16.313115625223343,0.35486627255655634,0.7799741807570018,0.9997937274432075,0.9999999841567367
"Detroit [Urban Area], MI, USA",0.03369369748092415,0.9368750479892186,4.6685139567271685,0.958778518834279,0.8458166152413858,0.6045320356166052,27.080812516448006,0.24961463002629147,20.1973699784785,0.34451871029157133,0.7729835753643173,1.0,1.0
"Seattle-Tacoma [Urban Area], WA, USA",0.037993207338088086,0.9179525684316443,4.596181629185016,0.9743575852332287,0.7955634453548053,0.852694588137565,17.524140529200967,0.5702789861543883,12.061852742145673,0.3774670598366471,0.7606615808938696,0.9999563313557711,0.999991630826838
"San Francisco-Oakland [Urban Area], CA, USA",0.04799862821670211,0.9985801777223855,2.513550500513554,0.9958602737879249,0.5462837898470448,0.9099778067443265,16.922598420980105,0.4926183178120857,11.402177891658253,0.6611931022602404,0.9307273990176064,1.0,1.0
"San Diego [Urban Area], CA, USA",0.027080452216503518,0.990440673549816,4.1654670903948015,0.9812549262287072,0.6971929867183301,0.7143292186431294,23.12984415408895,0.028268247402533954,53.699161311902635,0.4849402279729613,0.8407940239270584,0.9999997855758719,1.0
"Minneapolis-St. Paul [Urban Area], MN, USA",0.06877136047461214,0.851490943322952,5.949025249714397,0.9358286109893217,0.8914656963391293,0.8410005811587908,19.888082181639163,0.7126526571032767,8.071277986134964,0.30285882769704675,0.6782036284875136,1.0,1.0
"Tampa-St. Petersburg [Urban Area], FL, USA",0.015100029374289892,0.9898941626887097,3.986470080726646,0.8782110961195382,1.1834849454442002,0.8160590288694577,18.9708361268101,0.42058069488635647,14.168247811329893,0.30756324288453296,0.7147608557836282,1.0,1.0
"Denver-Aurora [Urban Area], CO, USA",0.05021550857711433,0.9824566563185112,3.863283462273021,0.9819369528175487,0.7037163686404613,0.4502973962333409,31.506415352489398,0.6190595674771336,8.869674457359846,0.36085256113805086,0.8127336363174773,0.9999656574855618,1.0
"Riverside-San Bernardino [Urban Area], CA, USA",0.019488389772941872,0.9524694261833889,4.422754840816318,0.9638995512370301,0.7467738528225406,0.9393144384665018,16.0173825542929,0.6234203582988207,10.33924114658768,0.3859296202487087,0.7838933483244606,1.0,1.0
"Baltimore [Urban Area], MD, USA",0.03685475479477077,0.9468105882448674,4.254179718401679,0.9574528104851725,0.8044794626154764,0.9332235703003294,18.378962597928282,0.46774558122419235,12.04453184481606,0.3815387711181065,0.7955232799234406,1.0,1.0
"Las Vegas-Henderson-Paradise [Urban Area], NV, USA",0.018704401498928443,0.9994163768657617,3.3026887613269045,0.9797866998570077,0.7897014420122506,0.9996039374986058,13.706023681586286,0.0,213.14539247851854,0.4235754438261512,0.8084434577521931,0.9992917093357682,0.9993951485295623
