longname,PW Mean % of parkland within 1km,Within 10km of Hospital %,Mean distance to nearest Hospital,Within 2km of Public School %,Mean distance to nearest Public School,Within 30km of Airport %,Mean distance to nearest Airport,Within 10km of Active Superfund Site %,Mean distance to nearest Active Superfund Site
"New York-Jersey City-Newark [Urban Area], NY-NJ, USA",0.04698381350407953,0.9811329389123046,2.733796803749526,0.974045694094685,0.558778589636074,0.872269244883612,16.847885758871293,0.8370558613156733,6.652576861924107
"Los Angeles-Long Beach-Anaheim [Urban Area], CA, USA",0.020408311430177645,0.9980981216888326,2.4956601369989095,0.9940213490212281,0.5564188300900016,0.9681122815871638,14.32424146160784,0.5602049001354539,10.082924461312038
"Chicago [Urban Area], IL-IN, USA",0.04166319617603213,0.9738367567500248,3.6003219791118513,0.9662107261905504,0.6893588777736579,0.7255159456930588,22.0189629221424,0.23326870966930996,17.927766140805716
"Miami-Fort Lauderdale [Urban Area], FL, USA",0.023088256943468385,0.9936938113922089,3.172723129173777,0.9354054168787871,0.9211195812891542,0.9318541339710494,15.647301914584977,0.5868804752989788,10.074241720078996
"Houston [Urban Area], TX, USA",0.018829455544876052,0.9556433461602525,4.366527249467132,0.9661167747914736,0.8613076429264722,0.7308385046744937,23.302875451858966,0.4811066741264953,11.847549271182288
"Dallas-Fort Worth-Arlington [Urban Area], TX, USA",0.03158730639158385,0.9745809487690398,3.9380334715636565,0.9685561987274338,0.7874945572561296,0.738934127236385,22.984328044577623,0.1266183142213478,21.184054274556846
"Philadelphia [Urban Area], PA-NJ-DE-MD, USA",0.03689244407883441,0.9787430928920977,3.358877004405792,0.9247356755689174,0.8861756601894961,0.8842128640084268,16.352236008014547,0.9272912725756545,5.547902139545284
"Washington-Arlington [Urban Area], DC-VA-MD, USA",0.044923951179574505,0.9656407187271909,4.238418989129584,0.9692787625472027,0.7724849771418839,0.887365382619751,16.59096730828375,0.36744976915833183,13.774171202427166
"Atlanta [Urban Area], GA, USA",0.012138585698770592,0.8474521924149159,5.993315954239304,0.8386178831702858,1.2964365871071772,0.40010449548623106,34.89179424747626,0.0,89.83603684553204
"Boston [Urban Area], MA-NH, USA",0.028966786471841505,0.9726082260442642,3.195035113760045,0.9221724556019854,0.8533715303467181,0.7118351422829118,21.170959144090567,0.4835371173359069,10.30440162526994
"Phoenix-Mesa-Scottsdale [Urban Area], AZ, USA",0.022926664094813108,0.9589021286805138,3.9845773475913013,0.9459946940796663,0.8594597343568066,0.8543668468754849,18.617011279196042,0.21374021612483726,16.31311562522342
"Detroit [Urban Area], MI, USA",0.033693697480924024,0.9368750479892186,4.6685139567271765,0.958778518834279,0.8458166152413834,0.6045320356166052,27.080812516447867,0.24961463002629147,20.197369978478488
"Seattle-Tacoma [Urban Area], WA, USA",0.03799320733808824,0.9179525684316443,4.5961816291850575,0.9743575852332287,0.7955634453548075,0.852694588137565,17.52414052920083,0.5702789861543883,12.061852742145648
"San Francisco-Oakland [Urban Area], CA, USA",0.04799862821670195,0.9985801777223855,2.5135505005135497,0.9958602737879249,0.5462837898470424,0.9099778067443265,16.92259842098006,0.4926183178120857,11.402177891658207
"San Diego [Urban Area], CA, USA",0.027080452216503615,0.990440673549816,4.165467090394809,0.9812549262287072,0.6971929867183309,0.7143292186431294,23.12984415408893,0.028268247402533954,53.69916131190299
"Minneapolis-St. Paul [Urban Area], MN, USA",0.0687713604746124,0.851490943322952,5.949025249714423,0.9358286109893217,0.8914656963391332,0.8410005811587908,19.888082181639174,0.7126526571032767,8.071277986135039
"Tampa-St. Petersburg [Urban Area], FL, USA",0.015100029374289867,0.9898941626887097,3.9864700807266695,0.8782110961195382,1.183484945444205,0.8160590288694577,18.970836126810042,0.42058069488635647,14.168247811329953
"Denver-Aurora [Urban Area], CO, USA",0.05021550857711424,0.9824566563185112,3.8632834622730523,0.9819369528175487,0.7037163686404647,0.4502973962333409,31.506415352489643,0.6190595674771336,8.8696744573599
"Riverside-San Bernardino [Urban Area], CA, USA",0.019488389772941823,0.9524694261833889,4.4227548408163235,0.9638995512370301,0.7467738528225394,0.9393144384665018,16.017382554292947,0.6234203582988207,10.339241146587629
"Baltimore [Urban Area], MD, USA",0.03685475479477083,0.9468105882448674,4.254179718401644,0.9574528104851725,0.8044794626154779,0.9332235703003294,18.378962597928325,0.46774558122419235,12.044531844816037
"Las Vegas-Henderson-Paradise [Urban Area], NV, USA",0.018704401498928415,0.9994163768657617,3.3026887613269147,0.9797866998570077,0.7897014420122543,0.9996039374986058,13.706023681586348,0.0,213.14539247851653
"St. Louis [Urban Area], MO-IL, USA",0.029561331995032913,0.965475951422862,4.161585180022858,0.945952438479764,0.9345287194852511,0.8492146120966108,20.190722529437313,0.4988454883614375,10.899642381023021
"Portland [Urban Area], OR-WA, USA",0.028879748799611787,0.9812844364563325,3.9667201953932367,0.983022832968514,0.7393695854217599,0.9406226862170534,16.42947303899617,0.6217875544496393,9.427763928613919
"San Antonio [Urban Area], TX, USA",0.02881824656760688,0.9714636855023538,3.975917407012865,0.9604629723955921,0.8196122581246487,0.984246412761851,15.817954726480563,0.2794701029613753,16.292010607452777
