longname,Housing Units per Adult,Vacancy %,Renter %,Rent/Income < 20%,Rent/Income 20%-40%,Rent/Income > 40%,1BR Rent < $750 %,1BR Rent $750 - $1500 %,1BR Rent > $1500 %,2BR Rent < $750 %,2BR Rent $750 - $1500 %,2BR Rent > $1500 %,% units built pre-1970,% units built in 1970s,% units built in 1980s,% units built in 1990s,% units built in 2000s,% units built in 2010s+
"New York-Jersey City-Newark [Urban Area], NY-NJ, USA",0.4982055533920822,0.06745120431134372,0.4947599835408795,0.2571682101603492,0.3811998355256079,0.36163195431404294,0.1510277539361134,0.39544122804523646,0.45353101801865,0.11169598790164367,0.32307584497698566,0.5652281671213708,0.668005294006271,0.09396012315991042,0.07429975733205015,0.058946383781102785,0.06256979455107031,0.042218647169595246
"Los Angeles-Long Beach-Anaheim [Urban Area], CA, USA",0.44742676963533917,0.04701457797322147,0.5293638576090564,0.2004303686895018,0.399070329416548,0.4004993018939503,0.09583963629719815,0.4355454797806439,0.4686148839221579,0.035138623279492534,0.24771897534834147,0.717142401372166,0.5678256902224683,0.15978301034444645,0.11220288091449913,0.06491542729722154,0.054441067810945966,0.04083192341041875
"Chicago [Urban Area], IL-IN, USA",0.5268054396531998,0.0692158457624428,0.3599796301456302,0.2723659561387252,0.4001290871392331,0.3275049567220417,0.20001286033858956,0.5680311100534112,0.23195602960799938,0.09890814367219929,0.591482716546607,0.30960913978119375,0.5256665848445887,0.13960601794468236,0.08999780670204714,0.10340156067306637,0.10583262661668093,0.03549540321893443
"Miami-Fort Lauderdale [Urban Area], FL, USA",0.5366357402838733,0.1171280254383563,0.3999990428252434,0.15477859254241746,0.39638497170694115,0.44883643575064136,0.13029488148034557,0.585253061794228,0.28445205672542645,0.03873926049865153,0.43956002292438917,0.5217007165769593,0.2644385711238814,0.20991923945494123,0.19186239825216178,0.1454250992667749,0.12715556749544102,0.06119912440679971
"Houston [Urban Area], TX, USA",0.5149920755578831,0.07652986945036377,0.41319976092445493,0.24444955503028837,0.40956712504735016,0.3459833199223615,0.14968476499023012,0.7286037528299587,0.12171148217981125,0.0697009647986652,0.6774387329016608,0.25286030229967416,0.19470560562901465,0.16342344525415753,0.1565851219523413,0.13483007071233544,0.1981770873665862,0.1522786690855649
"Dallas-Fort Worth-Arlington [Urban Area], TX, USA",0.5206758239424409,0.06339465658961622,0.44081833028536915,0.255286310830551,0.43425973266354434,0.3104539565059046,0.08713737859490242,0.7669416507871499,0.14592097061794762,0.05910992297036723,0.6148972148672517,0.32599286216238116,0.23423953798323177,0.14877755515469449,0.18597317994356796,0.14847182670940265,0.16688515412739693,0.11565274608170616
"Philadelphia [Urban Area], PA-NJ-DE-MD, USA",0.5295682365334207,0.06715864924036803,0.34506767259763554,0.25591781731987273,0.39227061897607396,0.35181156370405336,0.1867565253353283,0.6259271694218286,0.1873163052428432,0.08267104515476803,0.5881934526507643,0.3291355021944677,0.587350823857132,0.11889214180163157,0.09478828002869391,0.08879502411270551,0.06966736753280156,0.04050636266703555
"Washington-Arlington [Urban Area], DC-VA-MD, USA",0.5088961853844699,0.054889658167234325,0.39611132851610364,0.25843652088127295,0.4299131927849052,0.3116502863338219,0.08637998069335025,0.32508045383128154,0.5885395654753682,0.047249993080907486,0.1873945877078734,0.7653554192112191,0.36845444492611473,0.13536286687333604,0.15138814100532888,0.12865824058956493,0.12750511790592145,0.08863118869973406
"Atlanta [Urban Area], GA, USA",0.5227938155928904,0.06424313705863216,0.3790074400080564,0.2382481458793189,0.4172714211091937,0.34448043301148734,0.13574916874518494,0.6491550992388381,0.21509573201597704,0.06813923925734063,0.6319592911390554,0.2999014696036041,0.16536106410355836,0.127779358813583,0.17819879096172175,0.2054379364903422,0.22571365849834216,0.0975091911324525
"Boston [Urban Area], MA-NH, USA",0.5075450087670776,0.0549383129197064,0.4085530956370191,0.2525917287404341,0.41634526191341925,0.3310630093461467,0.260722266858428,0.27186537043935716,0.4674123627022149,0.10291005358617761,0.24574481700920478,0.6513451294046175,0.6114375337381686,0.10233207431782222,0.09340296579740602,0.06882008593847912,0.06764569771899664,0.05636164248912764
"Phoenix-Mesa-Scottsdale [Urban Area], AZ, USA",0.5454258979997427,0.09560062768633165,0.36960024297536165,0.24537074340897463,0.4306859006725182,0.32394335591850704,0.15609187284517936,0.7156503337586648,0.12825779339615573,0.0694169686092462,0.6631748582754976,0.2674081731152563,0.15021778957171103,0.16869702173591286,0.1847116864878087,0.20260521701006307,0.20638256866721108,0.08738571652729332
"Detroit [Urban Area], MI, USA",0.5570335737869895,0.07558401775562103,0.32039942056654797,0.2767481931524134,0.38199226754610244,0.3412595393014842,0.41314300810860216,0.521994775064244,0.06486221682715398,0.15169174554087106,0.6995319600430528,0.14877629441607618,0.5644528511129886,0.14195786538544575,0.08789980848381769,0.10085656472895432,0.0748793098861733,0.029953600402620375
"Seattle-Tacoma [Urban Area], WA, USA",0.5244845162850803,0.04953753973043927,0.41922604196686863,0.2534716302256382,0.43834483598035356,0.3081835337940083,0.10150514099049487,0.40501645915226175,0.49347839985724334,0.04329369920561947,0.28576127617499114,0.6709450246193894,0.3331841482298783,0.1340796220082823,0.13975470542988827,0.14146972606755207,0.14105764705402443,0.1104541512103747
"San Francisco-Oakland [Urban Area], CA, USA",0.484612296583965,0.059805154216988655,0.4965047364084515,0.3020106544139056,0.3883227267435369,0.3096666188425574,0.10575179106853926,0.21505385082311781,0.6791943581083428,0.0517514460910204,0.14748017921711576,0.8007683746918638,0.6138718653325416,0.13287287447002274,0.0927300783025349,0.06137771828913454,0.058124948648215595,0.041022514957550736
