longname,Poverty %,Household Income < $50k %,Household Income $50k - $100k %,Household Income > $100k %,Individual Income < $50k %,Individual Income $50k - $100k %,Individual Income > $100k %
"New York-Jersey City-Newark [Urban Area], NY-NJ, USA",0.12520239132780273,0.3156017978950904,0.24593845521448351,0.43845974689042605,0.5709171916066889,0.24575255462107634,0.18333025377223497
"Los Angeles-Long Beach-Anaheim [Urban Area], CA, USA",0.13178773460814736,0.3226805591614723,0.27659868173340924,0.4007207591051184,0.6419265000816113,0.21632337018859546,0.14175012972979315
"Chicago [Urban Area], IL-IN, USA",0.11398100161017723,0.32581393525533203,0.280990134698031,0.393195930046637,0.594329896325979,0.2523396162920788,0.1533304873819421
"Miami-Fort Lauderdale [Urban Area], FL, USA",0.13555561126332275,0.40494780489584414,0.2936145521719621,0.3014376429321938,0.6949106497350565,0.19936869037772564,0.10572065988721807
"Houston [Urban Area], TX, USA",0.13958292669201525,0.3542594903340238,0.2897994673615863,0.35594104230438994,0.6249476629041429,0.2375143358346216,0.13753800126123547
"Dallas-Fort Worth-Arlington [Urban Area], TX, USA",0.11820424217716982,0.33381469671331454,0.31267698430440455,0.3535083189822808,0.619556033779806,0.24962675874968804,0.130817207470506
"Philadelphia [Urban Area], PA-NJ-DE-MD, USA",0.12308108801340538,0.33553975828188337,0.2773208694074574,0.3871393723106592,0.5960893232026057,0.2566904238007784,0.14722025299661595
"Washington-Arlington [Urban Area], DC-VA-MD, USA",0.08049031594053867,0.20445715131276948,0.24247643640426864,0.5530664122829618,0.47053581592363997,0.2648868509378857,0.26457733313847437
"Atlanta [Urban Area], GA, USA",0.11103466431207273,0.32427646929101184,0.30096821199933826,0.3747553187096498,0.6079233623895428,0.2458464387545787,0.14623019885587843
"Boston [Urban Area], MA-NH, USA",0.09544642265602027,0.2717702614210934,0.2362643342752956,0.4919654043036109,0.5315780073327735,0.2671271928190786,0.2012947998481479
"Phoenix-Mesa-Scottsdale [Urban Area], AZ, USA",0.12153408977925685,0.3408860279504422,0.3140232838612414,0.34509068818831645,0.634138518519161,0.241657468889444,0.12420401259139506
"Detroit [Urban Area], MI, USA",0.14370953925789337,0.3940994771491259,0.2902234380755283,0.31567708477534573,0.6485953514339214,0.23391413885003529,0.11749050971604338
"Seattle-Tacoma [Urban Area], WA, USA",0.08560209627241358,0.24189076729084802,0.2710940599519558,0.48701517275719625,0.5200779848802883,0.2665229220084126,0.21339909311129915
"San Francisco-Oakland [Urban Area], CA, USA",0.0903554099753651,0.2334813000127263,0.2091382126589895,0.5573804873282843,0.49093163441324006,0.24216261936764558,0.26690574621911445
"San Diego [Urban Area], CA, USA",0.10795771238510403,0.2814532404127621,0.27715575858477853,0.44139100100245937,0.5905253496561793,0.2431904634099849,0.16628418693383587
"Minneapolis-St. Paul [Urban Area], MN, USA",0.08781289841982365,0.27768971121770364,0.2952184581105579,0.42709183067173834,0.5595280747985084,0.2843438982196402,0.1561280269818515
"Tampa-St. Petersburg [Urban Area], FL, USA",0.1280983852718749,0.4046201642037915,0.3038076853244232,0.29157215047178514,0.6726505960538909,0.22394892594838245,0.10340047799772664
"Denver-Aurora [Urban Area], CO, USA",0.08524070496110704,0.2707194594065967,0.3013507222793254,0.42792981831407795,0.5542336721731242,0.2851612255842308,0.16060510224264501
"Riverside-San Bernardino [Urban Area], CA, USA",0.12415095862622955,0.3098972009313805,0.31386333760404356,0.3762394614645759,0.6815834676001757,0.2216643711285705,0.09675216127125379
"Baltimore [Urban Area], MD, USA",0.1102177582117254,0.3074373861904834,0.27876871530702657,0.41379389850249,0.5597938785294474,0.2763718895042599,0.16383423196629257
"Las Vegas-Henderson-Paradise [Urban Area], NV, USA",0.13686599097075886,0.3903273337265298,0.3161087524219035,0.2935639138515667,0.6861178471987802,0.21959220564328216,0.09428994715793766
"St. Louis [Urban Area], MO-IL, USA",0.10900291894822557,0.3624294397254192,0.30499421982193914,0.33257634045264156,0.6223457220337737,0.25362600208199965,0.12402827588422655
"Portland [Urban Area], OR-WA, USA",0.10118804124277367,0.29447592044204873,0.2969745389327861,0.4085495406251652,0.5851318409099973,0.26103664317648506,0.15383151591351768
