longname,No internet access %,Uninsured %,Public Insurance %,Private Insurance %,Never Married %,Married (not divorced) %,Divorced %
"New York-Jersey City-Newark [Urban Area], NY-NJ, USA",0.09683039612682098,0.0908649788124343,0.2133076006705451,0.6958274205170207,0.38499018355140585,0.533895984568556,0.08111383188003805
"Los Angeles-Long Beach-Anaheim [Urban Area], CA, USA",0.08130854634835133,0.11932877010141607,0.22755723441081566,0.6531139954877683,0.41108428399786395,0.5053712840523913,0.08354443194974472
"Chicago [Urban Area], IL-IN, USA",0.09240978380645463,0.10742299500274902,0.15156242703696923,0.7410145779602818,0.37875609892825374,0.5335844307107269,0.08765947036101937
"Miami-Fort Lauderdale [Urban Area], FL, USA",0.10328660697739848,0.19910662828599365,0.11273493802450267,0.6881584336895037,0.339732330366374,0.5314229746658115,0.12884469496781434
"Houston [Urban Area], TX, USA",0.08648903064229843,0.2436133954471964,0.09401969983959642,0.6623669047132071,0.3502508658808064,0.5571951290627937,0.09255400505639991
"Dallas-Fort Worth-Arlington [Urban Area], TX, USA",0.07936676295125208,0.22318651419485125,0.0827627323325442,0.6940507534726046,0.3478368379357705,0.5482922366363215,0.10387092542790792
"Philadelphia [Urban Area], PA-NJ-DE-MD, USA",0.08906609873470853,0.07068951480738951,0.1873025248161924,0.742007960376418,0.3824873421733444,0.5253824794153226,0.09213017841133303
"Washington-Arlington [Urban Area], DC-VA-MD, USA",0.05061339657331378,0.09748144350261774,0.10859321717438945,0.7939253393229928,0.37651843974399524,0.5382718088887721,0.08520975136723262
"Atlanta [Urban Area], GA, USA",0.06915895051460007,0.1619893402466286,0.0933541678624337,0.7446564918909377,0.37518237629258144,0.5196620133146,0.10515561039281852
"Boston [Urban Area], MA-NH, USA",0.07403540578205599,0.036450524211380675,0.1924161581777347,0.7711333176108845,0.3847433689225153,0.5297518628764166,0.0855047682010681
"Phoenix-Mesa-Scottsdale [Urban Area], AZ, USA",0.07492433572034464,0.13673248555030848,0.16213344895865933,0.7011340654910322,0.3410491291501414,0.53960642562611,0.11934444522374862
"Detroit [Urban Area], MI, USA",0.09902046398177432,0.07046652594333244,0.2388929425805712,0.6906405314760964,0.3693151374078368,0.5166376217463734,0.11404724084578985
"Seattle-Tacoma [Urban Area], WA, USA",0.04813190178312364,0.07607113774272063,0.14377215032558469,0.7801567119316948,0.3425256765877351,0.5507763520489652,0.10669797136329977
"San Francisco-Oakland [Urban Area], CA, USA",0.06264519179616203,0.05471600526737117,0.16506264005693136,0.7802213546756974,0.3895935872128383,0.5245870958431748,0.08581931694398676
"San Diego [Urban Area], CA, USA",0.051760663909884645,0.10090995231121706,0.18026229174507427,0.7188277559437086,0.36573155728600426,0.5357457465614697,0.09852269615252612
"Minneapolis-St. Paul [Urban Area], MN, USA",0.06162292676027374,0.05784261703935635,0.15514625048031627,0.7870111324803274,0.3543877560022966,0.5426451455874024,0.10296709841030102
"Tampa-St. Petersburg [Urban Area], FL, USA",0.08231936043316644,0.1622732582307435,0.13850909849827436,0.6992176432709822,0.32198481368390136,0.5416474545275608,0.1363677317885379
"Denver-Aurora [Urban Area], CO, USA",0.05540161796376554,0.1024351055625094,0.14339978139567672,0.7541651130418139,0.3483705819105488,0.5349613064024116,0.11666811168703964
"Riverside-San Bernardino [Urban Area], CA, USA",0.07008594421991331,0.12175339851723618,0.23931626824604837,0.6389303332367154,0.3914086620856721,0.5246856177862864,0.0839057201280415
"Baltimore [Urban Area], MD, USA",0.08926144456149847,0.06517774097178718,0.19464294307016977,0.740179315958043,0.38760181159929813,0.5075367449683725,0.10486144343232924
"Las Vegas-Henderson-Paradise [Urban Area], NV, USA",0.09397994550928819,0.1549464446804209,0.17629579488472752,0.6687577604348516,0.3548227890740429,0.5116444002169335,0.13353281070902373
