longname,Architecture and engineering occupations %,Computer and mathematical occupations %,"Life, physical, and social science occupations %","Arts, design, entertainment, sports, and media occupations %",Community and social service occupations %,"Educational instruction, and library occupations %",Legal occupations %,Health diagnosing and treating practitioners and other technical occupations %,Health technologists and technicians %,Business and financial operations occupations %,Management occupations %,Construction and extraction occupations %,"Farming, fishing, and forestry occupations %","Installation, maintenance, and repair occupations %",Material moving occupations %,Production occupations %,Transportation occupations %,Office and administrative support occupations %,Sales and related occupations %,Building and grounds cleaning and maintenance occupations %,Food preparation and serving related occupations %,Healthcare support occupations %,Personal care and service occupations %,"Firefighting and prevention, and other protective service workers including supervisors %",Law enforcement workers including supervisors %
"New York-Jersey City-Newark [Urban Area], NY-NJ, USA",0.014477761143635779,0.036806990767992716,0.011037137795314433,0.03423371018375456,0.019637892583065697,0.07333185288127833,0.019578889605938576,0.0445158309911789,0.016918589041931543,0.06796986443655074,0.11419470803132922,0.04304496650446392,0.0009055640562991162,0.020479280661445276,0.02589011836417589,0.028567049430421106,0.042147866669739076,0.10944159030802615,0.09373245922412057,0.03604374174782834,0.04370838094925097,0.04452769024575862,0.03110525268405798,0.015960167498835914,0.011742644193606397
"Los Angeles-Long Beach-Anaheim [Urban Area], CA, USA",0.020207351116104645,0.028023678879887933,0.00895538116049657,0.04364274634219726,0.017261867405767177,0.05312785682933588,0.014535875979570137,0.03489779635351114,0.016281099496689717,0.05804001690690639,0.10517650071279645,0.04683933161167925,0.0032767924679196797,0.023630992958850964,0.038558248647397306,0.05489274405440107,0.03692235996346916,0.11525964032966925,0.09981701413347535,0.04089486933987314,0.05591328802793305,0.03668988807052633,0.029226654976705266,0.012595449073311747,0.0053325551615249775
"Chicago [Urban Area], IL-IN, USA",0.01822602781855625,0.038567079986293974,0.009449910024250052,0.021629227713619942,0.01702629321430165,0.06094789536687946,0.01608930766990008,0.044161944838968514,0.016221754641553447,0.07159464197548863,0.11498013362966539,0.03763961054126922,0.0010508395103576886,0.02412277044965483,0.040897228966168,0.0538989378936655,0.0427166941986394,0.11024348523275491,0.10021036633274291,0.031094143945740293,0.049403801388698675,0.030371290650011193,0.027142435188109628,0.013022894049295158,0.009291284773415185
"Miami-Fort Lauderdale [Urban Area], FL, USA",0.012625322402485376,0.023534678602274647,0.005905250822399117,0.019957965881674377,0.013907651835372953,0.04795366802969284,0.01748703798012728,0.041923345490772944,0.01834698262926096,0.05449404967467171,0.11407360436591774,0.05665114113574729,0.0030941059770746566,0.031983632334029656,0.02863908596564954,0.028718195018851603,0.046235323414730536,0.11699833706870857,0.12051212537288421,0.05249239812874841,0.05548652723288701,0.031806395422134814,0.03114157691956715,0.016969428757696907,0.009062169536639453
"Houston [Urban Area], TX, USA",0.031328176066080446,0.030981683557889717,0.011474710373845341,0.016260307295454662,0.012847762950226467,0.06062803045534081,0.012447196851001898,0.040146630148386105,0.017266494884476076,0.0629261437673187,0.10564574384811323,0.07213090781260559,0.0012057925455387977,0.03237514379256654,0.03562404223737769,0.04990845266298001,0.04256449959381629,0.10404308083859806,0.10270199305258315,0.03764729925905154,0.052470952881416164,0.024907542839843515,0.024037540647727475,0.011203656775549358,0.007226214862212704
"Dallas-Fort Worth-Arlington [Urban Area], TX, USA",0.02108049997659016,0.04439602751250773,0.006222901444774779,0.01835489006848781,0.013593967971776788,0.055390071841872654,0.011848113709209962,0.03396013078316587,0.0158747683490626,0.07012075800271161,0.11206034544918587,0.06386482219936046,0.0008233972551529411,0.029719166926520543,0.04348023762298888,0.04752118159172242,0.039759158190213625,0.11859826293966871,0.10293163525502587,0.03430518379134697,0.05023848769709027,0.024101412324680757,0.025385383166950496,0.010314802040416895,0.006054393889515243
"Philadelphia [Urban Area], PA-NJ-DE-MD, USA",0.01882340812929259,0.039709742879891936,0.01585155611167904,0.020181778392621853,0.02188235196038366,0.0679739159484145,0.017052016954608628,0.053575415476377695,0.02091794366474201,0.07200130672013487,0.11247177173653206,0.03629724384131721,0.002023279403858316,0.024585694987520605,0.03326609991801403,0.03842407901526938,0.03465030124005775,0.1135215122229357,0.0944090690587617,0.028565683019874614,0.046469574305608205,0.03678564653283673,0.026967832552689076,0.013126404956256795,0.010466370970321156
"Washington-Arlington [Urban Area], DC-VA-MD, USA",0.02201733675243063,0.08927883125508163,0.024782064234284053,0.03143795142496943,0.017698962524835195,0.06281158487124217,0.03422306776617475,0.03364447160582616,0.011985134041150316,0.09830531426539557,0.14105117341281603,0.04167324455226488,0.0007270820226086392,0.017594127715340198,0.0171671242197421,0.015766879364155283,0.028556158700723522,0.0901794974826001,0.07183709595516344,0.03254155453030017,0.04202439963884545,0.021007729142750904,0.027599450062646642,0.015893780794980713,0.010195983663672074
"Atlanta [Urban Area], GA, USA",0.0198493755843587,0.05104849243465737,0.010705358085365824,0.024835934947297602,0.014874987912727764,0.06149466903329197,0.014616346376222436,0.03779980725729462,0.015222001756431186,0.07461250196456885,0.1275208216088454,0.042504241012534666,0.0012437699517332302,0.024109360790681173,0.03887848238982582,0.03811840349689041,0.041707849971754245,0.11003863444123674,0.10669888483447651,0.03107907290963466,0.04977985155667458,0.02044724698542436,0.024740802658822864,0.011680696660942983,0.006392405378306026
"Boston [Urban Area], MA-NH, USA",0.027095835848947144,0.05529342285800417,0.028128579889255163,0.025509278183816955,0.019525352517550686,0.07463042699104405,0.017036751285595012,0.05065794772438797,0.017175125575624894,0.07803861781253205,0.13083538136693934,0.039049053094595644,0.0012043165734789525,0.01839190027443902,0.020743400282653868,0.032040807599922144,0.027294930688800654,0.09658213710100626,0.08621247702522279,0.03168666333038981,0.04663368002297066,0.029884124570987793,0.027874047182867644,0.011324386966810386,0.00715135523215698
"Phoenix-Mesa-Scottsdale [Urban Area], AZ, USA",0.024704479512528632,0.04109747037921729,0.007800320940163462,0.019755224259214263,0.015425057914019737,0.05287118424030922,0.011134985930923285,0.0415442520790552,0.017925929996382036,0.06897414571877558,0.11250721076711163,0.048214799012752274,0.0020698115381248905,0.029649606431317255,0.03339587003909173,0.03651961734878964,0.03267512088392432,0.12924245535682236,0.11043631492442986,0.037495375853317456,0.054407517002261756,0.027744258737916305,0.025477567275422393,0.012170682235557308,0.006760741622572104
"Detroit [Urban Area], MI, USA",0.044498519888902494,0.036632066712849284,0.0065499601148683246,0.019806039970078862,0.015067270921355532,0.04662699605302157,0.012537667164065703,0.04655847798154771,0.020038340401864658,0.06066614007656616,0.10275933205987187,0.035748715579884,0.0013788364829240057,0.02560299081445716,0.04112891504326464,0.07815124471422683,0.03442557750765414,0.11311447363065437,0.09469190632735228,0.03191566883898951,0.05460169539752647,0.03589594027234303,0.023932775731902972,0.010855846610341127,0.006814601703487321
"Seattle-Tacoma [Urban Area], WA, USA",0.03168628860120477,0.08616221131847722,0.013136855067914724,0.02608423660018295,0.017464084080069053,0.054768544884412323,0.012527218979202216,0.04088692747254571,0.01428281683647722,0.06948742751882395,0.12849721692936883,0.0420830944018775,0.002422519142704375,0.02321128857755238,0.031588374374026736,0.03857494925181661,0.03459203363493438,0.09658888121406363,0.08748677408651429,0.026961220396161868,0.05102527008944081,0.030271046200142135,0.02604442880723234,0.009861288225248371,0.0043050033096057125
"San Francisco-Oakland [Urban Area], CA, USA",0.031109710343255468,0.07762021631595696,0.02271281455265997,0.03809583423227582,0.01620815863364432,0.05462606972884297,0.01934251227185131,0.03864292629050174,0.013584185456422712,0.07941510253005861,0.1390215947312742,0.03459096547867599,0.002084914625849339,0.017004558375704686,0.024410103916399247,0.03099423221851937,0.03034152041573387,0.09130513480361435,0.08560084681715505,0.033356678184536574,0.04819053521856225,0.031023699680824798,0.02589361344925657,0.010613681392276338,0.004210390336147414
"San Diego [Urban Area], CA, USA",0.03350181740549599,0.04612430683825331,0.019690807036878415,0.024237842489677457,0.016915409538682164,0.05478952174191982,0.013970463014808969,0.04032464162840281,0.01777254975029184,0.0657377748414186,0.11344943051575146,0.04371710719147885,0.0032532213273896433,0.023724236786080242,0.027670872007672646,0.0422585353770914,0.028413176544493997,0.10040236394214926,0.10157915731418397,0.03830373939366711,0.061087463601257934,0.032456874457715224,0.030188891351068056,0.012087291531273777,0.008342504372896992
"Minneapolis-St. Paul [Urban Area], MN, USA",0.02651376999441288,0.05309971905130086,0.014422513123353442,0.02710343100261227,0.01995057666047048,0.06264509294674009,0.014329225118232614,0.044761851680466834,0.016948108646615508,0.08353976707267181,0.1215531496281925,0.029694751308512683,0.0018700751680589768,0.0214799028868582,0.029415036114741236,0.05627761607980282,0.02933645701088457,0.10474586030055685,0.09725484030754641,0.027087408162704288,0.0469412678921928,0.034842224628800746,0.02450097963402139,0.0068645602336946335,0.004821815346555152
"Tampa-St. Petersburg [Urban Area], FL, USA",0.015620604561981126,0.039071499640422426,0.006914408226177781,0.018662778175054087,0.013347366688930133,0.05173389521141858,0.014879936006664556,0.049343034325992075,0.021938594717668937,0.06898301810157767,0.11252356598001087,0.04452919295355055,0.0034739762987042963,0.029904512153687595,0.02820659553997413,0.03450813175081938,0.0345647512549669,0.127064608547474,0.11618781971898919,0.034860011773837414,0.05893766228304577,0.02950578132672858,0.026339508283124587,0.01144993257435817,0.007448813904841005
"Denver-Aurora [Urban Area], CO, USA",0.029691306103076208,0.05246317143784162,0.01291046016297773,0.024452518139528433,0.016113706550776784,0.051930895813124885,0.014394769808598037,0.04128423168995651,0.014731779637749109,0.0767780677276308,0.1317798965548903,0.05282066269481819,0.002571914208052054,0.024957814518274248,0.029326892295755184,0.033478266015345856,0.03471848436765125,0.10674606262618876,0.10044451527046311,0.028949513233037558,0.05155008374065547,0.02364120415318152,0.025915571515066134,0.011931247345202017,0.006416964390158277
"Riverside-San Bernardino [Urban Area], CA, USA",0.013215234008084303,0.01871426547660537,0.00618106624682726,0.012775872238857632,0.01802566361400026,0.05200959422464652,0.005625940256879578,0.03507467947184581,0.020764450581812338,0.038877156860169876,0.07942539835935825,0.06717951755288179,0.0037329000535614174,0.035840958831751986,0.08061804418365554,0.06025787176939852,0.051845309523647645,0.12498197535444619,0.09678499847589894,0.0375088949719743,0.05145930843829593,0.03816765376781553,0.024446008520544668,0.014016192856941103,0.012471044360099215
