longname,White %,Hispanic %,Black %,Asian %,Native %,Hawaiian / PI %,Other / Mixed %,Racial Homogeneity %,Segregation %,Mean Local Segregation %
"Guangzhou Urban Center, China",,,,,,,,,,
"Jakarta Urban Center, Indonesia",,,,,,,,,,
"Tokyo Urban Center, Japan",,,,,,,,,,
"Delhi [New Delhi] Urban Center, India",,,,,,,,,,
"Shanghai Urban Center, China",,,,,,,,,,
"Dhaka Urban Center, Bangladesh",,,,,,,,,,
"Kolkata Urban Center, India",,,,,,,,,,
"Quezon City [Manila] Urban Center, Philippines",,,,,,,,,,
"Cairo Urban Center, Egypt",,,,,,,,,,
"Mumbai Urban Center, India",,,,,,,,,,
"Seoul Urban Center, South Korea",,,,,,,,,,
"São Paulo Urban Center, Brazil",,,,,,,,,,
"Karachi Urban Center, Pakistan",,,,,,,,,,
"Mexico City Urban Center, Mexico",,,,,,,,,,
"Beijing Urban Center, China",,,,,,,,,,
"Bangkok Urban Center, Thailand",,,,,,,,,,
"New York Urban Center, USA",0.37949922355341814,0.27395680881777595,0.16877882280527814,0.13322530001878286,0.0017008045473932236,0.00028406510569990864,0.04255497515165179,0.47985908971277946,0.2902878222565769,0.17325371929605976
"Osaka [Kyoto] Urban Center, Japan",,,,,,,,,,
"Moscow Urban Center, Russia",,,,,,,,,,
"Los Angeles Urban Center, USA",0.2664001140476205,0.4716821361760655,0.061439460825234916,0.15909175988514374,0.0018892448423253306,0.0022541832855404557,0.03724310093806956,0.49978984072936045,0.25987175739288615,0.11991797807438903
"Istanbul Urban Center, Turkey",,,,,,,,,,
"Lahore Urban Center, Pakistan",,,,,,,,,,
"Buenos Aires Urban Center, Argentina",,,,,,,,,,
"Bengaluru Urban Center, India",,,,,,,,,,
"Ho Chi Minh City Urban Center, Vietnam",,,,,,,,,,
"Tehran Urban Center, Iran",,,,,,,,,,
"Lagos Urban Center, Nigeria",,,,,,,,,,
"Jieyang Urban Center, China",,,,,,,,,,
"Chennai Urban Center, India",,,,,,,,,,
"Suzhou (Jiangsu Sheng) Urban Center, China",,,,,,,,,,
"London Urban Center, United Kingdom",,,,,,,,,,
"Rio de Janeiro Urban Center, Brazil",,,,,,,,,,
"Bogota Urban Center, Colombia",,,,,,,,,,
"Kinshasa Urban Center, Democratic Republic of the Congo",,,,,,,,,,
"Paris Urban Center, France",,,,,,,,,,
"Lima Urban Center, Peru",,,,,,,,,,
"New Taipei [Taipei] Urban Center, China",,,,,,,,,,
"Luanda Urban Center, Angola",,,,,,,,,,
"Hyderabad Urban Center, India",,,,,,,,,,
"Surabaya Urban Center, Indonesia",,,,,,,,,,
"Bandung Urban Center, Indonesia",,,,,,,,,,
"Nagoya Urban Center, Japan",,,,,,,,,,
"Kuala Lumpur Urban Center, Malaysia",,,,,,,,,,
"Wuhan Urban Center, China",,,,,,,,,,
"Chengdu Urban Center, China",,,,,,,,,,
"Johannesburg Urban Center, South Africa",,,,,,,,,,
"Ahmedabad Urban Center, India",,,,,,,,,,
"Singapore Urban Center, Malaysia-Singapore",,,,,,,,,,
"Tianjin Urban Center, China",,,,,,,,,,
"Riyadh Urban Center, Saudi Arabia",,,,,,,,,,
"Hangzhou Urban Center, China",,,,,,,,,,
"Chongqing Urban Center, China",,,,,,,,,,
"Chicago Urban Center, USA",0.44278096747244516,0.24729660475723483,0.1968059293692507,0.0808671757510026,0.0010729952163743468,0.00019286712829382475,0.030983460305398513,0.5638306468866299,0.3738625687266342,0.1857119486179143
"Alexandria Urban Center, Egypt",,,,,,,,,,
"Pune Urban Center, India",,,,,,,,,,
"Dar es Salaam Urban Center, Tanzania",,,,,,,,,,
"Surat Urban Center, India",,,,,,,,,,
"Baghdad Urban Center, Iraq",,,,,,,,,,
"Santiago Urban Center, Chile",,,,,,,,,,
"Nanjing (Jiangsu Sheng) Urban Center, China",,,,,,,,,,
"Amman Urban Center, Jordan",,,,,,,,,,
"Toronto Urban Center, Canada",,,,,,,,,,
"Shenyang Urban Center, China",,,,,,,,,,
"Comilla Urban Center, Bangladesh",,,,,,,,,,
"Madrid Urban Center, Spain",,,,,,,,,,
"Yangon Urban Center, Myanmar",,,,,,,,,,
"Miami Urban Center, USA",0.2894458608185323,0.4569171610783,0.19060565321703982,0.02593459128146037,0.000983388548884282,0.000254132128149227,0.03585921292763401,0.5473636909298109,0.3235779936051678,0.11915832573924037
"Addis Ababa Urban Center, Ethiopia",,,,,,,,,,
"Hong Kong Urban Center, China",,,,,,,,,,
"Khartoum Urban Center, Sudan",,,,,,,,,,
"Abidjan Urban Center, Ivory Coast",,,,,,,,,,
"Hanoi Urban Center, Vietnam",,,,,,,,,,
"Dallas Urban Center, USA",0.3760652543520455,0.32323962204534856,0.1653790454839535,0.09390638400312956,0.002958601026134842,0.001047387268104058,0.03740370582128402,0.4591496815809183,0.24521147706462829,0.1357263695374735
"Xi'an Urban Center, China",,,,,,,,,,
"Chattogram Urban Center, Bangladesh",,,,,,,,,,
"Faisalabad Urban Center, Pakistan",,,,,,,,,,
"Hefei Urban Center, China",,,,,,,,,,
"Kabul Urban Center, Afghanistan",,,,,,,,,,
"Nairobi Urban Center, Kenya",,,,,,,,,,
"Yogyakarta Urban Center, Indonesia",,,,,,,,,,
"Houston Urban Center, USA",0.27947047961774785,0.407439787178874,0.18444558072350956,0.0951486977529499,0.0017134245950023168,0.000506083282355356,0.031275946849561,0.4679801043468207,0.2525628237051442,0.13522799605312585
"San Jose Urban Center, USA",0.2935107874229343,0.24022424351493654,0.05730723962612014,0.34710024795338534,0.0018582808741122747,0.006285367747475069,0.05371383286103634,0.39789238048014824,0.17456779095067498,0.09952859924055457
"Accra Urban Center, Ghana",,,,,,,,,,
"Zhengzhou Urban Center, China",,,,,,,,,,
"Lucknow Urban Center, India",,,,,,,,,,
"Saint Petersburg Urban Center, Russia",,,,,,,,,,
"Colombo Urban Center, Sri Lanka",,,,,,,,,,
"Tijuana Urban Center, Mexico-USA",,,,,,,,,,
"Barcelona Urban Center, Spain",,,,,,,,,,
"Harbin Urban Center, China",,,,,,,,,,
"Wenzhou Urban Center, China",,,,,,,,,,
"Yaounde Urban Center, Cameroon",,,,,,,,,,
"Medan Urban Center, Indonesia",,,,,,,,,,
"Kano Urban Center, Nigeria",,,,,,,,,,
